"CoPt_E_rep1","CoPt_E_rep2","CoPt_E_rep3","CoPt_E_rep4","CoPt_H_rep1","CoPt_H_rep2","CoPt_H_rep3","CoPt_H_rep4","Falu_E_rep1","Falu_E_rep3","Falu_E_rep4","Falu_E_rep6","Falu_H_rep1","Falu_H_rep4","Falu_H_rep6","Ftele_E_rep3","Ftele_E_rep5","Ftele_E_rep6","Ftele_H_rep1","Ftele_H_rep3","Ftele_H_rep5","Ftele_H_rep6","Can_E_rep2","Can_E_rep3","Can_E_rep4","Can_E_rep6","Can_H_rep2","Can_H_rep3","Can_H_rep5","Can_H_rep6","Vat_E_rep1","Vat_E_rep3","Vat_E_rep4","Vat_E_rep6","Vat_H_rep1","Vat_H_rep3","Vat_H_rep4","Vat_H_rep6"
"contig148844",7.78627687770978,7.29159934653788,7.11252371990033,6.83971502826453,13.0707541170128,12.2697423739613,12.4746055116202,12.5226529403352,7.38051915525641,7.12526264209008,7.11295918224391,7.90449778992248,13.6536388868831,12.7452715333437,13.7494080896389,7.06336231660017,6.51471300543622,6.21082267550547,13.2547042798619,13.5252472496399,12.7341561876612,11.974383061611,6.72277994265049,6.69895166188719,6.54571950609314,7.48766821107619,13.1611033484215,13.1827966669163,12.8216855111039,13.1764869226532,6.38765436480142,6.73678717107958,6.01575828033367,6.95929054647646,10.9709048493294,12.3743006648214,11.924312313201,12.691951458861
"contig148659",7.59513844457033,7.8920143702387,8.11690745974503,8.07530432540491,11.1484576116979,11.1324047595289,11.4684553520024,11.2087061079497,8.4827852005314,8.39183384034745,8.67128022366686,8.25742009366399,12.0404705391291,12.1762552366627,11.5526228791459,8.57546079515856,8.18764213576225,8.61947644816706,11.6272845863755,12.2834828334954,11.2633675620457,12.5113912756115,8.92833777182635,8.22457032779151,8.21360468627865,8.90450978501484,11.408722648253,11.1742485131178,11.5984633612211,11.5198951100526,8.09021814357503,8.30617703987816,8.25533080424904,8.27545830559427,11.1919080058978,11.7422296552801,11.8198021246326,11.7197404456089
"contig203532",8.18930265794481,7.92888852622269,7.8249067662594,7.64002735263502,11.2029883474326,11.0999901943107,10.5532978063902,10.702749077485,7.53290288822464,7.69404872481966,7.78691492675626,7.50417255077104,11.1972462670737,10.9128944294984,10.8844328721213,7.50125378863578,7.52930577056468,8.03959127529617,10.9670330735713,11.4291160581866,10.7182983956388,11.4356627667644,7.86958628250902,7.65467419892109,7.88124321289178,8.7919966132351,10.3563186948854,11.0770283470124,10.5348569715076,10.6436820570731,7.42353673519871,7.79952827198642,7.55513190733023,7.82565940335638,10.7582767718648,10.2399941480831,10.0940869795528,10.7969980279474
"contig122943_191570_73715",5.44173522236226,5.32688910113883,5.83944709421349,5.86536178826046,9.01019817453578,8.7779404427478,9.08708340836236,9.70525595743565,5.33410754921487,5.69494358822317,5.62495455327297,5.91519175492241,9.47749826412651,8.96235005403326,9.78474235290594,5.65119259862986,5.69450091591948,6.00922761105058,9.22490012374283,9.85675039201293,8.8223219835855,10.2621698656062,5.93106860561378,5.04888789793111,5.62464869811304,5.32948890664301,8.84318355026818,9.07082590844628,8.24517195068318,8.91918074803509,5.41573856715983,5.81932926959299,5.4185550437179,5.27114362639613,7.72298267831821,8.89480481392962,8.72245943623983,9.10231441430816
"contig205717",6.17746795440256,6.39415373999859,6.29914206431975,6.16237449082932,9.14108438441518,9.74782284191344,9.18854447766455,9.19819913483113,6.35273324640387,6.55600353209522,6.76336594349447,6.5780975946109,9.15580959325252,9.30998001415617,9.51845297718269,6.45109813751601,6.24875296570843,7.16518283170455,9.07716703887269,9.1473572400648,8.77381679177623,9.61581732078846,7.02146793511478,6.5621051764717,6.62549475678703,6.40713023408978,8.99079244439307,9.72078063666848,8.95732171229391,9.06251004275968,6.19328679377835,6.48620030685824,6.56772015208173,6.4719625802291,8.6108756770296,9.55541158396014,9.19784600723855,8.13803581472927
"contig187488",4.96759899066902,4.66555719596821,5.37411708095013,3.94308387384726,11.3999101424927,11.6706642476291,10.2299234017914,12.3846455835325,3.47566123844661,5.90383067145368,4.9331362129188,5.15669228161158,12.6440649878243,12.198202601027,11.8557132187299,4.11507188867024,3.7585998488006,5.50942439010552,9.98776573877787,12.6630764825015,11.9088544912872,12.4857645540503,4.88424719434897,5.9891493992512,4.12680324004018,6.69751324306048,12.4841619991405,12.5890255096487,13.3115273106879,12.0605661277581,5.9413234341092,5.19211299698732,4.11386354196073,5.0116410599529,13.2201961129543,12.4806227625185,11.9065694043984,12.919368884452
"contig169202",6.1850314877734,6.52995933343623,6.40744571599377,7.01371364182268,11.6894678265198,12.1255587315416,11.7102656902177,12.6011500039243,5.16085256239446,7.90305646406642,6.68036969819268,6.54484207054016,12.2144381989348,12.6978014916199,13.2458776376641,6.39172158781292,6.0799498640327,7.59742247635683,12.1610764420666,13.8556250698577,11.7471006946598,13.9788177890527,5.37495540761246,5.88499084445306,5.7999288332591,6.25816232540187,12.5458721608446,12.8143566189768,12.0874548640141,11.7357139365158,7.04227393088578,6.18274444237495,4.80159052102602,5.85020044605422,12.7822374524048,13.3139296982094,12.1408000580633,13.2612347225329
"contig112718_123967_18547",2.71378071760147,1.69624008043791,3.10191944354416,2.25244669566376,8.71319954791898,7.8330693887767,8.71350638897315,9.17619071087221,2.95920052808341,3.03932032503211,3.32439034427986,3.6792797902957,9.21645620863608,10.1129815933735,10.2276987164121,3.05535016155389,2.07214841763921,3.88094809651566,9.82582585516082,11.3178614019281,8.84094016453916,10.7637431949174,2.93405593006863,4.02104080451021,1.04732895473787,1.80769929623584,11.0804786390518,9.74548528635583,10.0443846610583,8.33735052807753,2.90861146927185,3.19902154820715,2.13412287813859,2.69538837770126,10.0061659541939,10.975537127172,8.95954292038711,10.4660651456579
"contig159783_180414",1.24822354799998,2.0576179832787,2.77221990544946,1.56457105341356,9.05154105715609,10.4630365384974,9.06974787717561,9.7329321417329,1.38045087590747,1.88811029702456,3.04995157958146,2.73161575764898,10.1123310713409,9.70518404821262,9.97587066286935,3.94190978811825,2.70874762688266,3.34097067780369,10.2138303716168,12.1488607595193,10.2151657617432,10.7819561250961,-0.198336205004013,2.82981055003965,2.3933004398375,2.78802940675752,9.40868044103547,10.5587855928958,10.5441497633115,9.40385720247481,1.99678863128321,1.34885165925226,-0.209386738741991,1.72188975871716,8.35631494082214,11.0029824212831,9.64819545314219,10.0225335663234
"contig75607_169164_74746",6.72077332188949,6.67593058471181,7.46737336236568,6.86229750492458,9.92233302738041,10.2119438419769,10.1154686646611,10.20948717166,7.43227546245515,7.19048531436641,6.63070750143459,7.20037213172378,10.6093484973003,10.1262829758876,10.9613703570954,6.12627045159769,7.47359842189855,6.60094369374328,9.93395315524245,11.176287970341,9.64789714149219,11.0207074281348,7.45060261421505,6.82745173950353,6.29557212736458,7.29947093603884,10.7178559464512,10.6330423030021,10.3092747553595,9.79940496667786,6.52257746085566,6.92089233625706,7.15623545905631,6.78543962258873,10.2856595558177,11.7209625054462,9.72641757720197,10.5901157100362
"contig14948_81708_116425",5.75798471043378,6.07688467582906,6.27074631176013,6.16691705356601,8.22291896767421,8.48345865128529,8.46302120392319,8.6920418510339,5.96704036679921,6.29639624806187,6.04708420374791,5.64921216897228,8.49190020187377,8.65490668243286,8.6734735585271,5.61703288206485,5.65497779670409,5.79885453568313,7.90840794065669,8.21948451610035,7.69578570766199,9.01874236561987,6.25828315894681,6.17730365770181,6.0284171658766,6.12368761430054,8.71521676486359,8.75441776446393,8.22682227044879,7.83815120538279,5.85627367332776,5.5004209021557,6.06722472607143,5.9359269191763,7.39327331711601,8.4361821921443,8.22618622456245,8.35875358003197
"contig117309_183823",3.61671833561582,4.78299720359426,6.20794837945917,5.36215142861211,12.8136219793266,13.7393163996388,11.9350044416564,13.492349025192,3.97170318300249,5.7651333943453,5.33570420614144,6.37232448450514,13.7076923552973,12.8349243945955,13.5594513058292,6.97172001730339,5.14809951665275,5.71290244329389,13.8762459430951,15.3285871283578,13.6955078625176,13.8999528027307,4.26251562866089,6.74430991765801,6.42606063784164,6.03487861289551,12.959976487299,14.404048400061,13.301013580182,12.6999837980519,4.95239200060539,4.3492273300243,4.26844764632572,3.86793280136885,11.2017790738614,14.4777282684611,13.0006820397977,13.0783296226446
"contig150839",4.94994982192991,5.17542520451641,4.88917377750929,4.48434578108687,8.05418390902452,9.03381088943227,8.21279887531137,7.78377505252887,4.50389469500168,4.54805213315025,4.75917056268879,5.14194130780037,8.80718879024304,8.30119805198333,9.20300170856252,4.32713651339987,5.10963282176338,4.58088758019296,7.87071427746146,8.70060463159133,8.63135157549138,9.36756477720505,4.88502526080781,4.6645005949477,4.47575052782513,6.03487861289551,8.32790167706587,7.95552666146082,7.97280254794417,8.09639552802965,5.10765018615555,5.19211299698732,4.40805947718317,4.61408214412426,7.34063725210504,9.00514687032487,8.26601676690309,7.59095182719331
"contig74800_140085",6.89229095337755,6.95511501170918,7.66422190989629,6.93067213225036,10.5058220407528,11.9056497873505,10.3088814065425,10.1816386110484,7.24526797672032,7.24982966134193,7.14573987769464,7.32640593953928,11.8232423348826,10.7655426488407,11.2426484269499,6.83970606294055,7.32202209557153,7.96453221491892,10.741270022222,11.6041477472319,10.4159064661783,10.8532548263737,8.04082427862672,6.14384337767734,7.1740661875696,7.60449019979806,10.6209155309646,10.3098971917808,11.1555780856699,9.57405617915433,7.35285352133081,7.50562266744116,6.99283578213562,7.75900930677425,11.5253697770279,11.4760348171381,10.9609428413813,10.7194254510182
"contig140801_116503_151042",4.41938747547077,4.35468215518282,4.87845999809597,4.60976112983815,7.95017547421132,7.15810547087275,8.13659022083536,9.02319835678146,3.94344469528062,4.56782459673369,4.24659727207573,4.37808040421213,7.801531927916,7.6778335950286,8.64039311634275,4.93808976542699,3.90055112194397,4.94635782184311,7.79626415223194,7.86311696999572,7.72887772514014,7.61998404389776,5.01510555212387,5.02458141506353,4.78459442676824,5.14120270699507,7.48294776052523,7.39710460230652,7.82479684715487,7.68075643245485,3.86241590516033,4.37829086577413,5.11045915299782,4.84435927550811,7.13963510299787,7.90919069526362,6.96041811196659,7.82827726922978
"contig151255",5.26745318006374,4.93574260826596,4.55426787823214,4.5414358485653,8.35648057248165,9.27555559976936,7.59545947365137,8.90408984053286,4.56080927290221,5.22014404856693,5.39640011810469,5.09676126809299,8.6798398727075,8.00510732494378,8.17269096471748,4.65352404125939,5.0294786564417,5.3878993840584,7.87452827115136,8.16212729961549,7.9968199229853,8.71766742853162,5.5445907953958,5.01227286044297,5.40714290595825,5.09402618832972,9.06132032294857,9.03920318407474,9.26667758618021,8.53744288672125,5.1558995536791,5.22448317659032,5.32298497964117,5.25788834257523,7.19009419862459,9.65744777244396,7.91488527427003,8.17473338940998
"contig72895",4.71937750980223,4.61214377568994,4.63286653083308,5.01443386717848,7.6172362773306,8.24735813457397,8.29416759426432,8.77425560622165,5.05917211803706,5.01938329604794,4.94672915160806,4.91782853458841,8.85998584349303,8.45505552999464,8.90174709653712,4.48698611457479,4.5441715805107,4.40411422918937,7.61663731694067,8.51915598431068,7.7252380961555,9.16255671668294,5.25969536228977,4.04540651120892,4.91731048578672,4.60379916597168,8.76080883798071,8.52252034404642,7.69732011147649,7.80170183267215,3.97427758666703,4.71087703218971,4.71818463673204,4.63473964034234,6.67043206680902,9.29584999397073,7.29927697188686,7.69567284848266
"contig187078",-0.228188688778216,-1.07929291805517,0.4332486447184,-0.516353730699811,7.20335745596413,8.03448417571322,5.07049457585444,6.77626860052256,-1.07929291805517,-1.07929291805517,-1.07929291805517,-0.258205655898741,7.60668990500344,7.85872204560508,7.56381234609128,0.330241337937581,-0.0896608258331924,-1.07929291805516,8.11274209058998,9.5459656524762,6.23467737333604,8.02947036778721,0.344657522843136,-1.07929291805517,-1.07929291805517,-1.07929291805517,8.65746254039655,7.59582087850541,9.52690481076491,8.24728890439814,0.718855510763826,-1.07929291805517,-0.209386738741991,-1.07929291805517,10.2714936145385,9.48030201456642,7.48908037187774,6.85785051057218
"contig54829_112491",6.30789195194197,6.82813358973384,6.66290910506771,6.85105045152549,8.67314374283019,9.11990776697062,8.64023747150536,8.99375852607632,6.51033649849437,6.99622959370272,7.08557329712549,6.59984956412082,9.5606579507426,9.6340228778817,9.54885464474266,6.61583776988906,6.68135120867632,7.05969982894431,9.23680160466052,8.97616115745752,8.55958920879963,9.64978074318267,7.09476328704811,6.30892612394308,7.04074369323126,7.33710110809174,8.68925109331794,8.81168934070093,8.59196141641916,8.71032739357632,6.66274899506929,6.79182891850568,6.783110946392,6.87063465870613,8.77524538607812,9.04514410652453,9.11157081387235,9.22840312819475
"contig215292",-0.228188688778216,-0.357090251271402,-1.07929291805517,-1.07929291805517,6.92946961397633,8.36569539909525,6.85519036112161,7.71882301626124,-1.07929291805517,0.162092335861168,-1.07929291805517,-1.07929291805517,8.44197892911664,8.29150914498771,7.72924199914133,0.721770866629965,-0.0896608258331924,-1.07929291805516,8.42250052206677,10.1376278994838,5.83622007618246,8.59941142710186,-1.07929291805517,1.09247637942083,-1.07929291805517,0.990626822815853,9.24721035393097,8.05901456193644,9.27786143473431,8.17177540221213,1.99678863128321,-0.171324257916885,-1.07929291805517,-0.275020817822833,10.007573500855,9.41111718960891,8.81307977694328,7.24481608666885
"contig212185",-1.07929291805517,-0.357090251271402,-0.133264959513742,-0.516353730699811,5.59817136289016,6.80288007060341,4.81151827318534,6.16220761810613,-0.362936574385443,-0.329006133339819,-0.391252420519731,-0.258205655898741,6.5196250418039,6.4397269946155,6.17400448755519,1.28283599262725,-0.0896608258331924,0.478426529738559,6.48693091919823,8.37125852378834,6.63456871168026,6.80430504982213,-1.07929291805517,1.09247637942083,0.618758819813897,-1.07929291805517,5.6851030692195,6.81000791662572,7.14364825360253,6.48172579960044,1.99678863128321,-1.07929291805517,-1.07929291805517,-0.275020817822833,4.78536352187972,7.4470608705496,6.70622179991253,6.77263446386714
"contig148721",4.07316985426115,4.31065331227866,4.56766863299067,4.94207478569895,7.64631307271425,7.85265773229793,8.8230935453276,9.68839176122821,4.76836310050495,4.1093696342344,4.54353235002225,4.16115018564632,9.84883964440627,9.0346742545723,9.14816272215594,3.46685685793689,4.2223482598044,3.05188415348885,8.21855805918232,7.68662165977554,8.12940648631928,9.03285065246335,3.43681678200915,3.78097719500082,3.98882160808075,3.00758982289453,8.3346176572309,7.11310751992102,8.31632218395644,7.80170183267215,3.4629418624862,4.3492273300243,3.61147734630404,4.18047765786058,7.69530043713461,8.85519570467812,7.3885913416258,7.76148891156133
