"logFC","logCPM","F","PValue","FDR"
"contig148844",6.1334214804923,11.8779166419486,228.086121317408,9.27969122272137e-17,1.40206854684097e-12
"contig188873",6.23050313118503,8.66085406416607,139.760901704044,1.12573213386068e-13,8.50434340525048e-10
"contig148659",2.77348077507815,10.7745507244918,124.997064801672,5.23003527835804e-13,2.63402010069039e-09
"contig146916",-3.7379950336394,6.1532690612136,112.84949876434,2.06969128986721e-12,6.37239920808293e-09
"contig159783_180414",7.82405001321787,9.24052089924811,116.78044115095,2.10880905688097e-12,6.37239920808293e-09
"contig169202",6.45064770798887,11.7245548472897,113.627071640804,2.78074546353924e-12,7.00238053476907e-09
"contig112718_123967_18547",7.20609785353189,8.97808242465392,104.587536504618,8.70491035769318e-12,1.87889272277695e-08
"contig122943_191570_73715",3.24166842262901,8.27649620769382,99.7189312327031,1.04817163891734e-11,1.97960316155027e-08
"contig203532",2.51047347022551,10.0014157677007,97.810184828356,1.34468294787337e-11,2.25742385104653e-08
"contig148721",4.36652461418636,7.5781501405328,93.7116041337068,2.32471748565557e-11,3.26812791276672e-08
"contig187488",6.90090154994929,11.2947222359219,98.074777516537,2.40086613592506e-11,3.26812791276672e-08
"contig4073_75996_107226_77540",-6.69070514411827,6.46670522579354,92.9019868200504,2.5956406746443e-11,3.26812791276672e-08
"contig151255",3.68128968924799,7.66972686982851,90.575883407097,3.57707177877331e-11,4.00099419308829e-08
"contig179807",8.34740186338513,8.30140664900199,95.2059900555156,3.70732137820081e-11,4.00099419308829e-08
"contig187078",10.627348210312,7.35092233052158,94.0228451056179,4.47273125707328e-11,4.50523310420802e-08
"contig215127",5.30292661553437,5.33805666536998,87.4071329519456,5.5918350904582e-11,5.28043977385831e-08
"contig205717",2.50295654924372,8.38735953166635,85.2595240975782,7.62056706286811e-11,6.77289104428672e-08
"contig117309_183823",7.34981229229949,12.6042121265747,89.0706343737422,9.93873712387005e-11,8.34246551136403e-08
"contig99597_204824",3.00574036928413,6.69784446861042,80.2657238294957,1.60063229974525e-10,1.25664684214599e-07
"contig77727",4.80737950964238,7.65794111022443,80.0125734898694,1.66344144833674e-10,1.25664684214599e-07
"contig145110",2.23079682417478,8.7595700733061,79.0337917093347,1.93193917496502e-10,1.35500245352926e-07
"contig203401",-2.47651391465669,6.85498657120139,78.8783737168947,1.97863077098664e-10,1.35500245352926e-07
"contig24499_94274",5.92360579380755,9.72756987819736,81.1736927584561,2.06268160905242e-10,1.35500245352926e-07
"contig212185",6.94202719034567,5.65462488329666,78.0148788107116,2.35349362333658e-10,1.48162229812468e-07
"contig215292",8.83035453262755,7.60866128534983,81.7107680174074,2.47359520641372e-10,1.49494199894819e-07
"contig114829_170976_600076_145434_138914",2.80556483685849,9.12107219206874,76.9156306881048,2.68287594482538e-10,1.55906048655257e-07
"contig203839",3.3096447954216,11.799854745061,76.1723996342481,3.015045238252e-10,1.68719698165739e-07
"contig92825_146443",4.09660017585154,7.82084418777659,74.6025963186913,3.8682367785833e-10,2.08732819598625e-07
"contig75607_169164_74746",3.32128215282447,9.59583079839904,72.6186248147046,5.32812823565998e-10,2.77595481077885e-07
"contig195937_159998_212442_178694_188820",3.53938985859907,6.38824737904907,72.0368680004219,5.85934648574449e-10,2.95096220177045e-07
"contig149160",2.48794224602095,6.15354229595081,70.53052897159,7.51272402924234e-10,3.55646124125408e-07
"contig81437",4.28406375308695,4.52276452295475,70.5148080856201,7.53238200543588e-10,3.55646124125408e-07
"contig14948_81708_116425",2.23477903666444,7.60969376745612,69.4941607030323,8.93277984896497e-10,3.98075395183509e-07
"contig146692",1.61278822861301,8.74919339205855,69.4774050463028,8.95794786964016e-10,3.98075395183509e-07
"contig172535_101930",3.4963397806729,11.8930784950807,68.5165568205463,1.05345513000565e-09,4.5476153026444e-07
"contig52948_182462",-2.40549213935803,8.56448147301384,68.1295921474279,1.12502147830309e-09,4.72165264324483e-07
"contig600116",8.54023238178465,10.8530767058035,73.372047003234,1.16078394570901e-09,4.74007692857226e-07
"contig105272",-3.08204464818117,10.3308500792433,67.4605198686219,1.26117550608527e-09,5.01450018985326e-07
"contig72895",3.45915337304938,7.43295935500788,67.2914916448745,1.29826185072099e-09,5.02959956475472e-07
"contig181491",8.22022763156673,6.28802068494371,69.0543397035157,1.4040618761432e-09,5.30349272166191e-07
"contig96421_189251",3.45781461563426,7.12817790051091,66.5337011724105,1.47929557816703e-09,5.45138460744528e-07
"contig152125_210541",2.94427710162031,12.1786062133957,66.2257578404677,1.56033297792455e-09,5.61311213415763e-07
"contig169772_76006",2.4613805743076,8.78619077483175,66.0350310746641,1.61286980819659e-09,5.66717440280051e-07
"contig202444_149735_68940",2.49955534197846,10.4431137553478,64.1834471284716,2.23196135605344e-09,7.53524873272284e-07
"contig180223",3.27554116125355,6.55496891489565,64.1524130917277,2.24426628481387e-09,7.53524873272284e-07
"contig153936_205344",3.62223935973312,5.12196799046736,62.7005990247354,2.90831454160203e-09,9.55254878457937e-07
"contig158952",-3.04789548866284,5.1147889902417,61.9505301327741,3.33022491662055e-09,1.07056102691957e-06
