"logFC","logCPM","F","PValue","FDR"
"contig148844",5.56239406254656,11.8779166419486,197.522123228405,7.89647732411956e-16,1.19307875890122e-11
"contig148659",3.40496358038588,10.7745507244918,178.214205995589,3.55395025517323e-15,2.68483172027061e-11
"contig159783_180414",8.97308179216388,9.24052089924811,132.408546117623,4.02487978635374e-13,2.02706362306729e-09
"contig203532",2.84738058070543,10.0014157677007,122.246091866005,7.07403920474018e-13,2.67204145861048e-09
"contig169202",6.794927623559,11.7245548472897,121.964374103193,1.09950429520716e-12,2.88044144548439e-09
"contig152125_210541",4.1528470699148,12.1786062133957,117.967159956038,1.14386449618812e-12,2.88044144548439e-09
"contig202444_149735_68940",3.47238894095973,10.4431137553478,113.987578066742,1.81076421578799e-12,3.69829501467127e-09
"contig172535_101930",4.77858278219415,11.8930784950807,113.319975686302,1.95819446140513e-12,3.69829501467127e-09
"contig188873",5.30086072545415,8.66085406416607,108.922759458146,3.30912803834655e-12,5.55529061459757e-09
"contig117309_183823",8.99144616315379,12.6042121265747,115.011519925702,4.4106362906342e-12,6.07825322708206e-09
"contig112718_123967_18547",7.58914809367808,8.97808242465392,110.274254967976,4.42522903553529e-12,6.07825322708206e-09
"contig187488",7.55040154642101,11.2947222359219,110.189191037498,5.59820939734733e-12,7.04861214871007e-09
"contig179807",9.81009831698092,8.30140664900199,104.387467585469,1.19274537515852e-11,1.36108277293392e-08
"contig150330",3.30470713353224,6.69604550591562,98.0252222267233,1.30723259271887e-11,1.36108277293392e-08
"contig122943_191570_73715",3.21170198310474,8.27649620769382,97.7730545827997,1.35126359084048e-11,1.36108277293392e-08
"contig169772_76006",3.04238460971507,8.78619077483175,95.7512558544481,1.76647139649247e-11,1.62193029955993e-08
"contig176237",2.96665731189311,7.17660411814475,95.1688144129132,1.90971817015343e-11,1.62193029955993e-08
"contig75607_169164_74746",3.90549588588809,9.59583079839904,95.0813281491901,1.93227515997609e-11,1.62193029955993e-08
"contig151689",2.73819286400663,9.02738559917611,93.0636536086931,2.53898581775699e-11,2.01902824844686e-08
"contig54829_112491",2.27438235351744,8.31874064696378,92.5555387411729,2.72160489787874e-11,2.02082953513024e-08
"contig177321_106959_163805",3.32982640263127,12.0373068500424,92.3256437795021,2.80875109125257e-11,2.02082953513024e-08
"contig187078",10.8436283622464,7.35092233052158,94.7384812400746,4.07982712159572e-11,2.64156749385367e-08
"contig215127",5.61572555488095,5.33805666536998,89.4915834667162,4.16249606986847e-11,2.64156749385367e-08
"contig171850",3.12886052838098,7.67584385478519,89.4344707297344,4.19601693378041e-11,2.64156749385367e-08
"contig130127_25831_103880_106695",2.49148533376107,8.60591911451818,88.6996381197073,4.6537351614364e-11,2.8125313821657e-08
"contig82443",3.59732968757497,6.89458571213301,88.2988292912267,4.92540546150925e-11,2.86222888915166e-08
"contig24499_94274",6.49806281208892,9.72756987819736,91.0371852182164,5.17968261091578e-11,2.8854988014589e-08
"contig76831",4.42370812594141,7.65351787205333,87.7204456428217,5.3474066080382e-11,2.8854988014589e-08
"contig205717",2.53469125106108,8.38735953166635,86.9581457387006,5.96292843363116e-11,3.10668571392184e-08
"contig157823_206050_25964_212918",3.83224434713136,7.77910840228556,86.5993675978104,6.27817713405369e-11,3.16189927728057e-08
"contig74800_140085",3.78249660801828,10.0687817522029,85.919028614355,6.92541715688638e-11,3.37535896204504e-08
"contig148721",4.10721557994269,7.5781501405328,84.8944189224333,8.0368302013615e-11,3.79463960976159e-08
"contig130463_206849_121171",5.04324571878864,9.91917563536547,85.0121603130437,8.65969915209341e-11,3.96483013602968e-08
"contig75579",2.45026406697474,9.24907141680732,83.7760530057288,9.46857104204707e-11,4.20766587865557e-08
"contig211469_148901_120483",2.60645302622616,13.0560422173347,81.7222003413438,1.28481362820942e-10,5.54635688817606e-08
"contig163512_152421_180625",2.31452264522789,9.17232021551931,80.9822341522005,1.43608971393937e-10,6.02583819726017e-08
"contig215292",9.65768393752007,7.60866128534983,85.3942952345718,1.47565036268864e-10,6.02583819726017e-08
"contig110464",3.06667290389335,7.75689639255619,80.1799399260923,1.62163022235459e-10,6.4476871130409e-08
"contig92825_146443",4.29232176801001,7.82084418777659,79.924119911735,1.68599822840284e-10,6.53173005972783e-08
"contig182735",3.31952950937908,6.25349196066468,79.6086502361412,1.76911959109061e-10,6.682406975447e-08
"contig82908",2.82077067716429,7.76876140421173,78.7986765426118,2.00303573150141e-10,7.38143094323289e-08
"contig182681",5.48137856350319,6.69768939947117,78.3335616755995,2.15196649970635e-10,7.74144329620553e-08
"contig205787",2.85229297869904,8.87375547208244,77.6530572591708,2.39134438972638e-10,8.20394870159743e-08
"contig196008_74613_169873",2.43884000700606,8.28089338762419,77.6237808925265,2.40225516219438e-10,8.20394870159743e-08
"contig195937_159998_212442_178694_188820",3.68021436897346,6.38824737904907,77.5145547146553,2.44342902622202e-10,8.20394870159743e-08
"contig212185",7.46102263290067,5.65462488329666,77.4440018784863,2.57104586376378e-10,8.4447678164363e-08
"contig150839",3.35431959719708,7.53285386274302,75.7949166670918,3.20017298427624e-10,1.02875348126446e-07
"contig174339",2.0287789087869,11.164702227648,75.5670819761485,3.31769980672482e-10,1.0333234482831e-07
"contig167513_83019",1.70377945574121,9.54898701267489,75.503755491264,3.35117141874857e-10,1.0333234482831e-07
"contig151255",3.29861835473729,7.66972686982851,74.8198260607276,3.73631526827659e-10,1.10955289432778e-07
"contig203839",3.27528301390067,11.799854745061,74.8048352973126,3.74526425380349e-10,1.10955289432778e-07
"contig68383_180363_132010",3.263478199212,9.91975335718839,74.1685786566878,4.14680073131806e-10,1.20488485095163e-07
"contig146692",1.66229492197334,8.74919339205855,73.5309971378843,4.59516654463048e-10,1.2857670261886e-07
"contig14948_81708_116425",2.31126785742671,7.60969376745612,73.5307253185738,4.59536828474315e-10,1.2857670261886e-07
"contig204452",2.5612199391691,6.62939745868518,72.6019153709539,5.34265318144737e-10,1.43082262580479e-07
"contig105272",-3.21699251596314,10.3308500792433,72.5424654534288,5.39467168311912e-10,1.43082262580479e-07
"contig150050_182788",2.0968988026506,11.969003404414,72.5387945563806,5.39790122912654e-10,1.43082262580479e-07
"contig181491",8.24828674514153,6.28802068494371,74.8765389940261,5.57541932445414e-10,1.4523967340203e-07
"contig205347_218409",2.39825196022129,8.798112658315,71.7594870178115,6.13210708587251e-10,1.54487122300262e-07
"contig79663",4.35036005864232,10.9087238904763,72.2020739733976,6.13490458535688e-10,1.54487122300262e-07
"contig140801_116503_151042",2.89424328431397,6.97935039555951,70.9385301449675,7.02108058582857e-10,1.73904109133252e-07
"contig72895",3.55598121710223,7.43295935500788,70.0502631942009,8.13854084630311e-10,1.98330989752893e-07
"contig144845",1.89782324189194,10.4776255088448,69.7406326161547,8.57108727982838e-10,2.05556440810995e-07
"contig171579_112489_90482",2.81058056718912,7.92380035168988,69.5037410923535,8.9184231575468e-10,2.10544461699023e-07
"contig191389",3.85873435111381,8.69700282699853,68.6337229347382,1.03274893345559e-09,2.40058517470468e-07
"contig203770_161049_170355",2.67442379332837,6.38607906433204,68.1124097597147,1.12831622053194e-09,2.5829893600026e-07
"contig147802",2.40419990845918,5.63891001024251,67.2593407766034,1.30544578290427e-09,2.94387766177621e-07
"contig113595_145371",1.56952384312984,8.36868462471224,66.6924307914248,1.43927589160475e-09,3.19794403621414e-07
"contig145010",2.82368411333646,10.1618616535769,66.2208097673928,1.56167282317402e-09,3.41961082396178e-07
"contig180223",3.35835713049105,6.55496891489565,65.5737940285011,1.74781321408602e-09,3.75860853901308e-07
"contig147785_111657_104575_74373",2.11817969960148,8.16696121280557,65.5137514422095,1.76624003090826e-09,3.75860853901308e-07
"contig146916",-2.6542116238991,6.1532690612136,65.143013928311,1.88466905143207e-09,3.9549256525121e-07
"contig77727",4.19041456368274,7.65794111022443,64.6934932495924,2.03964223191557e-09,4.22150061397429e-07
"contig151493",5.16656652188314,4.50470120686574,64.3271345896561,2.17591313797736e-09,4.44268535158108e-07
"contig79838",3.32585604396348,8.45756665181126,64.2057149851597,2.223176211903e-09,4.47866258475232e-07
"contig110861",2.08486395198426,6.79899091311016,63.9841096524071,2.3122606699685e-09,4.59683506086238e-07
"contig178519_109507_209485_146991",2.56835305382436,8.63371946812948,63.0889855353362,2.71244005741601e-09,5.32237101655825e-07
"contig73908",3.11492146380378,9.12051841808927,62.496006750415,3.01746713722518e-09,5.79169116827968e-07
"contig78055",2.89086434047824,7.08598500527538,62.4761578858403,3.02828514325299e-09,5.79169116827968e-07
"contig203822_16792_151889",2.88747264744311,5.31571592450405,62.0879672622596,3.24831885608088e-09,6.13485619956575e-07
"contig171048_211709",2.39769127827843,9.92953956989575,61.6341940054845,3.52716706668013e-09,6.50909914322677e-07
"contig219229_106934",3.38608708336713,7.49812322546723,61.6144789326205,3.53984239961619e-09,6.50909914322677e-07
"contig182044",2.59728712022078,9.52981103132915,61.5590809370511,3.57571797529831e-09,6.50909914322677e-07
"contig145126",1.55738333413497,9.39513747819839,61.4712708645794,3.63337420814169e-09,6.53531558462057e-07
"contig145110",1.94817222552843,8.7595700733061,61.4056505298876,3.67710271848609e-09,6.53615823218899e-07
"contig186767",4.22436644560054,6.13768706635888,61.2867821960487,3.75773966194927e-09,6.60182425027808e-07
"contig147894",-4.85315851497456,8.84481169188338,62.3171536740241,3.85232588113481e-09,6.69020594690411e-07
"contig69137",3.90007553563462,9.91938623036179,61.1763280497288,3.93581998709001e-09,6.7575345664708e-07
"contig58086",1.75346973962426,8.33517193402454,60.9611692197926,3.9883620869013e-09,6.77080480572941e-07
"contig26490_75511_105608_209803",2.44527386737959,7.83469526798278,60.45400234928,4.3779032479084e-09,7.30944673267971e-07
"contig148902",3.04456753662259,8.391333175336,60.4237136098849,4.40240686130024e-09,7.30944673267971e-07
"contig600116",7.74966016747959,10.8530767058035,64.678561467806,4.53434364581942e-09,7.44667371137887e-07
"contig145091_115718",-1.77813272404577,8.67030369589797,60.1483002995698,4.63199398994873e-09,7.48610766037131e-07
"contig99597_204824",2.54249336701994,6.69784446861042,60.1186568143017,4.65744999718646e-09,7.48610766037131e-07
"contig151781",2.47851357065975,8.62805578010214,59.5703537691523,5.15599153391796e-09,8.20019748273331e-07
"contig176959",3.01442670803532,10.5315808840979,59.1231778900006,5.60436371437495e-09,8.82045118338449e-07
"contig111962",3.06703133831244,7.48960616843888,59.0134201283567,5.72060573393012e-09,8.91058062205672e-07
"contig10642_157839",3.38958919470186,4.6917740816424,58.9348093366418,5.80542768658587e-09,8.95042927720672e-07
"contig109571",2.92208862718883,5.84103467395706,58.8022844180186,5.95145162579003e-09,9.08287703172338e-07
