"logFC","logCPM","F","PValue","FDR"
"contig148844",6.02970022172796,11.8779166419486,215.5498107052,2.16304608934875e-16,3.26814633639703e-12
"contig148659",3.47913764466852,10.7745507244918,174.106501070168,4.98172491810407e-15,3.76344408938172e-11
"contig203532",3.36310588269407,10.0014157677007,153.390990776875,3.05052967386741e-14,1.53634842808209e-10
"contig188873",6.58806485731728,8.66085406416607,143.648659253121,7.67812444097857e-14,2.90021955446863e-10
"contig211469_148901_120483",3.4265556929669,13.0560422173347,123.752401798266,5.99188227558446e-13,1.3558299046842e-09
"contig122943_191570_73715",3.79700042988129,8.27649620769382,123.640036992711,6.06621768542316e-13,1.3558299046842e-09
"contig202444_149735_68940",3.76102404692113,10.4431137553478,123.32014503827,6.2832368691738e-13,1.3558299046842e-09
"contig54829_112491",2.7577534522204,8.31874064696378,122.113258687023,7.1789259629847e-13,1.3558299046842e-09
"contig152125_210541",4.32642682767669,12.1786062133957,119.998623117493,9.08994104739898e-13,1.52599910316835e-09
"contig169772_76006",3.55287256149135,8.78619077483175,117.897971850419,1.15291600936405e-12,1.74194079854814e-09
"contig148721",4.98303263561485,7.5781501405328,112.781536595479,2.08634470950535e-12,2.86568929235603e-09
"contig140801_116503_151042",3.83475022716006,6.97935039555951,109.410277346202,3.11964664091603e-12,3.92789509146669e-09
"contig171850",3.58911224211478,7.67584385478519,107.322763795222,4.02142986684938e-12,4.39092762499338e-09
"contig159783_180414",7.63799592587182,9.24052089924811,110.999898309358,4.06863371168888e-12,4.39092762499338e-09
"contig147802",3.05643232100106,5.63891001024251,100.897335318997,9.00359071447062e-12,8.74482326349357e-09
"contig150839",4.07505101240214,7.53285386274302,100.678427706681,9.26051838082581e-12,8.74482326349357e-09
"contig172535_101930",4.49278118366461,11.8930784950807,98.2945665157377,1.26187476400136e-11,1.12150975348803e-08
"contig163512_152421_180625",2.67144242172734,9.17232021551931,97.2263939465166,1.4521950787573e-11,1.218956413608e-08
"contig145830_152934_69049_75651",3.21212986591063,10.9179981257644,96.6911516905158,1.55877730230615e-11,1.23955611897598e-08
"contig24499_94274",7.04490638322922,9.72756987819736,99.2435337271666,1.781464301175e-11,1.28279621222784e-08
"contig187488",7.16745239769935,11.2947222359219,100.463023215992,1.78295853178799e-11,1.28279621222784e-08
"contig205717",2.76689403882857,8.38735953166635,94.8393632227395,1.99614285582658e-11,1.37089647312199e-08
"contig169202",5.90055510892317,11.7245548472897,96.9567089764438,2.10961461192499e-11,1.38583335528586e-08
"contig74800_140085",4.09007950790249,10.0687817522029,92.8094577792241,2.62866738139588e-11,1.65485564439626e-08
"contig110861",2.62990217836413,6.79899091311016,91.3616123879796,3.2076568705779e-11,1.92101376658157e-08
"contig205347_218409",2.8506465779972,8.798112658315,91.0256221726578,3.36042613823077e-11,1.92101376658157e-08
"contig177321_106959_163805",3.42067930230026,12.0373068500424,90.8718830648282,3.43287919105847e-11,1.92101376658157e-08
"contig145110",2.50288707548286,8.7595700733061,90.1799190745624,3.78006015597641e-11,2.03974746059456e-08
"contig112718_123967_18547",6.70549361610723,8.97808242465392,92.466041782138,4.06745463401562e-11,2.11914386432214e-08
"contig117309_183823",7.82359884647056,12.6042121265747,94.5373707830462,4.88939601114893e-11,2.46246281108164e-08
"contig130127_25831_103880_106695",2.58376391287156,8.60591911451818,87.7912956511194,5.29371710007887e-11,2.52688513841867e-08
"contig182735",3.58798013737429,6.25349196066468,87.7146832588021,5.35179855909705e-11,2.52688513841867e-08
"contig196008_74613_169873",2.70590869133652,8.28089338762419,87.0656412275718,5.87177043185067e-11,2.68838119560096e-08
"contig111962",3.91265913772488,7.48960616843888,85.8906451242954,6.95390922633089e-11,3.09019454413628e-08
"contig167513_83019",1.91218474106323,9.54898701267489,85.5797288524043,7.27426421445942e-11,3.14019594332193e-08
"contig205787",3.11947957274606,8.87375547208244,85.0076865442682,7.9051756486812e-11,3.15851067492817e-08
"contig75579",2.57861519750299,9.24907141680732,84.9852415640195,7.93108167264826e-11,3.15851067492817e-08
"contig14948_81708_116425",2.60220291570668,7.60969376745612,84.9742204130407,7.94383517421872e-11,3.15851067492817e-08
"contig152085",2.03079972484667,11.6505426613405,84.4119588015793,8.62415827092808e-11,3.34108736706288e-08
"contig212185",7.77303136367491,5.65462488329666,84.1404255191255,9.37052441047531e-11,3.53948133294679e-08
"contig215127",5.20777344826655,5.33805666536998,83.1511591317469,1.0384032259793e-10,3.82664252227348e-08
"contig215292",10.361351165763,7.60866128534983,87.4913333200513,1.10772089405133e-10,3.93850357179545e-08
"contig4073_75996_107226_77540",-6.13588954367785,6.46670522579354,82.6361245572338,1.12089253813756e-10,3.93850357179545e-08
"contig150050_182788",2.34835841439627,11.969003404414,82.2014407419505,1.19590943776285e-10,4.10658993071794e-08
"contig58086",2.14726095446297,8.33517193402454,81.7868837372224,1.27241649643143e-10,4.27220907657389e-08
"contig187078",10.5110928956784,7.35092233052158,85.8074035056418,1.33705003783207e-10,4.39162804817495e-08
"contig170113_77517",3.14879403462759,7.4925689077609,80.5524557829192,1.53251025647607e-10,4.92653137555255e-08
"contig99597_204824",3.07196368765904,6.69784446861042,80.0733730241954,1.64812215846228e-10,5.10688787879994e-08
"contig167812_219222",2.00839500084059,9.84914968630925,80.041180292958,1.65621487895425e-10,5.10688787879994e-08
"contig151781",3.02695370898633,8.62805578010214,79.5793915173975,1.77704562126936e-10,5.36987645835175e-08
"contig203839",3.50366100319522,11.799854745061,78.9618283151792,1.95341219307943e-10,5.78707937749747e-08
"contig174339",2.172544226641,11.164702227648,78.6053877219129,2.06355775006057e-10,5.99582577801253e-08
"contig76831",4.21776758396324,7.65351787205333,78.0038261337372,2.26462198311123e-10,6.45588180053351e-08
"contig153936_205344",4.46055431122534,5.12196799046736,77.4585616933671,2.46482510298422e-10,6.89648934833123e-08
"contig203761_176231",1.95746213578996,8.97332974726745,77.2214086302671,2.5576690065493e-10,7.02614927635516e-08
"contig82443",3.40921894608611,6.89458571213301,76.9767758191194,2.65732956574819e-10,7.05937589851839e-08
"contig110410_184557_147700_202559_176745",2.38344920892028,7.62083072152923,76.9626456417077,2.66321018078991e-10,7.05937589851839e-08
"contig157823_206050_25964_212918",3.65789847420995,7.77910840228556,76.1453208140616,3.02794038296565e-10,7.88778469762552e-08
"contig150452_81742_180562",2.69260865207837,8.09896225569179,75.4078347417353,3.40255330847932e-10,8.71341998946001e-08
"contig72895",3.77712902013228,7.43295935500788,74.2659115302311,4.0825340451614e-10,1.00487955893482e-07
"contig146916",-3.31017192542631,6.1532690612136,74.2195025441623,4.11304435203631e-10,1.00487955893482e-07
"contig182681",5.27721493184671,6.69768939947117,74.2036251959907,4.12353780223434e-10,1.00487955893482e-07
"contig182044",2.98911984696586,9.52981103132915,73.8102176579796,4.39280165450092e-10,1.05350539996594e-07
"contig75607_169164_74746",3.46678556707215,9.59583079839904,73.5474509992852,4.5829721813002e-10,1.06960550062646e-07
"contig96924_203695_177534",2.31578262885089,7.8342775892946,73.5224434431214,4.60151946129592e-10,1.06960550062646e-07
"contig145043_179370",2.88372458867101,10.0776632182746,72.0931120435857,5.80562207510464e-10,1.32904763534479e-07
"contig123587_153243",2.47892410608466,8.46901340649038,71.5410622868066,6.35634229410568e-10,1.43340262271109e-07
"contig130463_206849_121171",4.63855582408578,9.91917563536547,71.6368816712876,6.76426128481899e-10,1.50295917282838e-07
"contig92825_146443",4.09367099404475,7.82084418777659,70.9142038205223,7.04941758775567e-10,1.54361812077392e-07
"contig176237",2.57284925634086,7.17660411814475,69.4041042923538,9.06893568859729e-10,1.95746499027166e-07
"contig147841_218745",3.94565742135036,13.9368943787312,69.1095414864928,1.02256172810321e-09,2.17604016195936e-07
"contig206001",3.6583936904595,8.55360356776074,67.8068579781227,1.18864363450486e-09,2.4943356491297e-07
"contig153015",4.15056771267975,8.66986719445043,67.6357769228029,1.22390410226917e-09,2.53314617550479e-07
"contig191389",3.9287109912335,8.69700282699853,67.4303748093051,1.267706546447e-09,2.54246262324499e-07
"contig151255",3.21524731385486,7.66972686982851,67.3864751789967,1.27728166544007e-09,2.54246262324499e-07
"contig186767",4.63048333772619,6.13768706635888,67.3791455105827,1.2788878110174e-09,2.54246262324499e-07
"contig75868",2.36757632011713,10.1134706421849,67.2746756062595,1.30201406681079e-09,2.55482214746028e-07
