"logFC","logCPM","F","PValue","FDR"
"contig148844",5.35453692368797,11.8779166419486,187.23436980593,1.73140273713857e-15,2.61597639554267e-11
"contig148659",3.34025959678676,10.7745507244918,172.660295265522,5.61966454907361e-15,4.24537558359766e-11
"contig169772_76006",3.82305242252572,8.78619077483175,141.430165647257,9.54179197038789e-14,4.80556449601969e-10
"contig203532",3.02698957320018,10.0014157677007,136.380869843279,1.58117390354214e-13,5.97248912715457e-10
"contig205717",3.09904530664523,8.38735953166635,124.670191081812,5.41962751918575e-13,1.54958781861646e-09
"contig188873",5.77368329785934,8.66085406416607,123.509747412849,6.15363486114153e-13,1.54958781861646e-09
"contig122943_191570_73715",3.58476187941041,8.27649620769382,118.99536138002,1.01786067768772e-12,2.19697956845483e-09
"contig202444_149735_68940",3.52735314849843,10.4431137553478,117.216840066714,1.24618008351762e-12,2.28162683077303e-09
"contig4073_75996_107226_77540",-6.48144361381783,6.46670522579354,116.460956216501,1.35909997200061e-12,2.28162683077303e-09
"contig159783_180414",7.79500101889225,9.24052089924811,116.808086215407,2.10232170220879e-12,3.17639785986726e-09
"contig82443",4.06566535032383,6.89458571213301,109.965943501715,2.91759051155079e-12,3.96923399751001e-09
"contig140801_116503_151042",3.69192083709326,6.97935039555951,109.323594576814,3.15247918261434e-12,3.96923399751001e-09
"contig146916",-3.57059726131056,6.1532690612136,107.585499865215,3.89413681693771e-12,4.52588562823938e-09
"contig75579",2.78490590936264,9.24907141680732,105.515779440001,5.02539627472391e-12,5.4234794510574e-09
"contig211469_148901_120483",2.920832236089,13.0560422173347,99.9956646444365,1.01129216084025e-11,1.01864088387569e-08
"contig151255",3.82598512104937,7.66972686982851,96.6447936134101,1.56839028234978e-11,1.27000642361647e-08
"contig147802",2.87749644840776,5.63891001024251,96.6014787714985,1.57742891133394e-11,1.27000642361647e-08
"contig167513_83019",1.93846961863119,9.54898701267489,96.5318389968404,1.59207658305196e-11,1.27000642361647e-08
