"logFC","logCPM","F","PValue","FDR"
"contig148844",6.3446939211703,11.8779166419486,183.983548454418,2.23591800990374e-15,3.37824852116356e-11
"contig148659",3.52644676713124,10.7745507244918,149.015585884078,4.58943648137071e-14,3.46708978985151e-10
"contig203532",3.45162520586012,10.0014157677007,134.506808457951,1.91451897082347e-13,7.26931840783417e-10
"contig152125_210541",5.3350221575705,12.1786062133957,134.456158059316,1.92450020724976e-13,7.26931840783417e-10
"contig122943_191570_73715",3.85412474364484,8.27649620769382,105.009520420532,5.35197925600937e-12,1.36580642273873e-08
"contig203839",4.70187241100602,11.799854745061,104.902555268467,5.42381265234788e-12,1.36580642273873e-08
"contig172535_101930",5.22622707607564,11.8930784950807,100.539218288002,9.42793276993372e-12,1.96576761009182e-08
"contig171850",3.85758265632478,7.67584385478519,99.7730727856802,1.04084591175687e-11,1.96576761009182e-08
"contig205347_218409",3.23830018119612,8.798112658315,96.5404276822057,1.59026232785514e-11,2.66969705684036e-08
"contig188873",5.75190363462357,8.66085406416607,93.6774651861916,2.3355151814808e-11,3.52872988769934e-08
"contig92825_146443",5.52377382952847,7.82084418777659,92.0144856657891,2.93143345754927e-11,4.02645710091927e-08
"contig196008_74613_169873",3.02627662696304,8.28089338762419,90.4674316394103,3.63149534812242e-11,4.57235526789847e-08
"contig202444_149735_68940",3.46580834658108,10.4431137553478,89.6422802484243,4.07540158264497e-11,4.63851238050163e-08
"contig169772_76006",3.33755646371528,8.78619077483175,88.8738149974414,4.54066247733737e-11,4.63851238050163e-08
"contig211469_148901_120483",3.11871054209549,13.0560422173347,88.7740789744366,4.60504902425868e-11,4.63851238050163e-08
"contig75579",2.8597628743116,9.24907141680732,87.8365649177987,5.25971137844687e-11,4.96681120105961e-08
"contig159783_180414",7.70300210388855,9.24052089924811,89.0204124093324,6.48276748321685e-11,5.76165493552491e-08
"contig145830_152934_69049_75651",3.28509862022648,10.9179981257644,84.7629415765299,8.19256618214615e-11,6.87674902478034e-08
"contig169202",6.39265262395728,11.7245548472897,86.4284558020399,8.726293908925e-11,6.93924077210252e-08
"contig182735",3.91559033616106,6.25349196066468,83.6056717733387,9.70938163597765e-11,7.33495235689932e-08
"contig148721",4.7360722082879,7.5781501405328,83.0518056711033,1.05380102928164e-10,7.5818475006744e-08
"contig130127_25831_103880_106695",2.70296295824225,8.60591911451818,81.9253088843794,1.24630948878853e-10,8.55931366641177e-08
"contig150839",4.04236545300552,7.53285386274302,81.5840912813181,1.31171327297679e-10,8.61681558322016e-08
"contig76831",4.94137925338904,7.65351787205333,80.6330013833976,1.51393118268471e-10,9.53082759965968e-08
"contig204452",3.08633070248434,6.62939745868518,79.808374953708,1.71600474446161e-10,9.75596323859227e-08
"contig54829_112491",2.36046432516199,8.31874064696378,79.7199687257275,1.73930428947258e-10,9.75596323859227e-08
"contig112718_123967_18547",7.33276744356888,8.97808242465392,82.0153742516684,1.74340464254412e-10,9.75596323859227e-08
"contig187488",7.3983624687453,11.2947222359219,82.168969961164,2.02941410733989e-10,1.09508634813566e-07
"contig96924_203695_177534",2.55262223412074,7.8342775892946,76.0776801185132,3.06040708257911e-10,1.59447209002372e-07
"contig74312_212296",-6.20769054146742,5.9388662372547,75.438702792381,3.38592782709189e-10,1.70526611798438e-07
"contig151781",3.22043919472081,8.62805578010214,75.0426736115529,3.60591849084975e-10,1.75747814445964e-07
"contig117309_183823",8.21769607966944,12.6042121265747,78.9583904855962,4.04019456820335e-10,1.90760311659326e-07
"contig14948_81708_116425",2.61583348150344,7.60969376745612,73.773989704223,4.41851665239272e-10,2.02301115457581e-07
"contig174339",2.23160265689188,11.164702227648,72.5655037745523,5.37444988823644e-10,2.35380325092065e-07
"contig145110",2.40001125732069,8.7595700733061,72.4769876555938,5.45258546443991e-10,2.35380325092065e-07
"contig123587_153243",2.68207263480863,8.46901340649038,71.1557519827299,6.77332599111921e-10,2.83867086384501e-07
"contig147802",2.75947003490362,5.63891001024251,70.9986712093707,6.95154027151136e-10,2.83867086384501e-07
"contig4073_75996_107226_77540",-4.71104338138622,6.46670522579354,70.5728485149464,7.46007544811226e-10,2.9513771099845e-07
"contig176237",2.82212388335284,7.17660411814475,70.4466656214245,7.61822141037762e-10,2.9513771099845e-07
"contig204685",2.82734684083579,8.18929580193546,70.2626635637535,7.85522305404304e-10,2.96711412808841e-07
"contig69137",4.98040180360936,9.91938623036179,70.0851426244401,8.33763608371855e-10,3.07252057533911e-07
"contig75607_169164_74746",3.73543112026043,9.59583079839904,69.452130363659,8.99605407664483e-10,3.23622335819111e-07
"contig182044",3.15731230249078,9.52981103132915,68.8592133091351,9.94101793331036e-10,3.49299627800898e-07
"contig205717",2.50754044051827,8.38735953166635,68.5180988472026,1.05317977979243e-09,3.61647574838269e-07
"contig179807",8.28149485758301,8.30140664900199,70.1184630626364,1.3304438648284e-09,4.46703918970939e-07
"contig151493",6.21575891109198,4.50470120686574,66.5223580851783,1.48220018758052e-09,4.86838318133785e-07
"contig145146",2.29949318310206,8.5825158271775,66.2678789093671,1.54897652551693e-09,4.97946517532665e-07
"contig96421_189251",3.96351333026803,7.12817790051091,66.0407586763798,1.611265130957e-09,5.07179267992278e-07
"contig205787",2.94295444895407,8.87375547208244,65.3138941916637,1.82907123114748e-09,5.58457326404065e-07
"contig72895",3.93443623656521,7.43295935500788,65.2548132401336,1.84809493151124e-09,5.58457326404065e-07
"contig145126",1.78751912992912,9.39513747819839,65.0274450460132,1.92328277436851e-09,5.69781949763409e-07
"contig211242_82211_151261",-5.09988550193763,5.18958156711357,64.8890545534319,1.97062632940537e-09,5.72580638672803e-07
"contig99597_204824",2.9879635135742,6.69784446861042,64.6707880391391,2.04781938353846e-09,5.83783076714767e-07
"contig150050_182788",2.21225116193939,11.969003404414,64.5210456259772,2.10262480493156e-09,5.88306632920572e-07
"contig145162",2.02073412175182,8.35677186736271,64.1212652594484,2.25668855566626e-09,6.15446969855022e-07
"contig114296",2.91068905704232,6.82841244331594,64.0605987735331,2.28109274683177e-09,6.15446969855022e-07
"contig140801_116503_151042",3.10225962268893,6.97935039555951,63.877670416641,2.35638487763772e-09,6.24607352916285e-07
