"logFC","logCPM","F","PValue","FDR"
"contig148844",5.86380120147436,11.9105194154928,672.479909148358,3.05550076933291e-27,3.06161177087157e-23
"contig148659",3.31508379197432,10.8061966574065,562.741687360327,9.76100597547399e-26,4.89026399371247e-22
"contig203532",3.04319694033134,10.031729701537,533.817513768625,2.70260006577918e-25,9.02668421970246e-22
"contig122943_191570_73715",3.58260839237116,8.30363611330778,472.93735335317,2.75706640492865e-24,6.90645134434626e-21
"contig205717",2.69236059519553,8.41912962294015,466.616014716795,3.56420586261547e-24,7.14266854868139e-21
"contig187488",7.16538119322917,11.3361898901975,458.16817299569,5.91491983859755e-24,9.87791613045792e-21
"contig169202",6.2478833258459,11.7584060107122,445.508382725966,9.0765392312221e-24,1.29924175852636e-20
"contig112718_123967_18547",7.13709027530478,9.0175976193752,419.614890431925,3.07412095297646e-23,3.85033649360302e-20
"contig159783_180414",7.98701752223461,9.28037625798354,412.232355694526,5.62169236962335e-23,6.25881750484733e-20
"contig75607_169164_74746",3.53368136428793,9.63129542991683,400.216787035036,6.53549920943662e-23,6.54857020785549e-20
"contig14948_81708_116425",2.41912287772472,7.64004408739661,387.322536681874,1.20946518447782e-22,1.10171283167889e-19
"contig117309_183823",8.04370897713318,12.6434822933351,396.598484229614,1.40950561920392e-22,1.17693719203527e-19
"contig150839",3.57290993576638,7.56587217243635,382.407739088547,1.53677755234985e-22,1.18450085188811e-19
"contig74800_140085",3.67202102093033,10.1089718928874,375.385085971565,2.17449194706849e-22,1.54811483127101e-19
"contig140801_116503_151042",3.22177577379144,7.00302265265437,374.108839676355,2.31753717256139e-22,1.54811483127101e-19
"contig151255",3.48557609218504,7.70990167899106,369.724489327351,2.8889000179688e-22,1.80917363625296e-19
"contig72895",3.64233783048328,7.46614030459897,365.53497092811,3.57393285799427e-22,2.10651807277074e-19
"contig187078",10.0398036862012,7.39843308809873,368.578836173435,4.96410067167069e-22,2.76334937389668e-19
"contig54829_112491",2.26081981887283,8.34913481763766,348.944316841042,8.48643690937833e-22,4.39160100426687e-19
"contig215292",9.63963235646666,7.65577022430256,358.466835328375,8.76567066719934e-22,4.39160100426687e-19
"contig212185",7.41720056599408,5.69336529930542,342.8389584001,1.17755794991665e-21,5.61863364674517e-19
"contig148721",4.47106965349912,7.60699645871365,324.230236299257,3.30360819684687e-21,1.5046433696548e-18
"contig179807",8.42870174432239,8.35159592378779,330.835888694529,3.985283417579e-21,1.73619738452789e-18
"contig171850",3.17792264951453,7.70980860067098,319.715450616147,4.27690788509615e-21,1.78560904202764e-18
"contig202444_149735_68940",3.3760317511438,10.4746897737747,318.401399590856,4.61353219207994e-21,1.84910370258564e-18
"contig78501",9.70173287847287,5.77602161908915,315.222778725717,6.52215644742809e-21,2.51353875397036e-18
"contig146916",-3.07432453538804,6.1804284052462,311.557843582224,6.8765094486756e-21,2.55194906206405e-18
"contig180223",3.36248285754106,6.59237389002349,310.429974376846,7.34950616501503e-21,2.63007327762324e-18
"contig203839",3.63060623056558,11.8301744094769,306.809109931764,9.11250506537762e-21,3.08318618831365e-18
"contig182681",4.96079906229554,6.72862443418841,306.592560295179,9.23109637219656e-21,3.08318618831365e-18
"contig196008_74613_169873",2.42482728314757,8.30955377498905,305.955371131901,9.58952395812956e-21,3.09958161485349e-18
"contig211469_148901_120483",2.78507191148542,13.090550301971,304.235098106023,1.06319804199348e-20,3.32913886899208e-18
"contig215127",5.19569371665532,5.37411140188659,297.967690449446,1.5552832929403e-20,4.72240563492783e-18
"contig130127_25831_103880_106695",2.26750760472934,8.63704462969034,296.272982828704,1.72585496401641e-20,5.08619609983659e-18
"contig145091_115718",-1.856907639501,8.69788437118345,293.936773056497,1.99379895856034e-20,5.7079615899356e-18
"contig152125_210541",3.89748912325394,12.2137415502079,292.930788375483,2.12229394047908e-20,5.90705146766678e-18
"contig110410_184557_147700_202559_176745",2.11537320658479,7.65013069205129,291.509040765301,2.31888834557922e-20,6.20667120008372e-18
"contig169772_76006",3.1668491601576,8.82358211149655,291.269637431113,2.35382740122936e-20,6.20667120008372e-18
"contig144845",1.91125533827626,10.510283119472,288.313884047412,2.83367474043642e-20,7.28036433312125e-18
"contig182735",3.27765229429348,6.28118111965494,287.789735564537,2.92896512871052e-20,7.33705764741984e-18
"contig145110",2.15607473303892,8.79183935898586,282.771947921634,4.03087359776827e-20,9.60521908075136e-18
"contig182396",2.74648527314031,5.88485053344252,282.568898716648,4.08372461893517e-20,9.60521908075136e-18
"contig130463_206849_121171",4.49689750413741,9.96303103455369,282.423559612137,4.12200020431446e-20,9.60521908075136e-18
"contig157823_206050_25964_212918",3.26022927260098,7.81469035044247,278.986411847801,5.14588100918497e-20,1.17185744800076e-17
"contig150452_81742_180562",2.35586927579195,8.12730081973408,277.751747641968,5.5760146260128e-20,1.23303830834083e-17
"contig150330",2.71426007997475,6.72675325354851,277.520577434451,5.66065490855073e-20,1.23303830834083e-17
"contig80984_4320",-5.85394620535256,4.16065745216704,276.869880783738,5.90620936878733e-20,1.25915357181381e-17
"contig203401",-2.0857841431108,6.88050327712572,275.76740644909,6.34807300146962e-20,1.32516023905678e-17
"contig96421_189251",3.33964063942134,7.15338062379391,271.012626982286,8.6904137760656e-20,1.77710093951382e-17
"contig177573_174738_205250",2.43650095821059,8.26300815780995,268.074600875008,1.05771360126839e-19,2.11965805694185e-17
"contig146692",1.49374711760079,8.77869089261773,267.665555757194,1.08720697334338e-19,2.13604193586287e-17
