name	term	lev	seq	value
"regulation of circadian rhythm"	GO:0042752	3	contig153382	0
"purine nucleoside triphosphate biosynthetic process"	GO:0006754;GO:0009206;GO:0009145;GO:0009201;GO:0009142	6	contig68203	0
"purine nucleoside triphosphate biosynthetic process"	GO:0006754;GO:0009206;GO:0009145;GO:0009201;GO:0009142	6	contig70332	0
"purine nucleoside triphosphate biosynthetic process"	GO:0006754;GO:0009206;GO:0009145;GO:0009201;GO:0009142	6	contig99282	0
"purine nucleoside triphosphate biosynthetic process"	GO:0006754;GO:0009206;GO:0009145;GO:0009201;GO:0009142	6	contig146263	0
"purine nucleoside triphosphate biosynthetic process"	GO:0006754;GO:0009206;GO:0009145;GO:0009201;GO:0009142	6	contig147192	0
"purine nucleoside triphosphate biosynthetic process"	GO:0006754;GO:0009206;GO:0009145;GO:0009201;GO:0009142	6	contig156703	0
"purine nucleoside triphosphate biosynthetic process"	GO:0006754;GO:0009206;GO:0009145;GO:0009201;GO:0009142	6	contig171526	0
"purine nucleoside triphosphate biosynthetic process"	GO:0006754;GO:0009206;GO:0009145;GO:0009201;GO:0009142	6	contig192510	0
"purine nucleoside triphosphate biosynthetic process"	GO:0006754;GO:0009206;GO:0009145;GO:0009201;GO:0009142	6	contig205232	0
"purine nucleoside triphosphate biosynthetic process"	GO:0006754;GO:0009206;GO:0009145;GO:0009201;GO:0009142	6	contig105849_205966_77249	0
"purine nucleoside triphosphate biosynthetic process"	GO:0006754;GO:0009206;GO:0009145;GO:0009201;GO:0009142	6	contig116361_207898	0
"polyol metabolic process"	GO:0019751	2	contig21568	0
"polyol metabolic process"	GO:0019751	2	contig23423	0
"polyol metabolic process"	GO:0019751	2	contig106711	0
"polyol metabolic process"	GO:0019751	2	contig111601	0
"polyol metabolic process"	GO:0019751	2	contig117265	0
"polyol metabolic process"	GO:0019751	2	contig126155	0
"polyol metabolic process"	GO:0019751	2	contig126733	0
"polyol metabolic process"	GO:0019751	2	contig151635	0
"polyol metabolic process"	GO:0019751	2	contig157106	0
"polyol metabolic process"	GO:0019751	2	contig169083	0
"polyol metabolic process"	GO:0019751	2	contig193899	0
"polyol metabolic process"	GO:0019751	2	contig204311	0
"isoleucyl-tRNA aminoacylation"	GO:0006428	2	contig107973	0
"isoleucyl-tRNA aminoacylation"	GO:0006428	2	contig152806	0
"regulation of DNA damage checkpoint"	GO:2000001;GO:1901976	6	contig112559_9352	0
"cell cycle process"	GO:0022402	2	contig55911	0
"cell cycle process"	GO:0022402	2	contig70745	0
"cell cycle process"	GO:0022402	2	contig74071	0
"cell cycle process"	GO:0022402	2	contig74438	0
"cell cycle process"	GO:0022402	2	contig75493	0
"cell cycle process"	GO:0022402	2	contig75677	0
"cell cycle process"	GO:0022402	2	contig76754	0
"cell cycle process"	GO:0022402	2	contig78358	0
"cell cycle process"	GO:0022402	2	contig78998	0
"cell cycle process"	GO:0022402	2	contig79068	0
"cell cycle process"	GO:0022402	2	contig80987	0
"cell cycle process"	GO:0022402	2	contig80990	0
"cell cycle process"	GO:0022402	2	contig83130	0
"cell cycle process"	GO:0022402	2	contig94726	0
