name	term	lev	seq	value
"chromatin binding"	GO:0003682	2	contig3582	0
"chromatin binding"	GO:0003682	2	contig13432	0
"chromatin binding"	GO:0003682	2	contig22614	0
"chromatin binding"	GO:0003682	2	contig58086	0
"chromatin binding"	GO:0003682	2	contig60060	0
"chromatin binding"	GO:0003682	2	contig68679	0
"chromatin binding"	GO:0003682	2	contig68835	0
"chromatin binding"	GO:0003682	2	contig69665	0
"chromatin binding"	GO:0003682	2	contig77102	0
"chromatin binding"	GO:0003682	2	contig78998	0
"chromatin binding"	GO:0003682	2	contig79283	0
"chromatin binding"	GO:0003682	2	contig80987	0
"chromatin binding"	GO:0003682	2	contig96903	0
"chromatin binding"	GO:0003682	2	contig97765	0
"chromatin binding"	GO:0003682	2	contig105650	0
"chromatin binding"	GO:0003682	2	contig106020	0
"chromatin binding"	GO:0003682	2	contig114144	0
"chromatin binding"	GO:0003682	2	contig118943	0
"chromatin binding"	GO:0003682	2	contig137367	0
"chromatin binding"	GO:0003682	2	contig145710	0
"chromatin binding"	GO:0003682	2	contig147026	0
"chromatin binding"	GO:0003682	2	contig147504	0
"chromatin binding"	GO:0003682	2	contig147956	0
"chromatin binding"	GO:0003682	2	contig149076	0
"chromatin binding"	GO:0003682	2	contig151237	0
"chromatin binding"	GO:0003682	2	contig152269	0
"chromatin binding"	GO:0003682	2	contig156531	0
"chromatin binding"	GO:0003682	2	contig157470	0
"chromatin binding"	GO:0003682	2	contig158223	0
"chromatin binding"	GO:0003682	2	contig159122	0
"chromatin binding"	GO:0003682	2	contig168877	0
"chromatin binding"	GO:0003682	2	contig170461	0
"chromatin binding"	GO:0003682	2	contig171024	0
"chromatin binding"	GO:0003682	2	contig177783	0
"chromatin binding"	GO:0003682	2	contig178725	0
"chromatin binding"	GO:0003682	2	contig187145	0
"chromatin binding"	GO:0003682	2	contig202154	0
"chromatin binding"	GO:0003682	2	contig204928	0
"chromatin binding"	GO:0003682	2	contig210066	0
"chromatin binding"	GO:0003682	2	contig212319	0
"chromatin binding"	GO:0003682	2	contig215551	0
"chromatin binding"	GO:0003682	2	contig215889	0
"chromatin binding"	GO:0003682	2	contig218891	0
"chromatin binding"	GO:0003682	2	contig99597_204824	2.7881785026691
"chromatin binding"	GO:0003682	2	contig209407_108765_77238_96485	0
"chromatin binding"	GO:0003682	2	contig111644_179608	0
"chromatin binding"	GO:0003682	2	contig81802_201949	0
"chromatin binding"	GO:0003682	2	contig79910_107026	0
"chromatin binding"	GO:0003682	2	contig105417_55529	0
"chromatin binding"	GO:0003682	2	contig74257_209391	0
"chromatin binding"	GO:0003682	2	contig82429_176427_116623_194091_93809_179437	0
"chromatin binding"	GO:0003682	2	contig98691_68216	0
"chromatin binding"	GO:0003682	2	contig14443_119260	0
"peptidase regulator activity"	GO:0004866;GO:0030414;GO:0061135;GO:0061134	2	contig23173	0
"peptidase regulator activity"	GO:0004866;GO:0030414;GO:0061135;GO:0061134	2	contig51997	0
