"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-32 0.897030821757143 1 11 "GO:0000003" "reproduction" 0.933236895627514
-32 0.930606206703969 3 5 "GO:0000018" "regulation of DNA recombination" 0.933236895627514
-32 0.848223658156975 4 24 "GO:0000041" "transition metal ion transport" 0.933236895627514
-32 0.923959446378566 2 6 "GO:0000045;GO:1905037" "autophagosome assembly" 0.933236895627514
-32 0.923959446378566 3 6 "GO:0000050;GO:0019627;GO:0071941" "urea metabolic process" 0.933236895627514
-32 0.892463117800356 -1 12 "GO:0000059" "obsolete protein import into nucleus, docking" 0.933236895627514
-32 0.923959446378566 -1 6 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.933236895627514
-32 0.912176712646762 2 8 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.933236895627514
-32 0.822348950729859 2 33 "GO:0000075" "cell cycle checkpoint" 0.933236895627514
-32 0.868411884751451 7 18 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.933236895627514
-32 0.888085498051226 6 13 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.933236895627514
565 0.0115357958258538 5 13 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.106294118681081
-32 0.848223658156975 4 24 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.933236895627514
-32 0.851390643476124 2 23 "GO:0000096" "sulfur amino acid metabolic process" 0.933236895627514
-32 0.875896179116717 2 16 "GO:0000097" "sulfur amino acid biosynthetic process" 0.933236895627514
126 0.274285583172042 2 49 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.933236895627514
-32 0.917853933310547 5 7 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:0051653" "establishment of spindle orientation" 0.933236895627514
979 5.93167813302221e-09 5 23 "GO:0000165;GO:0023014" "MAPK cascade" 2.10426281768963e-06
745 3.61116795398477e-05 6 20 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.00145289917275604
-32 0.868411884751451 2 18 "GO:0000187" "activation of MAPK activity" 0.933236895627514
96 0.351744025875368 4 61 "GO:0000209" "protein polyubiquitination" 0.933236895627514
78 0.414372791961664 2 71 "GO:0000226" "microtubule cytoskeleton organization" 0.933236895627514
-32 0.923959446378566 3 6 "GO:0000278" "mitotic cell cycle" 0.933236895627514
-31 0.8723346290458 2 17 "GO:0000302" "response to reactive oxygen species" 0.933236895627514
-32 0.901815138418506 8 10 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.933236895627514
-32 0.851390643476124 4 23 "GO:0000398;GO:0000377;GO:0000375" "mRNA splicing, via spliceosome" 0.933236895627514
-32 0.917853933310547 6 7 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 0.933236895627514
-32 0.861343218838303 2 20 "GO:0000902;GO:0000904" "cell morphogenesis" 0.933236895627514
-32 0.842088148230278 2 26 "GO:0000910" "cytokinesis" 0.933236895627514
454 0.00145158883365851 4 32 "GO:0000956;GO:0006402" "mRNA catabolic process" 0.0234068699427435
-32 0.827745507525845 3 31 "GO:0001101" "response to acid chemical" 0.933236895627514
-32 0.888085498051226 2 13 "GO:0001501" "skeletal system development" 0.933236895627514
453 0.0248045280696781 2 16 "GO:0001503" "ossification" 0.188392827966279
-246 0.0677190789769462 3 36 "GO:0001505" "regulation of neurotransmitter levels" 0.405457270330323
-32 0.923959446378566 2 6 "GO:0001508" "action potential" 0.933236895627514
-995 0.000485550779495437 7 8 "GO:0001522" "pseudouridine synthesis" 0.00930792142956668
1521 2.47153540814616e-05 7 5 "GO:0001523;GO:0016101;GO:0006721" "retinoid metabolic process" 0.00123708696421443
-32 0.822633983024637 2 32 "GO:0001525" "angiogenesis" 0.933236895627514
-32 0.848223658156975 3 24 "GO:0001539" "cilium or flagellum-dependent cell motility" 0.933236895627514
-32 0.814565318813283 4 36 "GO:0001558" "regulation of cell growth" 0.933236895627514
-32 0.897030821757143 3 11 "GO:0001568" "blood vessel development" 0.933236895627514
671 0.00579778342306784 2 11 "GO:0001570" "vasculogenesis" 0.0651017795523433
612 0.000202915140924678 2 24 "GO:0001654;GO:0007423" "sensory organ development" 0.00542834988384342
1267 0.000118705332200512 5 6 "GO:0001656;GO:0090192" "metanephros development" 0.00404050812677662
1267 0.000118705332200512 2 6 "GO:0001657;GO:0072164;GO:0072163" "ureteric bud development" 0.00404050812677662
-32 0.839112050847001 4 27 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.933236895627514
269 0.0897450705235936 2 26 "GO:0001667" "ameboidal-type cell migration" 0.501371082964486
-32 0.833326793934748 2 29 "GO:0001701;GO:0043009" "chordate embryonic development" 0.933236895627514
-32 0.888085498051226 2 13 "GO:0001704" "formation of primary germ layer" 0.933236895627514
-32 0.906849441273715 3 9 "GO:0001707" "mesoderm formation" 0.933236895627514
-32 0.901815138418506 2 10 "GO:0001708" "cell fate specification" 0.933236895627514
-32 0.883876460445554 2 14 "GO:0001709" "cell fate determination" 0.933236895627514
-32 0.917853933310547 2 7 "GO:0001754;GO:0046530" "eye photoreceptor cell differentiation" 0.933236895627514
1082 0.000387241830133873 5 7 "GO:0001755" "neural crest cell migration" 0.00886284124128977
-32 0.917853933310547 4 7 "GO:0001764" "neuron migration" 0.933236895627514
-159 0.125227959337698 2 61 "GO:0001775" "cell activation" 0.636912094265926
-32 0.917853933310547 2 7 "GO:0001778" "plasma membrane repair" 0.933236895627514
-32 0.906849441273715 2 9 "GO:0001816" "cytokine production" 0.933236895627514
566 0.000347706167736638 2 26 "GO:0001817" "regulation of cytokine production" 0.00808844347570966
614 0.00838701156514595 2 12 "GO:0001818" "negative regulation of cytokine production" 0.083224960915679
455 0.0241151581003195 3 16 "GO:0001819" "positive regulation of cytokine production" 0.185975050784529
358 0.0469608342923311 2 20 "GO:0001822" "kidney development" 0.304123768484117
-32 0.897030821757143 5 11 "GO:0001837;GO:0048762" "mesenchymal cell differentiation" 0.933236895627514
618 0.00794629651964142 2 12 "GO:0001838;GO:0072175" "epithelial tube formation" 0.0823050712508845
-32 0.930606206703969 3 5 "GO:0001841" "neural tube formation" 0.933236895627514
-32 0.897030821757143 3 11 "GO:0001843;GO:0060606" "tube closure" 0.933236895627514
-32 0.917853933310547 5 7 "GO:0001889" "liver development" 0.933236895627514
-32 0.883876460445554 5 14 "GO:0001894" "tissue homeostasis" 0.933236895627514
1511 2.81440571782589e-05 2 5 "GO:0001919" "regulation of receptor recycling" 0.00123708696421443
188 0.00563445951038496 5 142 "GO:0001932;GO:0031399;GO:0042325;GO:0019220;GO:0051174" "regulation of phosphorus metabolic process" 0.0650024231320021
183 0.173285693292058 3 36 "GO:0001933;GO:0031400;GO:0042326;GO:0045936;GO:0010563" "negative regulation of protein modification process" 0.790805872930689
158 0.0761693553294046 4 82 "GO:0001934;GO:0031401;GO:0042327;GO:0045937;GO:0010562" "positive regulation of protein modification process" 0.435823851663005
934 0.00105158501664005 2 8 "GO:0001938;GO:0001936" "regulation of endothelial cell proliferation" 0.0177597099975303
745 0.00350854057622129 2 10 "GO:0001944" "vasculature development" 0.0456754043821836
-32 0.930606206703969 3 5 "GO:0001958;GO:0036075" "endochondral ossification" 0.933236895627514
-32 0.930606206703969 3 5 "GO:0001974" "blood vessel remodeling" 0.933236895627514
97 0.350874459157457 2 60 "GO:0002009;GO:0048729" "tissue morphogenesis" 0.933236895627514
-32 0.912176712646762 2 8 "GO:0002011" "morphogenesis of an epithelial sheet" 0.933236895627514
1510 2.82819093425904e-05 2 5 "GO:0002053;GO:0010464" "positive regulation of mesenchymal cell proliferation" 0.00123708696421443
-32 0.923959446378566 4 6 "GO:0002062" "chondrocyte differentiation" 0.933236895627514
-32 0.897030821757143 3 11 "GO:0002064" "epithelial cell development" 0.933236895627514
-32 0.923959446378566 2 6 "GO:0002065" "columnar/cuboidal epithelial cell differentiation" 0.933236895627514
-32 0.917853933310547 2 7 "GO:0002066" "columnar/cuboidal epithelial cell development" 0.933236895627514
1509 2.87694642840565e-05 2 5 "GO:0002118" "aggressive behavior" 0.00123708696421443
-32 0.883876460445554 3 14 "GO:0002119;GO:0002164" "larval development" 0.933236895627514
-32 0.906849441273715 5 9 "GO:0002224;GO:0002221;GO:0002758;GO:0002218" "activation of innate immune response" 0.933236895627514
-32 0.842088148230278 2 26 "GO:0002252" "immune effector process" 0.933236895627514
212 0.137556015096346 2 32 "GO:0002253;GO:0050778" "positive regulation of immune response" 0.684884159374438
-32 0.923959446378566 3 6 "GO:0002366;GO:0002263" "cell activation involved in immune response" 0.933236895627514
-31 0.615819578299932 1 167 "GO:0002376" "immune system process" 0.933236895627514
-32 0.883876460445554 2 14 "GO:0002474;GO:0048002;GO:0019882" "antigen processing and presentation" 0.933236895627514
-32 0.912176712646762 2 8 "GO:0002526;GO:0006953" "acute inflammatory response" 0.933236895627514
-32 0.930606206703969 2 5 "GO:0002573" "myeloid leukocyte differentiation" 0.933236895627514
-32 0.872097611800452 4 17 "GO:0002576" "platelet degranulation" 0.933236895627514
161 0.0733293082508403 2 81 "GO:0002682" "regulation of immune system process" 0.431715284803013
-32 0.883876460445554 3 14 "GO:0002683" "negative regulation of immune system process" 0.933236895627514
251 0.0209669944666432 2 55 "GO:0002684" "positive regulation of immune system process" 0.169046392887311
-32 0.906849441273715 2 9 "GO:0002695;GO:0050866" "negative regulation of cell activation" 0.933236895627514
