"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-22 0.947491722150136 3 7 "GO:0000030" "mannosyltransferase activity" 0.955675154899921
-22 0.920517941015324 5 16 "GO:0000049" "tRNA binding" 0.955675154899921
-22 0.955675154899921 6 5 "GO:0000175" "3'-5'-exoribonuclease activity" 0.955675154899921
-153 0.169253308263216 5 60 "GO:0000287" "magnesium ion binding" 0.562321846532395
1289 2.16628708389657e-07 2 12 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 1.36746872170971e-05
1101 0.000715655725212995 3 7 "GO:0000977;GO:0001012" "RNA polymerase II regulatory region sequence-specific DNA binding" 0.00840479398215262
-22 0.955675154899921 2 5 "GO:0000978" "RNA polymerase II proximal promoter sequence-specific DNA binding" 0.955675154899921
-22 0.947491722150136 2 7 "GO:0000987" "proximal promoter sequence-specific DNA binding" 0.955675154899921
-22 0.911136248292972 2 20 "GO:0001664" "G protein-coupled receptor binding" 0.955675154899921
104 0.000603119964510792 4 861 "GO:0003677" "DNA binding" 0.00801514689678816
-22 0.898696577380486 5 26 "GO:0003678" "DNA helicase activity" 0.955675154899921
127 0.282736055385071 2 53 "GO:0003682" "chromatin binding" 0.849891118865838
-22 0.947491722150136 2 7 "GO:0003684" "damaged DNA binding" 0.955675154899921
964 2.51566349707235e-10 2 32 "GO:0003690" "double-stranded DNA binding" 6.35205033010768e-08
-22 0.920517941015324 2 16 "GO:0003697" "single-stranded DNA binding" 0.955675154899921
209 0.00151482169190276 2 173 "GO:0003700" "DNA-binding transcription factor activity" 0.0154496423132656
-22 0.943846968539945 3 8 "GO:0003707" "steroid hormone receptor activity" 0.955675154899921
89 0.383635745221431 2 72 "GO:0003712" "transcription coregulator activity" 0.955675154899921
-22 0.861102755294668 2 49 "GO:0003713" "transcription coactivator activity" 0.955675154899921
543 0.0183075150502751 3 14 "GO:0003714" "transcription corepressor activity" 0.0924529510038893
-23 0.438165455331867 2 935 "GO:0003723" "RNA binding" 0.955675154899921
-22 0.931179973322381 2 12 "GO:0003725" "double-stranded RNA binding" 0.955675154899921
-22 0.951410268808715 2 6 "GO:0003727" "single-stranded RNA binding" 0.955675154899921
-1009 9.72284102735372e-09 2 24 "GO:0003729" "mRNA binding" 9.82006943762726e-07
-1340 7.05661089021318e-08 6 12 "GO:0003730" "mRNA 3'-UTR binding" 5.09084071365379e-06
-22 0.871351013738685 2 42 "GO:0003735" "structural constituent of ribosome" 0.955675154899921
-22 0.877602042020418 2 38 "GO:0003743" "translation initiation factor activity" 0.955675154899921
-22 0.923043719390002 2 15 "GO:0003746" "translation elongation factor activity" 0.955675154899921
-396 0.0349861596794858 2 21 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.154982549457371
-22 0.940425738203335 4 9 "GO:0003756;GO:0016864" "intramolecular oxidoreductase activity, transposing S-S bonds" 0.955675154899921
-120 0.0780928979958981 5 162 "GO:0003777;GO:0003774" "motor activity" 0.303360872984066
-21 0.764796460875692 4 146 "GO:0003779" "actin binding" 0.955675154899921
-22 0.947491722150136 -1 7 "GO:0003840" "obsolete gamma-glutamyltransferase activity" 0.955675154899921
-899 0.0017517947439434 2 9 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity" 0.016084660830753
263 0.106072436578106 2 28 "GO:0003887" "DNA-directed DNA polymerase activity" 0.396789484977359
-22 0.893025018796238 3 29 "GO:0003899;GO:0034062;GO:0097747" "RNA polymerase activity" 0.955675154899921
-22 0.943846968539945 2 8 "GO:0003910;GO:0003909;GO:0016886" "ligase activity, forming phosphoric ester bonds" 0.955675154899921
-22 0.955675154899921 2 5 "GO:0003913" "DNA photolyase activity" 0.955675154899921
104 0.337246414142205 7 63 "GO:0003924" "GTPase activity" 0.955675154899921
-22 0.955675154899921 3 5 "GO:0003948" "N4-(beta-N-acetylglucosaminyl)-L-asparaginase activity" 0.955675154899921
-22 0.906802556807318 2 22 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 0.955675154899921
30 0.387332610698375 2 629 "GO:0003964;GO:0034061;GO:0016779;GO:0140097" "catalytic activity, acting on DNA" 0.955675154899921
-22 0.955675154899921 2 5 "GO:0003968" "RNA-directed 5'-3' RNA polymerase activity" 0.955675154899921
-1143 0.00044449592834446 2 7 "GO:0003988" "acetyl-CoA C-acyltransferase activity" 0.00660207187688095
-22 0.931179973322381 2 12 "GO:0003993" "acid phosphatase activity" 0.955675154899921
-627 0.00864674481467805 2 13 "GO:0003995" "acyl-CoA dehydrogenase activity" 0.0533494684539875
-22 0.923043719390002 3 15 "GO:0004003" "ATP-dependent DNA helicase activity" 0.955675154899921
-22 0.925656029249356 6 14 "GO:0004004;GO:0003724;GO:0008186" "ATP-dependent RNA helicase activity" 0.955675154899921
-22 0.951410268808715 2 6 "GO:0004012" "phospholipid-translocating ATPase activity" 0.955675154899921
-22 0.947491722150136 2 7 "GO:0004017;GO:0050145" "adenylate kinase activity" 0.955675154899921
