"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.200300231904565 2 6 "GO:0000049" "tRNA binding" 0.546438373209345
0 0.014446572341353 2 27 "GO:0000287" "magnesium ion binding" 0.178673227671834
0 0.0177474429729848 2 7 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 0.178673227671834
0 0.0204629997797534 3 5 "GO:0000977;GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.178673227671834
0 1 2 5 "GO:0001653" "peptide receptor activity" 1
0 0.00217560827310324 4 317 "GO:0003677" "DNA binding" 0.0634882050605582
0 0.678372660553805 6 8 "GO:0003678" "DNA helicase activity" 0.930588136913553
0 0.417105995755944 2 30 "GO:0003682" "chromatin binding" 0.756446466879424
0 0.145617004543373 2 17 "GO:0003690" "double-stranded DNA binding" 0.476628471092442
0 0.368977201694334 2 8 "GO:0003697" "single-stranded DNA binding" 0.744916237382901
0 0.0103640429296019 2 110 "GO:0003700;GO:0140110" "transcription regulator activity" 0.16634288902011
0 0.888993212917238 2 27 "GO:0003712" "transcription coregulator activity" 1
0 0.846353213337029 3 16 "GO:0003713" "transcription coactivator activity" 1
0 0.510344058322737 3 6 "GO:0003714" "transcription corepressor activity" 0.831575851378673
0 0.81318715753814 4 298 "GO:0003723" "RNA binding" 1
0 0.968220001413989 2 11 "GO:0003725" "double-stranded RNA binding" 1
0 0.242263769925909 2 16 "GO:0003729" "mRNA binding" 0.607552110517319
0 0.0369246075399308 2 8 "GO:0003730" "mRNA 3'-UTR binding" 0.26339553378484
0 0.605075063230922 2 15 "GO:0003735" "structural constituent of ribosome" 0.895064955286295
0 0.141423902595407 2 8 "GO:0003743" "translation initiation factor activity" 0.476628471092442
0 1 2 5 "GO:0003746" "translation elongation factor activity" 1
0 0.101940973394061 2 10 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.419526313583251
0 0.379464575583682 7 65 "GO:0003774" "motor activity" 0.748220831456457
0 0.295084901062073 2 48 "GO:0003777" "microtubule motor activity" 0.667058121414968
0 0.0751012048142564 2 71 "GO:0003779" "actin binding" 0.359813235005616
0 0.888506468500116 2 7 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity" 1
0 0.452178938971544 3 9 "GO:0003887" "DNA-directed DNA polymerase activity" 0.810890722960143
0 0.0280322704354893 2 10 "GO:0003899" "DNA-directed 5'-3' RNA polymerase activity" 0.224958970244802
0 0.659556200721193 2 28 "GO:0003924" "GTPase activity" 0.930588136913553
0 0.615673644505054 3 172 "GO:0003964;GO:0034061;GO:0016779;GO:0140097" "nucleotidyltransferase activity" 0.901104115025491
0 0.847437515262805 2 6 "GO:0003993" "acid phosphatase activity" 1
0 0.678372660553805 4 8 "GO:0003995" "acyl-CoA dehydrogenase activity" 0.930588136913553
0 0.200300231904565 7 6 "GO:0004004;GO:0003724;GO:0008186" "ATP-dependent RNA helicase activity" 0.546438373209345
0 0.0483589338707066 5 6 "GO:0004047;GO:0046997" "aminomethyltransferase activity" 0.2838002004624
0 0.79125527243946 2 5 "GO:0004089" "carbonate dehydratase activity" 0.998296459353094
0 0.888506468500116 3 7 "GO:0004096" "catalase activity" 1
0 0.510344058322737 3 6 "GO:0004114;GO:0004112" "cyclic-nucleotide phosphodiesterase activity" 0.831575851378673
0 0.232274696966111 3 84 "GO:0004175" "endopeptidase activity" 0.60129175585582
0 0.742999438148737 2 9 "GO:0004177" "aminopeptidase activity" 0.993761748523936
0 0.315649093560342 5 14 "GO:0004180" "carboxypeptidase activity" 0.698781786433585
0 1 2 5 "GO:0004181" "metallocarboxypeptidase activity" 1
0 0.510344058322737 4 6 "GO:0004185;GO:0070008" "serine-type exopeptidase activity" 0.831575851378673
0 0.617579144254231 4 27 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity" 0.901104115025491
0 0.847437515262805 2 6 "GO:0004197" "cysteine-type endopeptidase activity" 1
0 0.410239458991702 -1 12 "GO:0004221" "obsolete ubiquitin thiolesterase activity" 0.748220831456457
0 0.207232987121112 2 25 "GO:0004222" "metalloendopeptidase activity" 0.554348240548975
0 0.142355700204185 2 20 "GO:0004252" "serine-type endopeptidase activity" 0.476628471092442
0 0.0204629997797534 4 5 "GO:0004364" "glutathione transferase activity" 0.178673227671834
0 0.8700183564955 2 65 "GO:0004386" "helicase activity" 1
0 0.940466352142553 6 9 "GO:0004402;GO:0061733;GO:0034212" "peptide N-acetyltransferase activity" 1
0 0.200300231904565 2 6 "GO:0004467;GO:0015645;GO:0016405" "CoA-ligase activity" 0.546438373209345
0 0.0355009570307747 3 24 "GO:0004497" "monooxygenase activity" 0.26339553378484
0 0.0204629997797534 3 5 "GO:0004499" "N,N-dimethylaniline monooxygenase activity" 0.178673227671834
0 0.583421180244941 3 72 "GO:0004518" "nuclease activity" 0.895064955286295
0 0.171283567549351 2 47 "GO:0004519" "endonuclease activity" 0.528673319070593
