name	term	lev	seq	value
"calcium-mediated signaling"	GO:0019722	3	contig44885	0
"calcium-mediated signaling"	GO:0019722	3	contig76295	1
"calcium-mediated signaling"	GO:0019722	3	contig148615	1
"calcium-mediated signaling"	GO:0019722	3	contig211594	1
"calcium-mediated signaling"	GO:0019722	3	contig213806	0
"phosphatidylinositol-mediated signaling"	GO:0048015;GO:0048017	6	contig116892	0
"phosphatidylinositol-mediated signaling"	GO:0048015;GO:0048017	6	contig148776	0
"phosphatidylinositol-mediated signaling"	GO:0048015;GO:0048017	6	contig148279_131491_78541	0
"phosphatidylinositol-mediated signaling"	GO:0048015;GO:0048017	6	contig75446_169832_130264_115558	0
"phosphatidylinositol-mediated signaling"	GO:0048015;GO:0048017	6	contig76982_2476	0
"phosphatidylinositol-mediated signaling"	GO:0048015;GO:0048017	6	contig122877_78028	0
"response to radiation"	GO:0009314	3	contig8644	0
"response to radiation"	GO:0009314	3	contig14609	0
"response to radiation"	GO:0009314	3	contig60420	1
"response to radiation"	GO:0009314	3	contig72614	0
"response to radiation"	GO:0009314	3	contig73259	0
"response to radiation"	GO:0009314	3	contig73615	1
"response to radiation"	GO:0009314	3	contig81052	1
"response to radiation"	GO:0009314	3	contig127481	0
"response to radiation"	GO:0009314	3	contig139616	0
"response to radiation"	GO:0009314	3	contig147335	1
"response to radiation"	GO:0009314	3	contig147504	0
"response to radiation"	GO:0009314	3	contig152203	0
"response to radiation"	GO:0009314	3	contig153036	1
"response to radiation"	GO:0009314	3	contig171018	1
"response to radiation"	GO:0009314	3	contig176777	0
"response to radiation"	GO:0009314	3	contig203928	0
"response to radiation"	GO:0009314	3	contig209568	0
"response to radiation"	GO:0009314	3	contig212319	0
"response to radiation"	GO:0009314	3	contig214191	0
"response to radiation"	GO:0009314	3	contig217143	0
"response to radiation"	GO:0009314	3	contig213052_44796	1
"response to radiation"	GO:0009314	3	contig187042_152761	0
"response to radiation"	GO:0009314	3	contig148279_131491_78541	0
"response to radiation"	GO:0009314	3	contig82429_176427_116623_194091_93809_179437	0
"response to radiation"	GO:0009314	3	contig108029_146401	0
"response to radiation"	GO:0009314	3	contig209664_170445	0
"neuron fate commitment"	GO:0048663	2	contig60605	1
"neuron fate commitment"	GO:0048663	2	contig152966	0
"neuron fate commitment"	GO:0048663	2	contig209407_108765_77238_96485	1
"neuron fate commitment"	GO:0048663	2	contig78105_108948_169460	0
"neuron fate commitment"	GO:0048663	2	contig207041_213942	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig590	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig4079	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig4235	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig4499	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig5926	1
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig9859	1
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig9931	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig11291	1
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig12720	1
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig13029	1
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig13924	1
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig16300	1
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig16460	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig17027	1
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig17887	1
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig18571	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig20193	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig20734	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig21283	1
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig21929	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig23114	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig23359	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig23718	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig23787	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig24217	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig25200	1
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig26308	1
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig44885	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig54776	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig55053	1
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig56040	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig64908	1
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig65197	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig65771	1
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig66224	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig68618	1
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig69836	1
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig71140	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig71162	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig71242	1
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig71311	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig71507	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig71514	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig71559	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig71620	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig71627	1
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig71644	1
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig72873	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig73040	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig73634	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig74314	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig74710	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig75033	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig75173	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig76295	1
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig77223	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig77366	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig78358	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig80162	1
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig80338	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig81691	1
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig82201	1
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig82455	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig82622	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig82869	1
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig90394	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig96562	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig97401	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig97825	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig98746	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig98950	1
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig99157	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig99331	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig103881	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig103951	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig104303	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig104527	1
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig104607	1
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig104756	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig105465	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig105711	1
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig106584	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig107308	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig107628	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig107829	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig108351	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig108579	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig109368	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig109591	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig110102	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig110428	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig110709	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig110757	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig110845	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig110991	1
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig111002	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig111092	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig111436	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig112618	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig112681	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig113477	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig113966	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig114844	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig114908	0
"localization"	GO:0006810;GO:0051234;GO:0051179	3	contig115892	1
