name	term	lev	seq	value
"catalytic activity, acting on a protein"	GO:0140096	2	contig613	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig8162	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig8644	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig8975	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig10849	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig11633	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig12941	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig14005	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig14243	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig15673	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig17027	1
"catalytic activity, acting on a protein"	GO:0140096	2	contig18945	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig20734	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig24180	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig25070	1
"catalytic activity, acting on a protein"	GO:0140096	2	contig39951	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig52274	1
"catalytic activity, acting on a protein"	GO:0140096	2	contig55572	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig56441	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig57129	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig58086	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig59060	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig59940	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig64772	1
"catalytic activity, acting on a protein"	GO:0140096	2	contig66597	1
"catalytic activity, acting on a protein"	GO:0140096	2	contig67991	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig68773	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig69187	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig69683	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig69684	1
"catalytic activity, acting on a protein"	GO:0140096	2	contig69802	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig70635	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig71507	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig71559	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig71967	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig72679	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig72843	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig73650	1
"catalytic activity, acting on a protein"	GO:0140096	2	contig73924	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig74889	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig75019	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig75173	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig75357	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig75365	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig75990	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig76370	1
"catalytic activity, acting on a protein"	GO:0140096	2	contig76395	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig76782	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig77070	1
"catalytic activity, acting on a protein"	GO:0140096	2	contig77971	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig78128	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig78233	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig78501	1
"catalytic activity, acting on a protein"	GO:0140096	2	contig78879	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig78984	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig79068	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig80015	1
"catalytic activity, acting on a protein"	GO:0140096	2	contig80209	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig80600	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig80991	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig81052	1
"catalytic activity, acting on a protein"	GO:0140096	2	contig81810	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig81990	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig82026	1
"catalytic activity, acting on a protein"	GO:0140096	2	contig82187	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig82463	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig82795	1
"catalytic activity, acting on a protein"	GO:0140096	2	contig82869	1
"catalytic activity, acting on a protein"	GO:0140096	2	contig82908	1
"catalytic activity, acting on a protein"	GO:0140096	2	contig87002	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig92993	1
"catalytic activity, acting on a protein"	GO:0140096	2	contig94316	1
"catalytic activity, acting on a protein"	GO:0140096	2	contig94726	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig98046	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig98199	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig98591	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig98609	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig98643	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig98783	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig99112	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig99323	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig99478	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig100328	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig104128	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig104527	1
"catalytic activity, acting on a protein"	GO:0140096	2	contig104572	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig104714	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig105100	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig105416	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig106177	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig106475	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig106487	1
"catalytic activity, acting on a protein"	GO:0140096	2	contig107034	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig107567	1
"catalytic activity, acting on a protein"	GO:0140096	2	contig107770	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig107875	1
"catalytic activity, acting on a protein"	GO:0140096	2	contig108147	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig108725	0
"catalytic activity, acting on a protein"	GO:0140096	2	contig108822	0
