"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.121096525510776 1 5 "GO:0000003" "reproduction" 0.624003272631999
0 0.503862896857699 7 6 "GO:0000041" "transition metal ion transport" 0.920169315812954
0 0.247944127767541 2 13 "GO:0000075" "cell cycle checkpoint" 0.829004030245671
0 0.594378999533044 5 7 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.967799263180198
0 0.843893782565739 4 6 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 1
0 0.141809520444531 2 14 "GO:0000096" "sulfur amino acid metabolic process" 0.634057734813496
0 0.294195333700772 2 24 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.88113121098008
0 0.23404041865901 2 16 "GO:0000165;GO:0023014" "MAPK cascade" 0.791580721024296
0 0.671884953935571 3 8 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 0.361861136325465 5 8 "GO:0000187" "activation of MAPK activity" 0.88113121098008
0 0.983191241701036 6 20 "GO:0000209" "protein polyubiquitination" 1
0 0.00569237651666403 2 33 "GO:0000226" "microtubule cytoskeleton organization" 0.15085869994308
0 0.196861113482166 2 9 "GO:0000302" "response to reactive oxygen species" 0.701660649795972
0 0.885479579737855 3 7 "GO:0000398;GO:0000377;GO:0000375" "mRNA splicing, via spliceosome" 1
0 0.736891755703701 2 9 "GO:0000902;GO:0000904" "cell morphogenesis" 1
0 0.393959564008431 3 19 "GO:0000910" "cytokinesis" 0.88113121098008
0 0.983191241701036 2 20 "GO:0000956;GO:0006402;GO:0006401" "RNA catabolic process" 1
0 0.339371283183629 3 18 "GO:0001101" "response to acid chemical" 0.88113121098008
0 0.787221968281066 2 5 "GO:0001501" "skeletal system development" 1
0 0.522221221944282 2 10 "GO:0001503" "ossification" 0.920169315812954
0 0.0561891207849796 3 17 "GO:0001505" "regulation of neurotransmitter levels" 0.477880289394584
0 0.503862896857699 4 6 "GO:0001523;GO:0016101;GO:0006721;GO:0006720" "isoprenoid metabolic process" 0.920169315812954
0 0.0759761396402622 2 15 "GO:0001525" "angiogenesis" 0.528415743862416
0 0.0623801879428177 3 9 "GO:0001539" "cilium or flagellum-dependent cell motility" 0.505972635536188
0 0.982175627952202 4 13 "GO:0001558" "regulation of cell growth" 1
0 0.503862896857699 3 6 "GO:0001568" "blood vessel development" 0.920169315812954
0 0.91599309770961 4 8 "GO:0001570" "vasculogenesis" 1
0 0.594378999533044 3 7 "GO:0001654" "eye development" 0.967799263180198
0 0.141866799113522 2 11 "GO:0001667" "ameboidal-type cell migration" 0.634057734813496
0 0.671884953935571 2 8 "GO:0001707;GO:0001704" "formation of primary germ layer" 1
0 0.121096525510776 3 5 "GO:0001709" "cell fate determination" 0.624003272631999
0 0.0451191117981639 2 25 "GO:0001775" "cell activation" 0.429974287742747
0 1 2 8 "GO:0001816" "cytokine production" 1
0 0.0759761396402622 2 15 "GO:0001817" "regulation of cytokine production" 0.528415743862416
0 0.277572640169336 2 7 "GO:0001818" "negative regulation of cytokine production" 0.849187596620693
0 0.444361147747114 2 9 "GO:0001819" "positive regulation of cytokine production" 0.907366819175925
0 0.331728122529076 4 11 "GO:0001822" "kidney development" 0.88113121098008
