"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 3 3 "GO:0000030" "mannosyltransferase activity" 1
0 1 5 1 "GO:0000033" "alpha-1,3-mannosyltransferase activity" 1
0 1 3 2 "GO:0000036;GO:0044620;GO:0051192;GO:0016155" "prosthetic group binding" 1
0 1 4 6 "GO:0000049" "tRNA binding" 1
0 1 2 2 "GO:0000062;GO:1901567" "fatty-acyl-CoA binding" 1
0 1 2 1 "GO:0000156" "phosphorelay response regulator activity" 1
0 1 5 1 "GO:0000175;GO:0016896;GO:0016796" "exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters" 1
0 1 4 1 "GO:0000224" "peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity" 1
0 1 6 2 "GO:0000234" "phosphoethanolamine N-methyltransferase activity" 1
0 1 2 3 "GO:0000268" "peroxisome targeting sequence binding" 1
0 1 2 2 "GO:0000285;GO:0016307;GO:0016308" "1-phosphatidylinositol-3-phosphate 5-kinase activity" 1
0 1 5 27 "GO:0000287" "magnesium ion binding" 1
0 1 2 1 "GO:0000339" "RNA cap binding" 1
0 1 5 1 "GO:0000400;GO:0000217;GO:0032137;GO:0030983" "mismatched DNA binding" 1
0 1 4 1 "GO:0000900;GO:0030371" "translation repressor activity, mRNA regulatory element binding" 1
0 1 2 7 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 1
0 1 2 5 "GO:0000978;GO:0000977;GO:0000987;GO:0001012" "RNA polymerase II regulatory region sequence-specific DNA binding" 1
0 1 2 1 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 1
0 1 -1 1 "GO:0000988" "obsolete transcription factor activity, protein binding" 1
0 1 -1 1 "GO:0000989" "obsolete transcription factor activity, transcription factor binding" 1
0 1 6 1 "GO:0001030;GO:0001016;GO:0080084;GO:0000182;GO:0001031;GO:0001032;GO:0001156;GO:0001025" "RNA polymerase III type 2 promoter DNA binding" 1
0 1 3 1 "GO:0001046;GO:0001158;GO:0035326" "core promoter sequence-specific DNA binding" 1
0 1 2 2 "GO:0001047" "core promoter binding" 1
0 1 4 1 "GO:0001085" "RNA polymerase II transcription factor binding" 1
0 1 4 1 "GO:0001540" "amyloid-beta binding" 1
0 1 7 1 "GO:0001641;GO:0001640;GO:0098988;GO:0008066" "group II metabotropic glutamate receptor activity" 1
0 1 3 5 "GO:0001653;GO:0008528" "peptide receptor activity" 1
0 0.136484407693631 2 4 "GO:0001664" "G protein-coupled receptor binding" 1
0 1 5 1 "GO:0001691" "pseudophosphatase activity" 1
0 1 2 1 "GO:0001716" "L-amino-acid oxidase activity" 1
0 1 5 1 "GO:0001758" "retinal dehydrogenase activity" 1
0 1 4 2 "GO:0001972;GO:0005501;GO:0019840" "retinoid binding" 1
0 1 2 2 "GO:0002039" "p53 binding" 1
0 1 2 2 "GO:0002054" "nucleobase binding" 1
0 1 3 1 "GO:0002058;GO:0002061" "pyrimidine nucleobase binding" 1
0 0.999999999985016 2 638 "GO:0003676" "nucleic acid binding" 1
0 1 3 317 "GO:0003677" "DNA binding" 1
0 1 2 8 "GO:0003678" "DNA helicase activity" 1
0 1 2 30 "GO:0003682" "chromatin binding" 1
0 1 4 2 "GO:0003684" "damaged DNA binding" 1
0 1 2 1 "GO:0003688" "DNA replication origin binding" 1
0 1 4 2 "GO:0003689;GO:0033170" "DNA clamp loader activity" 1
0 1 4 17 "GO:0003690" "double-stranded DNA binding" 1
0 1 5 1 "GO:0003692" "left-handed Z-DNA binding" 1
0 1 4 8 "GO:0003697" "single-stranded DNA binding" 1
0 0.983028792971181 2 110 "GO:0003700;GO:0140110" "transcription regulator activity" 1
0 1 -1 1 "GO:0003706" "obsolete ligand-regulated transcription factor activity" 1
0 1 3 2 "GO:0003707" "steroid hormone receptor activity" 1
0 0.629413144375127 2 27 "GO:0003712" "transcription coregulator activity" 1
0 0.444361352532628 2 16 "GO:0003713" "transcription coactivator activity" 1
0 1 3 6 "GO:0003714" "transcription corepressor activity" 1
0 1 3 298 "GO:0003723" "RNA binding" 1
0 1 4 11 "GO:0003725" "double-stranded RNA binding" 1
0 1 2 4 "GO:0003727" "single-stranded RNA binding" 1
0 1 2 16 "GO:0003729" "mRNA binding" 1
0 1 5 8 "GO:0003730" "mRNA 3'-UTR binding" 1
0 0.423544919054023 2 15 "GO:0003735" "structural constituent of ribosome" 1
0 1 3 8 "GO:0003743" "translation initiation factor activity" 1
0 1 5 5 "GO:0003746" "translation elongation factor activity" 1
0 1 2 10 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 1
0 1 3 1 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 1
0 1 2 65 "GO:0003774" "motor activity" 1
0 1 4 48 "GO:0003777" "microtubule motor activity" 1
0 1 4 71 "GO:0003779" "actin binding" 1
0 1 2 1 "GO:0003785" "actin monomer binding" 1
0 1 3 3 "GO:0003810;GO:0016755" "transferase activity, transferring amino-acyl groups" 1
