ContigID,signif
contig100026,1
contig100085,1
contig100110_36597,1
contig100213,1
contig100238,1
contig100252,1
contig100308_100284,1
contig100317,1
contig100349,1
contig100368,1
contig100370,1
contig10156_75121,1
contig101711,1
contig102087,1
contig103201_171449,1
contig103219_215109_185725_147264,1
contig103358_172018,1
contig10366_169504,1
contig104025_179357,1
contig104108_178914,1
contig104155_53047,1
contig104244_178728,1
contig104267,1
contig104274,1
contig104415,1
contig104480,1
contig104491_96643,1
contig104527,1
contig104564,1
contig104607,1
contig104641,1
contig104692,1
contig104693,1
contig104747,1
contig10477,1
contig104770,1
contig104792,1
contig104793,1
contig104827,1
contig104838_185995_209581,1
contig104894,1
contig104900_194042,1
contig104907_110073,1
contig104920,1
contig104922,1
contig104960,1
contig105040,1
contig105052,1
contig105071,1
contig105080,1
contig105096,1
contig105161,1
contig105181,1
contig105272,1
contig105296_171521,1
contig105302,1
contig105306,1
contig105351,1
contig105365,1
contig105387,1
contig105422,1
contig105451_13134_78847_219108,1
contig105497_98891_90160,1
contig105501,1
contig105526,1
contig105543,1
contig105566,1
contig105594,1
contig105647,1
contig105650,1
contig105661,1
contig105670,1
contig105710,1
contig105711,1
contig105733_58792_174316,1
contig105825,1
contig105837,1
contig105849_205966_77249,1
contig105926,1
contig105972,1
contig106050,1
contig106145_165487_72939_22650,1
contig106178_21142,1
contig106245,1
contig106269,1
contig10637,1
contig10640,1
contig106400,1
contig10642_157839,1
contig106465,1
contig106487,1
contig106503,1
contig106601,1
contig106662_176996_169967_151705,1
contig106670,1
contig106689,1
contig106824,1
contig106865,1
contig106878,1
contig106889,1
contig106903,1
contig106910,1
contig106924_9647,1
contig106957,1
contig106977,1
contig106980,1
contig106984_147806,1
contig107014,1
contig107057,1
contig107100_100361,1
contig107125,1
contig107173,1
contig107174_178201,1
contig107238_217315,1
contig107253,1
contig107427_107528,1
contig107494,1
contig107520,1
contig107567,1
contig107578,1
contig107636_114401_15385,1
contig107650,1
contig107704,1
contig107709,1
contig107714_157140,1
contig107716,1
contig107739,1
contig107747_113402_82447,1
contig107787,1
contig107811,1
contig107818,1
contig107853,1
contig107875,1
contig107891,1
contig107904_151594,1
contig107946_69479_110858,1
contig108056_58352,1
contig108092,1
contig108146,1
contig108179,1
contig108205,1
contig108208_111166,1
contig108248,1
contig108254_113304_150793,1
contig108311,1
contig108386,1
contig108422_106981,1
contig108524_123069,1
contig108565_69610,1
contig108577,1
contig108612_71107,1
contig108628,1
contig108688,1
contig108694,1
contig108787,1
contig108804_204250,1
contig108805_58936_110496,1
contig108823,1
contig108846,1
contig108850_112155_119823,1
contig108868,1
contig108933,1
contig108950,1
contig108972_111796,1
contig109024,1
contig109085,1
contig109127_170689,1
contig109150,1
contig109172_88656,1
contig109193_72868,1
contig109214_155926,1
contig109225,1
contig109226_69651_156178_60739_76226_170851_20986_171002_20099,1
contig109294,1
contig109311,1
contig109383,1
contig109394,1
contig109547,1
contig109571,1
contig109576_131121,1
contig109587_116618,1
contig109623,1
contig109676_150094,1
contig109811_163735_108459,1
contig109835,1
contig109891,1
contig109931_171953,1
contig109972_116895_114011,1
contig109986_70381_104862,1
contig110005,1
contig110045,1
contig110075,1
contig110089_143538_219042,1
contig110122,1
contig110172,1
contig110257,1
contig110327_18505,1
contig110389,1
contig110410_184557_147700_202559_176745,1
contig110434_116476,1
contig110460_21118,1
contig110464,1
contig110510,1
contig110561,1
contig110646,1
contig110653_75183,1
contig110665,1
contig110693,1
contig110703,1
contig110706,1
contig110754,1
contig110861,1
contig110869,1
contig110991,1
contig111118,1
contig111136,1
contig111194,1
contig111213,1
contig111243_16560,1
contig111299,1
contig111388,1
contig111423_98739,1
contig11145_117850,1
contig111465_139021,1
contig111472,1
contig111558,1
contig111586_80110,1
contig111601,1
contig111617,1
contig111666,1
contig111683,1
contig11170,1
contig111715,1
contig111771,1
contig111772,1
contig111859,1
contig111877,1
contig111880,1
contig111902,1
contig111956,1
contig111962,1
contig111974,1
contig111999,1
contig112123_147737,1
contig112127_173618,1
contig112223,1
contig112232_147601,1
contig112261_13247,1
contig112295_187171_108041,1
contig112397_175884_600191,1
contig112398_174634_119302,1
contig112431_113666,1
contig112458,1
contig112515_19749,1
contig112565,1
contig112568,1
contig112575,1
contig112589_152022,1
contig112637,1
contig112651,1
contig112656,1
contig112718_123967_18547,1
contig112827,1
contig112898_106823_158681_115338_105717_8141_145866_9036_79485,1
contig11291,1
contig112946,1
contig112964,1
contig112968,1
contig113075,1
contig113194,1
contig113414_107098,1
contig113435,1
contig113489,1
contig113501_174692_88537_82393,1
contig113502,1
contig113513,1
contig113575,1
contig113635,1
contig113708,1
contig113768,1
contig113803_11596_70976,1
contig113826,1
contig113834,1
contig113897_152620_73483,1
contig114047,1
contig114050,1
contig114078,1
contig114098,1
contig114132,1
contig114242,1
contig114243_106385_171054_117173,1
contig114291,1
contig114296,1
contig114312,1
contig114474,1
contig114510_114936,1
contig114647_108323,1
contig114659,1
contig114676,1
contig114781,1
contig114786,1
contig114814,1
contig114829_170976_600076_145434_138914,1
contig114948_157467,1
contig115055,1
contig115070,1
contig115109,1
contig115149,1
contig115192,1
contig115214,1
contig115235_77144,1
contig115262,1
contig115263_73711_149566,1
contig115264_171299,1
contig115312,1
contig115347,1
contig115383,1
contig115471,1
contig115474,1
contig11558,1
contig115631,1
contig115666_188943,1
contig115721,1
contig115739_151941,1
contig115793,1
contig115860_4992_195722_171755,1
contig115886_211736,1
contig115890_205214,1
contig115892,1
contig115963,1
contig116010,1
contig116059,1
contig116072_111752_120057,1
contig116086,1
contig116122,1
contig116142,1
contig116169,1
contig116183,1
contig116341,1
contig116474,1
contig116494,1
contig116500,1
contig116619_176701,1
contig116630,1
contig116677,1
contig116688,1
contig116689,1
contig116697,1
contig116726,1
contig116729,1
contig116766_143889_170503_114562,1
contig116842,1
contig116963_177674,1
contig116993,1
contig117061,1
contig117081_77977_78164,1
contig117093,1
contig117191,1
contig117208,1
contig117309_183823,1
contig117315,1
contig117347_138609,1
contig117356,1
contig117452,1
contig117453_115498,1
contig117574_147042,1
contig117597,1
contig117607,1
contig117641_147671,1
contig117664,1
contig117665,1
contig117764,1
contig117781_119912,1
contig117845,1
contig117934,1
contig11797_155578,1
contig117970_92676,1
contig117974,1
contig117987_182302,1
contig118002,1
contig118009,1
contig118033,1
contig118080_180323,1
contig118122,1
contig118128,1
contig118131,1
contig118171_181308_213955,1
contig118268,1
contig118272_184814,1
contig118321_176499_147224,1
contig118374,1
contig118452,1
contig118470_120199_147241,1
contig118537,1
contig118565,1
contig118601,1
contig118679_181700,1
contig118684,1
contig118697,1
contig118827,1
contig11883,1
contig118847,1
contig118859,1
contig118927_131474,1
contig118951_51767_105980,1
contig118974,1
contig118980,1
contig119064_48372_151633,1
contig11908,1
contig119111,1
contig119142_113867,1
contig119157_116827,1
contig119162_178227_203170,1
contig119181,1
contig119194,1
contig1192,1
contig119224_216987,1
contig119259,1
contig119308,1
contig119334,1
contig119456_214687,1
contig119527_511,1
contig119603,1
contig119618,1
contig119630,1
contig119644_205357,1
contig119661,1
contig119771,1
contig119843_148312,1
contig120005_192066_600201,1
contig120063,1
contig120096,1
contig120173,1
contig120213,1
contig120215,1
contig120242_48254,1
contig120590,1
contig120667,1
contig120801,1
contig120807,1
contig120841,1
contig121470,1
contig121476,1
contig121582,1
contig122099,1
contig122243,1
contig122248_184422,1
contig122309,1
contig12238,1
contig122795,1
contig122943_191570_73715,1
contig123096,1
contig123587_153243,1
contig123639_98881_208045,1
contig123658,1
contig123679,1
contig12444_82328,1
contig124467,1
contig124845,1
contig124910,1
contig125183,1
contig125600,1
contig125639,1
contig125760,1
contig125894,1
contig126192,1
contig12648_209961,1
contig126550_139949,1
contig12664_14891,1
contig127034,1
contig127045,1
contig127062,1
contig12720,1
contig127511,1
contig127611,1
contig127735_145547,1
contig12783_210258,1
contig127893,1
contig127921,1
contig128196,1
contig128322,1
contig128709,1
contig12883,1
contig128930,1
contig129162,1
contig129165,1
contig129229_181594,1
contig129405,1
contig129533,1
contig12959_213906,1
contig129647,1
contig129724,1
contig129733,1
contig129771,1
contig129818_109812_181799,1
contig129887,1
contig129993,1
contig130020,1
contig130029_97759_111990_172225,1
contig130098,1
contig130127_25831_103880_106695,1
contig130152,1
contig130208,1
contig130286,1
contig13029,1
contig130343,1
contig130346,1
contig130463_206849_121171,1
contig130591_113890_119666_131837,1
contig130634_78754,1
contig130664,1
contig130873,1
contig13091_147790,1
contig130962,1
contig13107,1
contig131085_192449,1
contig131257,1
contig131301,1
contig131341,1
contig131384_151292,1
contig131391,1
contig131413_117231_93925,1
contig131577_176036,1
contig131688_167032,1
contig131729,1
contig131759,1
contig131941_162113_171857_164666_168104,1
contig13195_214059_211892,1
contig131967,1
contig132058_203376,1
contig132316,1
contig132334,1
contig132358,1
contig132381,1
contig132447_114843,1
contig132517,1
contig132523_78812_134417_133047,1
contig132765_144910_159598,1
contig132826,1
contig132966_210546_87461_180132,1
contig133115_75374,1
contig133159_193953,1
contig133169_73103,1
contig133281_210552,1
contig133316,1
contig133415_178593,1
contig133802_205915_149876,1
contig13438_191954_99384_146233_15950,1
contig13472,1
contig134901,1
contig135011_153678_153601,1
contig135016_72737,1
contig135029,1
contig13549,1
contig13589_65111_147104_195603,1
contig135928_105862_153203,1
contig13626,1
contig136479,1
contig136497_78714_209283,1
contig136511_147925,1
contig136758_14338,1
contig137049_98452,1
