"","pval","direction","color"
"16/26 photoreceptor cell maintenance",0.0686170212765967,0,"black"
"13/18 maintenance of animal organ identity",0.0481012658227858,0,"black"
"17/22 cellular component biogenesis",0.0128712871287139,0,"black"
"25/41 transition metal ion transport",0.0979545454545465,0,"black"
"10/16 zinc ion transport",0.0820197044334985,0,"black"
"17/29 hemopoiesis",0.0623563218390815,0,"black"
"27/46 hematopoietic or lymphoid organ development",0.0175675675675686,0,"black"
"5/5 positive regulation of vasoconstriction",0.0647727272727283,0,"black"
"7/8 vascular smooth muscle cell development",0.0637142857142867,0,"black"
"18/27 regulation of epithelial cell differentiation",0.0396551724137941,0,"black"
"5/6 regulation of epidermis development",0.025600000000001,0,"black"
"19/29 regulation of BMP signaling pathway",0.0682795698924741,0,"black"
"12/18 regulation of oligodendrocyte differentiation",0.0689839572192523,0,"black"
"16/25 regulation of gliogenesis",0.076530612244899,0,"black"
"14/22 negative regulation of gliogenesis",0.0669444444444454,0,"black"
"10/12 regulation of cell proliferation involved in heart morphogenesis",0.0418367346938786,0,"black"
"17/22 glial cell differentiation",0.00909090909091009,0,"black"
"5/7 meiotic nuclear division",0.060000000000001,0,"black"
"19/37 autophagy",0.0192982456140361,0,"black"
"11/13 fertilization",0.0241935483870978,0,"black"
"11/16 pigmentation",0.0984018264840193,0,"black"
"45/84 response to oxidative stress",0.075000000000001,0,"black"
"11/23 cellular response to oxidative stress",0.0742268041237123,0,"black"
"28/39 mitochondrion organization",1e-15,0,"black"
"8/8 regulation of kidney size",0.0345864661654145,0,"black"
"59/116 behavior",0.0468152866242048,0,"black"
"10/16 adult behavior",0.0929245283018878,0,"black"
"33/69 positive regulation of cell death",0.0984162895927612,0,"black"
"41/81 response to inorganic substance",0.048750000000001,0,"black"
"26/37 response to toxic substance",0.00571428571428671,0,"black"
"6/6 response to amine",0.0702631578947378,0,"black"
"6/8 regulation of neurotransmitter transport",0.0870192307692318,0,"black"
"21/37 regulation of cellular localization",0.0685185185185195,0,"black"
"18/36 regulation of transmembrane transport",0.0948598130841131,0,"black"
"17/31 regulation of ion transport",0.0796954314720822,0,"black"
"8/12 secondary metabolic process",0.0671195652173923,0,"black"
"6/7 secondary metabolite biosynthetic process",0.0518072289156636,0,"black"
"13/21 porphyrin-containing compound metabolic process",0.0426174496644305,0,"black"
"10/16 porphyrin-containing compound biosynthetic process",0.0816176470588245,0,"black"
"16/25 tetrapyrrole metabolic process",0.0431372549019618,0,"black"
"18/30 pigment metabolic process",0.0211206896551734,0,"black"
"15/22 pigment biosynthetic process",0.0149038461538472,0,"black"
"4/5 galactose metabolic process",0.0667597765363138,0,"black"
"13/17 fucose metabolic process",0.0487577639751563,0,"black"
"59/83 monosaccharide metabolic process",1e-15,0,"black"
"32/44 carbohydrate catabolic process",1e-15,0,"black"
"10/11 polysaccharide catabolic process",0.010937500000001,0,"black"
"151/234 carbohydrate metabolic process",1e-15,0,"black"
"7/8 cellular carbohydrate catabolic process",0.0885167464114843,0,"black"
"266/572 catabolic process",0.00350877192982556,0,"black"
"104/208 generation of precursor metabolites and energy",1e-15,0,"black"
"28/51 energy derivation by oxidation of organic compounds",0.00547945205479552,0,"black"
"25/38 polysaccharide metabolic process",0.005468750000001,0,"black"
"38/67 cellular carbohydrate metabolic process",0.00872093023255914,0,"black"
"19/29 cellular glucan metabolic process",0.00898876404494482,0,"black"
"8/9 glycogen biosynthetic process",0.0106382978723414,0,"black"
"9/11 mitochondrial transmembrane transport",0.0801507537688452,0,"black"
"29/40 glucose metabolic process",1e-15,0,"black"
"26/43 carbohydrate biosynthetic process",0.0515243902439034,0,"black"
"115/247 cellular response to DNA damage stimulus",0.0433774834437096,0,"black"
"8/9 regulation of steroid metabolic process",0.0430921052631589,0,"black"
"33/56 drug catabolic process",0.0247933884297531,0,"black"
"24/40 cofactor catabolic process",0.0958333333333343,0,"black"
"9/13 2-oxoglutarate metabolic process",0.062280701754387,0,"black"
"32/42 dicarboxylic acid metabolic process",1e-15,0,"black"
"8/8 succinate metabolic process",0.00632911392405163,0,"black"
"144/253 drug metabolic process",1e-15,0,"black"
"36/46 citrate metabolic process",1e-15,0,"black"
"59/85 antibiotic metabolic process",1e-15,0,"black"
"9/11 xenobiotic metabolic process",0.0953917050691254,0,"black"
"5/6 positive regulation of lymphocyte differentiation",0.0303846153846164,0,"black"
"11/52 regulation of lymphocyte activation",0.0746113989637316,0,"black"
"30/47 nucleoside phosphate catabolic process",0.0111111111111121,0,"black"
"77/159 organic cyclic compound catabolic process",0.043000000000001,0,"black"
"11/15 amino sugar metabolic process",0.079750000000001,0,"black"
"123/229 carbohydrate derivative metabolic process",1e-15,0,"black"
"18/26 nucleobase metabolic process",0.011000000000001,0,"black"
"10/12 pyrimidine nucleobase metabolic process",0.0392857142857153,0,"black"
"6/7 'de novo' pyrimidine nucleobase biosynthetic process",0.056250000000001,0,"black"
"16/20 pyrimidine-containing compound metabolic process",0.00526315789473784,0,"black"
"13/14 pyrimidine-containing compound biosynthetic process",1e-15,0,"black"
"68/126 carbohydrate derivative biosynthetic process",0.00483870967742036,0,"black"
"8/10 purine ribonucleoside monophosphate biosynthetic process",0.0194690265486736,0,"black"
"11/14 ribonucleoside monophosphate biosynthetic process",0.00576923076923177,0,"black"
"8/8 IMP biosynthetic process",0.00409836065573871,0,"black"
"105/197 nucleobase-containing small molecule metabolic process",1e-15,0,"black"
"73/121 nucleoside phosphate biosynthetic process",1e-15,0,"black"
"11/14 nucleobase biosynthetic process",0.0168224299065431,0,"black"
"97/170 organophosphate biosynthetic process",1e-15,0,"black"
"143/268 organophosphate metabolic process",1e-15,0,"black"
"44/77 nucleoside triphosphate metabolic process",0.00888888888888989,0,"black"
"223/469 phosphorus metabolic process",1e-15,0,"black"
"80/143 purine-containing compound metabolic process",1e-15,0,"black"
"14/22 ribonucleoside bisphosphate metabolic process",0.0669398907103835,0,"black"
"125/206 cofactor metabolic process",1e-15,0,"black"
"9/13 acyl-CoA metabolic process",0.0948837209302335,0,"black"
"59/105 coenzyme metabolic process",1e-15,0,"black"
"63/102 cofactor biosynthetic process",1e-15,0,"black"
"39/64 coenzyme biosynthetic process",0.00540540540540641,0,"black"
"9/11 ribonucleoside bisphosphate biosynthetic process",0.0668508287292828,0,"black"
"13/16 pteridine-containing compound metabolic process",0.0072289156626516,0,"black"
"6/6 pteridine-containing compound biosynthetic process",0.0239495798319338,0,"black"
"6/6 dicarboxylic acid catabolic process",0.0970183486238542,0,"black"
"36/52 cellular modified amino acid metabolic process",1e-15,0,"black"
"11/11 folic acid-containing compound metabolic process",1e-15,0,"black"
"51/92 sulfur compound metabolic process",0.000909090909091909,0,"black"
"96/195 cellular amide metabolic process",0.006875000000001,0,"black"
"11/16 nonribosomal peptide biosynthetic process",0.0622093023255824,0,"black"
"57/116 amide biosynthetic process",0.0394927536231894,0,"black"
"16/24 cellular modified amino acid biosynthetic process",0.0343283582089562,0,"black"
"175/330 organonitrogen compound biosynthetic process",1e-15,0,"black"
"11/12 branched-chain amino acid metabolic process",0.00476190476190576,0,"black"
"44/59 organic acid catabolic process",1e-15,0,"black"
"55/88 small molecule catabolic process",1e-15,0,"black"
"24/35 cellular amino acid catabolic process",0.00882352941176571,0,"black"
"7/8 branched-chain amino acid catabolic process",0.0208695652173923,0,"black"
"40/73 monocarboxylic acid biosynthetic process",0.051840490797547,0,"black"
"116/203 small molecule biosynthetic process",1e-15,0,"black"
"78/136 carboxylic acid biosynthetic process",1e-15,0,"black"
"8/13 glutamine family amino acid biosynthetic process",0.0178571428571439,0,"black"
"6/7 proline metabolic process",0.00862068965517341,0,"black"
"33/51 glutamine family amino acid metabolic process",1e-15,0,"black"
"32/53 cellular amino acid biosynthetic process",0.023728813559323,0,"black"
"5/5 histidine metabolic process",0.0397810218978112,0,"black"
"78/127 alpha-amino acid metabolic process",1e-15,0,"black"
