delta.rank,pval,level,nseqs,term,name,p.adj
0,5.26E-37,2,798,GO:0044281,small molecule metabolic process,0
0,1.83E-29,5,430,GO:0019752;GO:0043436;GO:0006082,organic acid metabolic process,0
0,6.78E-23,5,201,GO:0034660,ncRNA metabolic process,0
0,1.78E-21,5,430,GO:0006396,RNA processing,0
0,3.76E-20,2,128,GO:0034470,ncRNA processing,0
0,1.53E-19,2,234,GO:0005975,carbohydrate metabolic process,0
0,5.41E-17,2,85,GO:0006364;GO:0016072,rRNA metabolic process,0
0,4.33E-16,2,205,GO:0006520,cellular amino acid metabolic process,0
0,4.03E-13,2,206,GO:0051186,cofactor metabolic process,0
0,2.69E-12,2,171,GO:0032787,monocarboxylic acid metabolic process,0
0,5.04E-12,2,29,GO:0008033,tRNA processing,0
0,2.49E-11,3,253,GO:0017144,drug metabolic process,0
0,3.34E-11,2,83,GO:0019318;GO:0005996,monosaccharide metabolic process,0
0,1.15E-10,3,59,GO:0046395;GO:0016054,organic acid catabolic process,0
0,1.17E-10,6,83,GO:0006399,tRNA metabolic process,0
0,1.20E-10,2,330,GO:1901566,organonitrogen compound biosynthetic process,0
0,1.30E-10,2,85,GO:0016999,antibiotic metabolic process,0
0,1.93E-10,2,170,GO:0090407,organophosphate biosynthetic process,0
0,2.96E-10,3,268,GO:0019637,organophosphate metabolic process,0
0,3.32E-10,2,46,GO:0006099;GO:0006101;GO:0072350,citrate metabolic process,0
0,3.96E-10,2,127,GO:1901605,alpha-amino acid metabolic process,0
0,5.46E-10,3,121,GO:0009152;GO:0006164;GO:0009260;GO:1901293;GO:0009165;GO:0072522;GO:0046390,nucleoside phosphate biosynthetic process,0
0,1.38E-09,4,197,GO:0006753;GO:0055086;GO:0009117,nucleobase-containing small molecule metabolic process,0
0,3.27E-09,3,21,GO:0009451,RNA modification,0
0,3.83E-09,3,109,GO:0006631,fatty acid metabolic process,0
0,1.27E-08,3,203,GO:0044283,small molecule biosynthetic process,0
0,1.48E-08,2,42,GO:0043648,dicarboxylic acid metabolic process,0
