delta.rank,pval,level,nseqs,term,name,p.adj
0,4.73E-22,3,494,GO:0035556,intracellular signal transduction,0
0,1.83E-21,2,530,GO:0006928,movement of cell or subcellular component,0
0,3.58E-19,2,1023,GO:0048523;GO:0048519,negative regulation of biological process,0
0,2.94E-16,2,805,GO:0009966;GO:0010646;GO:0023051;GO:0048583,regulation of response to stimulus,0
0,4.85E-16,2,605,GO:0007166,cell surface receptor signaling pathway,0
0,8.64E-15,3,599,GO:0006996,organelle organization,0
0,1.41E-14,2,1209,GO:0006355;GO:1903506;GO:2001141;GO:0051252;GO:0019219,regulation of nucleobase-containing compound metabolic process,0
0,5.16E-14,2,275,GO:0007010,cytoskeleton organization,0
0,4.45E-13,3,39,GO:0007229,integrin-mediated signaling pathway,0
0,7.81E-13,2,410,GO:0010629;GO:0010605;GO:0009892,negative regulation of metabolic process,0
0,1.10E-12,2,66,GO:0007050,cell cycle arrest,0
0,1.77E-11,3,310,GO:0031324;GO:0051172,negative regulation of cellular metabolic process,0
0,2.13E-11,2,1073,GO:0048522;GO:0048518,positive regulation of biological process,0
0,2.25E-11,3,48,GO:0009611,response to wounding,0
0,3.39E-11,2,60,GO:0034329;GO:0034330,cell junction organization,0
0,4.86E-11,2,28,GO:0045104;GO:0045103,intermediate filament cytoskeleton organization,0
0,1.06E-10,2,22,GO:0030011,maintenance of cell polarity,0
0,1.15E-10,3,508,GO:0051239,regulation of multicellular organismal process,0
0,1.64E-10,2,363,GO:1902531,regulation of intracellular signal transduction,0
0,2.01E-10,5,206,GO:0007167;GO:0007169,enzyme linked receptor protein signaling pathway,0
0,2.81E-10,2,346,GO:2000026,regulation of multicellular organismal development,0
0,1.11E-09,2,139,GO:0045786,negative regulation of cell cycle,0
0,1.51E-09,2,269,GO:0048870;GO:0040011,locomotion,0
0,3.90E-09,2,198,GO:0016477,cell migration,0
0,9.39E-09,2,1084,GO:0048856,anatomical structure development,0
0,1.02E-08,2,218,GO:0051726,regulation of cell cycle,0
0,1.21E-08,2,111,GO:0007163,establishment or maintenance of cell polarity,0
0,1.33E-08,2,666,GO:0048869,cellular developmental process,0
0,1.45E-08,2,458,GO:0030154,cell differentiation,0
0,1.62E-08,5,31,GO:0007044,cell-substrate junction assembly,0
0,2.10E-08,2,472,GO:0050793,regulation of developmental process,0
0,3.02E-08,2,22,GO:0031581,hemidesmosome assembly,0
0,3.51E-08,3,139,GO:0046578;GO:0051056,regulation of small GTPase mediated signal transduction,0
0,4.41E-08,3,142,GO:0009888,tissue development,0
0,4.90E-08,2,396,GO:0065009,regulation of molecular function,0
0,5.71E-08,2,265,GO:0045892;GO:1903507;GO:2000113;GO:1902679;GO:0010558;GO:0031327;GO:0051253;GO:0009890;GO:0045934,negative regulation of biosynthetic process,0
0,6.23E-08,2,465,GO:0022607,cellular component assembly,0
0,6.38E-08,2,24,GO:0002822;GO:0002819,regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,0
0,6.75E-08,2,155,GO:0030029;GO:0030036,actin filament-based process,0
0,7.82E-08,2,363,GO:0009653,anatomical structure morphogenesis,0
0,9.11E-08,3,57,GO:0006892,post-Golgi vesicle-mediated transport,0
0,1.28E-07,6,74,GO:0048812;GO:0120039;GO:0048858;GO:0032990,cell part morphogenesis,0
0,1.42E-07,2,186,GO:0030030,cell projection organization,0
0,1.47E-07,2,251,GO:0007017,microtubule-based process,0
0,1.57E-07,2,492,GO:0007155;GO:0022610,cell adhesion,0
0,1.78E-07,5,467,GO:0032268;GO:0051246,regulation of protein metabolic process,0
0,1.94E-07,5,610,GO:0031325;GO:0009893;GO:0010604;GO:0051173,positive regulation of metabolic process,0
0,2.20E-07,2,753,GO:0006351;GO:0097659;GO:0032774,RNA biosynthetic process,0
0,2.48E-07,2,14,GO:0019722,calcium-mediated signaling,0
0,3.94E-07,2,101,GO:0032269;GO:0051248,negative regulation of protein metabolic process,0
0,4.05E-07,5,29,GO:0019932,second-messenger-mediated signaling,0
0,4.97E-07,2,110,GO:0048193,Golgi vesicle transport,0
0,5.61E-07,2,104,GO:0032989,cellular component morphogenesis,0
0,6.08E-07,3,161,GO:0016055;GO:1905114,cell surface receptor signaling pathway involved in cell-cell signaling,0
0,6.49E-07,4,61,GO:0046777,protein autophosphorylation,0
0,1.00E-06,2,17,GO:0043112,receptor metabolic process,0
0,1.04E-06,4,61,GO:0002697,regulation of immune effector process,0
0,1.33E-06,3,34,GO:0008543,fibroblast growth factor receptor signaling pathway,0
0,1.74E-06,4,298,GO:0006357,regulation of transcription by RNA polymerase II,0
0,1.74E-06,2,274,GO:0042127,regulation of cell population proliferation,0
0,2.09E-06,3,98,GO:0120036,plasma membrane bounded cell projection organization,0
0,2.18E-06,2,101,GO:0000226,microtubule cytoskeleton organization,0
0,2.20E-06,6,27,GO:0071901;GO:0006469;GO:0033673;GO:0051348,negative regulation of protein kinase activity,0
0,2.26E-06,3,306,GO:0001932;GO:0031399;GO:0042325;GO:0019220;GO:0051174,regulation of protein modification process,0
0,2.49E-06,2,28,GO:0006893;GO:0098876;GO:0043001;GO:0061951;GO:0072659;GO:1990778,Golgi to plasma membrane transport,0
0,4.83E-06,2,19,GO:0002695;GO:0050866,negative regulation of cell activation,0.000694444
0,4.55E-06,2,19,GO:0050869;GO:0050864;GO:0051250;GO:0070664;GO:0002634,regulation of B cell activation,0.000704225
0,4.04E-06,4,118,GO:0051090,regulation of DNA-binding transcription factor activity,0.000714286
0,4.03E-06,3,40,GO:0001704,formation of primary germ layer,0.000724638
0,3.79E-06,1,1070,GO:0032501,multicellular organismal process,0.000735294
0,3.75E-06,4,23,GO:0006612,protein targeting to membrane,0.000746269
0,3.27E-06,3,196,GO:0006468;GO:0016310,phosphorylation,0.000757576
0,5.92E-06,3,12,GO:0033619,membrane protein proteolysis,0.002
0,5.80E-06,2,141,GO:0043410;GO:0043408,regulation of MAPK cascade,0.002027027
0,5.57E-06,3,111,GO:0030155,regulation of cell adhesion,0.002054795
0,1.02E-05,3,37,GO:0008286,insulin receptor signaling pathway,0.002380952
0,9.28E-06,3,138,GO:0008285,negative regulation of cell population proliferation,0.002409639
0,8.65E-06,4,52,GO:0050863;GO:0051249;GO:1903037;GO:0022407,regulation of lymphocyte activation,0.002439024
0,8.48E-06,7,31,GO:0031047,gene silencing by RNA,0.002469136
0,8.00E-06,-1,7,GO:0033261,obsolete regulation of S phase,0.0025
0,7.11E-06,4,71,GO:0035023,regulation of Rho protein signal transduction,0.002531646
0,6.54E-06,2,177,GO:0051094,positive regulation of developmental process,0.002564103
0,6.52E-06,3,328,GO:0048513,animal organ development,0.002597403
0,6.21E-06,2,20,GO:0008361,regulation of cell size,0.002631579
0,1.52E-05,3,9,GO:0098815;GO:0071625,modulation of excitatory postsynaptic potential,0.002631579
0,1.52E-05,2,213,GO:0007264,small GTPase mediated signal transduction,0.002659574
0,1.50E-05,2,32,GO:0007162,negative regulation of cell adhesion,0.002688172
0,1.46E-05,6,9,GO:0047496;GO:0099518;GO:0072383;GO:0072386,vesicle transport along microtubule,0.002717391
0,1.43E-05,2,14,GO:0046620,regulation of organ growth,0.002747253
0,1.37E-05,2,103,GO:0051493,regulation of cytoskeleton organization,0.002777778
0,1.37E-05,3,47,GO:0050678,regulation of epithelial cell proliferation,0.002808989
0,1.24E-05,4,10,GO:0005513,detection of calcium ion,0.002840909
0,1.24E-05,3,10,GO:0070509,calcium ion import,0.002840909
0,1.17E-05,4,179,GO:0045859;GO:0043549;GO:0051338,regulation of transferase activity,0.002906977
0,1.16E-05,2,8,GO:0006620,posttranslational protein targeting to endoplasmic reticulum membrane,0.002941176
0,1.72E-05,3,147,GO:0007411;GO:0097485,neuron projection guidance,0.003125
