delta.rank,pval,level,nseqs,term,name,p.adj
0,1.75E-15,5,3804,unknown,unknown,0
0,0.002797229,2,69,GO:0046649;GO:0045321,leukocyte activation,0.728947368
0,0.002797009,2,16,GO:0006672,ceramide metabolic process,0.769444444
0,0.002768138,5,5,GO:0015809;GO:0015802,arginine transport,0.808823529
0,0.00331657,2,48,GO:0051865,protein autoubiquitination,0.81
0,0.004062496,2,410,GO:0010629;GO:0010605;GO:0009892,negative regulation of metabolic process,0.827083333
0,0.002749238,3,20,GO:0006109;GO:0043467,regulation of carbohydrate metabolic process,0.85
0,0.003989512,2,599,GO:0006996,organelle organization,0.85
0,0.004968087,2,666,GO:0048869,cellular developmental process,0.871428571
0,0.005353338,2,33,GO:0090305,nucleic acid phosphodiester bond hydrolysis,0.876666667
0,0.003822298,2,21,GO:0002700,regulation of production of molecular mediator of immune response,0.883333333
0,0.003979444,4,275,GO:0007010,cytoskeleton organization,0.884090909
0,0.005263102,5,10,GO:0006265,DNA topological change,0.887931034
0,0.019540627,2,5,GO:0007016,cytoskeletal anchoring at plasma membrane,0.888425926
0,0.019540627,4,5,GO:0007159,leukocyte cell-cell adhesion,0.888425926
0,0.020964896,3,6,GO:0036230;GO:0042119;GO:0030854;GO:0030852,granulocyte activation,0.889473684
0,0.020964896,3,6,GO:0048384,retinoic acid receptor signaling pathway,0.889473684
0,0.024154494,2,38,GO:0030522,intracellular receptor signaling pathway,0.889694656
0,0.002720483,3,458,GO:0030154,cell differentiation,0.89
0,0.006811301,2,43,GO:0062012,regulation of small molecule metabolic process,0.890277778
0,0.004731118,2,20,GO:0050777,negative regulation of immune response,0.890384615
0,0.015662307,3,7,GO:0062014,negative regulation of small molecule metabolic process,0.891176471
0,0.023999017,2,108,GO:0001775,cell activation,0.891923077
0,0.015534517,4,98,GO:0071310,cellular response to organic substance,0.892857143
0,0.023894699,3,7,GO:0002443,leukocyte mediated immunity,0.89496124
0,0.021934191,4,67,GO:1901701,cellular response to oxygen-containing compound,0.895338983
0,0.00494257,2,58,GO:0000910,cytokinesis,0.896296296
0,0.018468494,2,39,GO:0007041;GO:0007034,vacuolar transport,0.896534653
