Ourcontigname,MM.darkgrey
contig100021_110093_105915,0
contig100026,0
contig100031,0
contig100068,0
contig100072,0
contig100085,0
contig100105,0
contig100110_36597,0.439429770352049
contig10014,0
contig100147,0
contig10017,0.554684713451722
contig100213,0
contig100223,0
contig100227,0
contig100238,0
contig100252,0
contig100259,0.617533798948166
contig100270,0.573009038260495
contig100286,0.397226099393356
contig100302_114262_202031,0
contig100308_100284,0
contig100317,0.811253869928109
contig100342_110120,0
contig100347_112826,0
contig100349,0.666375042928385
contig10035,0
contig100356_120192,0
contig100368,0
contig100370,0
contig100371,0
contig100385,0
contig10089,0
contig10124,0
contig101271,0.568051965587954
contig10139,0
contig10151,0.216191663396692
contig10156_75121,0
contig101622_105709,0.625325131913896
contig101652_118512_155327_152629_13815_194650,0
contig101711,0
contig102087,0.610809154494307
contig102452_154741,0
contig102837,0
contig102905_207771,0.0226682676917275
contig103066,0
contig103072,0
contig103080_193887,0.425300881700006
contig103143_217041,0.838218158607268
contig103182,0
contig103201_171449,0
contig103219_215109_185725_147264,0.487861320980975
contig103268,0
contig103311,0
contig103314,0.213314260390078
contig103319,0.819280827360035
contig103330,0
contig103348_204747_205079_169199,0.490923634926014
contig103358_172018,0.359541128245241
contig103363,0
contig103397,0
contig103404_119913,0
contig103410,0
contig103420_192191,0
contig103425_149272_167527_211115,0
contig103466,0.180352406164798
contig103472,0.31910058943726
contig10366_169504,0
contig103867,0
contig103881,0
contig103887,0.437746865339433
contig103897,0.695418279984454
contig103899,0.138577858919255
contig103904,0
contig103911,0
contig103913,0
contig103917,0
contig103920,0
contig103939,0
contig103946,0
contig103949,0
contig103956,0
contig103965,0
contig103971,0.718847431704604
contig103987_118237,0.497915779993361
contig103989,0
contig103991,0
contig103993,0.587484665976091
contig103994,0
contig103997_9531,0
contig104002,0
contig104025_179357,0
contig104029,0.487444854745581
contig104035,0
contig104037,0
contig104048,0
contig104051,0
contig104068,0.292817903261512
contig104083,0
contig104085,0
contig104095,0
contig104106,0.385005446551921
contig104108_178914,0
contig104110_177850,0
contig104111,0
contig104113,0.592924800901739
contig104125,0
contig104126,0
contig104128,0
contig104142_174302_152809,0
contig104145,0
contig104154,0
contig104155_53047,0
contig104156,0.401146602862045
