Ourcontigname,MM.darkorange
contig100021_110093_105915,NA
contig100026,0.807627162267419
contig100031,NA
contig100068,NA
contig100072,NA
contig100085,NA
contig100105,NA
contig100110_36597,NA
contig10014,NA
contig100147,0.446580007100754
contig10017,NA
contig100213,NA
contig100223,NA
contig100227,NA
contig100238,NA
contig100252,NA
contig100259,NA
contig100270,NA
contig100286,NA
contig100302_114262_202031,NA
contig100308_100284,NA
contig100317,NA
contig100342_110120,NA
contig100347_112826,NA
contig100349,NA
contig10035,NA
contig100356_120192,NA
contig100368,NA
contig100370,NA
contig100371,NA
contig100385,NA
contig10089,NA
contig10124,NA
contig101271,NA
contig10139,NA
contig10151,NA
contig10156_75121,NA
contig101622_105709,NA
contig101652_118512_155327_152629_13815_194650,NA
contig101711,NA
contig102087,NA
contig102452_154741,NA
contig102837,NA
contig102905_207771,NA
contig103066,NA
contig103072,NA
contig103080_193887,NA
contig103143_217041,NA
contig103182,NA
contig103201_171449,NA
contig103219_215109_185725_147264,NA
contig103268,NA
contig103311,NA
contig103314,NA
contig103319,NA
contig103330,NA
contig103348_204747_205079_169199,NA
contig103358_172018,NA
contig103363,NA
contig103397,NA
contig103404_119913,NA
contig103410,NA
contig103420_192191,NA
contig103425_149272_167527_211115,0.453392687466997
contig103466,NA
contig103472,NA
contig10366_169504,NA
contig103867,NA
contig103881,NA
contig103887,NA
contig103897,NA
contig103899,NA
contig103904,NA
contig103911,NA
contig103913,NA
contig103917,NA
contig103920,NA
contig103939,NA
contig103946,NA
contig103949,NA
contig103956,NA
contig103965,NA
contig103971,NA
contig103987_118237,NA
contig103989,NA
contig103991,NA
contig103993,NA
contig103994,NA
contig103997_9531,NA
contig104002,NA
contig104025_179357,NA
contig104029,NA
contig104035,NA
contig104037,NA
contig104048,NA
contig104051,NA
contig104068,NA
contig104083,NA
contig104085,NA
contig104095,NA
contig104106,NA
contig104108_178914,NA
contig104110_177850,NA
contig104111,NA
contig104113,NA
contig104125,NA
contig104126,NA
contig104128,NA
contig104142_174302_152809,NA
contig104145,NA
contig104154,NA
contig104155_53047,NA
contig104156,NA
contig104164_3603,NA
contig104176,NA
contig104181,NA
contig104186,NA
contig104213,NA
contig104230_177771_190078,NA
contig104231,NA
contig104237,NA
contig104240,NA
contig104244_178728,NA
contig104255_74669_147417,NA
contig104258_202427,NA
contig104263,NA
contig104267,NA
contig104273,NA
contig104274,NA
contig104281,NA
contig104291,NA
contig104294,NA
contig104299_209878_600192,NA
contig104303,NA
contig104307,NA
contig104309,NA
