"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.135889527689205 2 424 "GO:0000139;GO:0044431" "Golgi apparatus part" 1
0 0.0513853130160328 1 475 "GO:0005576" "extracellular region" 1
0 0.280355501444087 2 110 "GO:0005581" "collagen trimer" 1
0 0.602475788835771 2 207 "GO:0005615" "extracellular space" 1
0 0.0241696405749125 2 26 "GO:0005618;GO:0030312" "cell wall" 0.866666666666667
0 0.0255721213789167 -1 91 "GO:0005624" "obsolete membrane fraction" 0.855263157894737
0 0.0511236701113188 4 18 "GO:0005637" "nuclear inner membrane" 1
0 0.0522392123133943 4 206 "GO:0005654" "nucleoplasm" 1
0 0.29734674395585 4 110 "GO:0005681" "spliceosomal complex" 1
0 0.0796679828860723 3 301 "GO:0005739" "mitochondrion" 1
0 0.346202256169688 4 169 "GO:0005743;GO:0019866" "organelle inner membrane" 1
0 0.156782011620581 3 88 "GO:0005759" "mitochondrial matrix" 1
0 0.00189834455401063 2 88 "GO:0005765;GO:0098852" "lytic vacuole membrane" 0.15
0 0.0313746418815889 2 112 "GO:0005768" "endosome" 0.879545454545455
0 0.0764251295863976 6 48 "GO:0005769" "early endosome" 1
0 0.00466793441221209 2 123 "GO:0005774;GO:0044437" "vacuolar part" 0.33
0 0.397420769783375 4 350 "GO:0005789" "endoplasmic reticulum membrane" 1
0 0.00825706219261838 -1 106 "GO:0005792" "obsolete microsome" 0.522727272727273
0 0.030820980678919 2 50 "GO:0005819" "spindle" 0.914285714285714
0 0.383596592225081 4 708 "GO:0005829" "cytosol" 1
0 0.574008409782292 2 345 "GO:0005856" "cytoskeleton" 1
0 0.704951597353552 2 340 "GO:0005874;GO:0099513;GO:0099512;GO:0099081;GO:0099080" "supramolecular complex" 1
0 0.13035855759734 5 34 "GO:0005882" "intermediate filament" 1
0 0.297445654539364 2 876 "GO:0005886" "plasma membrane" 1
0 0.170880707814826 2 240 "GO:0005887;GO:0031226" "intrinsic component of plasma membrane" 1
0 0.234133933265375 2 113 "GO:0005911" "cell-cell junction" 1
0 0.109823517451869 2 91 "GO:0005912;GO:0070161" "anchoring junction" 1
0 0.106031668585643 2 44 "GO:0005923;GO:0070160" "tight junction" 1
0 0.0808433607883194 3 63 "GO:0005925;GO:0005924;GO:0030055" "cell-substrate junction" 1
0 0.177212912381112 2 55 "GO:0005929" "cilium" 1
0 0.0106495309015796 5 170 "GO:0010008;GO:0044440" "endosomal part" 0.6125
0 0.0508303143305573 2 14 "GO:0016514" "SWI/SNF complex" 1
0 0.518628473502779 5 158 "GO:0016604" "nuclear body" 1
0 0.133912947411508 6 31 "GO:0016605" "PML body" 1
0 0.0212621695426944 2 72 "GO:0019898" "extrinsic component of membrane" 0.829411764705882
0 0.182562960728915 1 346 "GO:0030054" "cell junction" 1
0 0.203256293908239 3 49 "GO:0030425" "dendrite" 1
0 0.02682205225116 5 82 "GO:0030658" "transport vesicle membrane" 0.845
0 0.00453694323390384 4 189 "GO:0030659;GO:0012506" "vesicle membrane" 0.361111111111111
0 2.56273568931999e-05 2 47 "GO:0030667" "secretory granule membrane" 0
0 0.000614411679752765 2 13 "GO:0031088" "platelet dense granule membrane" 0.05
0 0.0119487416975405 2 1006 "GO:0031090" "organelle membrane" 0.603571428571429
0 0.10837081272272 3 291 "GO:0031410;GO:0097708;GO:0031982" "vesicle" 1
0 0.000231132027998454 2 42 "GO:0031902" "late endosome membrane" 0.075
0 0.221579971752995 3 92 "GO:0031965" "nuclear membrane" 1
0 0.155685671929715 4 49 "GO:0032580" "Golgi cisterna membrane" 1
0 0.0107681024774301 3 19 "GO:0033178" "proton-transporting two-sector ATPase complex, catalytic domain" 0.573076923076923
0 0.165450741437024 3 39 "GO:0035097;GO:0034708" "histone methyltransferase complex" 1
0 0.00310076385607967 6 26 "GO:0042589" "zymogen granule membrane" 0.24375
0 0.430362384174536 2 317 "GO:0042995;GO:0120025" "cell projection" 1
0 0.520839277910406 2 159 "GO:0043005" "neuron projection" 1
0 0.338141821116565 3 981 "GO:0043232;GO:0043228" "intracellular non-membrane-bounded organelle" 1
0 0.0153371010333956 2 18 "GO:0044391;GO:0015934" "ribosomal subunit" 0.693333333333333
0 0.785300694556292 1 355 "GO:0044421" "extracellular region part" 1
0 0.461569054963494 3 183 "GO:0044427" "chromosomal part" 1
0 0.515768835271625 2 1097 "GO:0044428" "nuclear part" 1
0 0.384786178046091 2 379 "GO:0044429" "mitochondrial part" 1
0 0.427858836207354 3 675 "GO:0044430" "cytoskeletal part" 1
0 0.548559428707907 2 494 "GO:0044432" "endoplasmic reticulum part" 1
0 0.000422902985064733 2 381 "GO:0044433" "cytoplasmic vesicle part" 0.0666666666666667
0 0.0209637166277777 4 25 "GO:0044445" "cytosolic part" 0.871875
