delta.rank,pval,level,nseqs,term,name,p.adj
0,4.22E-06,2,16,GO:0070628,proteasome binding,0.05
0,8.58E-05,4,19,GO:0043022,ribosome binding,0.116666667
0,0.000286411,2,34,GO:0140030,modification-dependent protein binding,0.12
0,3.47E-05,3,14,GO:0031593,polyubiquitin modification-dependent protein binding,0.125
0,0.000214885,2,27,GO:0043021,ribonucleoprotein complex binding,0.1375
0,0.001654127,5,6,GO:0008177;GO:0000104,succinate dehydrogenase activity,0.211111111
0,0.001316319,2,14,GO:0004003,ATP-dependent DNA helicase activity,0.235714286
0,0.001102572,7,6,GO:0043138;GO:0043140,3'-5' DNA helicase activity,0.241666667
0,0.002066579,5,5,GO:0016155,formyltetrahydrofolate dehydrogenase activity,0.255
0,0.002435146,4,5,GO:0004708,MAP kinase kinase activity,0.281818182
0,0.004226584,4,7,GO:0000036;GO:0044620;GO:0051192,ACP phosphopantetheine attachment site binding,0.375
0,0.005216805,2,18,GO:0031419,cobalamin binding,0.406666667
0,0.007885061,3,26,GO:0003678,DNA helicase activity,0.541176471
0,0.007806591,5,5,GO:0005227,calcium activated cation channel activity,0.5625
0,0.009559543,4,12,GO:0016404,15-hydroxyprostaglandin dehydrogenase (NAD+) activity,0.683333333
0,0.010502264,1,11,GO:0140104,molecular carrier activity,0.715789474
0,0.013786464,2,32,GO:0008094,DNA-dependent ATPase activity,0.89
0,0.019956712,2,82,GO:0004519,endonuclease activity,0.89516129
0,0.028595933,2,407,GO:0048037,cofactor binding,0.91627907
0,0.021215362,3,114,GO:0020037;GO:0046906,tetrapyrrole binding,0.91875
0,0.022163491,2,13,GO:0008061,chitin binding,0.922727273
0,0.017697782,2,7,GO:0004143,diacylglycerol kinase activity,0.923076923
0,0.019875219,3,22,GO:0016860,intramolecular oxidoreductase activity,0.923333333
0,0.028265257,-1,9,GO:0003840,obsolete gamma-glutamyltransferase activity,0.928571429
0,0.048617894,2,18,GO:0051087,chaperone binding,0.931060606
0,0.134217167,3,234,GO:0050662,coenzyme binding,0.936567164
0,0.017407842,5,84,GO:0004725,protein tyrosine phosphatase activity,0.94
0,0.133072249,2,15,GO:0043621,protein self-association,0.940977444
0,0.128415535,2,21,GO:0005496,steroid binding,0.941538462
0,0.018583334,5,92,GO:0008017;GO:0015631,tubulin binding,0.942592593
0,0.048193665,4,69,GO:0050660,flavin adenine dinucleotide binding,0.943076923
0,0.050522036,3,106,GO:0008026;GO:0070035,purine NTP-dependent helicase activity,0.943283582
0,0.078147647,3,237,GO:0004842;GO:0019787,ubiquitin-like protein transferase activity,0.945652174
0,0.13770062,2,8,GO:0019209;GO:0030295,kinase activator activity,0.945925926
0,0.027065357,2,118,GO:0019842,vitamin binding,0.946153846
0,0.027596369,6,48,GO:0005254;GO:0005253;GO:0015108,chloride transmembrane transporter activity,0.94625
0,0.028026662,5,23,GO:0005007,fibroblast growth factor-activated receptor activity,0.946341463
0,0.076288672,2,56,GO:0008194,UDP-glycosyltransferase activity,0.947777778
0,0.125670326,3,9,GO:0004176,ATP-dependent peptidase activity,0.948046875
0,0.128391394,3,14,GO:0008066,glutamate receptor activity,0.948837209
0,0.030515541,2,14,GO:0004089,carbonate dehydratase activity,0.948863636
0,0.14503334,6,20,GO:0003993,acid phosphatase activity,0.949280576
0,0.157045211,2,38,GO:0042393,histone binding,0.95
0,0.121745853,4,41,GO:0035257;GO:0051427;GO:0061629,RNA polymerase II-specific DNA-binding transcription factor binding,0.9504
0,0.053308799,3,9,GO:0005041;GO:0030228,lipoprotein particle receptor activity,0.950724638
0,0.047850649,2,8,GO:0005540,hyaluronic acid binding,0.9515625
0,0.07770881,2,88,GO:0005088;GO:0005089,Ras guanyl-nucleotide exchange factor activity,0.951648352
0,0.10917947,2,6,GO:0052745,inositol phosphate phosphatase activity,0.952155172
0,0.15545308,2,353,GO:0015318;GO:0015075,ion transmembrane transporter activity,0.952430556
0,0.1442646,2,111,GO:0005096;GO:0008047;GO:0030695;GO:0060589,enzyme activator activity,0.953623188
0,0.132600633,4,44,GO:0046943;GO:0005342;GO:0008514,organic anion transmembrane transporter activity,0.953816794
0,0.111074966,2,11,GO:0015355;GO:0008028,monocarboxylic acid transmembrane transporter activity,0.954273504
0,0.079931733,3,12,GO:0005548,phospholipid transporter activity,0.954301075
0,0.107666439,2,54,GO:0030170;GO:0070279,pyridoxal phosphate binding,0.954347826
0,0.091477094,2,14,GO:0032934,sterol binding,0.954411765
0,0.125514714,1,84,GO:0016209,antioxidant activity,0.954724409
0,0.057024915,3,44,GO:0004540,ribonuclease activity,0.954794521
0,0.019869548,2,23,GO:0003725,double-stranded RNA binding,0.955172414
0,0.119236879,-1,23,GO:0051636;GO:0051637;GO:0035375,obsolete Gram-negative bacterial cell surface binding,0.955284553
0,0.094830843,4,17,GO:0003727,single-stranded RNA binding,0.956190476
0,0.118448602,2,7,GO:0030060;GO:0016615,malate dehydrogenase activity,0.957377049
0,0.025530279,4,20,GO:0004435;GO:0004629,phospholipase C activity,0.958333333
0,0.091095889,-1,52,GO:0004221,obsolete ubiquitin thiolesterase activity,0.96039604
0,0.144171728,2,10,GO:1901682,sulfur compound transmembrane transporter activity,0.960583942
0,0.170350625,4,89,GO:0005261,cation channel activity,0.961258278
0,0.075231658,1,50,GO:0038024;GO:0005044,cargo receptor activity,0.961363636
0,0.089955127,2,6,GO:0008271;GO:0015116,secondary active sulfate transmembrane transporter activity,0.9615
0,0.082393427,4,22,GO:0004559;GO:0015923,mannosidase activity,0.961702128
0,0.10728382,2,7,GO:0015932;GO:1901505,nucleobase-containing compound transmembrane transporter activity,0.962280702
0,0.125493461,4,16,GO:0010181,FMN binding,0.962301587
0,0.117561344,4,13,GO:0002020,protease binding,0.962396694
0,0.117561344,2,13,GO:0043027;GO:0043028,cysteine-type endopeptidase regulator activity involved in apoptotic process,0.962396694
0,0.097255634,4,65,GO:0015103,inorganic anion transmembrane transporter activity,0.962735849
0,0.060634843,5,40,GO:0022843,voltage-gated cation channel activity,0.963815789
0,0.155121795,2,15,GO:0015171,amino acid transmembrane transporter activity,0.965140845
0,0.059472809,4,6,GO:0001641;GO:0001640;GO:0098988,G protein-coupled glutamate receptor activity,0.965333333
0,0.055399725,2,8,GO:0015485;GO:0043178,alcohol binding,0.965492958
0,0.083818469,2,315,GO:0005102,signaling receptor binding,0.965789474
0,0.115343511,4,571,GO:0016301;GO:0016773;GO:0004672,kinase activity,0.966386555
0,0.105011377,3,135,GO:0009055,electron transfer activity,0.966517857
0,0.034690873,2,15,GO:0030544,Hsp70 protein binding,0.966666667
0,0.170162505,2,78,GO:0004714;GO:0019199,transmembrane receptor protein kinase activity,0.967
0,0.05688399,5,3396,unknown,unknown,0.967361111
0,0.168504845,3,51,GO:0017124,SH3 domain binding,0.967449664
0,0.15432423,3,81,GO:0022839;GO:0022836,gated channel activity,0.969858156
0,0.094555329,2,33,GO:0005319,lipid transporter activity,0.97038835
0,0.075123767,2,55,GO:0004601;GO:0016684,peroxidase activity,0.970689655
0,0.089764756,2,63,GO:0016298,lipase activity,0.971212121
0,0.088415961,2,6,GO:0042800,histone methyltransferase activity (H3-K4 specific),0.97244898
0,0.167736064,5,42,GO:0004190;GO:0070001,aspartic-type peptidase activity,0.972635135
0,0.11510094,3,137,GO:0005516,calmodulin binding,0.972881356
0,0.104610835,5,17,GO:0008138,protein tyrosine/serine/threonine phosphatase activity,0.972972973
0,0.032299265,2,26,GO:0019205,nucleobase-containing compound kinase activity,0.973333333
0,0.055056204,4,37,GO:0004843;GO:0036459;GO:0019783;GO:0101005,ubiquitin-like protein-specific protease activity,0.973571429
0,0.035661385,3,5,GO:0015248,sterol transporter activity,0.974489796
0,0.037173662,4,46,GO:0003729,mRNA binding,0.974509804
0,0.038904771,2,21,GO:0008376,acetylgalactosaminyltransferase activity,0.974528302
0,0.211048215,2,13,GO:0005080,protein kinase C binding,0.976047904
0,0.047146339,5,94,GO:0000287,magnesium ion binding,0.977419355
0,0.046194722,3,143,GO:0005216;GO:0022838;GO:0015267;GO:0022803,passive transmembrane transporter activity,0.977868852
0,0.100702414,2,77,GO:0005506,iron ion binding,0.978037383
0,0.167121925,5,10,GO:0048365,Rac GTPase binding,0.978231293
0,0.086602789,2,129,GO:0005085,guanyl-nucleotide exchange factor activity,0.978645833
0,0.087922737,2,101,GO:0016853,isomerase activity,0.978865979
0,0.104135543,2,129,GO:0019901;GO:0019900,kinase binding,0.979090909
0,0.017391609,4,345,GO:0016887,ATPase activity,0.979166667
0,0.200917613,2,12,GO:0008093,cytoskeletal adaptor activity,0.979938272
0,0.203750459,4,15,GO:0045296,cadherin binding,0.98006135
0,0.071477497,2,126,GO:0004721,phosphoprotein phosphatase activity,0.980120482
0,0.218505946,2,13,GO:0032813,tumor necrosis factor receptor superfamily binding,0.980177515
0,0.215895654,2,15,GO:0050681,androgen receptor binding,0.980357143
0,0.06856462,2,48,GO:0016836;GO:0016835,carbon-oxygen lyase activity,0.980864198
0,0.189600832,2,383,GO:0004888;GO:0038023;GO:0060089,molecular transducer activity,0.98089172
0,0.026558721,2,153,GO:0044877,protein-containing complex binding,0.981081081
0,0.199486002,2,400,GO:0003700;GO:0140110,transcription regulator activity,0.98136646
0,0.103108561,2,58,GO:0005244;GO:0022832,voltage-gated ion channel activity,0.981651376
0,0.195638609,3,24,GO:0004869,cysteine-type endopeptidase inhibitor activity,0.981761006
0,0.211016736,2,53,GO:0008201;GO:0005539,glycosaminoglycan binding,0.981927711
0,0.075019481,3,14,GO:0046966,thyroid hormone receptor binding,0.981976744
0,0.178432962,6,58,GO:0004197,cysteine-type endopeptidase activity,0.982565789
0,0.016783901,2,8,GO:0033842,N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity,0.982608696
0,0.067631075,2,43,GO:0015079,potassium ion transmembrane transporter activity,0.983125
0,0.039885671,5,16,GO:0004709,MAP kinase kinase kinase activity,0.983333333
0,0.188656848,3,102,GO:0034061;GO:0003964,DNA polymerase activity,0.983333333
0,0.207433746,2,159,GO:0016779,nucleotidyltransferase activity,0.983841463
0,0.025509619,4,112,GO:0008509,anion transmembrane transporter activity,0.984285714
0,0.036952922,3,88,GO:0042626;GO:0015405;GO:0043492;GO:0015399,primary active transmembrane transporter activity,0.985
0,0.044807278,3,33,GO:0005249;GO:0005267,potassium channel activity,0.98559322
0,0.194845056,2,57,GO:0140297,DNA-binding transcription factor binding,0.985759494
0,0.210388445,2,899,GO:0003677,DNA binding,0.986060606
0,0.198765726,3,102,GO:0008234,cysteine-type peptidase activity,0.9865625
0,0.045735735,8,11,GO:0004571;GO:0015924,mannosyl-oligosaccharide mannosidase activity,0.986666667
0,0.102142685,4,7,GO:0070577;GO:0140033,lysine-acetylated histone binding,0.987037037
0,0.074346705,2,398,GO:0008092,cytoskeletal protein binding,0.987058824
0,0.034669714,3,19,GO:0004712,protein serine/threonine/tyrosine kinase activity,0.987234043
0,0.043957827,3,42,GO:0004620,phospholipase activity,0.988793103
0,0.186816449,2,334,GO:0004674,protein serine/threonine kinase activity,0.98961039
0,0.229339374,4,62,GO:0031406;GO:0043177,carboxylic acid binding,0.990643275
0,0.071334541,2,164,GO:0004386,helicase activity,0.992073171
0,0.227559799,3,20,GO:0004806,triglyceride lipase activity,0.993529412
0,0.064979691,2,702,GO:0016491,oxidoreductase activity,0.994155844
0,0.067300588,4,293,GO:0003779,actin binding,0.994303797
0,0.016244535,2,21,GO:0004096;GO:0047677;GO:0047987;GO:0016165,catalase activity,0.995454545
0,0.186345999,3,43,GO:0015035,protein disulfide oxidoreductase activity,0.996078431
0,0.043285491,2,41,GO:0008081,phosphoric diester hydrolase activity,0.997368421
0,0.034179921,2,631,GO:0005509,calcium ion binding,0.998913043
0,0.746451005,2,106,GO:0003682,chromatin binding,1
0,0.50976787,3,53,GO:0003690,double-stranded DNA binding,1
0,0.379893305,3,26,GO:0003697,single-stranded DNA binding,1
0,0.383082198,2,120,GO:0003712,transcription coregulator activity,1
0,0.684301077,2,87,GO:0003713,transcription coactivator activity,1
0,0.276964824,2,738,GO:0003723,RNA binding,1
0,0.329562289,2,74,GO:0003743,translation initiation factor activity,1
0,0.371282331,2,206,GO:0003774,motor activity,1
0,0.532328881,8,133,GO:0003777,microtubule motor activity,1
0,0.837727191,2,121,GO:0003924,GTPase activity,1
0,0.453927585,5,309,GO:0004175,endopeptidase activity,1
0,0.273182997,6,107,GO:0004222,metalloendopeptidase activity,1
0,0.042810952,2,130,GO:0004518,nuclease activity,1
0,0.27366994,3,132,GO:0004713,protein tyrosine kinase activity,1
0,0.473504359,3,131,GO:0004857,enzyme inhibitor activity,1
0,0.428611371,2,91,GO:0004866;GO:0030414;GO:0061135;GO:0061134,peptidase regulator activity,1
0,0.33226707,-1,119,GO:0004871,obsolete signal transducer activity,1
0,0.367337577,2,145,GO:0004930,G protein-coupled receptor activity,1
0,0.301627374,4,19,GO:0005126,cytokine receptor binding,1
0,0.674420699,1,310,GO:0005198,structural molecule activity,1
0,0.464058478,2,34,GO:0005200,structural constituent of cytoskeleton,1
0,0.674518968,5,304,GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0019001;GO:0001882,guanyl ribonucleotide binding,1
0,0.605758499,2,139,GO:0005543,phospholipid binding,1
0,0.282728914,2,18,GO:0005544,calcium-dependent phospholipid binding,1
0,0.297996166,2,31,GO:0008083,growth factor activity,1
0,0.401550911,2,128,GO:0008134,transcription factor binding,1
0,0.511001154,4,116,GO:0008135;GO:0090079;GO:0045182,translation regulator activity,1
0,0.520310824,2,55,GO:0008170;GO:0018024;GO:0016279;GO:0042054;GO:0008276;GO:0016278,N-methyltransferase activity,1
0,0.043004185,2,7,GO:0008187;GO:0008266,poly-pyrimidine tract binding,1
0,0.371331986,5,165,GO:0008237,metallopeptidase activity,1
0,0.329357444,2,1161,GO:0008270;GO:0046914,transition metal ion binding,1
0,0.404110518,2,240,GO:0008289,lipid binding,1
0,0.587157744,2,70,GO:0008757,S-adenosylmethionine-dependent methyltransferase activity,1
0,0.255017102,3,148,GO:0015077,monovalent inorganic cation transmembrane transporter activity,1
0,0.442182946,3,99,GO:0015291,secondary active transmembrane transporter activity,1
0,0.416877443,5,68,GO:0015293,symporter activity,1
0,0.257936423,2,85,GO:0016702;GO:0016701;GO:0051213,dioxygenase activity,1
0,0.015974169,5,226,GO:0016791;GO:0042578,phosphoric ester hydrolase activity,1
0,0.413218363,2,119,GO:0016829,lyase activity,1
0,0.813378377,2,192,GO:0016874,ligase activity,1
0,0.407357337,3,30,GO:0016881,acid-amino acid ligase activity,1
0,0.285588808,4,21,GO:0016922;GO:0035258,nuclear receptor binding,1
0,0.284927053,3,93,GO:0017048,Rho GTPase binding,1
0,0.551618686,4,45,GO:0019887;GO:0019207,kinase regulator activity,1
0,0.488649399,2,470,GO:0019899,enzyme binding,1
0,0.389150933,2,168,GO:0019904,protein domain specific binding,1
0,0.23774882,2,187,GO:0022804,active transmembrane transporter activity,1
0,0.442052843,2,575,GO:0022857;GO:0005215,transporter activity,1
0,0.304468365,2,239,GO:0022890;GO:0008324,cation transmembrane transporter activity,1
0,0.495961311,2,274,GO:0030234,enzyme regulator activity,1
0,0.477033366,2,81,GO:0031072,heat shock protein binding,1
0,0.550423776,2,269,GO:0042802,identical protein binding,1
0,0.314401587,4,197,GO:0042803,protein homodimerization activity,1
0,0.263232011,2,36,GO:0043130;GO:0032182,ubiquitin-like protein binding,1
0,0.379561714,4,209,GO:0043565,sequence-specific DNA binding,1
0,0.562821526,4,64,GO:0044212;GO:0001067,regulatory region nucleic acid binding,1
0,0.266673274,3,161,GO:0046873,metal ion transmembrane transporter activity,1
0,0.309360948,3,299,GO:0046983,protein dimerization activity,1
0,0.488047762,3,71,GO:0048018;GO:0030545,receptor regulator activity,1
0,0.496028792,3,50,GO:0050839,cell adhesion molecule binding,1
0,0.454316266,2,34,GO:0051015,actin filament binding,1
0,0.327048288,4,197,GO:0051020;GO:0031267;GO:0017016,GTPase binding,1
0,0.30203867,2,54,GO:0051536;GO:0051540,iron-sulfur cluster binding,1
0,0.435638775,2,50,GO:0052689,carboxylic ester hydrolase activity,1
0,0.517779527,2,40,GO:0060090;GO:0030674,molecular adaptor activity,1
0,0.472894079,2,443,GO:0070011;GO:0008233,peptidase activity,1
0,0.499366351,1,468,GO:0098772,molecular function regulator,1
0,0.325898206,2,27,GO:1990837,sequence-specific double-stranded DNA binding,1
0,1,2,5,GO:0000030,mannosyltransferase activity,1
0,1,2,20,GO:0000049,tRNA binding,1
0,1,6,9,GO:0000062;GO:1901567,fatty-acyl-CoA binding,1
0,1,8,12,GO:0000146,microfilament motor activity,1
0,1,3,5,GO:0000268,peroxisome targeting sequence binding,1
