delta.rank,pval,level,nseqs,term,name,p.adj
0,1.08E-06,2,19,GO:0043901,negative regulation of multi-organism process,0
0,1.43E-05,2,169,GO:0006955,immune response,0
0,3.26E-05,2,82,GO:0001817,regulation of cytokine production,0.016666667
0,3.39E-05,2,25,GO:0001816,cytokine production,0.0125
0,4.90E-05,3,8,GO:0048525,negative regulation of viral process,0.01
0,5.51E-05,3,55,GO:0001819,positive regulation of cytokine production,0.016666667
0,6.41E-05,2,24,GO:0050792;GO:0043903,regulation of symbiosis,
0,6.64E-05,2,53,GO:0043900,regulation of multi-organism process,0.0125
0,8.05E-05,2,63,GO:0045088;GO:0045089;GO:0031349,regulation of innate immune response,0.016666667
0,8.42E-05,4,13,GO:0071345,cellular response to cytokine stimulus,0.015
0,0.000143078,3,15,GO:0032663,regulation of interleukin-2 production,0.036363636
0,0.000163326,3,5,GO:0034341,response to interferon-gamma,0.033333333
0,0.000171527,2,38,GO:0034097,response to cytokine,0.030769231
0,0.000211816,5,85,GO:0007219,Notch signaling pathway,0.032142857
0,0.000248214,5,80,GO:0031347,regulation of defense response,0.046666667
0,0.000269166,1,306,GO:0002376,immune system process,0.046875
0,0.000304255,4,46,GO:0002683,negative regulation of immune system process,0.05
0,0.000331894,2,225,GO:0051240,positive regulation of multicellular organismal process,0.055555556
0,0.000348564,2,20,GO:0050727,regulation of inflammatory response,0.052631579
0,0.000363959,2,19,GO:0045667,regulation of osteoblast differentiation,0.05
0,0.00038156,7,5,GO:0050718;GO:0032731;GO:0050706;GO:0050716;GO:0032651;GO:0032732;GO:0050704;GO:0032652,regulation of interleukin-1 beta secretion,0.05
0,0.000739213,2,24,GO:0090101;GO:0090288,negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,0.113636364
0,0.00076707,2,7,GO:0097150,neuronal stem cell population maintenance,0.115217391
0,0.000870852,3,205,GO:0002682,regulation of immune system process,0.125
0,0.000888116,2,149,GO:0002684,positive regulation of immune system process,0.12
0,0.00089395,5,106,GO:0002253;GO:0050778,positive regulation of immune response,0.115384615
0,0.000942265,3,61,GO:0072593,reactive oxygen species metabolic process,0.112962963
0,0.000964846,3,39,GO:0001818,negative regulation of cytokine production,0.1125
0,0.001020521,4,58,GO:0090287,regulation of cellular response to growth factor stimulus,0.112068966
0,0.001169989,4,28,GO:0030278,regulation of ossification,0.136666667
0,0.00118691,3,7,GO:0019430;GO:0098869;GO:1990748;GO:0098754,cellular oxidant detoxification,0.132258065
0,0.001301758,2,9,GO:2000736,regulation of stem cell differentiation,0.134375
0,0.00134612,4,9,GO:0050707;GO:0050715,regulation of cytokine secretion,0.137878788
0,0.001532107,5,9,GO:0002260;GO:0001776,lymphocyte homeostasis,0.152941176
0,0.001582641,5,11,GO:0001922;GO:0001782;GO:0045779;GO:0046851;GO:0034104;GO:2000349;GO:2000348;GO:2000352;GO:1904036;GO:2000351;GO:1904035;GO:0032703;GO:0090291;GO:0090289;GO:0034136;GO:0034122;GO:0034135;GO:0034121;GO:0034140;GO:0034139;GO:0070423;GO:0002753;GO:0035872;GO:0061043;GO:0072573;GO:0002507;GO:0031665;GO:0002832,nucleotide-binding domain,
0,0.001662958,5,3396,unknown,unknown,0.155555556
0,0.001714634,2,133,GO:0070887,cellular response to chemical stimulus,0.160810811
0,0.001735987,2,112,GO:0045597,positive regulation of cell differentiation,0.157894737
0,0.001909753,3,123,GO:0045087,innate immune response,0.173076923
0,0.001968827,2,11,GO:0007220,Notch receptor processing,0.17125
0,0.002094839,5,46,GO:0002224;GO:0002221;GO:0002758;GO:0002218,activation of innate immune response,0.176829268
0,0.002204974,4,57,GO:0042737,drug catabolic process,0.182142857
0,0.002470228,3,12,GO:0032606,type I interferon production,0.191860465
0,0.002487298,2,134,GO:0050776,regulation of immune response,0.1875
0,0.002513708,3,10,GO:0045648;GO:0045646,regulation of erythrocyte differentiation,0.184444444
0,0.003034578,2,49,GO:0022403;GO:0044848,biological phase,0.216304348
0,0.003106714,6,12,GO:0002708;GO:0002705;GO:0002706,regulation of lymphocyte mediated immunity,0.215957447
0,0.00325327,4,13,GO:0048872,homeostasis of number of cells,0.220833333
0,0.003268856,5,203,GO:0009968;GO:0010648;GO:0023057;GO:0048585,negative regulation of response to stimulus,0.216326531
0,0.003367175,2,16,GO:0050728;GO:0031348,negative regulation of defense response,0.22
0,0.003436348,3,482,GO:0051239,regulation of multicellular organismal process,0.219607843
