"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.424976541782548 2 33 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 1
0 0.102833517568686 2 30 "GO:0000187" "activation of MAPK activity" 1
0 0.279833997555873 3 109 "GO:0000209" "protein polyubiquitination" 1
0 0.702317257441302 2 94 "GO:0000226" "microtubule cytoskeleton organization" 1
0 0.158872299462544 2 57 "GO:0000910" "cytokinesis" 1
0 0.224512668967103 5 64 "GO:0000956;GO:0006402;GO:0006401" "RNA catabolic process" 1
0 0.255388046536771 2 40 "GO:0001503" "ossification" 1
0 0.143991239362152 3 48 "GO:0001505" "regulation of neurotransmitter levels" 1
0 0.0645172924232378 7 8 "GO:0001516;GO:0006693;GO:0046457;GO:0006636" "prostaglandin metabolic process" 1
0 0.0921232256407791 3 66 "GO:0001525" "angiogenesis" 1
0 0.625870400158617 2 65 "GO:0001558" "regulation of cell growth" 1
0 0.403269068384386 2 100 "GO:0001775" "cell activation" 1
0 0.111229090134399 2 9 "GO:0001778" "plasma membrane repair" 1
0 0.142996715459631 4 82 "GO:0001817" "regulation of cytokine production" 1
0 0.271724964633022 2 39 "GO:0001818" "negative regulation of cytokine production" 1
0 0.203024591169276 2 55 "GO:0001819" "positive regulation of cytokine production" 1
0 0.139746652385992 4 18 "GO:0001843;GO:0060606" "tube closure" 1
0 0.128383697701966 5 10 "GO:0001889" "liver development" 1
0 0.193151557271798 5 27 "GO:0001894" "tissue homeostasis" 1
0 0.61586028796528 5 283 "GO:0001932;GO:0031399;GO:0042325;GO:0019220;GO:0051174" "regulation of protein modification process" 1
0 0.45175547831195 2 183 "GO:0001934;GO:0031401;GO:0042327;GO:0045937;GO:0010562" "positive regulation of protein modification process" 1
0 0.562431089163141 4 64 "GO:0002009" "morphogenesis of an epithelium" 1
0 0.162803737410342 7 46 "GO:0002224;GO:0002221;GO:0002758;GO:0002218" "activation of innate immune response" 1
0 0.011710868573979 2 51 "GO:0002237" "response to molecule of bacterial origin" 1
0 0.151479883299682 2 42 "GO:0002252" "immune effector process" 1
0 0.443868966817594 2 106 "GO:0002253;GO:0050778" "positive regulation of immune response" 1
0 0.0911720452451527 3 11 "GO:0002274" "myeloid leukocyte activation" 1
0 0.014451062338428 1 306 "GO:0002376" "immune system process" 1
0 0.0264590989628006 4 16 "GO:0002460;GO:0002250;GO:0042088;GO:0045410;GO:0045408" "adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains" 1
0 0.23790256767873 4 36 "GO:0002521" "leukocyte differentiation" 1
0 0.0911720452451527 2 11 "GO:0002573" "myeloid leukocyte differentiation" 1
0 0.0985263030303694 2 12 "GO:0002637;GO:0051023" "regulation of immunoglobulin production" 1
0 0.281036516417584 2 205 "GO:0002682" "regulation of immune system process" 1
0 0.158556751013281 4 46 "GO:0002683" "negative regulation of immune system process" 1
0 0.286283987895881 3 149 "GO:0002684" "positive regulation of immune system process" 1
0 0.150697321057004 2 9 "GO:0002685" "regulation of leukocyte migration" 1
0 0.0980631422927566 2 59 "GO:0002694;GO:0050865" "regulation of cell activation" 1
0 0.0830118057922154 5 19 "GO:0002695;GO:0050866" "negative regulation of cell activation" 1
0 0.0381276175033608 2 60 "GO:0002697" "regulation of immune effector process" 1
0 0.0600550960435822 2 13 "GO:0002698" "negative regulation of immune effector process" 1
0 0.158606538702555 5 21 "GO:0002700" "regulation of production of molecular mediator of immune response" 1
0 0.279070000332693 8 22 "GO:0002755;GO:0034130;GO:0034134" "MyD88-dependent toll-like receptor signaling pathway" 1
0 0.296428991308121 4 72 "GO:0002757;GO:0002764" "immune response-activating signal transduction" 1
0 0.100181675344805 3 24 "GO:0002822;GO:0002819" "regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains" 1
0 0.0492956711149824 2 28 "GO:0002831" "regulation of response to biotic stimulus" 1
0 0.0602692538540624 2 7 "GO:0002833" "positive regulation of response to biotic stimulus" 1
0 0.138143735109216 3 233 "GO:0005975" "carbohydrate metabolic process" 1
0 0.168309680408482 2 18 "GO:0006004" "fucose metabolic process" 1
0 0.0695263499795878 2 40 "GO:0006006" "glucose metabolic process" 1
0 0.350464855009854 2 24 "GO:0006022" "aminoglycan metabolic process" 1
