"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.00636842703552184 2 7 "GO:0000018" "regulation of DNA recombination" 0.220642201834862
0 0.130663389785223 2 40 "GO:0000041" "transition metal ion transport" 0.799272349272349
0 0.0135892578759521 5 7 "GO:0000045;GO:1905037" "autophagosome organization" 0.350949367088608
0 0.0290577654820416 3 45 "GO:0000075" "cell cycle checkpoint" 0.509913793103448
0 0.0186251154503346 2 24 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.412566844919786
0 0.0674767836944093 3 33 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.737461773700306
0 0.00423930690097385 5 30 "GO:0000096" "sulfur amino acid metabolic process" 0.192441860465116
0 0.470394776843314 5 82 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.957630522088353
0 0.0144350479292851 2 12 "GO:0000186" "activation of MAPKK activity" 0.359509202453988
0 0.320646570506048 2 109 "GO:0000209" "protein polyubiquitination" 0.902757619738752
0 0.444105595636689 3 94 "GO:0000226" "microtubule cytoskeleton organization" 0.952713704206241
0 0.000228928385964591 4 8 "GO:0000245" "spliceosomal complex assembly" 0.036
0 0.00237120185524015 2 8 "GO:0000278" "mitotic cell cycle" 0.16031746031746
0 0.0395971879446894 8 6 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.591385767790262
0 1.09162719779158e-05 8 18 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0
0 0.0952748321116061 3 41 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 0.799226804123711
0 0.00992597658449614 4 12 "GO:0000723;GO:0032200" "telomere maintenance" 0.285507246376812
0 0.00367278254484583 2 11 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 0.180625
0 0.262206251411722 2 30 "GO:0000902" "cell morphogenesis" 0.889859594383775
0 0.206673016233056 2 22 "GO:0000904" "cell morphogenesis involved in differentiation" 0.860647359454855
0 0.254448181850932 3 57 "GO:0000910" "cytokinesis" 0.888941548183254
0 0.254375580007797 2 64 "GO:0000956;GO:0006402;GO:0006401" "RNA catabolic process" 0.890189873417722
0 0.424752569007672 3 50 "GO:0001101" "response to acid chemical" 0.942029972752044
0 0.0192252714324246 3 48 "GO:0001505" "regulation of neurotransmitter levels" 0.416578947368421
0 0.236931134646399 2 66 "GO:0001525" "angiogenesis" 0.879497568881686
0 0.113237725862684 2 18 "GO:0001539" "cilium or flagellum-dependent cell motility" 0.789569160997732
0 0.0761334693178786 4 65 "GO:0001558" "regulation of cell growth" 0.765462427745665
0 0.0895417002036572 2 5 "GO:0001578" "microtubule bundle formation" 0.789285714285714
0 0.0988865740003586 6 22 "GO:0001657;GO:0072164;GO:0072163" "mesonephric epithelium development" 0.785024752475248
0 0.0263753855518689 4 5 "GO:0001658" "branching involved in ureteric bud morphogenesis" 0.488513513513514
0 0.376544812421869 4 52 "GO:0001667" "ameboidal-type cell migration" 0.919625520110957
0 0.567842674006101 2 53 "GO:0001701;GO:0043009" "chordate embryonic development" 0.97390180878553
0 0.00662276647659749 2 35 "GO:0001704" "formation of primary germ layer" 0.226339285714286
0 0.00378135358424443 4 25 "GO:0001707" "mesoderm formation" 0.181707317073171
0 0.206673016233056 2 22 "GO:0001708" "cell fate specification" 0.860647359454855
0 0.191365173706882 3 20 "GO:0001709" "cell fate determination" 0.848511383537653
0 0.14164660383405 5 14 "GO:0001751;GO:0045314;GO:0042478;GO:0110116;GO:0007474;GO:0045610;GO:0009608;GO:0042676;GO:0046667;GO:0046666;GO:0007451;GO:0035161;GO:0035165;GO:0035163;GO:0042688;GO:0042386;GO:0035153;GO:0035214;GO:0030708;GO:0048139;GO:0048138;GO:0007403;GO:0035172;GO:0007446;GO:0008587;GO:0035171;GO:0035168;GO:0042387;GO:0007478;GO:0007560;GO:0035111;GO:0035170;GO:0007521;GO:0045316;GO:0042480;GO:0110118;GO:0035157;GO:0009996;GO:0035155;GO:0007314;GO:0007309;GO:0030720;GO:0051674;GO:0030713;GO:0045750;GO:0048052;GO:0007464;GO:0001752;GO:0042706;GO:0046552;GO:0045466;GO:0045463;GO:0007460;GO:0042686;GO:0051890;GO:2000043;GO:1905207;GO:0042689;GO:0045468;GO:0016330;GO:0007419;GO:0007473;GO:0007449" "compound eye retinal cell programmed cell death" 0.811177644710579
0 0.11449307034426 4 11 "GO:0001754;GO:0046530" "eye photoreceptor cell differentiation" 0.782516703786192
0 0.0888420515297445 4 18 "GO:0001764" "neuron migration" 0.789095744680851
0 0.0384431277294418 2 100 "GO:0001775" "cell activation" 0.580681818181818
0 0.0483492690910321 5 9 "GO:0001778" "plasma membrane repair" 0.651567944250871
0 0.0440247113723924 2 25 "GO:0001816" "cytokine production" 0.62068345323741
0 0.406281758537739 4 82 "GO:0001817" "regulation of cytokine production" 0.936145404663923
0 0.27769124928203 5 39 "GO:0001818" "negative regulation of cytokine production" 0.893587786259542
0 0.61160596924663 2 55 "GO:0001819" "positive regulation of cytokine production" 0.977834394904459
0 0.00246146964759195 4 50 "GO:0001822" "kidney development" 0.155223880597015
0 0.100918153840693 5 11 "GO:0001922;GO:0001782;GO:0045779;GO:0046851;GO:0034104;GO:2000349;GO:2000348;GO:2000352;GO:1904036;GO:2000351;GO:1904035;GO:0032703;GO:0090291;GO:0090289;GO:0034136;GO:0034122;GO:0034135;GO:0034121;GO:0034140;GO:0034139;GO:0070423;GO:0002753;GO:0035872;GO:0061043;GO:0072573;GO:0002507;GO:0031665;GO:0002832" "negative regulation of interleukin-2 production" 0.779903147699758
0 0.164062375487698 2 283 "GO:0001932;GO:0031399;GO:0042325;GO:0019220;GO:0051174" "regulation of protein modification process" 0.830524344569288
0 0.150247749917624 3 51 "GO:0001933;GO:0031400;GO:0042326;GO:0045936;GO:0010563" "negative regulation of protein modification process" 0.82770137524558
0 0.130534642760844 2 183 "GO:0001934;GO:0031401;GO:0042327;GO:0045937;GO:0010562" "positive regulation of protein modification process" 0.799895833333333
0 0.00189650161234697 5 17 "GO:0001952" "regulation of cell-matrix adhesion" 0.145
0 0.141361138840595 2 64 "GO:0002009" "morphogenesis of an epithelium" 0.813226452905812
0 0.0502771223746069 3 10 "GO:0002065" "columnar/cuboidal epithelial cell differentiation" 0.66448275862069
0 0.0313459057083035 4 6 "GO:0002067" "glandular epithelial cell differentiation" 0.525619834710744
0 0.192608675999274 3 46 "GO:0002224;GO:0002221;GO:0002758;GO:0002218" "activation of innate immune response" 0.850699300699301
0 0.585994232276909 4 51 "GO:0002237" "response to molecule of bacterial origin" 0.974903722721438
0 0.523724186207915 2 106 "GO:0002253;GO:0050778" "positive regulation of immune response" 0.972529644268775
0 0.0841576471171317 3 9 "GO:0002260;GO:0001776" "leukocyte homeostasis" 0.783608815426997
0 0.589157140159615 1 306 "GO:0002376" "immune system process" 0.975192307692308
0 0.250033288266412 2 16 "GO:0002460;GO:0002250;GO:0042088;GO:0045410;GO:0045408" "adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains" 0.892012779552716
0 0.487957734751014 2 36 "GO:0002521" "leukocyte differentiation" 0.958819628647215
0 0.187184000486215 2 11 "GO:0002573" "myeloid leukocyte differentiation" 0.844444444444444
0 0.0120931634140098 2 16 "GO:0002576" "platelet degranulation" 0.332432432432432
0 0.185628399078383 2 205 "GO:0002682" "regulation of immune system process" 0.845390070921986
0 0.308603462231752 4 46 "GO:0002683" "negative regulation of immune system process" 0.902282768777614
0 0.542787366907904 2 149 "GO:0002684" "positive regulation of immune system process" 0.969700910273082
0 0.189066498177258 2 59 "GO:0002694;GO:0050865" "regulation of cell activation" 0.84622144112478
0 0.161727214110908 2 19 "GO:0002695;GO:0050866" "negative regulation of cell activation" 0.828679245283019
