delta.rank,pval,level,nseqs,term,name,p.adj
0,0.626435469,2,40,GO:0000041,transition metal ion transport,1
0,0.07724936,3,45,GO:0000075,cell cycle checkpoint,1
0,0.017253705,3,24,GO:0000077;GO:0031570,DNA integrity checkpoint,1
0,0.122768849,5,33,GO:0000086;GO:0044839,G2/M transition of mitotic cell cycle,1
0,0.119053563,2,30,GO:0000096,sulfur amino acid metabolic process,1
0,0.783225843,7,82,GO:0000122,negative regulation of transcription by RNA polymerase II,1
0,0.624007013,3,44,GO:0000165;GO:0023014,MAPK cascade,1
0,0.567616119,3,109,GO:0000209,protein polyubiquitination,1
0,0.564381892,4,94,GO:0000226,microtubule cytoskeleton organization,1
0,0.097473149,3,23,GO:0000236;GO:0098763,mitotic cell cycle phase,1
0,0.128969423,4,27,GO:0000302,response to reactive oxygen species,1
0,0.018334916,5,12,GO:0000723;GO:0032200,telomere maintenance,1
0,0.01704827,4,11,GO:0000724;GO:0000725,recombinational repair,1
0,0.64022705,2,64,GO:0000956;GO:0006402;GO:0006401,RNA catabolic process,1
0,0.599461723,2,33,GO:0001501,skeletal system development,1
0,0.611748542,2,40,GO:0001503,ossification,1
0,0.151081114,3,48,GO:0001505,regulation of neurotransmitter levels,1
0,0.027131697,2,8,GO:0001522,pseudouridine synthesis,1
0,0.165428953,3,66,GO:0001525,angiogenesis,1
0,0.122395602,4,5,GO:0001649,osteoblast differentiation,1
0,0.174597017,3,52,GO:0001654;GO:0007423,sensory organ development,1
0,0.356210882,4,18,GO:0001656,metanephros development,1
0,0.412287758,2,22,GO:0001657;GO:0072164;GO:0072163,mesonephric tubule development,1
0,0.133279311,2,5,GO:0001658,branching involved in ureteric bud morphogenesis,1
0,0.162658945,2,52,GO:0001667,ameboidal-type cell migration,1
0,0.281115128,2,53,GO:0001701;GO:0043009,chordate embryonic development,1
0,0.144597495,2,35,GO:0001704,formation of primary germ layer,1
0,0.117484913,2,25,GO:0001707,mesoderm formation,1
0,0.217605331,4,9,GO:0001736;GO:0007164,establishment of planar polarity,1
0,0.275852806,3,13,GO:0001755,neural crest cell migration,1
0,0.04333356,2,100,GO:0001775,cell activation,1
