delta.rank,pval,level,nseqs,term,name,p.adj
0,2.63E-05,4,65,GO:0006412,translation,0.05
0,6.26E-05,3,112,GO:0043043;GO:0043604,amide biosynthetic process,0.125
0,0.000273087,2,26,GO:0006839,mitochondrial transport,0.185714286
0,0.00025751,2,322,GO:1901566,organonitrogen compound biosynthetic process,0.2
0,0.000237533,2,188,GO:0043603,cellular amide metabolic process,0.23
0,0.000177457,3,125,GO:0006518,peptide metabolic process,0.266666667
0,0.000479123,3,35,GO:0060341,regulation of cellular localization,0.266666667
0,0.000546118,6,8,GO:0001522,pseudouridine synthesis,0.28
0,0.000430551,2,233,GO:0005975,carbohydrate metabolic process,0.28125
0,0.000227219,2,20,GO:0032386,regulation of intracellular transport,0.2875
0,0.000695591,2,10,GO:0046822,regulation of nucleocytoplasmic transport,0.327272727
0,0.000844143,6,424,GO:0006396,RNA processing,0.341666667
0,0.001650357,4,736,GO:0006464;GO:0036211;GO:0044267;GO:0043412,cellular protein metabolic process,0.642307692
0,0.003967396,3,139,GO:0009150;GO:0006163;GO:0009259;GO:0072521;GO:0019693,purine-containing compound metabolic process,0.817391304
0,0.003855324,3,111,GO:0006417;GO:0010608;GO:0034248,posttranscriptional regulation of gene expression,0.834090909
0,0.003709223,5,108,GO:0006631,fatty acid metabolic process,0.857142857
0,0.003132067,6,9,GO:0006626,protein targeting to mitochondrion,0.863888889
0,0.00361921,2,100,GO:0051493,regulation of cytoskeleton organization,0.8725
0,0.003496253,2,184,GO:0009117;GO:0006753;GO:0055086,nucleobase-containing small molecule metabolic process,0.905263158
0,0.003093303,2,23,GO:0009451,RNA modification,0.908823529
0,0.007782462,2,7,GO:0009311,oligosaccharide metabolic process,0.918918919
0,0.005624579,3,201,GO:0006091;GO:0055114,generation of precursor metabolites and energy,0.924074074
0,0.009992398,2,5,GO:0045910,negative regulation of DNA recombination,0.929787234
0,0.00535788,3,22,GO:0072175;GO:0001838,epithelial tube formation,0.934615385
0,0.006235934,3,138,GO:0033043,regulation of organelle organization,0.937931034
0,0.007758191,3,5,GO:0001578,microtubule bundle formation,0.941666667
0,0.010353985,2,41,GO:1901990;GO:1901987,regulation of mitotic cell cycle phase transition,0.94375
0,0.009777845,6,6,GO:0032981;GO:0010257;GO:0033108,mitochondrial respiratory chain complex assembly,0.945555556
0,0.00516935,3,84,GO:0043254;GO:0030833;GO:0008064;GO:0032271;GO:0030832,regulation of protein complex assembly,0.946
0,0.009928851,2,20,GO:0006635;GO:0009062;GO:0019395;GO:0034440,fatty acid oxidation,0.94673913
0,0.010618345,2,243,GO:0044255,cellular lipid metabolic process,0.951020408
0,0.007548703,2,5,GO:0090342,regulation of cell aging,0.951428571
0,0.007172266,5,6,GO:0009113,purine nucleobase biosynthetic process,0.951515152
0,0.009660744,2,215,GO:0070647,protein modification by small protein conjugation or removal,0.952272727
0,0.006691273,5,42,GO:0006633,fatty acid biosynthetic process,0.956451613
0,0.007407367,2,5,GO:0051149,positive regulation of muscle cell differentiation,0.958823529
0,0.011594914,3,72,GO:0035295;GO:0060429,tube development,0.963207547
0,0.003078173,2,345,GO:0006397;GO:0016071,mRNA metabolic process,0.965625
0,0.005035708,2,30,GO:0008033,tRNA processing,0.966666667
0,0.006197818,5,13,GO:0072655;GO:0070585,establishment of protein localization to mitochondrion,0.967857143
0,0.01833211,4,5,GO:0000387,spliceosomal snRNP assembly,0.969411765
0,0.018195489,5,7,GO:0006739,NADP metabolic process,0.971428571
0,0.018033011,2,18,GO:0006004,fucose metabolic process,0.974096386
0,0.007155008,2,23,GO:0034599,cellular response to oxidative stress,0.978125
0,0.011534933,2,778,GO:0044281,small molecule metabolic process,0.979807692
0,0.012247112,2,5,GO:0043101,purine-containing compound salvage,0.980909091
0,0.012247112,2,5,GO:0043174,nucleoside salvage,0.980909091
0,0.013905626,2,6,GO:0017158,regulation of calcium ion-dependent exocytosis,0.984126984
0,0.017999678,2,7,GO:2000379,positive regulation of reactive oxygen species metabolic process,0.984146341
0,0.009072735,2,5,GO:0051156,glucose 6-phosphate metabolic process,0.98625
0,0.009358388,3,119,GO:0009152;GO:0006164;GO:0009260;GO:0009165;GO:0072522;GO:0046390;GO:1901293,nucleoside phosphate biosynthetic process,0.986585366
0,0.009589946,2,25,GO:0008340,determination of adult lifespan,0.986904762
0,0.017879594,2,7,GO:0097084,vascular smooth muscle cell development,0.990740741
0,0.01905896,5,7,GO:0019229,regulation of vasoconstriction,0.990804598
0,0.018893895,2,168,GO:0032787,monocarboxylic acid metabolic process,0.99127907
0,0.016573561,4,7,GO:0046129;GO:0042451;GO:0042455,ribonucleoside biosynthetic process,0.991333333
0,0.017048621,5,12,GO:0070979,protein K11-linked ubiquitination,0.991558442
0,0.016392781,8,21,GO:0031124;GO:0031123,RNA 3'-end processing,0.991891892
0,0.016029057,6,81,GO:0051028;GO:0050658;GO:0050657;GO:0051236;GO:0015931,nucleic acid transport,0.992361111
0,0.013843956,3,16,GO:0051147,regulation of muscle cell differentiation,0.994354839
0,0.020298969,4,15,GO:0030071;GO:0010965;GO:1902099;GO:0033047;GO:1905818;GO:0033045,regulation of sister chromatid segregation,0.995652174
0,0.020298969,4,15,GO:0031145,anaphase-promoting complex-dependent catabolic process,0.995652174
0,0.016850734,2,7,GO:0048565,digestive tract development,0.996710526
0,0.017859028,3,14,GO:0045947,negative regulation of translational initiation,0.99875
0,0.01153333,3,170,GO:0016567;GO:0032446,protein modification by small protein conjugation,0.999019608
0,0.003070956,2,24,GO:0022613;GO:0044085;GO:0042254,cellular component biogenesis,1
0,0.003077164,3,86,GO:1902903;GO:0110053;GO:0032956;GO:0032970,regulation of actin cytoskeleton organization,1
0,0.008905504,2,6,GO:0010821,regulation of mitochondrion organization,1
0,0.00901293,2,13,GO:0006879,cellular iron ion homeostasis,1
0,0.011458973,2,198,GO:0044283,small molecule biosynthetic process,1
0,0.012720577,2,41,GO:0035148,tube formation,1
0,0.013155843,2,6,GO:0045429;GO:0045428;GO:1903428;GO:1904407;GO:1903426,regulation of nitric oxide biosynthetic process,1
0,0.013205615,2,144,GO:0006457,protein folding,1
0,0.013491836,-1,6,GO:0006200,obsolete ATP catabolic process,1
0,0.013535714,6,64,GO:0000956;GO:0006402;GO:0006401,RNA catabolic process,1
0,0.013814921,2,8,GO:0010454,negative regulation of cell fate commitment,1
0,0.014886082,2,16,GO:2000377,regulation of reactive oxygen species metabolic process,1
0,0.015230378,4,84,GO:0019318;GO:0005996,monosaccharide metabolic process,1
0,0.01568387,4,6,GO:0071236,cellular response to antibiotic,1
0,0.015727505,2,12,GO:0006378;GO:0043631,RNA polyadenylation,1
0,0.015813883,2,12,GO:0007623,circadian rhythm,1
0,0.015813883,3,12,GO:0042752,regulation of circadian rhythm,1
0,0.015955448,-1,7,GO:0043526,obsolete neuroprotection,1
0,0.016017741,5,7,GO:0001841,neural tube formation,1
0,0.016375037,4,16,GO:0042542,response to hydrogen peroxide,1
0,0.017657411,3,25,GO:0030258,lipid modification,1
0,0.019466115,5,26,GO:0072329,monocarboxylic acid catabolic process,1
0,0.019797655,2,130,GO:0034470,ncRNA processing,1
0,0.020039887,2,7,GO:0000018,regulation of DNA recombination,1
0,0.020669591,2,13,GO:0010453,regulation of cell fate commitment,1
0,0.021458497,2,7,GO:0034614,cellular response to reactive oxygen species,1
0,0.022295666,3,6,GO:0060047;GO:0003015,heart contraction,1
0,0.022374917,4,40,GO:0007507,heart development,1
0,0.022478061,4,540,GO:0006508,proteolysis,1
0,0.022480461,3,10,GO:0016073,snRNA metabolic process,1
0,0.022518053,3,10,GO:0009163;GO:1901659,glycosyl compound biosynthetic process,1
0,0.022689106,2,25,GO:0006730,one-carbon metabolic process,1
0,0.022751017,5,11,GO:1990542,mitochondrial transmembrane transport,1
0,0.02354697,2,11,GO:0002573,myeloid leukocyte differentiation,1
0,0.023921871,4,44,GO:0048024;GO:0043484;GO:0050684,regulation of mRNA processing,1
0,0.024415159,6,12,GO:0015986;GO:0015985,ATP synthesis coupled proton transport,1
0,0.02479267,2,8,GO:0046928;GO:0051588,regulation of neurotransmitter transport,1
0,0.024836243,2,8,GO:1903524,positive regulation of blood circulation,1
0,0.025008079,2,20,GO:0051983,regulation of chromosome segregation,1
0,0.026146186,4,12,GO:0046128;GO:0009119;GO:0042278,ribonucleoside metabolic process,1
0,0.026196107,2,19,GO:0046916,cellular transition metal ion homeostasis,1
0,0.026336477,3,85,GO:0006979,response to oxidative stress,1
0,0.02641746,4,18,GO:0007492,endoderm development,1
0,0.026481062,2,141,GO:0044087,regulation of cellular component biogenesis,1
0,0.026675468,3,5,GO:0000460,maturation of 5.8S rRNA,1
0,0.027098663,2,69,GO:0009314,response to radiation,1
0,0.027517364,4,26,GO:0051403;GO:0031098,stress-activated MAPK cascade,1
0,0.027963144,2,8,GO:0035690,cellular response to drug,1
0,0.028106382,7,9,GO:0006370;GO:0009452;GO:0036260,RNA capping,1
0,0.028157919,3,1224,GO:0034654;GO:0018130;GO:0019438;GO:0044271;GO:1901362;GO:0034645;GO:0009059,cellular nitrogen compound biosynthetic process,1
0,0.028827206,2,8,GO:0032722;GO:0032642,positive regulation of chemokine production,1
0,0.029679597,2,54,GO:1903311,regulation of mRNA metabolic process,1
0,0.029929627,3,30,GO:0017148;GO:0034249,negative regulation of cellular amide metabolic process,1
0,0.030350842,4,27,GO:0033044,regulation of chromosome organization,1
0,0.030942399,2,70,GO:0072330,monocarboxylic acid biosynthetic process,1
0,0.031021745,2,69,GO:0050768;GO:0010721;GO:0051961,negative regulation of nervous system development,1
0,0.031156295,2,9,GO:1903305,regulation of regulated secretory pathway,1
0,0.031797433,4,9,GO:0035051,cardiocyte differentiation,1
0,0.031797433,5,9,GO:0045198;GO:0030859;GO:0035089;GO:0061162;GO:0061339,polarized epithelial cell differentiation,1
0,0.03179944,4,13,GO:0046112,nucleobase biosynthetic process,1
0,0.031965443,4,38,GO:0048732,gland development,1
0,0.032628368,3,75,GO:0006754;GO:0009206;GO:0046034;GO:0009145;GO:0009201;GO:0009205;GO:0009142;GO:0009144;GO:0009199;GO:0009141,nucleoside triphosphate metabolic process,1
0,0.032831131,2,43,GO:0016052,carbohydrate catabolic process,1
0,0.033346454,2,9,GO:0030323,respiratory tube development,1
0,0.033412507,5,37,GO:0006446,regulation of translational initiation,1
0,0.034173281,3,17,GO:0043094,cellular metabolic compound salvage,1
0,0.034177347,2,21,GO:0055072,iron ion homeostasis,1
0,0.034547588,2,5,GO:0006012,galactose metabolic process,1
0,0.034556732,2,12,GO:0006513,protein monoubiquitination,1
