delta.rank,pval,level,nseqs,term,name,p.adj
0,5.43E-06,5,3396,unknown,unknown,0
0,2.78E-05,3,5,GO:0001730,2'-5'-oligoadenylate synthetase activity,0.025
0,0.000228456,4,10,GO:0008329;GO:0038187,signaling pattern recognition receptor activity,0.083333333
0,0.001089698,-1,23,GO:0051636;GO:0051637;GO:0035375,obsolete Gram-negative bacterial cell surface binding,0.175
0,0.000934744,2,5,GO:0003960,NADPH:quinone reductase activity,0.19
0,0.001591875,2,17,GO:0070566,adenylyltransferase activity,0.20625
0,0.000774438,2,19,GO:0048306,calcium-dependent protein binding,0.2125
0,0.001962333,5,24,GO:0003730,mRNA 3'-UTR binding,0.216666667
0,0.003794189,1,50,GO:0038024;GO:0005044,cargo receptor activity,0.425
0,0.004754952,3,7,GO:0043531,ADP binding,0.481818182
0,0.007249668,2,20,GO:0003993,acid phosphatase activity,0.5625
0,0.007039961,2,68,GO:0008565,protein transporter activity,0.59
0,0.006549784,2,54,GO:0051536;GO:0051540,iron-sulfur cluster binding,0.603846154
0,0.007031075,4,6,GO:0052745,inositol phosphate phosphatase activity,0.632142857
0,0.010801878,4,46,GO:0003729,mRNA binding,0.771052632
0,0.00989641,2,27,GO:0016831,carboxy-lyase activity,0.782352941
0,0.011663215,3,5,GO:0004613;GO:0004611,phosphoenolpyruvate carboxykinase (GTP) activity,0.785
0,0.013480952,2,8,GO:0015149;GO:0005355,hexose transmembrane transporter activity,0.866666667
0,0.022293419,2,14,GO:0015145;GO:0051119,sugar transmembrane transporter activity,1
0,0.026525996,2,9,GO:0008762,UDP-N-acetylmuramate dehydrogenase activity,1
0,0.027726039,4,23,GO:0003725,double-stranded RNA binding,1
0,0.028510017,2,10,GO:0008408,3'-5' exonuclease activity,1
0,0.028993355,3,12,GO:0003943,N-acetylgalactosamine-4-sulfatase activity,1
0,0.029986089,2,14,GO:0019003,GDP binding,1
0,0.031311995,2,31,GO:0050661,NADP binding,1
0,0.033714779,3,23,GO:0015144,carbohydrate transmembrane transporter activity,1
0,0.036152536,2,53,GO:0008201;GO:0005539,glycosaminoglycan binding,1
0,0.037285243,3,45,GO:0016830,carbon-carbon lyase activity,1
0,0.041127657,2,18,GO:0004065;GO:0008484,sulfuric ester hydrolase activity,1
0,0.042033185,2,71,GO:1901681,sulfur compound binding,1
0,0.04635647,4,159,GO:0016779,nucleotidyltransferase activity,1
0,0.046871576,2,234,GO:0050662,coenzyme binding,1
0,0.048199695,3,226,GO:0016791;GO:0042578,phosphoric ester hydrolase activity,1
0,0.048409926,2,25,GO:0030145,manganese ion binding,1
0,0.054276419,3,7,GO:0008143;GO:0070717,poly-purine tract binding,1
0,0.055689274,1,310,GO:0005198,structural molecule activity,1
0,0.058134719,5,23,GO:0004527,exonuclease activity,1
0,0.060628186,2,9,GO:0030247,polysaccharide binding,1
0,0.061742299,3,631,GO:0005509,calcium ion binding,1
0,0.06278881,2,101,GO:0016853,isomerase activity,1
0,0.064886385,2,702,GO:0016491,oxidoreductase activity,1
0,0.066839659,4,16,GO:0010181,FMN binding,1
0,0.067047713,2,738,GO:0003723,RNA binding,1
0,0.070282864,5,6,GO:0008271;GO:0015116,secondary active sulfate transmembrane transporter activity,1
0,0.071596298,2,407,GO:0048037,cofactor binding,1
0,0.07271158,2,11,GO:0030506,ankyrin binding,1
0,0.077152019,2,383,GO:0004888;GO:0038023;GO:0060089,molecular transducer activity,1
0,0.078264166,5,5,GO:0035251;GO:0046527,UDP-glucosyltransferase activity,1
0,0.086058895,2,5,GO:0016155,formyltetrahydrofolate dehydrogenase activity,1
0,0.087147729,5,7,GO:0004969,histamine receptor activity,1
0,0.087892664,3,62,GO:0031406;GO:0043177,organic acid binding,1
0,0.097494991,3,71,GO:0004497,monooxygenase activity,1
0,0.101666182,2,34,GO:0051015,actin filament binding,1
0,0.112757921,2,10,GO:1901682,sulfur compound transmembrane transporter activity,1
0,0.112810055,2,269,GO:0042802,identical protein binding,1
0,0.118105012,2,56,GO:0005507,copper ion binding,1
0,0.118193564,3,7,GO:0000036;GO:0044620;GO:0051192,acyl carrier activity,1
0,0.119985304,4,17,GO:0003727,single-stranded RNA binding,1
0,0.121614028,2,69,GO:0050660,flavin adenine dinucleotide binding,1
0,0.123274444,4,35,GO:0051287,NAD binding,1
0,0.123327053,4,8,GO:0033842,N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity,1
0,0.125110227,2,9,GO:0004176,ATP-dependent peptidase activity,1
0,0.129641419,6,11,GO:0004523,RNA-DNA hybrid ribonuclease activity,1
0,0.131918625,3,94,GO:0000287,magnesium ion binding,1
0,0.1335676,4,19,GO:0043022,ribosome binding,1
