delta.rank,pval,level,nseqs,term,name,p.adj
0,7.33E-08,7,7,GO:0032450,maltose alpha-glucosidase activity,0
0,8.71E-08,4,12,GO:0090599,alpha-glucosidase activity,0
0,2.07E-06,3,19,GO:0015926,glucosidase activity,0
0,3.41E-05,2,76,GO:0030246,carbohydrate binding,0.0125
0,0.000402134,2,738,GO:0003723,RNA binding,0.12
0,0.000416173,2,56,GO:0003735,structural constituent of ribosome,0.1
0,0.000510289,2,99,GO:0004553;GO:0016798,hydrolase activity,
0,0.001588335,2,120,GO:0016616;GO:0016614,oxidoreductase activity,
0,0.002567026,6,58,GO:0004197,cysteine-type endopeptidase activity,0.372222222
0,0.003143543,4,6,GO:0009982,pseudouridine synthase activity,0.395
0,0.003595223,2,10,GO:0008308,voltage-gated anion channel activity,0.404545455
0,0.003764875,6,8,GO:0004185;GO:0070008,serine-type carboxypeptidase activity,0.391666667
0,0.005189076,2,398,GO:0008092,cytoskeletal protein binding,0.507692308
0,0.005984718,2,119,GO:0016829,lyase activity,0.557142857
0,0.006509369,2,35,GO:0051287,NAD binding,0.573333333
0,0.006549628,2,9,GO:0035250,UDP-galactosyltransferase activity,0.5375
0,0.006611788,2,46,GO:0003729,mRNA binding,0.508823529
0,0.007970957,2,293,GO:0003779,actin binding,0.591666667
0,0.008673222,5,6,GO:0017091,AU-rich element binding,0.613157895
0,0.010110846,2,5,GO:0005164,tumor necrosis factor receptor binding,0.7125
0,0.010621341,4,8,GO:0005528;GO:0005527,FK506 binding,0.738095238
0,0.0108054,3,81,GO:0022839;GO:0022836,gated channel activity,0.720454545
0,0.01095473,4,24,GO:0003730,mRNA 3'-UTR binding,0.702173913
0,0.011191292,2,6,GO:0019238,cyclohydrolase activity,0.69375
0,0.01166596,3,8,GO:0034739;GO:0032041;GO:0031078;GO:0046970,histone deacetylase activity (H4-K16 specific),0.694
0,0.01192208,2,6,GO:0005402,carbohydrate:cation symporter activity,0.675
0,0.01197502,5,66,GO:0008238,exopeptidase activity,0.651851852
0,0.012733811,5,92,GO:0004252;GO:0008236;GO:0017171,serine-type peptidase activity,0.676785714
0,0.01321657,6,16,GO:0004560;GO:0015928,alpha-L-fucosidase activity,0.682758621
0,0.014110281,3,102,GO:0008234,cysteine-type peptidase activity,0.715
0,0.014757765,2,14,GO:0008378,galactosyltransferase activity,0.729032258
0,0.015147763,3,11,GO:0061980,regulatory RNA binding,0.7265625
0,0.015360444,2,8,GO:0015149;GO:0005355,hexose transmembrane transporter activity,0.713636364
0,0.017879422,3,15,GO:0016866,intramolecular transferase activity,0.823529412
0,0.018110554,4,9,GO:0008762,UDP-N-acetylmuramate dehydrogenase activity,0.811428571
0,0.01826911,2,48,GO:0016836;GO:0016835,carbon-oxygen lyase activity,0.797222222
0,0.01876436,2,5,GO:0042562,hormone binding,0.787837838
0,0.01907532,2,34,GO:0051015,actin filament binding,0.790789474
0,0.019213106,2,10,GO:0019200,carbohydrate kinase activity,0.773076923
0,0.01964529,2,443,GO:0070011;GO:0008233,peptidase activity,0.775
0,0.01988633,2,5,GO:0008353,RNA polymerase II CTD heptapeptide repeat kinase activity,0.763414634
0,0.020003777,2,25,GO:0001664,G protein-coupled receptor binding,0.751190476
0,0.020050357,2,9,GO:0016307;GO:0016308,phosphatidylinositol phosphate kinase activity,0.737209302
0,0.021444595,4,10,GO:0003857,3-hydroxyacyl-CoA dehydrogenase activity,0.778409091
0,0.021919311,3,14,GO:0004089,carbonate dehydratase activity,0.772222222
0,0.022871742,2,53,GO:0003690,double-stranded DNA binding,0.795652174
0,0.023361169,3,15,GO:0099094,ligand-gated cation channel activity,0.796808511
0,0.024315122,2,14,GO:0015145;GO:0051119,sugar transmembrane transporter activity,0.811458333
0,0.02504691,4,9,GO:0016814,hydrolase activity,
0,0.025070853,3,12,GO:0004407;GO:0033558;GO:0019213;GO:0017136;GO:0034979;GO:0046969;GO:0032129,deacetylase activity,0.801
0,0.025680306,2,12,GO:0008191,metalloendopeptidase inhibitor activity,0.804901961
0,0.026099188,2,16,GO:0005231;GO:0005230,extracellular ligand-gated ion channel activity,0.800961538
0,0.026910689,2,14,GO:0046933,proton-transporting ATP synthase activity,
0,0.027963112,4,5,GO:0004457,lactate dehydrogenase activity,0.816666667
0,0.027996364,3,9,GO:0030247,polysaccharide binding,0.803636364
0,0.029033511,2,40,GO:0060090;GO:0030674,molecular adaptor activity,0.809821429
0,0.029292171,2,86,GO:0051082,unfolded protein binding,0.799122807
0,0.029576238,2,25,GO:0030145,manganese ion binding,0.79137931
0,0.029801114,6,5,GO:0004775;GO:0004774,succinate-CoA ligase (ADP-forming) activity,0.78220339
0,0.030275065,2,58,GO:0005244;GO:0022832,voltage-gated ion channel activity,0.776666667
0,0.030988044,6,27,GO:0004177,aminopeptidase activity,0.780327869
0,0.033406862,3,6,GO:0004300,enoyl-CoA hydratase activity,0.838709677
0,0.033517273,4,30,GO:0051539,4 iron,
0,0.034608729,2,23,GO:0015144,carbohydrate transmembrane transporter activity,0.83828125
0,0.035659268,3,11,GO:0000339,RNA cap binding,0.851538462
0,0.035723771,2,35,GO:0008235,metalloexopeptidase activity,0.838636364
0,0.035836898,3,34,GO:0008137;GO:0050136;GO:0003954;GO:0016655,oxidoreductase activity,
0,0.035939551,2,50,GO:0052689,carboxylic ester hydrolase activity,0.818382353
0,0.037774533,2,102,GO:0034061;GO:0003964,DNA polymerase activity,0.834782609
0,0.038315812,2,5,GO:0030371,translation repressor activity,0.837142857
0,0.038996107,6,32,GO:0004180,carboxypeptidase activity,0.833802817
0,0.039348157,3,143,GO:0005216;GO:0022838;GO:0015267;GO:0022803,channel activity,0.830555556
0,0.039565621,5,48,GO:0005254;GO:0005253;GO:0015108,chloride transmembrane transporter activity,0.821917808
0,0.04064081,4,18,GO:0016646,oxidoreductase activity,
0,0.04121148,2,10,GO:0008603,cAMP-dependent protein kinase regulator activity,0.823333333
0,0.042367833,2,7,GO:0004029,aldehyde dehydrogenase (NAD) activity,0.828289474
0,0.04353361,2,54,GO:0051536;GO:0051540,iron-sulfur cluster binding,0.838961039
0,0.043858124,2,10,GO:0008199,ferric iron binding,0.836538462
0,0.044669222,3,5,GO:0008499;GO:0048531,beta-1,
0,0.045362555,2,62,GO:0016651,oxidoreductase activity,
0,0.045854843,4,38,GO:0015370;GO:0015294,solute:cation symporter activity,0.841358025
0,0.047039118,2,23,GO:0015276;GO:0022834,ligand-gated ion channel activity,0.85
0,0.047184946,2,575,GO:0022857;GO:0005215,transporter activity,0.840963855
0,0.047555653,2,61,GO:0016810,hydrolase activity,
0,0.047587132,2,62,GO:0015081,sodium ion transmembrane transporter activity,0.824117647
0,0.048145703,3,20,GO:0070330;GO:0016712,aromatase activity,0.828488372
