Site,Rep,Sample,MEantiquewhite4,MEbisque4,MEblack,MEblue,MEbrown,MEbrown4,MEcoral1,MEcoral2,MEcyan,MEdarkgreen,MEdarkgrey,MEdarkmagenta,MEdarkolivegreen,MEdarkorange,MEdarkorange2,MEdarkred,MEdarkseagreen4,MEdarkslateblue,MEdarkturquoise,MEfloralwhite,MEgreen,MEgreenyellow,MEgrey60,MEhoneydew1,MEivory,MElavenderblush3,MElightcyan,MElightcyan1,MElightgreen,MElightpink4,MElightsteelblue1,MElightyellow,MEmagenta,MEmaroon,MEmediumorchid,MEmediumpurple3,MEmidnightblue,MEnavajowhite2,MEorange,MEorangered4,MEpaleturquoise,MEpalevioletred3,MEpink,MEplum1,MEplum2,MEpurple,MEred,MEroyalblue,MEsaddlebrown,MEsalmon,MEsalmon4,MEsienna3,MEskyblue,MEskyblue2,MEskyblue3,MEsteelblue,MEtan,MEthistle1,MEthistle2,MEturquoise,MEviolet,MEwhite,MEyellow,MEyellowgreen
Coconut Point,1,CoPt_E_rep1,-0.166097177,0.534152757,-0.103588801,0.15640968,-0.172936644,0.236068797,0.178584403,-0.219807704,-0.119142842,0.927666285,0.575190454,-0.062654767,0.104930466,-0.071435499,-0.094909156,-0.046506041,0.776066342,-0.138662663,0.189018192,-0.253254522,-0.019811346,-0.120292774,0.442749557,-0.093793332,-0.152429959,-0.028348768,0.48278543,0.243348614,0.017888138,-0.030037067,-0.143589179,-0.146497953,-0.189131752,-0.14519855,-0.031270673,0.52495139,-0.133302777,-0.128647667,-0.145065818,0.086404676,-0.108605048,-0.109221081,-0.201735315,-0.125841572,-0.303347149,0.132697937,-0.131002047,0.185868894,-0.026292644,-0.315354654,-0.197374919,-0.220909047,-0.213196446,-0.132217879,-0.060785228,-0.063364119,0.630837227,-0.121336226,0.478309733,-0.069841581,-0.130368464,-0.067196109,0.055574024,-0.040707656
Coconut Point,2,CoPt_E_rep2,-0.204624592,-0.080151867,-0.214184618,0.457938735,-0.225871734,0.153474699,-0.123573745,-0.110419397,-0.090996731,0.055218967,0.042927425,-0.018748303,-0.203658167,-0.14114701,-0.167039148,-0.035220704,-0.031808002,-0.232419409,-0.112929463,-0.156408739,-0.177820864,-0.137616394,0.101934091,-0.004303637,-0.104488787,0.486565371,0.621774189,0.381745755,-0.239928044,-0.156093544,-0.216224117,0.003549482,-0.090554426,-0.190538423,-0.144002419,-0.100658847,0.025935825,-0.04320477,-0.079631098,-0.043620141,-0.042172242,-0.168350947,-0.245927627,-0.102271868,-0.258569679,-0.09693608,0.098148098,-0.094280021,-0.129231101,-0.184902124,-0.197579701,-0.1788268,-0.18290779,-0.049555495,0.029354355,-0.05805067,0.429425719,-0.122290369,0.205887192,0.186752488,-0.145984726,-0.174108384,-0.21737907,-0.08756828
Coconut Point,3,CoPt_E_rep3,-0.158173964,-0.190612493,-0.217718272,0.275408959,-0.242955713,0.234719572,-0.159045674,-0.140027113,-0.098579309,-0.033065227,-0.101587212,0.070316805,-0.185449421,-0.114621576,-0.209270618,0.003150941,-0.226326267,-0.12299571,-0.214223539,0.05241309,-0.199553932,-0.120946035,-0.093840735,0.024209104,-0.175858214,0.223169135,0.10243366,0.35837684,-0.181931043,-0.124192095,-0.181036185,0.072665297,-0.033290396,0.024769802,-0.191669677,-0.098223543,0.251955882,-0.007253962,-0.062898004,0.861587851,0.018101658,-0.194444823,-0.211539905,-0.080063028,-0.142042658,-0.021573738,0.109526781,-0.092245419,-0.115362007,0.127386604,-0.2072003,-0.105077322,-0.145168292,-0.149730331,0.42918448,0.062875772,0.119154183,-0.048078324,0.128510043,0.270268966,-0.17455811,-0.220257348,-0.253505155,-0.125588904
Coconut Point,4,CoPt_E_rep4,-0.125002858,-0.163976919,-0.105648956,0.162086607,-0.172489766,0.240126368,-0.156577214,-0.086432481,-0.123397975,-0.119710874,-0.032598037,-0.134512022,-0.157351044,-0.146314079,-0.171380227,-0.12437963,-0.187967986,0.036607997,-0.165789643,0.003307618,-0.168047208,-0.051699547,0.385018758,-0.094087713,-0.084888413,0.011638807,0.063671305,0.171379779,-0.120486883,-0.221345141,-0.149121738,0.008942419,-0.119818737,-0.001863458,0.379440874,-0.1441538,-0.109482036,-0.117042014,0.030880579,-0.153858492,-0.023603832,-0.156024178,-0.130016322,-0.103849424,0.009451023,-0.064601895,0.196177237,-0.129118979,-0.134041012,0.118918458,-0.138118374,0.114616252,0.141741239,0.198404454,-0.0857426,-0.091806278,0.13304092,-0.045705332,0.037732139,0.189072303,-0.110699261,-0.182442853,-0.172370819,0.028251432
Faga'alu,1,Falu_E_rep1,-0.162145462,-0.212633988,-0.200716473,0.33877551,-0.215043255,0.092594196,-0.223832143,-0.134741041,-0.183574261,-0.064936943,-0.214017896,-0.07217939,-0.282238073,-0.129554996,-0.144670588,-0.097797834,-0.207900144,-0.002333508,-0.221196473,0.216249543,-0.231966307,-0.072577387,-0.232510807,0.051906549,-0.100110558,0.194314824,0.197151805,0.316192669,-0.264108521,-0.206485885,-0.190965161,0.132196519,-0.165538829,0.110442209,0.435837509,-0.158695702,-0.04012596,0.00223743,-0.008053068,0.177209448,-0.022119403,-0.22348502,-0.203827876,-0.080574946,-0.198112728,-0.123012024,0.203280438,-0.13151544,-0.155186094,0.147551198,-0.166935941,-0.056553874,-0.063609064,0.858757525,0.273033237,-0.013918356,-0.02555394,-0.102036655,-0.031622471,0.38337843,-0.088755769,-0.209621154,-0.294621081,-0.132995491
Faga'alu,3,Falu_E_rep3,-0.17460967,0.074247118,-0.045334542,0.003303816,-0.169715797,0.40575417,-0.169057659,-0.154057609,-0.170297902,-0.035635662,-0.108577468,-0.111256288,-0.062525324,-0.088410493,-0.174967095,-0.087343476,-0.115361295,0.266552276,-0.177067341,0.238925733,-0.14941959,-0.038315302,-0.281521422,-0.143644016,-0.192975758,-0.158359154,-0.106530032,0.073408225,0.029846809,-0.155711265,-0.119475191,0.00138908,-0.14929689,0.369654015,-0.165719724,0.056877801,-0.124251715,-0.04094219,-0.081891593,0.091533872,-0.083189337,-0.159222481,-0.138809859,-0.119007645,-0.007120302,0.189503396,0.052591927,-0.014557143,-0.105783685,0.290710798,-0.159165741,0.021230238,-0.030305057,-0.018267732,0.470581328,-0.075436463,-0.038690461,0.943217206,0.199675642,0.174727155,-0.116171998,-0.158880587,-0.123432104,-0.151661807
Faga'alu,4,Falu_E_rep4,-0.147790529,-0.256751122,-0.209106844,0.140500271,-0.206071654,-0.10317402,-0.172544556,-0.139937707,-0.118969974,-0.074008311,-0.274165039,0.019472651,-0.306141756,-0.1062069,-0.215723887,0.049688076,-0.160637122,-0.113215386,-0.285047449,0.533107977,-0.253423518,-0.048871086,0.006205328,0.606494458,-0.20852917,0.274488861,-0.022008542,0.102903106,-0.276951053,-0.162776993,-0.175784473,0.800216261,-0.041844395,0.089746994,-0.052693402,-0.166907574,0.376691586,0.901446407,0.014394246,0.084444883,-0.025768467,-0.188509718,-0.141221108,-0.069897214,0.053806811,-0.190068566,0.251656386,-0.149903483,-0.087903534,0.37420326,-0.141201679,0.321480988,-0.006207048,-0.092764932,0.292480635,0.136223596,-0.14330452,-0.080276496,-0.172916525,0.330037636,-0.128495524,-0.252842155,-0.310271484,-0.139253058
Faga'alu,6,Falu_E_rep6,-0.024039954,-0.224472311,-0.162581159,0.119220483,-0.168351558,-0.051029036,-0.089651296,-0.095339499,-0.066151251,0.025387094,-0.160230294,-0.000289429,-0.158640229,-0.104343258,-0.115279487,0.009586138,-0.129594612,-0.118765936,-0.208513852,0.172323604,-0.155952298,-0.065345494,-0.078284078,0.614417217,-0.122161651,0.104084566,0.055769086,-0.016141078,-0.185910945,-0.100987481,-0.153850186,0.276486314,-0.045450522,-0.035993835,-0.188423853,-0.104554053,0.176762362,0.22055722,0.017855181,0.014780597,0.053121803,-0.111137175,-0.134556939,-0.042969512,-0.033696043,-0.12303434,0.142863443,-0.043030855,-0.054483931,0.115172073,-0.114566387,0.059230174,-0.061004817,-0.010855534,0.217706148,0.926476733,-0.058519351,-0.025264557,-0.099048658,0.180262117,-0.134878447,-0.135348985,-0.203752509,-0.114129803
Faga'tele,3,Ftele_E_rep3,-0.13774888,-0.186496917,-0.052719902,-0.048808786,-0.114790113,-0.160262574,-0.240567473,-0.10646253,-0.16425252,-0.11526733,-0.288738814,-0.069190095,-0.26495484,-0.144617974,-0.137254508,-0.14558095,-0.148406273,-0.086967808,-0.278224331,0.31632127,-0.241457754,0.077540842,-0.258674999,-0.106622045,-0.055911842,-0.090893997,-0.167020813,-0.131871773,-0.210159755,-0.277262857,-0.117952352,0.070071397,-0.152476609,0.23385757,-0.162002029,-0.200360019,-0.075848037,0.055317595,0.938809598,-0.134016822,-0.066654524,-0.175956563,-0.046784178,-0.056841819,0.139925438,-0.214873807,0.685179256,-0.201199022,-0.116978637,0.445977533,-0.07802035,0.689851173,0.602734353,0.121567832,-0.177950392,-0.025033712,-0.242209127,-0.064276328,-0.29436951,0.235929177,-0.046863169,-0.185105457,-0.244328498,-0.161635829
Faga'tele,5,Ftele_E_rep5,-0.133192397,0.52701326,0.058513398,-0.064844195,-0.130885089,0.511734589,-0.095477633,-0.150130146,-0.175294452,0.011790643,0.102766209,-0.095888922,0.565247582,0.051164154,-0.070883524,-0.108616231,-0.030129525,0.589714816,0.106435484,-0.104057049,0.026791255,-0.08759245,-0.178432977,-0.09698433,-0.170811275,-0.202486416,0.001170426,0.00401475,0.471293474,-0.144736738,-0.099681575,-0.159656177,-0.161423112,-0.018833169,0.596027843,0.323068128,-0.185302774,-0.092744129,-0.164458872,0.012913872,-0.044513957,-0.132298009,-0.099481993,-0.123149161,-0.028969959,0.892168866,-0.095465578,0.068211232,-0.092412349,-0.072563789,-0.126403735,-0.206537523,-0.127588837,-0.052034801,0.075347448,-0.083816785,-0.029595482,-0.008082645,0.507471236,-0.033232131,-0.110587637,-0.119853631,0.223789863,-0.111289747
