Sample,low_pollution_heat,med_pollution_heat,high_pollution_heat,symbiont_CD_heat,symbiont_Donly_heat,mean_t35normto28,mean_35,PAM,color_card_change_t35normto28,color_card_change_35,DIN_km2,pop2016
Can_H_rep2,0,0,1,0,1,34.9,169,,,,4.6,9276
Can_H_rep3,0,0,1,0,1,125.3,208.2,,,,4.6,9276
Can_H_rep5,0,0,1,0,1,16.2,136.45,,,,4.6,9276
Can_H_rep6,0,0,1,0,1,35.8,192.65,,,,4.6,9276
CoPt_H_rep1,0,0,1,0,1,60.85,211.7,,,,8.4,6707
CoPt_H_rep2,0,0,1,0,1,52.4,222,,,,8.4,6707
CoPt_H_rep3,0,0,1,0,1,40.85,230.7,,,,8.4,6707
CoPt_H_rep4,0,0,1,0,1,65.15,228.25,,,,8.4,6707
Falu_H_rep1,0,1,0,1,0,66.1,212.55,,,,6.5,910
Falu_H_rep4,0,1,0,1,0,40.3,208.85,,,,6.5,910
Falu_H_rep6,0,1,0,1,0,38.75,194.75,,,,6.5,910
Ftele_H_rep1,1,0,0,1,0,86.55,246.05,,,,0.3,0
Ftele_H_rep3,1,0,0,1,0,51.1,246.4,,,,0.3,0
Ftele_H_rep5,1,0,0,1,0,10.9,194.4,,,,0.3,0
Ftele_H_rep6,1,0,0,1,0,67.85,233.25,,,,0.3,0
Vat_H_rep1,1,0,0,1,0,33.3,196.6,,,,2.5,640
Vat_H_rep3,1,0,0,1,0,22.1,178.3,,,,2.5,640
Vat_H_rep4,1,0,0,1,0,-11.1,192.45,,,,2.5,640
Vat_H_rep6,1,0,0,1,0,-1.8,132.15,,,,2.5,640
