name	term	lev	seq	value
"RNA polymerase complex"	GO:0055029;GO:0000428;GO:0030880	4	contig18360	0
"RNA polymerase complex"	GO:0055029;GO:0000428;GO:0030880	4	contig54913	0
"RNA polymerase complex"	GO:0055029;GO:0000428;GO:0030880	4	contig65783	0
"RNA polymerase complex"	GO:0055029;GO:0000428;GO:0030880	4	contig106027	0
"RNA polymerase complex"	GO:0055029;GO:0000428;GO:0030880	4	contig117608	0
"RNA polymerase complex"	GO:0055029;GO:0000428;GO:0030880	4	contig139118	0.527842525
"RNA polymerase complex"	GO:0055029;GO:0000428;GO:0030880	4	contig148474	0
"RNA polymerase complex"	GO:0055029;GO:0000428;GO:0030880	4	contig185232	0
"RNA polymerase complex"	GO:0055029;GO:0000428;GO:0030880	4	contig203113	0
"RNA polymerase complex"	GO:0055029;GO:0000428;GO:0030880	4	contig209932_4550_104321	0
"RNA polymerase complex"	GO:0055029;GO:0000428;GO:0030880	4	contig111946_93766	0
"RNA polymerase complex"	GO:0055029;GO:0000428;GO:0030880	4	contig146788_211999	0
"RNA polymerase complex"	GO:0055029;GO:0000428;GO:0030880	4	contig97352_151359_175689	0
"RNA polymerase complex"	GO:0055029;GO:0000428;GO:0030880	4	contig189123_154028	0
"virion"	GO:0019012	1	contig147036	0.913073109
"virion"	GO:0019012	1	contig147255	0
"virion"	GO:0019012	1	contig148405	0
"virion"	GO:0019012	1	contig175838	0
"virion"	GO:0019012	1	contig600058	0
"virion"	GO:0019012	1	contig218711_110154_74814_204302	0
"virion"	GO:0019012	1	contig72890_119798	0
"virion"	GO:0019012	1	contig153466_210770	0
"terminal bouton"	GO:0043195	3	contig94726	0
"terminal bouton"	GO:0043195	3	contig150912	0
"terminal bouton"	GO:0043195	3	contig168042	0
"terminal bouton"	GO:0043195	3	contig169718	0
"terminal bouton"	GO:0043195	3	contig19838_140172_174762	0
"terminal bouton"	GO:0043195	3	contig143021_211541	0
"nBAF complex"	GO:0071565;GO:0071564	2	contig107613	0
"nBAF complex"	GO:0071565;GO:0071564	2	contig151446	0
"nBAF complex"	GO:0071565;GO:0071564	2	contig156955	0
"nBAF complex"	GO:0071565;GO:0071564	2	contig176100	0
"nBAF complex"	GO:0071565;GO:0071564	2	contig209271	0
"nBAF complex"	GO:0071565;GO:0071564	2	contig210238	0
"nBAF complex"	GO:0071565;GO:0071564	2	contig68737_148223_164672_110801_173849_203529	0
"nBAF complex"	GO:0071565;GO:0071564	2	contig205077_148511	0
"cell junction"	GO:0030054	1	contig4072	0
"cell junction"	GO:0030054	1	contig17520	0
"cell junction"	GO:0030054	1	contig18919	0
"cell junction"	GO:0030054	1	contig22126	0
"cell junction"	GO:0030054	1	contig52203	0
"cell junction"	GO:0030054	1	contig54742	0
"cell junction"	GO:0030054	1	contig55911	0
"cell junction"	GO:0030054	1	contig56902	0
"cell junction"	GO:0030054	1	contig57628	0
"cell junction"	GO:0030054	1	contig58630	0
"cell junction"	GO:0030054	1	contig58821	0
"cell junction"	GO:0030054	1	contig64600	0
"cell junction"	GO:0030054	1	contig65990	0
"cell junction"	GO:0030054	1	contig66289	0
"cell junction"	GO:0030054	1	contig66661	0
"cell junction"	GO:0030054	1	contig68396	0
"cell junction"	GO:0030054	1	contig69110	0
"cell junction"	GO:0030054	1	contig69692	0
"cell junction"	GO:0030054	1	contig69843	0
"cell junction"	GO:0030054	1	contig71058	0
"cell junction"	GO:0030054	1	contig71275	0
"cell junction"	GO:0030054	1	contig71311	0
"cell junction"	GO:0030054	1	contig72004	0
"cell junction"	GO:0030054	1	contig72100	0
"cell junction"	GO:0030054	1	contig72378	0
"cell junction"	GO:0030054	1	contig72591	0
"cell junction"	GO:0030054	1	contig72793	0
"cell junction"	GO:0030054	1	contig73385	0
"cell junction"	GO:0030054	1	contig75689	0
"cell junction"	GO:0030054	1	contig75819	0
"cell junction"	GO:0030054	1	contig76026	0
"cell junction"	GO:0030054	1	contig76408	0
"cell junction"	GO:0030054	1	contig76468	0
"cell junction"	GO:0030054	1	contig76754	0
"cell junction"	GO:0030054	1	contig77058	0
"cell junction"	GO:0030054	1	contig77136	0
"cell junction"	GO:0030054	1	contig77270	0
"cell junction"	GO:0030054	1	contig77945	0
"cell junction"	GO:0030054	1	contig78551	0
"cell junction"	GO:0030054	1	contig79175	0
"cell junction"	GO:0030054	1	contig79362	0
"cell junction"	GO:0030054	1	contig79526	0
"cell junction"	GO:0030054	1	contig80112	0
"cell junction"	GO:0030054	1	contig80899	0
"cell junction"	GO:0030054	1	contig80990	0
"cell junction"	GO:0030054	1	contig81237	0
"cell junction"	GO:0030054	1	contig81346	0
"cell junction"	GO:0030054	1	contig81692	0
"cell junction"	GO:0030054	1	contig92431	0
"cell junction"	GO:0030054	1	contig93207	0
"cell junction"	GO:0030054	1	contig94726	0
"cell junction"	GO:0030054	1	contig96972	0
"cell junction"	GO:0030054	1	contig97266	0
"cell junction"	GO:0030054	1	contig98061	0
"cell junction"	GO:0030054	1	contig98066	0.560742055
"cell junction"	GO:0030054	1	contig98618	0
"cell junction"	GO:0030054	1	contig99752	0
"cell junction"	GO:0030054	1	contig104145	0
"cell junction"	GO:0030054	1	contig104349	0
"cell junction"	GO:0030054	1	contig104527	0
"cell junction"	GO:0030054	1	contig105351	0
"cell junction"	GO:0030054	1	contig106035	0
"cell junction"	GO:0030054	1	contig106046	0
"cell junction"	GO:0030054	1	contig106160	0
"cell junction"	GO:0030054	1	contig107829	0
"cell junction"	GO:0030054	1	contig108258	0
"cell junction"	GO:0030054	1	contig108456	0
"cell junction"	GO:0030054	1	contig108823	0
"cell junction"	GO:0030054	1	contig108866	0
"cell junction"	GO:0030054	1	contig109256	0
"cell junction"	GO:0030054	1	contig109551	0
"cell junction"	GO:0030054	1	contig109627	0
"cell junction"	GO:0030054	1	contig110861	0
"cell junction"	GO:0030054	1	contig111962	0
"cell junction"	GO:0030054	1	contig112078	0
"cell junction"	GO:0030054	1	contig112968	0
"cell junction"	GO:0030054	1	contig114418	0
"cell junction"	GO:0030054	1	contig115021	0
"cell junction"	GO:0030054	1	contig115963	0
"cell junction"	GO:0030054	1	contig116443	0
"cell junction"	GO:0030054	1	contig116562	0
"cell junction"	GO:0030054	1	contig116775	0
"cell junction"	GO:0030054	1	contig117619	0
"cell junction"	GO:0030054	1	contig119204	0
"cell junction"	GO:0030054	1	contig128601	0
"cell junction"	GO:0030054	1	contig131835	0
"cell junction"	GO:0030054	1	contig132334	0
"cell junction"	GO:0030054	1	contig133256	0
"cell junction"	GO:0030054	1	contig137500	0
"cell junction"	GO:0030054	1	contig138067	0
"cell junction"	GO:0030054	1	contig138069	0
"cell junction"	GO:0030054	1	contig145025	0
"cell junction"	GO:0030054	1	contig145100	0
"cell junction"	GO:0030054	1	contig145192	0
"cell junction"	GO:0030054	1	contig145196	0
"cell junction"	GO:0030054	1	contig145223	0
"cell junction"	GO:0030054	1	contig145234	0
"cell junction"	GO:0030054	1	contig145264	0.697434222
"cell junction"	GO:0030054	1	contig145291	0
"cell junction"	GO:0030054	1	contig145360	0
"cell junction"	GO:0030054	1	contig145380	0
"cell junction"	GO:0030054	1	contig145419	0
"cell junction"	GO:0030054	1	contig146059	0
"cell junction"	GO:0030054	1	contig146071	0
"cell junction"	GO:0030054	1	contig146301	0
"cell junction"	GO:0030054	1	contig146313	0
"cell junction"	GO:0030054	1	contig146601	0
"cell junction"	GO:0030054	1	contig146658	0
"cell junction"	GO:0030054	1	contig146719	0
"cell junction"	GO:0030054	1	contig146901	0
"cell junction"	GO:0030054	1	contig147033	0
"cell junction"	GO:0030054	1	contig147094	0
"cell junction"	GO:0030054	1	contig147162	0
"cell junction"	GO:0030054	1	contig147460	0
"cell junction"	GO:0030054	1	contig147533	0
"cell junction"	GO:0030054	1	contig147663	0
"cell junction"	GO:0030054	1	contig147913	0
"cell junction"	GO:0030054	1	contig148557	0
"cell junction"	GO:0030054	1	contig148561	0
"cell junction"	GO:0030054	1	contig148620	0
"cell junction"	GO:0030054	1	contig148769	0
"cell junction"	GO:0030054	1	contig148861	0
"cell junction"	GO:0030054	1	contig149534	0
"cell junction"	GO:0030054	1	contig150116	0
"cell junction"	GO:0030054	1	contig150272	0
"cell junction"	GO:0030054	1	contig150866	0
"cell junction"	GO:0030054	1	contig151009	0
"cell junction"	GO:0030054	1	contig151290	0
"cell junction"	GO:0030054	1	contig151374	0
"cell junction"	GO:0030054	1	contig151439	0
"cell junction"	GO:0030054	1	contig151467	0
"cell junction"	GO:0030054	1	contig151960	0
"cell junction"	GO:0030054	1	contig152085	0
"cell junction"	GO:0030054	1	contig152332	0
"cell junction"	GO:0030054	1	contig152835	0
"cell junction"	GO:0030054	1	contig152955	0
"cell junction"	GO:0030054	1	contig153068	0
"cell junction"	GO:0030054	1	contig153529	0
"cell junction"	GO:0030054	1	contig153724	0
"cell junction"	GO:0030054	1	contig153796	0
"cell junction"	GO:0030054	1	contig154103	0
"cell junction"	GO:0030054	1	contig154770	0
"cell junction"	GO:0030054	1	contig158770	0
"cell junction"	GO:0030054	1	contig158874	0
"cell junction"	GO:0030054	1	contig159909	0
"cell junction"	GO:0030054	1	contig163123	0
"cell junction"	GO:0030054	1	contig163718	0
"cell junction"	GO:0030054	1	contig167137	0
"cell junction"	GO:0030054	1	contig169237	0
"cell junction"	GO:0030054	1	contig169367	0
"cell junction"	GO:0030054	1	contig169670	0
"cell junction"	GO:0030054	1	contig170527	0
"cell junction"	GO:0030054	1	contig170617	0
