"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.05255137989353 3 350 "GO:0000139;GO:0044431" "Golgi apparatus part" 1
0 0.209828914054344 3 13 "GO:0001527" "microfibril" 1
0 0.213839891990642 2 14 "GO:0001725;GO:0097517;GO:0032432" "actin filament bundle" 1
0 0.00323555445760249 1 362 "GO:0005576" "extracellular region" 0.6625
0 0.00360027911306729 2 87 "GO:0005581" "collagen trimer" 0.58
0 0.0789714967248506 3 86 "GO:0005604;GO:0062023;GO:0031012" "extracellular matrix" 1
0 0.148787805886103 2 169 "GO:0005615" "extracellular space" 1
0 6.8803090433493e-06 2 20 "GO:0005618;GO:0030312" "cell wall" 0
0 0.798314739867627 2 161 "GO:0005622" "intracellular" 1
0 0.0365025040028583 -1 63 "GO:0005624" "obsolete membrane fraction" 1
0 0.233677103772845 -1 62 "GO:0005625" "obsolete soluble fraction" 1
0 0.122377485820449 2 166 "GO:0005654" "nucleoplasm" 1
0 0.148844620945462 2 9 "GO:0005665" "RNA polymerase II, core complex" 1
0 0.630489021025688 4 69 "GO:0005694" "chromosome" 1
0 0.336495750452912 2 209 "GO:0005739" "mitochondrion" 1
0 0.0768906621687816 2 40 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 1
0 0.0653814290438129 2 182 "GO:0005743;GO:0019866;GO:0031966" "mitochondrial membrane" 1
0 0.413143836691555 3 70 "GO:0005759" "mitochondrial matrix" 1
0 0.129923034027775 6 68 "GO:0005765;GO:0098852" "lytic vacuole membrane" 1
0 0.540764300508214 2 101 "GO:0005768" "endosome" 1
0 0.474001401445548 2 42 "GO:0005769" "early endosome" 1
0 0.279427581811459 2 101 "GO:0005774;GO:0044437" "vacuolar part" 1
0 0.182465601365006 2 26 "GO:0005777" "peroxisome" 1
0 0.249752769876093 3 68 "GO:0005788" "endoplasmic reticulum lumen" 1
0 0.046724697756819 2 296 "GO:0005789" "endoplasmic reticulum membrane" 1
0 0.00127181496584531 -1 91 "GO:0005792" "obsolete microsome" 0.475
0 0.772902898332007 2 150 "GO:0005794" "Golgi apparatus" 1
0 0.36290203448883 2 49 "GO:0005795" "Golgi stack" 1
0 0.291773055672676 5 35 "GO:0005802" "trans-Golgi network" 1
0 0.789156859131602 2 583 "GO:0005829" "cytosol" 1
0 0.508267150243364 4 307 "GO:0005856" "cytoskeleton" 1
0 0.0073590207050727 5 33 "GO:0005882" "intermediate filament" 0.9
0 0.491551036626226 2 713 "GO:0005886" "plasma membrane" 1
0 0.248086781609239 2 202 "GO:0005887;GO:0031226" "intrinsic component of plasma membrane" 1
0 0.478648476802112 2 85 "GO:0005912;GO:0070161" "anchoring junction" 1
0 0.539371996003721 4 47 "GO:0005925;GO:0005924" "focal adhesion" 1
0 0.500652688815148 2 98 "GO:0005938;GO:0099568" "cytoplasmic region" 1
0 0.256954384735162 2 20 "GO:0008021;GO:0070382" "synaptic vesicle" 1
0 0.226330071912151 5 22 "GO:0008076;GO:0034705" "voltage-gated potassium channel complex" 1
0 0.0400950750982869 2 17 "GO:0008305;GO:0098636" "integrin complex" 1
0 0.38458359240723 2 135 "GO:0010008;GO:0044440" "endosomal part" 1
0 0.177656030740315 2 40 "GO:0014069;GO:0099572" "postsynaptic density" 1
0 0.049166835267896 4 23 "GO:0016363" "nuclear matrix" 1
0 0.616877105855115 2 60 "GO:0016459" "myosin complex" 1
0 0.0988283119907637 3 6 "GO:0016460" "myosin II complex" 1
0 0.0603519055331381 2 6 "GO:0016507;GO:0036125" "mitochondrial fatty acid beta-oxidation multienzyme complex" 1
0 0.630530288255604 2 135 "GO:0016604" "nuclear body" 1
0 0.485111706274612 2 98 "GO:0016607" "nuclear speck" 1
0 0.0171677206691821 1 8 "GO:0019012" "virion" 1
0 0.427652531040058 -1 32 "GO:0019717" "obsolete synaptosome" 1
0 0.562292291078716 2 64 "GO:0019898" "extrinsic component of membrane" 1
0 0.386567857818958 3 29 "GO:0030018" "Z disc" 1
0 0.88272062301652 1 308 "GO:0030054" "cell junction" 1
0 0.640557445584503 2 64 "GO:0030055" "cell-substrate junction" 1
0 0.369309813461018 2 32 "GO:0030133" "transport vesicle" 1
0 0.180548918420589 2 14 "GO:0030175" "filopodium" 1
0 0.391994016277582 2 150 "GO:0030659;GO:0012506" "vesicle membrane" 1
0 0.202285803505668 2 792 "GO:0031090" "organelle membrane" 1
0 0.0354737511705942 3 40 "GO:0031225" "anchored component of membrane" 1
