"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0840561110735439 2 7 "GO:0000062;GO:1901567" "fatty-acyl-CoA binding" 1
0 0.777854269359467 2 1854 "GO:0000166;GO:0043168;GO:0036094;GO:1901265" "small molecule binding" 1
0 0.00758826998650863 2 69 "GO:0000287" "magnesium ion binding" 0.479545454545455
0 0.101955784471596 2 16 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 1
0 0.0731029577837065 3 11 "GO:0000977;GO:0001012" "RNA polymerase II regulatory region DNA binding" 1
0 0.060835983638682 2 9 "GO:0000978;GO:0000987" "proximal promoter sequence-specific DNA binding" 1
0 0.0618830056081827 4 6 "GO:0000993;GO:0001099;GO:0043175;GO:0001098;GO:0070063" "RNA polymerase binding" 1
0 0.045226254407397 3 4 "GO:0001609" "G protein-coupled adenosine receptor activity" 1
0 0.246492654760647 3 19 "GO:0001664" "G protein-coupled receptor binding" 1
0 0.744593366604793 2 1480 "GO:0003676" "nucleic acid binding" 1
0 0.810131696603248 3 778 "GO:0003677" "DNA binding" 0.999738219895288
0 0.213397376431232 2 81 "GO:0003682" "chromatin binding" 1
0 0.224137634923172 4 44 "GO:0003690" "double-stranded DNA binding" 1
0 0.602325341470844 2 353 "GO:0003700;GO:0140110" "transcription regulator activity" 1
0 0.343215901800473 2 99 "GO:0003712;GO:0003713" "transcription coregulator activity" 1
0 0.423690907036428 3 660 "GO:0003723" "RNA binding" 1
0 0.409481375728379 3 264 "GO:0003779" "actin binding" 1
0 0.0765581994088785 2 10 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity" 1
0 0.172790505280951 2 12 "GO:0003899" "DNA-directed 5'-3' RNA polymerase activity" 1
0 0.0156848879332207 5 13 "GO:0003988;GO:0016408" "C-acyltransferase activity" 0.739655172413793
0 0.0242244350928218 6 15 "GO:0003993" "acid phosphatase activity" 0.898571428571429
0 0.00325292143905923 5 13 "GO:0004089" "carbonate dehydratase activity" 0.222222222222222
0 0.0117711096951588 2 12 "GO:0004096" "catalase activity" 0.617307692307692
0 0.5044733704313 2 262 "GO:0004175" "endopeptidase activity" 1
0 0.00285303975882772 6 20 "GO:0004177" "aminopeptidase activity" 0.21875
0 0.176017789589469 2 20 "GO:0004180" "carboxypeptidase activity" 1
0 0.129517457648732 4 14 "GO:0004181" "metallocarboxypeptidase activity" 1
0 0.4733177556982 3 51 "GO:0004197" "cysteine-type endopeptidase activity" 1
0 0.424013226146687 -1 43 "GO:0004221" "obsolete ubiquitin thiolesterase activity" 1
0 0.00069845975255072 2 9 "GO:0004448" "isocitrate dehydrogenase activity" 0.144444444444444
0 0.000301212826089099 3 6 "GO:0004450" "isocitrate dehydrogenase (NADP+) activity" 0.16
0 0.000437963187994631 2 65 "GO:0004497" "monooxygenase activity" 0.158333333333333
0 0.49187062192788 2 60 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 1
0 0.174768934781132 5 15 "GO:0004559;GO:0015923" "mannosidase activity" 1
0 0.0872745565371073 4 7 "GO:0004571;GO:0015924" "mannosyl-oligosaccharide mannosidase activity" 1
0 0.0323402799146995 3 42 "GO:0004601;GO:0016684" "peroxidase activity" 1
0 0.0586190694862533 4 5 "GO:0004616" "phosphogluconate dehydrogenase (decarboxylating) activity" 1
0 0.0476566773617242 5 3 "GO:0004619" "phosphoglycerate mutase activity" 1
0 0.196078170456237 2 31 "GO:0004620" "phospholipase activity" 1
0 0.0466791508944282 3 6 "GO:0004622" "lysophospholipase activity" 1
0 0.0627087302050328 3 275 "GO:0004674" "protein serine/threonine kinase activity" 1
0 0.529856917320126 2 106 "GO:0004721" "phosphoprotein phosphatase activity" 1
0 0.453385333963163 5 73 "GO:0004725" "protein tyrosine phosphatase activity" 1
0 0.0831847775129823 3 9 "GO:0004784;GO:0016721" "superoxide dismutase activity" 1
0 0.00243807746668828 2 6 "GO:0004802;GO:0016744" "transferase activity, transferring aldehyde or ketonic groups" 0.2
0 0.0180560109565899 3 5 "GO:0004832" "valine-tRNA ligase activity" 0.808064516129032
0 0.806190852272813 4 208 "GO:0004842;GO:0019787" "ubiquitin-like protein transferase activity" 1
0 0.319169827628383 3 29 "GO:0004843;GO:0036459;GO:0019783;GO:0101005" "ubiquitin-like protein-specific protease activity" 1
