Sample,low_pollution_heat,med_pollution_heat,high_pollution_heat,symbiont_CD_heat,symbiont_Donly_heat,CWC3.X0,ARed.X0,Phenotype.X0.PC1,Phenotype.X0.mn,Top10.Phenotype.XO.mn,Top20.Phenotype.XO.mn,Top40.Phenotype.XO.mn,Bottom20.Phenotype.XO.mn
CoPt_H_rep1,0,0,1,0,1,34.04129386,34.18155837,0.040280757,34.11142611,0,0,0,0
CoPt_H_rep2,0,0,1,0,1,NA,NA,NA,NA,0,0,0,0
CoPt_H_rep3,0,0,1,0,1,33.4572165,35.18404703,0.422355057,34.32063177,0,0,0,0
CoPt_H_rep4,0,0,1,0,1,33.0456113,33.25632259,-1.310045506,33.15096695,0,1,1,0
Falu_H_rep1,0,1,0,0,1,33.89750897,34.09826517,-0.11648185,33.99788707,0,0,0,0
Falu_H_rep4,0,1,0,0,1,31.74160249,33.72917199,-1.798436311,32.73538724,1,1,1,0
Falu_H_rep6,0,1,0,0,1,33.47349522,35.00555779,0.297307958,34.2395265,0,0,0,0
Ftele_H_rep1,1,0,0,1,0,33.35405756,31.74994232,-2.254193628,32.55199994,1,1,1,0
Ftele_H_rep3,1,0,0,1,0,33.5829471,35.08732032,0.430588596,34.33513371,0,0,0,0
Ftele_H_rep5,1,0,0,1,0,36.5,36.5,3.400336111,36.5,0,0,0,1
Ftele_H_rep6,1,0,0,1,0,33.82285435,33.50471101,-0.616039168,33.66378268,0,0,1,0
Can_H_rep2,0,0,1,0,1,36.5,32.92629202,0.68476701,34.71314601,0,0,0,0
Can_H_rep3,0,0,1,0,1,33.74873868,33.19377474,-0.900492039,33.47125671,0,0,1,0
Can_H_rep5,0,0,1,0,1,34.49777996,34.66479781,0.70422992,34.58128889,0,0,0,0
Can_H_rep6,0,0,1,0,1,33.95382024,35.12673684,0.701633684,34.54027854,0,0,0,0
Vat_H_rep1,0,1,0,0,1,34.93924532,36.5,2.385736391,35.71962266,0,0,0,1
Vat_H_rep3,0,1,0,0,1,33.09516098,33.52688057,-1.072244674,33.31102078,0,0,1,0
Vat_H_rep4,0,1,0,0,1,34.45234271,36.5,2.069215636,35.47617135,0,0,0,1
Vat_H_rep6,0,1,0,1,0,36.5,36.5,3.400336111,36.5,0,0,0,1
