delta.rank,pval,level,nseqs,term,name,p.adj
0,7.86E-07,2,20,GO:0006816,calcium ion transport,0
0,1.04E-05,5,5,GO:0007020,microtubule nucleation,0
0,1.27E-05,4,32,GO:0070838;GO:0072511,divalent inorganic cation transport,0
0,2.94E-05,2,18,GO:0031424,keratinization,0.01
0,3.49E-05,3,17,GO:0006957;GO:0006956,complement activation,0.016666667
0,4.46E-05,2,40,GO:0002252,immune effector process,0.021428571
0,6.89E-05,3,184,GO:0006952,defense response,0.025
0,7.82E-05,3,9,GO:0031023,microtubule organizing center organization,0.033333333
0,0.00014819,4,17,GO:0018108;GO:0018212,peptidyl-tyrosine phosphorylation,0.045833333
0,0.000145669,4,6,GO:0035641;GO:0045794;GO:0006884;GO:2000969;GO:1900451;GO:2000311;GO:1900449;GO:0099601;GO:2000463;GO:0031646;GO:0051835;GO:0051968;GO:0097107;GO:0097106;GO:0098698;GO:0099084;GO:2000822;GO:1903365;GO:0021773;GO:0021879,positive regulation of neurological system process,0.05
0,0.000145639,3,11,GO:0034453,microtubule anchoring,0.055
0,0.000248128,2,7,GO:0048170,positive regulation of long-term neuronal synaptic plasticity,0.063888889
0,0.000248128,2,7,GO:0050795,regulation of behavior,0.063888889
0,0.000248128,3,7,GO:0060997;GO:0097061;GO:0099173;GO:0106027,postsynapse organization,0.063888889
0,0.000248128,2,7,GO:2001259;GO:2001257;GO:0032414;GO:0032412,regulation of cation channel activity,0.063888889
0,0.000265861,2,179,GO:0007017,microtubule-based process,0.068421053
0,0.000395139,2,7,GO:0018149,peptide cross-linking,0.073076923
0,0.000424548,2,26,GO:0050679,positive regulation of epithelial cell proliferation,0.074074074
0,0.000386444,2,8,GO:0035640,exploration behavior,0.076
0,0.000386444,4,8,GO:0051823,regulation of synapse structural plasticity,0.076
0,0.000386444,3,8,GO:0098815;GO:0071625,modulation of excitatory postsynaptic potential,0.076
0,0.000386444,4,8,GO:2000273;GO:0010469,regulation of signaling receptor activity,0.076
0,0.000511174,2,15,GO:0008361,regulation of cell size,0.076666667
0,0.000306182,3,27,GO:0032088,negative regulation of NF-kappaB transcription factor activity,0.0775
0,0.000469319,3,29,GO:0006959,humoral immune response,0.078571429
0,0.00050254,2,7,GO:0042157,lipoprotein metabolic process,0.079310345
0,0.000347344,2,313,GO:0065009,regulation of molecular function,0.080952381
0,0.000247617,1,827,GO:0032501,multicellular organismal process,0.088461538
0,0.000615661,3,74,GO:0030001,metal ion transport,0.093548387
0,0.000628649,4,59,GO:0048812;GO:0120039;GO:0048858;GO:0032990,cell part morphogenesis,0.096875
0,0.000677949,3,6,GO:0006516,glycoprotein catabolic process,0.098529412
0,0.000670952,6,98,GO:0051090,regulation of DNA-binding transcription factor activity,0.1
0,0.000784743,7,10,GO:1904064;GO:0032411;GO:0034767;GO:0032409;GO:0022898;GO:0034765;GO:1904062,regulation of cation transmembrane transport,0.102777778
0,0.000726869,8,34,GO:0006874;GO:0055074;GO:0072503;GO:0072507,divalent inorganic cation homeostasis,0.102857143
0,0.000824995,2,44,GO:0043433,negative regulation of DNA-binding transcription factor activity,0.104054054
0,0.001042505,3,105,GO:0045087,innate immune response,0.121794872
0,0.000999761,2,89,GO:0002253;GO:0050778,positive regulation of immune response,0.122368421
0,0.001136516,4,66,GO:0006954,inflammatory response,0.131707317
0,0.001127386,3,40,GO:0050678,regulation of epithelial cell proliferation,0.13375
0,0.001234779,3,186,GO:0051240,positive regulation of multicellular organismal process,0.138372093
0,0.001363651,2,12,GO:0021953,central nervous system neuron differentiation,0.14
0,0.001363651,4,12,GO:0048854,brain morphogenesis,0.14
0,0.001219347,2,11,GO:0110110,positive regulation of animal organ morphogenesis,0.14047619
0,0.001726023,2,13,GO:0035176;GO:0051703,intraspecies interaction between organisms,0.165625
0,0.00164358,2,35,GO:0031175,neuron projection development,0.166304348
0,0.001691698,1,256,GO:0002376,immune system process,0.167021277
0,0.002603507,4,15,GO:0048169;GO:0048168,regulation of neuronal synaptic plasticity,0.172307692
0,0.002603507,2,15,GO:0050806,positive regulation of synaptic transmission,0.172307692
0,0.002513274,2,11,GO:0002702,positive regulation of production of molecular mediator of immune response,0.173015873
0,0.002180188,2,17,GO:0002053;GO:0010464,regulation of mesenchymal cell proliferation,0.175
0,0.002498804,2,55,GO:0006875;GO:0055065,metal ion homeostasis,0.175
0,0.00215109,2,90,GO:0009887,animal organ morphogenesis,0.175454545
0,0.002472539,2,10,GO:0045446,endothelial cell differentiation,0.176229508
0,0.00188304,2,141,GO:0051094,positive regulation of developmental process,0.176530612
0,0.001964186,3,271,GO:2000026,regulation of multicellular organismal development,0.178
0,0.002433775,3,24,GO:0072175;GO:0001838,epithelial tube formation,0.178333333
0,0.002143831,4,25,GO:0034762,regulation of transmembrane transport,0.178703704
0,0.002786076,3,16,GO:0009886,post-embryonic animal morphogenesis,0.178787879
0,0.002384343,5,8,GO:0072383;GO:0047496;GO:0072386;GO:0099518,plus-end-directed vesicle transport along microtubule,0.178813559
0,0.00203509,3,145,GO:0016310;GO:0006468,phosphorylation,0.180392157
0,0.00237043,3,81,GO:0032989,cellular component morphogenesis,0.181034483
0,0.002316388,3,142,GO:0030030,cell projection organization,0.181578947
0,0.002138968,2,14,GO:0034764;GO:0043270,positive regulation of ion transport,0.182075472
0,0.002977783,7,7,GO:0060045;GO:0055023;GO:0060043;GO:0055021;GO:0055025;GO:0060421;GO:0055024;GO:0060420;GO:0045844;GO:0048636;GO:1901863,regulation of cardiac muscle tissue development,0.183333333
0,0.00289755,5,13,GO:0001755,neural crest cell migration,0.18358209
0,0.002104477,3,21,GO:0043269,regulation of ion transport,0.183653846
0,0.003043653,3,452,GO:0006508,proteolysis,0.185
0,0.002968312,3,404,GO:0035556,intracellular signal transduction,0.185294118
0,0.003530682,3,492,GO:0007166,cell surface receptor signaling pathway,0.205633803
0,0.00370128,2,103,GO:0007018,microtubule-based movement,0.209589041
0,0.003689883,2,17,GO:0031644,regulation of neurological system process,0.211805556
0,0.004365427,2,142,GO:0006955,immune response,0.223417722
0,0.004312271,2,18,GO:0048167,regulation of synaptic plasticity,0.224675325
0,0.004312271,2,18,GO:0051705,multi-organism behavior,0.224675325
0,0.004362661,2,11,GO:0072384,organelle transport along microtubule,0.226282051
0,0.004293288,3,37,GO:0044057,regulation of system process,0.23
0,0.004746359,3,17,GO:0009100,glycoprotein metabolic process,0.23125
0,0.004242526,5,169,GO:0007167;GO:0007169,enzyme linked receptor protein signaling pathway,0.231756757
0,0.005023964,2,119,GO:0006812,cation transport,0.232738095
0,0.004946948,2,64,GO:0030003;GO:0006873;GO:0055082,cellular chemical homeostasis,0.23373494
0,0.004939296,2,516,GO:0048869,cellular developmental process,0.23597561
0,0.005286335,3,135,GO:0019725,cellular homeostasis,0.236781609
0,0.005127142,2,412,GO:0006928,movement of cell or subcellular component,0.237058824
0,0.004934217,4,11,GO:0007250;GO:1901224;GO:1901222,activation of NF-kappaB-inducing kinase activity,0.238271605
0,0.005257868,4,183,GO:0043085;GO:0044093,positive regulation of molecular function,0.238372093
0,0.0055568,4,22,GO:0042110,T cell activation,0.24375
0,0.005722227,2,113,GO:0050776,regulation of immune response,0.245505618
0,0.005875444,3,43,GO:0051050,positive regulation of transport,0.251111111
0,0.006011483,2,17,GO:0009593,detection of chemical stimulus,0.254945055
0,0.006081995,5,57,GO:0007601;GO:0050953,sensory perception of light stimulus,0.255978261
0,0.00622891,3,15,GO:0002699,positive regulation of immune effector process,0.260215054
0,0.006420096,3,119,GO:0007600,sensory perception,0.263829787
0,0.006494439,2,21,GO:0007626,locomotory behavior,0.265263158
0,0.006978248,4,55,GO:0030855,epithelial cell differentiation,0.279896907
0,0.007093653,3,30,GO:0008286,insulin receptor signaling pathway,0.281632653
0,0.006955863,3,294,GO:0009967;GO:0010647;GO:0023056;GO:0048584,positive regulation of response to stimulus,0.2828125
0,0.007406539,2,6,GO:0060411,cardiac septum morphogenesis,0.283168317
0,0.007279031,2,81,GO:0044092,negative regulation of molecular function,0.283333333
0,0.007325126,2,22,GO:0021700;GO:0071695,developmental maturation,0.2835
0,0.007721201,5,67,GO:0007219,Notch signaling pathway,0.291666667
0,0.007938237,2,9,GO:0070509;GO:0005513,detection of calcium ion,0.29375
0,0.007896972,2,7,GO:0048745,smooth muscle tissue development,0.296116505
0,0.008279099,5,33,GO:0060828,regulation of canonical Wnt signaling pathway,0.298130841
0,0.008186131,2,5,GO:0043277,apoptotic cell clearance,0.298571429
0,0.008257666,2,40,GO:0045765;GO:1901342,regulation of vasculature development,0.3
0,0.008630651,2,209,GO:0003008;GO:0050877,system process,0.302752294
0,0.008544336,3,9,GO:0022405;GO:0022404,hair cycle process,0.303240741
0,0.009035645,2,81,GO:0000226,microtubule cytoskeleton organization,0.312162162
0,0.009020634,5,6,GO:0051146,striated muscle cell differentiation,0.315
0,0.009337484,3,165,GO:0022603,regulation of anatomical structure morphogenesis,0.321875
0,0.010460593,3,18,GO:0050880;GO:0035150;GO:0003018,regulation of tube size,0.33907563
0,0.010530467,4,26,GO:0001657;GO:0072164;GO:0072163;GO:0072073,kidney epithelium development,0.339583333
0,0.010340679,3,7,GO:0007519,skeletal muscle tissue development,0.339830508
0,0.010340679,2,7,GO:0008045,motor neuron axon guidance,0.339830508
0,0.010012721,2,346,GO:0006796;GO:0006793,phosphorus metabolic process,0.342035398
0,0.010154758,2,365,GO:0050793,regulation of developmental process,0.343859649
0,0.010323061,4,10,GO:0051216,cartilage development,0.345258621
0,0.010802378,2,29,GO:1901136,carbohydrate derivative catabolic process,0.347107438
0,0.010311469,2,18,GO:0051650;GO:0051648,vesicle localization,0.347391304
0,0.011063417,3,7,GO:0048749,compound eye development,0.355737705
0,0.01125904,3,353,GO:0030154,cell differentiation,0.358943089
0,0.011613256,4,8,GO:0035051,cardiocyte differentiation,0.3692
0,0.011568284,5,11,GO:0019722,calcium-mediated signaling,0.37016129
0,0.011803623,6,79,GO:0055080;GO:0098771;GO:0050801,ion homeostasis,0.372619048
0,0.012344845,2,92,GO:0090066;GO:0032535,regulation of anatomical structure size,0.373863636
0,0.011932405,3,19,GO:0002700,regulation of production of molecular mediator of immune response,0.37480315
0,0.012098916,3,13,GO:0016525;GO:2000181;GO:1901343,negative regulation of vasculature development,0.375390625
0,0.012332963,3,15,GO:0016202;GO:0048634;GO:1901861,regulation of muscle organ development,0.375572519
0,0.01232534,2,57,GO:0035295;GO:0060429,tube development,0.378461538
0,0.012624635,2,167,GO:0002684;GO:0002682,regulation of immune system process,0.378947368
0,0.012301528,4,176,GO:0006811,ion transport,0.380620155
0,0.013610153,3,112,GO:0009888,tissue development,0.39673913
0,0.013165737,2,32,GO:0001503,ossification,0.398134328
0,0.013395143,2,40,GO:0035148,tube formation,0.398161765
0,0.013583802,2,96,GO:0009790,embryo development,0.399635036
0,0.01332788,4,28,GO:0030182,neuron differentiation,0.4
0,0.014126904,2,78,GO:0120036,plasma membrane bounded cell projection organization,0.410431655
0,0.014277451,7,56,GO:0032147,activation of protein kinase activity,0.412142857
0,0.014495374,2,8,GO:0006333,chromatin assembly or disassembly,0.415140845
0,0.014459508,3,6,GO:0032743;GO:0002726;GO:0002711;GO:0002720;GO:0002724;GO:0002718,positive regulation of interleukin-2 production,0.416666667
0,0.014860267,2,275,GO:0009653,anatomical structure morphogenesis,0.422222222
0,0.014805448,3,244,GO:0048513,animal organ development,0.423426573
0,0.0151241,2,14,GO:0070536,protein K63-linked deubiquitination,0.423972603
0,0.015002842,3,10,GO:0051017;GO:0061572,actin filament bundle assembly,0.425172414
0,0.015257728,2,15,GO:0033209,tumor necrosis factor-mediated signaling pathway,0.42585034
0,0.015616389,3,30,GO:0060560,developmental growth involved in morphogenesis,0.433783784
0,0.01573633,1,79,GO:0007610,behavior,0.436241611
0,0.016471859,4,12,GO:0007213;GO:0095500;GO:1903831,G protein-coupled acetylcholine receptor signaling pathway,0.441290323
0,0.016338629,2,51,GO:0046649;GO:0045321,leukocyte activation,0.443137255
0,0.016262024,2,12,GO:0002637;GO:0051023,regulation of immunoglobulin production,0.443421053
0,0.016262024,5,12,GO:0030183,B cell differentiation,0.443421053
0,0.016425143,2,35,GO:2000027,regulation of animal organ morphogenesis,0.443831169
0,0.017457043,4,12,GO:0007204;GO:0051480,regulation of cytosolic calcium ion concentration,0.44537037
0,0.016764551,2,39,GO:0000165;GO:0023014,MAPK cascade,0.445512821
0,0.017244547,4,25,GO:0010970;GO:0030705;GO:0099111,microtubule-based transport,0.445625
0,0.017398622,5,12,GO:0006909,phagocytosis,0.44689441
0,0.017196866,2,48,GO:0090287,regulation of cellular response to growth factor stimulus,0.447798742
0,0.016222674,4,11,GO:0042059;GO:1901185,negative regulation of ERBB signaling pathway,0.449
0,0.017173737,3,5,GO:0034614,cellular response to reactive oxygen species,0.450632911
0,0.017173737,3,5,GO:0071478,cellular response to radiation,0.450632911
0,0.017841106,2,14,GO:0007635,chemosensory behavior,0.454294479
0,0.017969826,2,836,GO:0048856,anatomical structure development,0.454573171
0,0.02026398,2,5,GO:0030916,otic vesicle formation,0.471751412
0,0.02026398,3,5,GO:0048286,lung alveolus development,0.471751412
0,0.02026398,2,5,GO:0048557,embryonic digestive tract morphogenesis,0.471751412
0,0.02026398,6,5,GO:0055010,ventricular cardiac muscle tissue morphogenesis,0.471751412
0,0.02026398,2,5,GO:0060349,bone morphogenesis,0.471751412
0,0.019327752,2,15,GO:0042692,muscle cell differentiation,0.480421687
0,0.019293306,2,27,GO:0046677,response to antibiotic,0.482727273
0,0.019625105,7,14,GO:0007254,JNK cascade,0.485329341
0,0.020260161,4,11,GO:0048484;GO:0042551,neuron maturation,0.485465116
0,0.020247127,2,6,GO:0035690,cellular response to drug,0.488011696
0,0.020247127,2,6,GO:0071236,cellular response to antibiotic,0.488011696
0,0.019897041,2,51,GO:0006892,post-Golgi vesicle-mediated transport,0.488690476
0,0.020097533,3,34,GO:0051656,establishment of organelle localization,0.488757396
0,0.021557769,3,53,GO:0030111,regulation of Wnt signaling pathway,0.5
0,0.021820016,4,96,GO:0045860;GO:0033674;GO:0051347,positive regulation of transferase activity,0.504469274
0,0.022420452,2,395,GO:0051239,regulation of multicellular organismal process,0.516111111
0,0.022924308,4,11,GO:0001570,vasculogenesis,0.521153846
0,0.022754928,2,11,GO:0051781;GO:0051302,regulation of cell division,0.521270718
0,0.024108468,3,94,GO:0007186,G protein-coupled receptor signaling pathway,0.524338624
0,0.023955704,4,10,GO:0030949;GO:0030947,regulation of vascular endothelial growth factor receptor signaling pathway,0.524734043
0,0.023890396,2,6,GO:0030282,bone mineralization,0.526737968
0,0.023890396,2,6,GO:0035265,organ growth,0.526737968
0,0.023890396,4,6,GO:0060485,mesenchyme development,0.526737968
0,0.023251578,2,99,GO:0007389,pattern specification process,0.527595628
0,0.024534616,4,21,GO:0030098,lymphocyte differentiation,0.530366492
0,0.02443215,3,15,GO:0043113;GO:0051668,localization within membrane,0.530789474
0,0.026066356,3,8,GO:0071214;GO:0104004,cellular response to environmental stimulus,0.53159204
0,0.025296395,4,22,GO:0042113,B cell activation,0.531887755
0,0.02468362,3,55,GO:0010035,response to inorganic substance,0.532552083
0,0.025991297,4,231,GO:0007010,cytoskeleton organization,0.533
0,0.025203165,3,9,GO:0048009,insulin-like growth factor receptor signaling pathway,0.533076923
0,0.023747383,3,12,GO:0072300;GO:0072216;GO:0072298;GO:0090193;GO:0072215;GO:0090192,regulation of glomerulus development,0.533152174
0,0.025903463,2,11,GO:0030513;GO:0090100,positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,0.533417085
0,0.025099641,2,37,GO:0042391,regulation of membrane potential,0.533762887
0,0.025020759,4,10,GO:0030149;GO:0046466,membrane lipid catabolic process,0.535233161
0,0.025813542,4,5,GO:0035459,vesicle cargo loading,0.535606061
0,0.026976656,5,68,GO:0031347,regulation of defense response,0.535679612
0,0.02565759,4,42,GO:0007218,neuropeptide signaling pathway,0.535786802
0,0.026562058,2,6,GO:0019748,secondary metabolic process,0.536945813
0,0.026702201,2,29,GO:0007162,negative regulation of cell adhesion,0.537254902
0,0.026870088,2,12,GO:0060562,epithelial tube morphogenesis,0.537317073
0,0.027850096,3,23,GO:0051403;GO:0031098,stress-activated MAPK cascade,0.539099526
0,0.027386424,2,7,GO:0002067,glandular epithelial cell differentiation,0.539182692
0,0.027386424,2,7,GO:0050673,epithelial cell proliferation,0.539182692
0,0.027526776,4,8,GO:0046320,regulation of fatty acid oxidation,0.53923445
0,0.027781151,2,12,GO:0001936;GO:0001938,regulation of endothelial cell proliferation,0.54047619
0,0.028064775,2,39,GO:0050807,regulation of synapse organization,0.541273585
0,0.028607458,3,24,GO:0042058;GO:1901184,regulation of ERBB signaling pathway,0.550938967
0,0.028856239,4,50,GO:0046777,protein autophosphorylation,0.553037383
0,0.030756738,3,8,GO:0008589,regulation of smoothened signaling pathway,0.580414747
0,0.030756738,3,8,GO:0030901,midbrain development,0.580414747
0,0.030756738,2,8,GO:0046622,positive regulation of organ growth,0.580414747
0,0.032065261,4,33,GO:0002521,leukocyte differentiation,0.583856502
0,0.031428217,3,30,GO:0006665;GO:0006643,membrane lipid metabolic process,0.585
0,0.031938542,2,22,GO:0030178;GO:0090090,negative regulation of Wnt signaling pathway,0.585135135
0,0.032432933,3,20,GO:0051592,response to calcium ion,0.585714286
0,0.031792865,2,5,GO:0007512,adult heart development,0.585972851
0,0.032567745,2,57,GO:0048589,developmental growth,0.586444444
0,0.031336276,2,14,GO:0035162,embryonic hemopoiesis,0.586757991
0,0.03120946,2,632,GO:0009966;GO:0010646;GO:0023051;GO:0048583,regulation of response to stimulus,0.587385321
0,0.034005845,6,9,GO:0010518;GO:0060193,positive regulation of lipase activity,0.599347826
0,0.034005845,3,9,GO:0017145,stem cell division,0.599347826
0,0.034005845,2,9,GO:0040036,regulation of fibroblast growth factor receptor signaling pathway,0.599347826
0,0.034005845,4,9,GO:0048863,stem cell differentiation,0.599347826
0,0.034306391,2,33,GO:0035107,appendage morphogenesis,0.599568966
0,0.034273279,5,43,GO:0050804;GO:0099177,modulation of chemical synaptic transmission,0.601948052
0,0.033991718,2,34,GO:0051606,detection of stimulus,0.609734513
0,0.048764485,2,25,GO:0007178,transmembrane receptor protein serine/threonine kinase signaling pathway,0.615322581
0,0.04897715,3,19,GO:0045766;GO:1904018,positive regulation of angiogenesis,0.615594855
0,0.037808718,2,9,GO:0021782,glial cell development,0.615725806
0,0.038008809,3,5,GO:0060148;GO:0060147,regulation of posttranscriptional gene silencing,0.615863454
0,0.04873327,2,101,GO:0008284,positive regulation of cell population proliferation,0.617313916
0,0.048580057,4,14,GO:0048639,positive regulation of developmental growth,0.617532468
0,0.048580057,3,14,GO:0055008;GO:0060415,muscle tissue morphogenesis,0.617532468
0,0.048580057,3,14,GO:0060688,regulation of morphogenesis of a branching structure,0.617532468
0,0.048580057,2,14,GO:0090263,positive regulation of canonical Wnt signaling pathway,0.617532468
0,0.038236492,5,41,GO:0007605;GO:0050954,sensory perception of mechanical stimulus,0.6182
0,0.037784871,2,155,GO:0048731,system development,0.618218623
0,0.049556616,2,281,GO:0006397;GO:0016071,mRNA metabolic process,0.619711538
0,0.03771041,4,18,GO:0010634,positive regulation of epithelial cell migration,0.619715447
0,0.03771041,5,18,GO:0030510,regulation of BMP signaling pathway,0.619715447
0,0.049927026,2,57,GO:0006644,phospholipid metabolic process,0.621884984
0,0.047886379,2,18,GO:0001656,metanephros development,0.622277228
0,0.047886379,2,18,GO:0090184;GO:0090183,regulation of kidney development,0.622277228
0,0.037138091,2,10,GO:0002065,columnar/cuboidal epithelial cell differentiation,0.623140496
0,0.037138091,2,10,GO:0070374;GO:0070372,regulation of ERK1 and ERK2 cascade,0.623140496
0,0.050224307,4,43,GO:0001822,kidney development,0.623248408
0,0.038778051,2,43,GO:0007015,actin filament organization,0.623705179
0,0.037490933,2,63,GO:0072657,protein localization to membrane,0.624279835
0,0.037687217,3,17,GO:0007179,transforming growth factor beta receptor signaling pathway,0.624795082
0,0.048416185,3,116,GO:0007411;GO:0097485,axon guidance,0.625
0,0.036791162,2,35,GO:0009791,post-embryonic development,0.625313808
0,0.047566383,2,17,GO:0000302,response to reactive oxygen species,0.6255
0,0.047566383,4,17,GO:0010212,response to ionizing radiation,0.6255
0,0.052072588,4,30,GO:0048568,embryonic organ development,0.625700935
0,0.051368259,2,7,GO:0009751,response to salicylic acid,0.626257862
0,0.051368259,2,7,GO:0060968,regulation of gene silencing,0.626257862
0,0.047884973,7,12,GO:0070830;GO:0120192;GO:0120193,tight junction assembly,0.62641196
0,0.03704629,4,49,GO:0001667,ameboidal-type cell migration,0.626666667
0,0.036500677,3,12,GO:0042542,response to hydrogen peroxide,0.62690678
0,0.052376423,2,315,GO:0006396,RNA processing,0.627018634
0,0.036337002,2,6,GO:0070293;GO:0003014,renal system process,0.627021277
0,0.036766203,2,32,GO:0007409,axonogenesis,0.62710084
0,0.052048933,3,65,GO:0042493,response to drug,0.62734375
0,0.051722477,3,9,GO:0007589,body fluid secretion,0.627429467
0,0.052742458,2,20,GO:0014706;GO:0060537,muscle tissue development,0.627863777
0,0.047481261,3,12,GO:0060325,face morphogenesis,0.628187919
0,0.040248834,2,32,GO:0008654,phospholipid biosynthetic process,0.628571429
0,0.051246269,2,24,GO:0006936;GO:0003012,muscle system process,0.628955696
0,0.036280187,2,19,GO:0045162;GO:0045161,neuronal ion channel clustering,0.629273504
0,0.040498,3,113,GO:0048878,chemical homeostasis,0.629423077
0,0.036747071,5,38,GO:0006099;GO:0006101;GO:0072350,citrate metabolic process,0.629535865
0,0.047428823,2,11,GO:2001020,regulation of response to DNA damage stimulus,0.62979798
0,0.040157666,4,11,GO:0021884;GO:0021954,central nervous system neuron development,0.63003876
0,0.040157666,2,11,GO:0031214,biomineral tissue development,0.63003876
0,0.040157666,4,11,GO:0046620,regulation of organ growth,0.63003876
0,0.040157666,2,11,GO:0051147,regulation of muscle cell differentiation,0.63003876
0,0.040157666,2,11,GO:2000241,regulation of reproductive process,0.63003876
0,0.046547508,2,221,GO:0042592,homeostatic process,0.63024055
0,0.051187937,3,15,GO:0040014,regulation of multicellular organism growth,0.630634921
0,0.040837832,7,39,GO:0051091,positive regulation of DNA-binding transcription factor activity,0.631226054
0,0.041042456,2,24,GO:0051168,nuclear export,0.63129771
0,0.043732598,2,30,GO:0048732,gland development,0.631702899
0,0.036277827,2,50,GO:0050878,regulation of body fluid levels,0.631759657
0,0.047422385,2,6,GO:0043462,regulation of ATPase activity,0.631925676
0,0.047086103,4,11,GO:0002706;GO:0002703,regulation of leukocyte mediated immunity,0.632312925
0,0.047086103,2,11,GO:0002708;GO:0002709;GO:0002824;GO:0002705;GO:0002821,positive regulation of lymphocyte mediated immunity,0.632312925
0,0.046526428,2,10,GO:0007026;GO:0031111;GO:0031114,regulation of microtubule depolymerization,0.632413793
0,0.043686008,2,10,GO:0007249,I-kappaB kinase/NF-kappaB signaling,0.632545455
0,0.053566,2,5,GO:0006903,vesicle targeting,0.63287037
0,0.041291243,5,10,GO:0007391;GO:0048563,dorsal closure,0.632889734
0,0.044085149,3,49,GO:0050769;GO:0010720;GO:0051962,positive regulation of nervous system development,0.633212996
0,0.041550511,2,55,GO:0070925,organelle assembly,0.633333333
0,0.043557947,2,17,GO:0048469,cell maturation,0.633394161
0,0.047361718,2,15,GO:0043393,regulation of protein binding,0.633559322
0,0.046182348,3,45,GO:0001701;GO:0043009,chordate embryonic development,0.633854167
0,0.046434589,3,52,GO:0043123;GO:0043122,regulation of I-kappaB kinase/NF-kappaB signaling,0.633910035
0,0.045874823,3,13,GO:0009880,embryonic pattern specification,0.633916084
0,0.045874823,6,13,GO:0010517;GO:0060191,regulation of lipase activity,0.633916084
0,0.041930467,6,5,GO:0009303;GO:0098781,rRNA transcription,0.634150943
0,0.044357808,3,65,GO:0097435,supramolecular fiber organization,0.634352518
0,0.043381811,2,15,GO:0034599,cellular response to oxidative stress,0.634558824
0,0.046064059,5,14,GO:0006672,ceramide metabolic process,0.63466899
0,0.044648497,4,11,GO:0042552;GO:0008366;GO:0007272,axon ensheathment,0.634767025
0,0.045100017,2,234,GO:0044265;GO:0009057,macromolecule catabolic process,0.635053381
0,0.045455462,-1,5,GO:0043526,obsolete neuroprotection,0.635159011
0,0.042450269,1,82,GO:0040007,growth,0.635205993
0,0.0435361,5,6,GO:0006505;GO:0009247,GPI anchor metabolic process,0.635531136
0,0.039735257,2,54,GO:0002697,regulation of immune effector process,0.635573123
0,0.044969933,4,69,GO:0016999,antibiotic metabolic process,0.635892857
0,0.045681258,3,155,GO:0001934;GO:0031401;GO:0042327;GO:0045937;GO:0010562,positive regulation of protein modification process,0.635915493
0,0.043318801,5,9,GO:0032438;GO:0048753,pigment granule organization,0.636162362
0,0.043068612,3,12,GO:0010453,regulation of cell fate commitment,0.636296296
0,0.043068612,2,12,GO:0016331,morphogenesis of embryonic epithelium,0.636296296
0,0.045448241,2,69,GO:0048729;GO:0002009,tissue morphogenesis,0.637234043
0,0.042342023,2,37,GO:0006338,chromatin remodeling,0.637406015
0,0.03969498,2,21,GO:0046148;GO:0042440,pigment metabolic process,0.6375
0,0.054361993,2,7,GO:0051346,negative regulation of hydrolase activity,0.637692308
0,0.054865948,9,5,GO:0060402;GO:0060401,calcium ion transport into cytosol,0.637767584
0,0.055245381,2,157,GO:0080134,regulation of response to stress,0.638145897
0,0.055072472,2,141,GO:1902533,positive regulation of intracellular signal transduction,0.638567073
