delta.rank,pval,level,nseqs,term,name,p.adj
0,2.99E-06,2,12,GO:0000186,activation of MAPKK activity,0
0,4.81E-06,2,14,GO:0007254,JNK cascade,0
0,2.08E-05,8,23,GO:0051403;GO:0031098,stress-activated MAPK cascade,0
0,0.000129507,3,49,GO:0046330;GO:0032874;GO:0070304,positive regulation of stress-activated protein kinase signaling cascade,0.066666667
0,8.68E-05,3,39,GO:0000165;GO:0023014,signal transduction by protein phosphorylation,0.07
0,0.000211263,2,56,GO:0032147,activation of protein kinase activity,0.085714286
0,8.12E-05,4,38,GO:0043507;GO:0043506,regulation of JUN kinase activity,0.0875
0,0.0003277,3,68,GO:0043406;GO:0043405;GO:0071902,regulation of MAP kinase activity,0.10625
0,0.000583112,2,90,GO:0071900,regulation of protein serine/threonine kinase activity,0.172222222
0,0.00141912,2,17,GO:0009593,detection of chemical stimulus,0.357692308
0,0.001345772,2,34,GO:0007034;GO:0007041,vacuolar transport,0.358333333
0,0.001280138,3,145,GO:0016310;GO:0006468,phosphorylation,0.363636364
0,0.001646975,2,34,GO:0051606,detection of stimulus,0.373333333
0,0.001205763,7,83,GO:0046328;GO:0032872;GO:0070302;GO:0080135,regulation of cellular response to stress,0.375
0,0.001616622,3,6,GO:0050974;GO:0050982,detection of mechanical stimulus,0.389285714
0,0.002107465,2,96,GO:0045860;GO:0033674;GO:0051347,positive regulation of transferase activity,0.428125
0,0.003588337,2,37,GO:0042742;GO:0009617,response to bacterium,0.630555556
0,0.003409967,2,25,GO:0006898,receptor-mediated endocytosis,0.635294118
0,0.003919911,3,114,GO:0043410;GO:0043408,regulation of MAPK cascade,0.647368421
0,0.004495682,2,157,GO:0080134,regulation of response to stress,0.71
0,0.007904013,2,141,GO:1902533,positive regulation of intracellular signal transduction,0.830645161
0,0.007813402,5,2757,unknown,unknown,0.85
0,0.007732966,2,13,GO:0009612,response to mechanical stimulus,0.870689655
0,0.008424373,2,47,GO:0098542,defense response to other organism,0.8734375
0,0.007559065,6,139,GO:0045859;GO:0043549;GO:0051338,regulation of transferase activity,0.882142857
0,0.005857229,3,8,GO:0006904,vesicle docking involved in exocytosis,0.885714286
0,0.007382314,2,9,GO:0070509;GO:0005513,detection of calcium ion,0.894444444
0,0.006851096,2,404,GO:0035556,intracellular signal transduction,0.916666667
0,0.007294053,2,357,GO:0033554;GO:0051716,cellular response to stimulus,0.919230769
0,0.006664088,3,5,GO:0006775,fat-soluble vitamin metabolic process,0.923913043
0,0.006664088,2,5,GO:0051181,cofactor transport,0.923913043
0,0.00916404,2,7,GO:0042157,lipoprotein metabolic process,0.925757576
0,0.006996816,2,8,GO:0043152;GO:0019731,antibacterial humoral response,0.926
0,0.009453302,2,12,GO:1903509;GO:0006664,liposaccharide metabolic process,0.936764706
0,0.011100801,2,11,GO:0140029,exocytic process,0.972368421
0,0.010165966,2,15,GO:0009581;GO:0009582,detection of abiotic stimulus,0.982857143
0,0.010519637,3,155,GO:0001934;GO:0031401;GO:0042327;GO:0045937;GO:0010562,positive regulation of protein modification process,0.9875
0,0.010979575,2,10,GO:0019730,antimicrobial humoral response,0.993243243
0,0.012375634,5,131,GO:0006278;GO:0071897,DNA biosynthetic process,1
0,0.012728385,5,14,GO:0006672,ceramide metabolic process,1
0,0.012813687,2,11,GO:0007369,gastrulation,1
0,0.014118649,2,379,GO:0007155;GO:0022610,cell adhesion,1
