delta.rank,pval,level,nseqs,term,name,p.adj
0,7.16E-07,5,2757,unknown,unknown,0
0,0.002913843,4,7,GO:0016405,CoA-ligase activity,0.38
0,0.002687687,-1,6,GO:0003840,obsolete gamma-glutamyltransferase activity,0.4
0,0.001813833,2,6,GO:0004602,glutathione peroxidase activity,0.408333333
0,0.003372208,2,50,GO:0003735,structural constituent of ribosome,0.413636364
0,0.001145771,2,18,GO:0003730,mRNA 3'-UTR binding,0.416666667
0,0.002481997,5,12,GO:0008378,galactosyltransferase activity,0.425
0,0.00242824,4,35,GO:0003729,mRNA binding,0.478571429
0,0.005086651,3,42,GO:0008194,UDP-glycosyltransferase activity,0.584615385
0,0.00609203,2,41,GO:0051536;GO:0051540,iron-sulfur cluster binding,0.6
0,0.009963989,4,13,GO:0004089,carbonate dehydratase activity,0.811111111
0,0.010926753,4,10,GO:0019212;GO:0004864;GO:0019888,phosphatase inhibitor activity,0.815789474
0,0.01353154,4,5,GO:0080130;GO:0008793;GO:0070546,aromatic-amino-acid:2-oxoglutarate aminotransferase activity,0.840909091
0,0.014291363,3,43,GO:0005507,copper ion binding,0.87173913
0,0.013287555,3,10,GO:0031435,mitogen-activated protein kinase kinase kinase binding,0.9175
0,0.016903587,5,5,GO:0004467;GO:0015645,long-chain fatty acid-CoA ligase activity,0.934
0,0.016189132,3,15,GO:0019843,rRNA binding,0.947916667
0,0.018646193,1,40,GO:0038024;GO:0005044,cargo receptor activity,0.981481481
0,0.020958856,4,24,GO:0008083,growth factor activity,0.99
0,0.019605666,5,12,GO:0015145;GO:0051119,sugar transmembrane transporter activity,0.991071429
0,0.020827073,6,8,GO:0015149;GO:0005355,hexose transmembrane transporter activity,1
0,0.022046947,2,125,GO:0004930,G protein-coupled receptor activity,1
0,0.022670699,2,69,GO:0016702;GO:0016701;GO:0051213,dioxygenase activity,1
0,0.024315385,2,8,GO:0035250,UDP-galactosyltransferase activity,1
0,0.026119842,7,9,GO:0004198,calcium-dependent cysteine-type endopeptidase activity,1
0,0.026820849,2,12,GO:0031543,peptidyl-proline dioxygenase activity,1
0,0.028631904,3,21,GO:0003755;GO:0016859,cis-trans isomerase activity,1
0,0.029697828,4,6,GO:0019798;GO:0004656;GO:0031545,procollagen-proline dioxygenase activity,1
0,0.031603796,2,37,GO:0016706,2-oxoglutarate-dependent dioxygenase activity,1
0,0.03243976,2,6,GO:0051721,protein phosphatase 2A binding,1
0,0.032519559,4,13,GO:0000049,tRNA binding,1
0,0.032703464,3,194,GO:0050662,coenzyme binding,1
0,0.032981063,2,6,GO:0008046,axon guidance receptor activity,1
0,0.033006625,5,6,GO:0016307,phosphatidylinositol phosphate kinase activity,1
0,0.034165853,3,6,GO:0008408,3'-5' exonuclease activity,1
0,0.035013672,3,93,GO:0019842,vitamin binding,1
0,0.036888394,2,5,GO:0032452;GO:0032451,histone demethylase activity,1
0,0.037598615,2,39,GO:0016836;GO:0016835,carbon-oxygen lyase activity,1
0,0.039434899,3,24,GO:0043021,ribonucleoprotein complex binding,1
0,0.039741175,2,19,GO:0015144,carbohydrate transmembrane transporter activity,1
0,0.039868589,2,16,GO:0019208,phosphatase regulator activity,1
0,0.043175103,2,17,GO:0043236;GO:0050840,extracellular matrix binding,1
0,0.044599614,4,11,GO:0003995,acyl-CoA dehydrogenase activity,1
0,0.045131939,3,74,GO:0008026;GO:0070035,purine NTP-dependent helicase activity,1
0,0.045682112,2,7,GO:0032036,myosin heavy chain binding,1
0,0.045991384,2,43,GO:0030170;GO:0070279,pyridoxal phosphate binding,1
0,0.048664703,2,38,GO:1901981;GO:1902936,phosphatidylinositol phosphate binding,1
0,0.049466332,2,8,GO:0019894,kinesin binding,1
0,0.050516417,3,8,GO:0008603,cAMP-dependent protein kinase regulator activity,1
0,0.056382541,2,20,GO:0004177,aminopeptidase activity,1
0,0.056996656,2,30,GO:0005200,structural constituent of cytoskeleton,1
0,0.057355742,2,660,GO:0003723,RNA binding,1
0,0.058934448,5,12,GO:0003899,DNA-directed 5'-3' RNA polymerase activity,1
0,0.061612757,3,29,GO:0050661,NADP binding,1
0,0.062354416,3,21,GO:0031418,L-ascorbic acid binding,1
0,0.064863077,2,14,GO:0004527,exonuclease activity,1
0,0.065887216,2,125,GO:0005543,phospholipid binding,1
0,0.07006305,3,24,GO:0016831,carboxy-lyase activity,1
0,0.070595681,2,34,GO:0015079,potassium ion transmembrane transporter activity,1
0,0.070758211,5,12,GO:0004560;GO:0015928,fucosidase activity,1
0,0.071261642,2,542,GO:0016491,oxidoreductase activity,1
0,0.072381117,3,17,GO:0030594,neurotransmitter receptor activity,1
0,0.073433607,3,84,GO:0035091,phosphatidylinositol binding,1
0,0.077019922,2,10,GO:0048038,quinone binding,1
0,0.080882785,2,104,GO:0016829,lyase activity,1
0,0.08201274,-1,20,GO:0051636;GO:0051637;GO:0035375,obsolete Gram-negative bacterial cell surface binding,1
0,0.083552468,2,47,GO:0008080;GO:0016407;GO:0016410,acetyltransferase activity,1
0,0.086671972,2,40,GO:0019829;GO:0042625;GO:0022853,ATPase coupled ion transmembrane transporter activity,1
0,0.087289485,3,69,GO:0008236;GO:0017171;GO:0004252,serine-type peptidase activity,1
0,0.08801673,2,12,GO:0008375,acetylglucosaminyltransferase activity,1
0,0.089255809,2,15,GO:0043022,ribosome binding,1
0,0.089639092,3,15,GO:0009881,photoreceptor activity,1
0,0.091143425,2,136,GO:0003964;GO:0034061,DNA polymerase activity,1
0,0.094047789,2,113,GO:0009055,electron transfer activity,1
0,0.102124963,3,33,GO:0048029,monosaccharide binding,1
0,0.102388624,2,45,GO:0008238,exopeptidase activity,1
0,0.102833318,2,36,GO:0004540,ribonuclease activity,1
0,0.103406314,2,13,GO:0050681,androgen receptor binding,1
0,0.112478513,2,75,GO:0046982,protein heterodimerization activity,1
0,0.112527519,2,6,GO:0008143;GO:0070717,poly(A) binding,1
0,0.115028562,3,52,GO:0048018;GO:0030545,receptor regulator activity,1
0,0.119461596,4,19,GO:0034062;GO:0097747,5'-3' RNA polymerase activity,1
0,0.119794884,2,12,GO:0017022,myosin binding,1
0,0.120629557,2,178,GO:0016779,nucleotidyltransferase activity,1
0,0.128374955,2,70,GO:0016853,isomerase activity,1
0,0.129320559,2,22,GO:0008094,DNA-dependent ATPase activity,1
0,0.130696727,5,19,GO:0016922;GO:0035258,nuclear receptor binding,1
0,0.133812668,2,5,GO:0008308,voltage-gated anion channel activity,1
0,0.135625587,2,51,GO:0004197,cysteine-type endopeptidase activity,1
0,0.135701573,4,44,GO:0031406;GO:0043177,carboxylic acid binding,1
0,0.136933706,2,88,GO:0008234,cysteine-type peptidase activity,1
0,0.141549348,3,65,GO:0004497,monooxygenase activity,1
0,0.145045177,2,14,GO:0010181,FMN binding,1
0,0.146367554,2,316,GO:0048037,cofactor binding,1
0,0.147417584,4,14,GO:0019903;GO:0019902,phosphatase binding,1
0,0.149116087,2,75,GO:0051082,unfolded protein binding,1
0,0.151622961,2,54,GO:0015081,sodium ion transmembrane transporter activity,1
0,0.155407908,2,30,GO:0051287,NAD binding,1
0,0.157545041,2,112,GO:0004386,helicase activity,1
0,0.159782234,2,10,GO:0016854,racemase and epimerase activity,1
0,0.160039813,4,5,GO:0016790,thiolester hydrolase activity,1
0,0.160151417,3,14,GO:0004181,metallocarboxypeptidase activity,1
0,0.160902456,3,10,GO:0008191,metalloendopeptidase inhibitor activity,1
0,0.16323974,3,60,GO:0005506,iron ion binding,1
0,0.165252881,2,42,GO:0016830,carbon-carbon lyase activity,1
0,0.169502988,2,14,GO:0004364,glutathione transferase activity,1
0,0.177473724,2,53,GO:0015293,symporter activity,1
0,0.183803494,7,22,GO:0080025;GO:0032266,phosphatidylinositol-3-phosphate binding,1
0,0.186902589,6,18,GO:0030145,manganese ion binding,1
0,0.187377231,2,52,GO:0140297,DNA-binding transcription factor binding,1
0,0.191185201,2,5,GO:0035004,phosphatidylinositol 3-kinase activity,1
0,0.191465323,2,16,GO:0005070;GO:0035591,signaling adaptor activity,1
0,0.192604276,4,19,GO:0005125,cytokine activity,1
0,0.194709023,3,15,GO:0005126,cytokine receptor binding,1
0,0.198157557,3,20,GO:0004180,carboxypeptidase activity,1
0,0.212095114,4,11,GO:0000339;GO:0061980;GO:0070551;GO:0000340;GO:0035197,RNA cap binding,1
0,0.213630876,4,14,GO:0003727,single-stranded RNA binding,1
0,0.215755884,2,54,GO:0030246,carbohydrate binding,1
0,0.21882017,2,210,GO:0008289,lipid binding,1
0,0.221097999,2,40,GO:0008201;GO:0005539,glycosaminoglycan binding,1
0,0.221269829,2,25,GO:0008235,metalloexopeptidase activity,1
0,0.225245078,2,5,GO:0005159,insulin-like growth factor receptor binding,1
0,0.23113105,2,67,GO:0042626;GO:0015405;GO:0043492;GO:0015399,P-P-bond-hydrolysis-driven transmembrane transporter activity,1
0,0.234915774,2,54,GO:1901681,sulfur compound binding,1
0,0.240253215,2,81,GO:0004519,endonuclease activity,1
0,0.243403961,4,105,GO:0004713,protein tyrosine kinase activity,1
0,0.24664974,2,6,GO:0004622,lysophospholipase activity,1
0,0.251500851,5,6,GO:0008113,peptide-methionine (S)-S-oxide reductase activity,1
0,0.25163814,3,35,GO:0042277,peptide binding,1
0,0.251666685,2,42,GO:0004601;GO:0016684,peroxidase activity,1
0,0.253231196,2,38,GO:0019887;GO:0019207,kinase regulator activity,1
0,0.253294883,3,18,GO:0016860,intramolecular oxidoreductase activity,1
0,0.255185529,2,81,GO:0003682,chromatin binding,1
0,0.261499225,8,25,GO:0004402;GO:0061733;GO:0034212,peptide N-acetyltransferase activity,1
0,0.264714968,3,117,GO:0046873,metal ion transmembrane transporter activity,1
0,0.266441834,3,84,GO:0005216;GO:0022838;GO:0015267;GO:0022803,channel activity,1
0,0.267507984,3,17,GO:0005544,calcium-dependent phospholipid binding,1
0,0.271429854,2,246,GO:0016887,ATPase activity,1
0,0.274029648,2,319,GO:0022857,transmembrane transporter activity,1
0,0.274379038,3,314,GO:0004888;GO:0038023;GO:0060089,molecular transducer activity,1
0,0.275202307,3,6,GO:0015932;GO:1901505,nucleobase-containing compound transmembrane transporter activity,1
0,0.277742103,4,119,GO:0004518,nuclease activity,1
0,0.280174528,2,7,GO:0004623,phospholipase A2 activity,1
0,0.2889145,5,262,GO:0004175,endopeptidase activity,1
0,0.291626183,2,7,GO:0005048,signal sequence binding,1
0,0.294426535,-1,43,GO:0004221,obsolete ubiquitin thiolesterase activity,1
0,0.296860416,2,16,GO:0003887,DNA-directed DNA polymerase activity,1
0,0.300294441,3,241,GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0001882;GO:0019001,nucleoside binding,1
0,0.302425416,2,110,GO:0005516,calmodulin binding,1
0,0.303870815,2,56,GO:0050660,flavin adenine dinucleotide binding,1
0,0.310272171,4,21,GO:0031625;GO:0044389,ubiquitin protein ligase binding,1
0,0.311395328,2,74,GO:0031072,heat shock protein binding,1
0,0.318240191,3,208,GO:0004842;GO:0019787,ubiquitin-like protein transferase activity,1
0,0.319439214,2,47,GO:0033218,amide binding,1
0,0.319997119,2,137,GO:0016874,ligase activity,1
0,0.326174151,2,16,GO:0051087,chaperone binding,1
0,0.327294211,1,267,GO:0005198,structural molecule activity,1
0,0.331286086,5,29,GO:0004843;GO:0036459;GO:0019783;GO:0101005,ubiquitin-like protein-specific protease activity,1
0,0.338780578,2,8,GO:0015020,glucuronosyltransferase activity,1
0,0.33941602,2,26,GO:0019838,growth factor binding,1
0,0.341338403,6,38,GO:0005244;GO:0022832,voltage-gated channel activity,1
0,0.343722707,2,8,GO:0008061,chitin binding,1
0,0.349201761,3,8,GO:0005375;GO:0046915,transition metal ion transmembrane transporter activity,1
0,0.350610997,1,437,GO:0005215,transporter activity,1
0,0.352380523,2,75,GO:0015291,secondary active transmembrane transporter activity,1
0,0.352661946,3,142,GO:0022804,active transmembrane transporter activity,1
0,0.354481672,2,10,GO:0004004;GO:0003724;GO:0008186,ATP-dependent RNA helicase activity,1
0,0.35696053,2,111,GO:0019901;GO:0019900,kinase binding,1
0,0.372064438,6,10,GO:0034450;GO:0061630;GO:0061659,ubiquitin-ubiquitin ligase activity,1
0,0.37273578,2,10,GO:0019003,GDP binding,1
0,0.373990607,3,11,GO:0003913,DNA photolyase activity,1
0,0.377683607,3,9,GO:0051861,glycolipid binding,1
0,0.385145027,3,10,GO:0042826,histone deacetylase binding,1
0,0.388971608,2,37,GO:0035257;GO:0051427;GO:0061629,RNA polymerase II-specific DNA-binding transcription factor binding,1
0,0.390108844,3,10,GO:0003756;GO:0016864,protein disulfide isomerase activity,1
0,0.39140276,2,42,GO:0030674;GO:0060090,molecular adaptor activity,1
0,0.392942366,1,67,GO:0016209,antioxidant activity,1
0,0.401429916,2,366,GO:0008233;GO:0070011,peptidase activity,1
0,0.403714199,2,20,GO:0032947,protein-containing complex scaffold activity,1
0,0.409948641,2,10,GO:0008395,steroid hydroxylase activity,1
0,0.415938744,2,11,GO:0004707,MAP kinase activity,1
