delta.rank,pval,level,nseqs,term,name,p.adj
0,7.31E-06,2,13,GO:0030159,receptor signaling complex scaffold activity,0
0,1.86E-05,2,8,GO:0009975;GO:0016849,cyclase activity,0
0,7.62E-05,3,5,GO:0030160;GO:0035255;GO:0097110,GKAP/Homer scaffold activity,0.0125
0,7.14E-05,2,20,GO:0032947,protein-containing complex scaffold activity,0.016666667
0,0.000126857,3,5,GO:0003810,protein-glutamine gamma-glutamyltransferase activity,0.016666667
0,0.000116085,2,82,GO:0004222,metalloendopeptidase activity,0.02
0,0.000218839,2,366,GO:0008233;GO:0070011,peptidase activity,0.0375
0,0.00021578,4,46,GO:0017124,SH3 domain binding,0.042857143
0,0.000373047,4,262,GO:0004175,endopeptidase activity,0.083333333
0,0.000606832,5,122,GO:0008237,metallopeptidase activity,0.145454545
0,0.00106877,4,11,GO:0035254,glutamate receptor binding,0.175
0,0.001445859,2,65,GO:0004714;GO:0019199,transmembrane receptor protein kinase activity,0.203571429
0,0.001332844,2,979,GO:0008270;GO:0046914,transition metal ion binding,0.203846154
0,0.002025051,3,145,GO:0019904,protein domain specific binding,0.25
0,0.003329547,3,17,GO:0043236;GO:0050840,extracellular matrix binding,0.3375
0,0.003597186,3,314,GO:0004888;GO:0038023;GO:0060089,molecular transducer activity,0.347058824
0,0.003957925,3,12,GO:0008013,beta-catenin binding,0.361111111
0,0.005044401,3,88,GO:0008234,cysteine-type peptidase activity,0.38
0,0.005018617,4,125,GO:0004930,G protein-coupled receptor activity,0.4
0,0.006928261,2,104,GO:0016829,lyase activity,0.441304348
0,0.006688332,3,7,GO:0043548,phosphatidylinositol 3-kinase binding,0.443181818
0,0.006506844,2,111,GO:0019901;GO:0019900,kinase binding,0.447619048
0,0.007489324,-1,5,GO:0010843;GO:0003704;GO:0016566;GO:0016563,obsolete promoter binding,0.452083333
0,0.007922706,3,26,GO:0019838,growth factor binding,0.454
0,0.008581774,-1,102,GO:0004871,obsolete signal transducer activity,0.476923077
0,0.009522957,3,82,GO:0003777,microtubule motor activity,0.49137931
0,0.009330987,4,6,GO:0016832,aldehyde-lyase activity,0.498214286
0,0.011047041,3,7,GO:0008173,RNA methyltransferase activity,0.5
0,0.010755411,3,5,GO:0030276,clathrin binding,0.5015625
0,0.010088065,3,84,GO:0005216;GO:0022838;GO:0015267;GO:0022803,passive transmembrane transporter activity,0.501666667
