delta.rank,pval,level,nseqs,term,name,p.adj
0,1.33E-05,5,2757,unknown,unknown,0
0,2.32E-05,5,10,GO:0005272,sodium channel activity,0
0,2.69E-05,2,15,GO:0070566,adenylyltransferase activity,0
0,2.88E-05,2,5,GO:0001730,2'-5'-oligoadenylate synthetase activity,0
0,4.49E-05,4,178,GO:0016779,nucleotidyltransferase activity,0
0,0.000160471,2,8,GO:0015020,glucuronosyltransferase activity,0.033333333
0,0.000844632,2,62,GO:0008565,protein transporter activity,0.16875
0,0.000995556,3,20,GO:0003725,double-stranded RNA binding,0.172222222
0,0.00310796,2,8,GO:0019894,kinesin binding,0.390909091
0,0.003052578,3,226,GO:0042802,identical protein binding,0.42
0,0.006720706,2,136,GO:0003964;GO:0034061,DNA polymerase activity,0.707692308
0,0.006493361,2,84,GO:0005216;GO:0015267;GO:0022803;GO:0022838,channel activity,0.75
0,0.010966878,2,105,GO:0004713,protein tyrosine kinase activity,1
0,0.013028705,2,43,GO:0005507,copper ion binding,1
0,0.013777356,2,20,GO:0004180,carboxypeptidase activity,1
0,0.015315084,5,38,GO:0005244;GO:0022832,voltage-gated ion channel activity,1
0,0.015771567,2,54,GO:0015081,sodium ion transmembrane transporter activity,1
0,0.016133393,2,119,GO:0004518,nuclease activity,1
0,0.016166062,4,5,GO:0032183,SUMO binding,1
0,0.016275545,3,66,GO:0005261;GO:0022839;GO:0022836,cation channel activity,1
0,0.016717674,2,74,GO:0005201,extracellular matrix structural constituent,1
0,0.017678641,5,5,GO:0004598;GO:0016842;GO:0004504,peptidylglycine monooxygenase activity,1
0,0.020761873,5,14,GO:0004129;GO:0015002;GO:0016676;GO:0016675,cytochrome-c oxidase activity,1
0,0.020888058,2,24,GO:0043021,ribonucleoprotein complex binding,1
0,0.021002909,2,7,GO:0008195,phosphatidate phosphatase activity,1
0,0.022961984,5,105,GO:0003924,GTPase activity,1
0,0.02355697,2,6,GO:0031491,nucleosome binding,1
0,0.023722391,3,7,GO:0016840,carbon-nitrogen lyase activity,1
0,0.026820197,2,5,GO:0003810,protein-glutamine gamma-glutamyltransferase activity,1
0,0.02841726,3,42,GO:0008194,UDP-glycosyltransferase activity,1
0,0.028555912,3,18,GO:0004715,non-membrane spanning protein tyrosine kinase activity,1
0,0.02870664,4,27,GO:0005254;GO:0005253;GO:0015108,chloride transmembrane transporter activity,1
0,0.028764409,4,29,GO:0043130;GO:0032182,ubiquitin-like protein binding,1
0,0.033306658,2,6,GO:0015932;GO:1901505,nucleobase-containing compound transmembrane transporter activity,1
0,0.03334087,4,19,GO:0008374,O-acyltransferase activity,1
0,0.033987666,2,19,GO:0016922;GO:0035258,nuclear receptor binding,1
0,0.035209127,4,8,GO:0019200,carbohydrate kinase activity,1
0,0.036391524,2,12,GO:0008378,galactosyltransferase activity,1
0,0.037646109,1,437,GO:0005215,transporter activity,1
0,0.038168266,2,11,GO:0005080,protein kinase C binding,1
0,0.038407242,2,9,GO:0016411,acylglycerol O-acyltransferase activity,1
0,0.043291774,2,38,GO:0015103,inorganic anion transmembrane transporter activity,1
0,0.049713462,2,13,GO:0031419,cobalamin binding,1
0,0.049801166,3,208,GO:0004842;GO:0019787,ubiquitin-like protein transferase activity,1
0,0.053033052,2,125,GO:0004930,G protein-coupled receptor activity,1
0,0.053808942,3,6,GO:0008113,peptide-methionine (S)-S-oxide reductase activity,1
0,0.053876891,2,21,GO:0031418,L-ascorbic acid binding,1
0,0.054075158,2,5,GO:0004357,glutamate-cysteine ligase activity,1
0,0.055570091,2,63,GO:0003743,translation initiation factor activity,1
0,0.058022862,3,450,GO:0016773;GO:0016301;GO:0004672,kinase activity,1
0,0.058997166,2,20,GO:0032947,protein-containing complex scaffold activity,1
0,0.060776426,2,65,GO:0004714;GO:0019199,transmembrane receptor protein kinase activity,1
0,0.06233695,2,51,GO:0004197,cysteine-type endopeptidase activity,1
0,0.06732963,3,97,GO:0008135;GO:0090079;GO:0045182,translation regulator activity,1
0,0.067672922,2,88,GO:0008234,cysteine-type peptidase activity,1
0,0.069655689,3,14,GO:0004527,exonuclease activity,1
0,0.069840688,2,129,GO:0015077,monovalent inorganic cation transmembrane transporter activity,1
0,0.072059364,2,72,GO:0008509,anion transmembrane transporter activity,1
0,0.073777224,2,24,GO:0016831,carboxy-lyase activity,1
0,0.077167833,4,14,GO:0004181,metallocarboxypeptidase activity,1
0,0.079805488,2,45,GO:0008238,exopeptidase activity,1
0,0.08043936,3,81,GO:0004519,endonuclease activity,1
0,0.081565685,2,70,GO:0016853,isomerase activity,1
0,0.082193077,2,6,GO:0008408,3'-5' exonuclease activity,1
0,0.086430185,2,111,GO:0019901;GO:0019900,kinase binding,1
0,0.09043183,2,9,GO:0032934,sterol binding,1
0,0.092777093,3,74,GO:0008026;GO:0070035,ATP-dependent helicase activity,1
0,0.098603657,3,33,GO:0048029,monosaccharide binding,1
0,0.100332703,7,13,GO:0050681,androgen receptor binding,1
0,0.100780412,2,29,GO:0051015,actin filament binding,1
0,0.104079458,3,14,GO:0010181,FMN binding,1
0,0.106445545,4,31,GO:0015370;GO:0015294,solute:cation symporter activity,1
0,0.108646309,4,157,GO:0042803,protein homodimerization activity,1
0,0.110909009,2,113,GO:0009055,electron transfer activity,1
0,0.111004826,4,12,GO:0070851,growth factor receptor binding,1
