delta.rank,pval,level,nseqs,term,name,p.adj
0,0.000148194,6,11,GO:0005080,protein kinase C binding,0.01
0,0.00011322,2,44,GO:0008022,protein C-terminus binding,0.0125
0,0.000240657,5,17,GO:0019205,nucleobase-containing compound kinase activity,0.014285714
0,5.69E-05,2,10,GO:0042826,histone deacetylase binding,0.016666667
0,5.04E-05,3,5,GO:0008782;GO:0008930,methylthioadenosine nucleosidase activity,0.025
0,0.000316239,2,38,GO:0019887;GO:0019207,kinase regulator activity,0.0375
0,4.31E-05,3,6,GO:0003918;GO:0061505;GO:0003916,DNA topoisomerase type II (ATP-hydrolyzing) activity,0.05
0,0.000540048,5,22,GO:0008094,DNA-dependent ATPase activity,0.055
0,0.000488342,2,29,GO:0043130;GO:0032182,ubiquitin-like protein binding,0.055555556
0,0.000890842,5,8,GO:0008603,cAMP-dependent protein kinase regulator activity,0.081818182
0,0.001432002,4,82,GO:0003777,microtubule motor activity,0.129166667
0,0.002265714,2,660,GO:0003723,RNA binding,0.13125
0,0.002225417,5,111,GO:0019901;GO:0019900,kinase binding,0.136666667
0,0.002204633,2,5,GO:0004127,cytidylate kinase activity,0.146428571
0,0.002161474,4,15,GO:0019843,rRNA binding,0.153846154
0,0.002918846,2,75,GO:0046982,protein heterodimerization activity,0.170588235
0,0.003191741,2,70,GO:0016853,isomerase activity,0.177777778
0,0.003710067,2,81,GO:0003682,chromatin binding,0.185
0,0.004519539,2,148,GO:0003774,motor activity,0.195454545
0,0.004441053,3,10,GO:0048038,quinone binding,0.204761905
0,0.005934724,2,8,GO:0004017;GO:0050145,nucleoside monophosphate kinase activity,0.226
0,0.009420387,2,246,GO:0016887,ATPase activity,0.385714286
0,0.015404787,3,5,GO:0005112,Notch binding,0.554545455
0,0.014949139,2,52,GO:0048018;GO:0030545,receptor regulator activity,0.5625
0,0.01798688,3,24,GO:0016831,carboxy-lyase activity,0.572972973
0,0.014854687,2,233,GO:0030234,enzyme regulator activity,0.577419355
0,0.017952897,2,226,GO:0042802,identical protein binding,0.5875
0,0.019193943,4,24,GO:0008083,growth factor activity,0.591025641
0,0.021271457,2,31,GO:0005249;GO:0005267;GO:0022843,voltage-gated cation channel activity,0.607142857
0,0.020920935,2,14,GO:0003678,DNA helicase activity,0.614634146
0,0.024894958,3,41,GO:0018024;GO:0016279;GO:0042054;GO:0008276;GO:0016278;GO:0008170,N-methyltransferase activity,0.663636364
0,0.024421241,1,391,GO:0098772,molecular function regulator,0.663953488
0,0.02712277,3,34,GO:0015079,potassium ion transmembrane transporter activity,0.69673913
0,0.026808455,2,42,GO:0016830,carbon-carbon lyase activity,0.701111111
0,0.030931855,3,40,GO:0008201;GO:0005539,glycosaminoglycan binding,0.765957447
0,0.034390225,2,157,GO:0042803,protein homodimerization activity,0.79
0,0.033943202,2,13,GO:0000049,tRNA binding,0.801020408
0,0.033309544,2,50,GO:0008757,S-adenosylmethionine-dependent methyltransferase activity,0.805208333
0,0.036108083,6,38,GO:0005244;GO:0022832,voltage-gated channel activity,0.808823529
0,0.041352224,6,43,GO:0005507,copper ion binding,0.875
0,0.04417358,3,5,GO:0016790,thiolester hydrolase activity,0.906603774
0,0.048224079,2,112,GO:0004386,helicase activity,0.929090909
0,0.047831095,2,54,GO:1901681,sulfur compound binding,0.939814815
0,0.053949789,2,104,GO:0016829,lyase activity,0.948305085
0,0.052490785,2,6,GO:0004622,lysophospholipase activity,0.949137931
0,0.052004331,5,69,GO:0000287,magnesium ion binding,0.957894737
0,0.051220297,2,264,GO:0003779,actin binding,0.960714286
0,0.060562444,2,50,GO:0003735,structural constituent of ribosome,0.994354839
0,0.062654228,2,15,GO:0030553;GO:0030551,cyclic nucleotide binding,1
0,0.075672538,2,30,GO:0005200,structural constituent of cytoskeleton,1
0,0.081334037,2,6,GO:0004708,MAP kinase kinase activity,1
0,0.083855262,4,5,GO:0017091,AU-rich element binding,1
0,0.096202526,2,20,GO:0004180,carboxypeptidase activity,1
0,0.097807246,2,6,GO:0019798;GO:0004656;GO:0031545,procollagen-proline dioxygenase activity,1
0,0.098693565,2,14,GO:0019905;GO:0000149,SNARE binding,1
0,0.110323927,3,37,GO:0016706,2-oxoglutarate-dependent dioxygenase activity,1
0,0.113220639,1,267,GO:0005198,structural molecule activity,1
0,0.113251317,5,13,GO:0004860;GO:0019210,kinase inhibitor activity,1
0,0.116932547,2,316,GO:0048037,cofactor binding,1
0,0.119714011,2,409,GO:0019899,enzyme binding,1
0,0.121680055,5,45,GO:0008238,exopeptidase activity,1
0,0.13210097,5,66,GO:0005261;GO:0022839;GO:0022836,cation channel activity,1
0,0.132348705,2,62,GO:0008565,protein transporter activity,1
0,0.133229925,2,20,GO:0047485,protein N-terminus binding,1
0,0.14234611,3,353,GO:0008092,cytoskeletal protein binding,1
0,0.144279765,3,240,GO:0046983,protein dimerization activity,1
0,0.145400535,5,2757,unknown,unknown,1
0,0.147980523,2,16,GO:0005496,steroid binding,1
0,0.153559518,3,17,GO:0046332,SMAD binding,1
0,0.158307713,3,9,GO:0004693;GO:0097472,cyclin-dependent protein serine/threonine kinase activity,1
0,0.161067984,5,18,GO:0030145,manganese ion binding,1
0,0.162483667,2,14,GO:0010181,FMN binding,1
0,0.179785038,3,86,GO:0020037;GO:0046906,tetrapyrrole binding,1
0,0.180101926,3,21,GO:0031625;GO:0044389,ubiquitin-like protein ligase binding,1
0,0.183645336,2,12,GO:0008227,G protein-coupled amine receptor activity,1
0,0.184558236,3,12,GO:0031543,peptidyl-proline dioxygenase activity,1
0,0.185224307,2,11,GO:0005545,1-phosphatidylinositol binding,1
0,0.188132675,2,54,GO:0030246,carbohydrate binding,1
0,0.190124998,4,11,GO:0043027;GO:0043028,cysteine-type endopeptidase regulator activity involved in apoptotic process,1
0,0.196975062,2,16,GO:0004712,protein serine/threonine/tyrosine kinase activity,1
0,0.197000192,2,117,GO:0046873,metal ion transmembrane transporter activity,1
0,0.198740061,2,16,GO:0051087,chaperone binding,1
0,0.205140995,2,542,GO:0016491,oxidoreductase activity,1
0,0.206004434,4,30,GO:0051287,NAD binding,1
0,0.207147985,2,35,GO:0003729,mRNA binding,1
0,0.21407384,4,44,GO:0003690,double-stranded DNA binding,1
0,0.214469212,4,31,GO:0004620,phospholipase activity,1
