delta.rank,pval,level,nseqs,term,name,p.adj
0,6.69E-06,2,9,GO:0043274,phospholipase binding,0
0,1.36E-05,2,112,GO:0004386,helicase activity,0
0,0.000147374,2,35,GO:0003729,mRNA binding,0.01875
0,0.000206173,4,660,GO:0003723,RNA binding,0.02
0,0.000117288,4,778,GO:0003677,DNA binding,0.021428571
0,0.00017934,6,74,GO:0008026;GO:0070035,ATP-dependent helicase activity,0.022222222
0,0.000270407,2,24,GO:0042393,histone binding,0.022727273
0,0.000296024,2,81,GO:0003682,chromatin binding,0.026923077
0,0.000292337,2,6,GO:0031491,nucleosome binding,0.029166667
0,9.80E-05,2,111,GO:0019901;GO:0019900,kinase binding,0.03
0,0.000337704,2,353,GO:0003700;GO:0140110,transcription regulator activity,0.033333333
0,2.85E-05,2,137,GO:0016874,ligase activity,0.0375
0,0.000559364,2,5,GO:0072341,modified amino acid binding,0.042105263
0,0.000619425,2,47,GO:0033218,amide binding,0.0425
0,0.000736161,2,52,GO:0140297,DNA-binding transcription factor binding,0.047727273
0,0.000458725,2,409,GO:0019899,enzyme binding,0.05
0,0.000725926,6,18,GO:0003730,mRNA 3'-UTR binding,0.05
0,0.002425274,2,7,GO:0004065;GO:0008484,sulfuric ester hydrolase activity,0.134482759
0,0.002401898,3,8,GO:0035064;GO:0140034,methylated histone binding,0.139285714
0,0.002203083,2,6,GO:0043531,ADP binding,0.140384615
0,0.002291587,4,6,GO:0004602,glutathione peroxidase activity,0.142592593
0,0.002868608,3,10,GO:0033613,activating transcription factor binding,0.156666667
0,0.003093998,2,44,GO:0003690,double-stranded DNA binding,0.1609375
0,0.003258402,5,10,GO:0016597,amino acid binding,0.163636364
0,0.003071734,3,18,GO:0016881,acid-amino acid ligase activity,0.166129032
0,0.004158612,3,24,GO:0140030,modification-dependent protein binding,0.192857143
0,0.004130933,2,7,GO:0005048,signal sequence binding,0.198529412
0,0.004551884,2,21,GO:0003755;GO:0016859,cis-trans isomerase activity,0.205555556
0,0.004968909,2,50,GO:0008757,S-adenosylmethionine-dependent methyltransferase activity,0.210526316
0,0.004954741,2,17,GO:0019205,nucleobase-containing compound kinase activity,0.214864865
0,0.005364146,3,109,GO:0008134,transcription factor binding,0.215
0,0.005215401,4,39,GO:0016836;GO:0016835,carbon-oxygen lyase activity,0.215384615
0,0.005544603,2,35,GO:0042277,peptide binding,0.217073171
0,0.005642744,2,8,GO:0015926,glucosidase activity,0.217857143
0,0.006084554,2,5,GO:0008536,Ran GTPase binding,0.23255814
0,0.006948617,5,19,GO:0016922;GO:0035258,nuclear receptor binding,0.259090909
0,0.008342849,2,104,GO:0016829,lyase activity,0.301111111
0,0.009006656,4,9,GO:0051879,Hsp90 protein binding,0.308695652
0,0.009847782,3,194,GO:0050662,coenzyme binding,0.317708333
0,0.011410319,6,22,GO:1990837,sequence-specific double-stranded DNA binding,0.334615385
0,0.011249523,3,44,GO:0031406;GO:0043177,organic acid binding,0.338235294
0,0.01087775,2,37,GO:0035257;GO:0051427;GO:0061629,RNA polymerase II-specific DNA-binding transcription factor binding,0.342857143
0,0.011172364,5,10,GO:0004004;GO:0003724;GO:0008186,RNA-dependent ATPase activity,0.345
0,0.013357417,2,19,GO:0015144,carbohydrate transmembrane transporter activity,0.35625
0,0.013161456,5,54,GO:0044212;GO:0001067,transcription regulatory region DNA binding,0.357272727
0,0.016614858,2,8,GO:0004017;GO:0050145,nucleoside monophosphate kinase activity,0.413559322
0,0.016268621,2,5,GO:0090599,alpha-glucosidase activity,0.413793103
0,0.018113129,2,8,GO:0019200,carbohydrate kinase activity,0.4525
0,0.020018689,5,5,GO:0017091,AU-rich element binding,0.454615385
0,0.020340552,2,8,GO:0015149;GO:0005355,hexose transmembrane transporter activity,0.456060606
0,0.0198278,2,9,GO:0000978;GO:0000987,proximal promoter sequence-specific DNA binding,0.459375
0,0.019346449,4,43,GO:0030170;GO:0070279,pyridoxal phosphate binding,0.464516129
0,0.019792889,2,74,GO:0031072,heat shock protein binding,0.466666667
0,0.019200133,2,103,GO:0005088;GO:0005089;GO:0017048,Rho GTPase binding,0.468032787
0,0.023812884,5,7,GO:0015574;GO:0015154;GO:0015157,disaccharide transmembrane transporter activity,0.502777778
0,0.023520431,2,99,GO:0003712;GO:0003713,transcription coregulator activity,0.507857143
0,0.023744557,6,6,GO:0008143;GO:0070717,poly-purine tract binding,0.508450704
0,0.023114802,6,5,GO:0004430,1-phosphatidylinositol 4-kinase activity,0.51641791
0,0.026603896,2,16,GO:0000976,transcription regulatory region sequence-specific DNA binding,0.544666667
0,0.028204901,2,9,GO:0004693;GO:0097472,cyclin-dependent protein serine/threonine kinase activity,0.553896104
0,0.02771485,5,12,GO:0015145;GO:0051119,sugar transmembrane transporter activity,0.555921053
0,0.031969869,2,246,GO:0016887,ATPase activity,0.561764706
0,0.031749378,4,24,GO:0016831,carboxy-lyase activity,0.564880952
0,0.031604426,2,19,GO:0034062;GO:0097747,5'-3' RNA polymerase activity,0.569277108
0,0.031317255,2,93,GO:0019842,vitamin binding,0.572560976
0,0.029952134,4,56,GO:0050660,flavin adenine dinucleotide binding,0.574050633
0,0.029508519,2,226,GO:0042802,identical protein binding,0.576282051
0,0.031193276,4,450,GO:0016773;GO:0016301;GO:0004672,kinase activity,0.578395062
0,0.03350811,3,113,GO:0009055,electron transfer activity,0.581395349
0,0.031015586,5,69,GO:0000287,magnesium ion binding,0.583125
0,0.037888731,2,190,GO:0043565,sequence-specific DNA binding,0.648275862
0,0.041075435,2,70,GO:0016853,isomerase activity,0.670786517
0,0.040874218,4,41,GO:0018024;GO:0016279;GO:0042054;GO:0008276;GO:0016278;GO:0008170,N-methyltransferase activity,0.675568182
0,0.043374928,2,18,GO:0003697,single-stranded DNA binding,0.698888889
0,0.045714508,2,14,GO:0003727,single-stranded RNA binding,0.726373626
0,0.046903993,3,30,GO:0051287,NAD binding,0.730434783
0,0.047591381,3,31,GO:0015370;GO:0015294,solute:cation symporter activity,0.732258065
0,0.049355262,4,14,GO:0004527,exonuclease activity,0.742021277
0,0.051257126,2,9,GO:0005095,GTPase inhibitor activity,0.746354167
0,0.058730276,2,7,GO:0003968,RNA-directed 5'-3' RNA polymerase activity,0.775490196
0,0.058704313,2,62,GO:0008565,protein transporter activity,0.782673267
