delta.rank,pval,level,nseqs,term,name,p.adj
0,2.35E-10,5,190,GO:0043565,sequence-specific DNA binding,0
0,2.20E-09,2,778,GO:0003677,DNA binding,0
0,1.13E-08,2,353,GO:0003700;GO:0140110,transcription regulator activity,0
0,8.71E-06,3,136,GO:0003964;GO:0034061,DNA polymerase activity,0
0,2.21E-05,2,5,GO:0005159,insulin-like growth factor receptor binding,0
0,6.96E-05,2,7,GO:0043548,phosphatidylinositol 3-kinase binding,0.007142857
0,6.20E-05,2,125,GO:0004930,G protein-coupled receptor activity,0.008333333
0,0.000114477,2,15,GO:0030553;GO:0030551,cyclic nucleotide binding,0.01
0,0.00010642,5,2757,unknown,unknown,0.011111111
0,0.000102664,4,178,GO:0016779,nucleotidyltransferase activity,0.0125
0,0.000156239,5,50,GO:0004190;GO:0070001,aspartic-type peptidase activity,0.018181818
0,0.000235144,4,54,GO:0044212;GO:0001067,regulatory region nucleic acid binding,0.025
0,0.000214522,3,15,GO:0008138,protein tyrosine/serine/threonine phosphatase activity,0.026923077
0,0.000203596,2,10,GO:0004523,RNA-DNA hybrid ribonuclease activity,0.029166667
0,0.000417838,2,13,GO:0005158,insulin receptor binding,0.032352941
0,0.000373254,2,17,GO:0042169,SH2 domain binding,0.034375
0,0.000599918,2,22,GO:1990837,sequence-specific double-stranded DNA binding,0.052777778
0,0.00068431,2,139,GO:0044877,protein-containing complex binding,0.06
0,0.000673528,2,81,GO:0004519,endonuclease activity,0.060526316
0,0.000729173,5,44,GO:0003690,double-stranded DNA binding,0.064285714
0,0.00105329,3,21,GO:0008528;GO:0001653,peptide receptor activity,0.070833333
0,0.000968245,2,119,GO:0004518,nuclease activity,0.073913043
0,0.000878084,3,8,GO:0008603,cAMP-dependent protein kinase regulator activity,0.075
0,0.001268382,2,16,GO:0003887,DNA-directed DNA polymerase activity,0.094
0,0.001473012,2,16,GO:0000976,transcription regulatory region sequence-specific DNA binding,0.105769231
0,0.001853374,3,9,GO:0008329;GO:0038187,signaling pattern recognition receptor activity,0.116666667
0,0.002543863,2,314,GO:0004888;GO:0038023;GO:0060089,molecular transducer activity,0.151785714
0,0.002908052,6,7,GO:0001047,core promoter binding,0.177586207
0,0.003074321,2,74,GO:0031072,heat shock protein binding,0.183333333
0,0.004341212,4,6,GO:0001641;GO:0001640;GO:0098988,group II metabotropic glutamate receptor activity,0.233870968
0,0.005464698,2,38,GO:0019887;GO:0019207,kinase regulator activity,0.274242424
0,0.005408758,2,75,GO:0051082,unfolded protein binding,0.2796875
