delta.rank,pval,level,nseqs,term,name,p.adj
0,0.001218537,1,267,GO:0005198,structural molecule activity,0.2625
0,0.001095028,2,43,GO:0005507,copper ion binding,0.283333333
0,0.000816614,2,979,GO:0008270;GO:0046914,transition metal ion binding,0.325
0,0.003445811,5,5,GO:0030306,ADP-ribosylation factor binding,0.525
0,0.004882977,2,65,GO:0004497,monooxygenase activity,0.60625
0,0.004378604,4,5,GO:0004653,polypeptide N-acetylgalactosaminyltransferase activity,0.621428571
0,0.005710689,5,7,GO:0003968,RNA-directed 5'-3' RNA polymerase activity,0.633333333
0,0.006453655,2,11,GO:0005021,vascular endothelial growth factor-activated receptor activity,0.685
0,0.00786534,2,178,GO:0016779,nucleotidyltransferase activity,0.777272727
0,0.01457686,2,18,GO:0030145,manganese ion binding,0.847222222
0,0.00972102,3,15,GO:0003993,acid phosphatase activity,0.854166667
0,0.010421033,3,11,GO:0005080,protein kinase C binding,0.861538462
0,0.015971305,2,16,GO:0004712,protein serine/threonine/tyrosine kinase activity,0.871052632
0,0.013276356,2,26,GO:0019838,growth factor binding,0.875
0,0.011611212,2,14,GO:0008376,acetylgalactosaminyltransferase activity,0.889285714
0,0.014423771,4,19,GO:0034062;GO:0097747,5'-3' RNA polymerase activity,0.894117647
0,0.013053414,2,51,GO:0004197,cysteine-type endopeptidase activity,0.92
0,0.017967283,2,111,GO:0019901;GO:0019900,kinase binding,0.9275
0,0.021800332,2,409,GO:0019899,enzyme binding,1
0,0.027167809,2,62,GO:0008565,protein transporter activity,1
0,0.029598962,4,42,GO:0008194,UDP-glycosyltransferase activity,1
0,0.031122025,4,6,GO:0019798;GO:0004656;GO:0031545,procollagen-proline dioxygenase activity,1
0,0.036333356,4,105,GO:0004713,protein tyrosine kinase activity,1
0,0.038747824,2,136,GO:0003964;GO:0034061,DNA polymerase activity,1
0,0.039398743,-1,102,GO:0004871,obsolete signal transducer activity,1
0,0.041122781,2,63,GO:0003743,translation initiation factor activity,1
0,0.046028561,2,73,GO:0004725,protein tyrosine phosphatase activity,1
0,0.047000325,2,75,GO:0015291,secondary active transmembrane transporter activity,1
0,0.049818815,2,88,GO:0008234,cysteine-type peptidase activity,1
0,0.050407446,3,170,GO:0051020;GO:0031267;GO:0017016,GTPase binding,1
0,0.050429794,2,74,GO:0031072,heat shock protein binding,1
0,0.054247661,3,6,GO:0005174,CD40 receptor binding,1
0,0.054883687,2,10,GO:0008430,selenium binding,1
0,0.056310793,3,10,GO:0003756;GO:0016864,protein disulfide isomerase activity,1
0,0.056530314,3,106,GO:0004721,phosphoprotein phosphatase activity,1
0,0.060025778,3,12,GO:0031543,peptidyl-proline dioxygenase activity,1
0,0.060420512,2,7,GO:0005432;GO:0015368,calcium:cation antiporter activity,1
0,0.062736545,5,65,GO:0004714;GO:0019199,transmembrane receptor protein kinase activity,1
0,0.063469247,2,37,GO:0016706,2-oxoglutarate-dependent dioxygenase activity,1
0,0.06838241,3,208,GO:0004842;GO:0019787,ubiquitin-like protein transferase activity,1
0,0.074266351,4,660,GO:0003723,RNA binding,1
0,0.076747619,2,9,GO:0015491;GO:0015298,cation:cation antiporter activity,1
0,0.08017938,2,82,GO:0004222,metalloendopeptidase activity,1
0,0.084760748,2,24,GO:0016831,carboxy-lyase activity,1
0,0.085044092,3,8,GO:0015450;GO:0008320;GO:0022884,macromolecule transmembrane transporter activity,1
0,0.085612697,5,53,GO:0015293,symporter activity,1
0,0.086137342,3,142,GO:0022804,active transmembrane transporter activity,1
0,0.087116067,2,137,GO:0016874,ligase activity,1
0,0.088247385,2,10,GO:0032813,tumor necrosis factor receptor superfamily binding,1
0,0.096488558,3,11,GO:0046625,sphingolipid binding,1
0,0.096619122,3,18,GO:0016860,intramolecular oxidoreductase activity,1
0,0.097945605,2,122,GO:0008237,metallopeptidase activity,1
0,0.098198349,6,14,GO:0003678,DNA helicase activity,1
0,0.099562121,2,21,GO:0031418,L-ascorbic acid binding,1
0,0.101111994,2,17,GO:0005544,calcium-dependent phospholipid binding,1
0,0.105110162,2,13,GO:0030544,Hsp70 protein binding,1
0,0.112519191,2,14,GO:0070628,proteasome binding,1
0,0.113744755,2,97,GO:0008135;GO:0090079;GO:0045182,translation regulator activity,1
0,0.115384088,2,54,GO:0015081,sodium ion transmembrane transporter activity,1
0,0.117029521,2,173,GO:0016791;GO:0042578,phosphoric ester hydrolase activity,1
0,0.117929777,5,241,GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0001882;GO:0019001,nucleoside binding,1
0,0.121641861,3,105,GO:0003924,GTPase activity,1
0,0.127065866,2,16,GO:0051087,chaperone binding,1
