Ourcontigname,MM.palevioletred3
contig100026,0
contig100068,0
contig100085,0
contig100105,0
contig100110_36597,0
contig100147,0
contig10017,0
contig100213,0
contig100223,0
contig100238,0
contig100252,0
contig100259,0
contig100286,0
contig100302_114262_202031,0
contig100317,0
contig100342_110120,0
contig100347_112826,0
contig100349,0
contig100356_120192,0
contig100368,0
contig100370,0
contig10089,0
contig101271,0
contig10151,0
contig101622_105709,0
contig101652_118512_155327_152629_13815_194650,0
contig101711,0.831254230261277
contig102087,0.740078360888295
contig102905_207771,0
contig103072,0
contig103080_193887,0
contig103143_217041,0
contig103201_171449,0
contig103219_215109_185725_147264,0
contig103268,0
contig103311,0
contig103314,0
contig103319,0.719256522792615
contig103348_204747_205079_169199,0
contig103358_172018,0
contig103363,0
contig103420_192191,0
contig103425_149272_167527_211115,0
contig103466,0
contig103472,0.653396492403723
contig10366_169504,0
contig103887,0
contig103897,0
contig103904,0
contig103911,0
contig103913,0
contig103917,0
contig103939,0
contig103949,0
contig103965,0
contig103971,0
contig103987_118237,0
contig103989,0
contig103993,0
contig103994,0
contig103997_9531,0
contig104002,0
contig104025_179357,0
contig104029,0
contig104035,0
contig104037,0
contig104048,0
contig104051,0
contig104068,0
contig104085,0
contig104095,0
contig104106,0
contig104108_178914,0
contig104110_177850,0
contig104111,0
contig104113,0
contig104125,0
contig104126,0
contig104128,0
contig104142_174302_152809,0
contig104145,0
contig104154,0
contig104155_53047,0
contig104156,0
contig104164_3603,0.615657134455784
contig104176,0
contig104181,0
contig104186,0
contig104230_177771_190078,0
contig104231,0
contig104237,0.533967411907156
contig104240,0
contig104255_74669_147417,0
contig104258_202427,0.685550991899123
contig104263,0
contig104267,0
contig104274,0
contig104299_209878_600192,0
contig104303,0
contig104316,0
contig104318,0
contig104323,0
contig104337,0
contig104349,0
contig104351,0
contig104359,0
contig104364,0
contig104365,0
contig104374,0
contig104378,0
contig104393,0
contig104395_153016,0
contig104400,0
contig104402,0
contig104406,0
contig10441_150974,0
contig104415,0
contig104420,0.221090143930475
contig104425_204667_106130_161236,0
contig104426_148361,0
contig104430,0
contig104445,0
contig104447,0
contig104448,0
contig104468_111177_215708,0
contig104513,0.481167288033477
contig104527,0
contig104534,0
contig104535,0
contig104550,0
contig104560_181540,0
contig104572,0
contig104578,0
contig104587,0
contig104628,0
contig104631,0
contig104641,0
contig104682,0
contig104683,0
contig104687,0
contig104693,0
contig104695_169386,0
contig104718,0
contig104719_204047,0
contig104724_106426_218375_76241_14142,0
contig104728,0
contig104733,0
contig104735,0
contig104736,0
contig104747,0
contig104761,0
contig104763,0
contig10477,0
contig104770,0.675667493640188
contig104793,0.457141594494229
contig104811,0
contig104816_24210_191667,0
contig104840,0
contig104843,0
contig104848,0
contig104854,0
contig104877_108731_210008,0
contig104888,0
contig104894,0
contig104901,0
contig104904,0
contig104921,0
contig104922,0
contig104924_181273,0
contig104927,0.875238380636971
contig104928_209224_108938,0
contig104932,0
contig104958_151800,0
contig104960,0.808271144125011
contig104965_70526_219580,0
contig104976,0
contig104977,0
contig105001,0
contig105020,0
contig105021_119049,0
contig105040,0
contig105041,0
contig105042,0
contig105046_111876,0
contig105049,0
contig105057,0
contig105079,0
contig105080,0
contig105084_26358,0
contig105091_159253_12588_74955_205098,0
contig105100,0
contig105109,0
contig105110,0
contig105152,0
contig105153,0
contig105157,0
contig105158_18825,0
contig105161,0.77278871849959
contig105162,0
contig105173,0
contig105186,0.435485561795917
contig105200,0
contig105203,0
contig105224_151870,0
contig105229_109281_150296_116264_147348,0
contig105230_177598_175873,0
contig105244,0
contig105247,0
contig105272,0
contig105296_171521,0
contig105320,0
contig105321,0
contig105327,0
contig105330_209682,0.42482942484857
contig105337_72403_107758_98856,0.465215582644967
contig105340_114497,0
contig105345_179081,0
contig105351,0
contig105369_111823,0.816918531528014
contig105373,0
contig105375,0
contig105381,0
contig105393_107645,0
contig105398_114303_140286_152462,0
contig105411,0
contig105416,0.772077969185526
contig105417_55529,0
contig105422,0
contig105430,0
contig105458,0
contig105465,0
contig105468_99890,0
contig105469,0
contig105472,0
contig105483,0
contig105487_216662_159668,0.393790098028461
contig105490,0.396093918329958
contig105497_98891_90160,0
contig105501,0
contig105513,0
contig105517,0
contig105518,0
contig105526,0
contig105537,0
contig105540,0
contig105543,0.826373690844638
contig105566,0
contig105567,0
contig105584,0
contig105593,0.681280188499698
contig105594,0
contig105625_140650,0
contig105635_152993,0
contig105640,0
contig105645,0
contig105648,0
contig105662_153363_44812,0
contig105670,0
contig105703_188719,0
contig105704_97697,0
contig105705_117143,0
