Sample,low_pollution_heat,med_pollution_heat,high_pollution_heat,symbiont_CD_heat,symbiont_Donly_heat,Top10.Phenotype.XO,Top20.Phenotype.XO,Top30.Phenotype.XO,Bottom10.Phenotype.XO,Bottom20.Phenotype.XO,Bottom30.Phenotype.XO
CoPt_H_rep1,0,0,1,0,1,0,0,0,0,0,0
CoPt_H_rep2,0,0,1,0,1,0,0,0,0,0,0
CoPt_H_rep3,0,0,1,0,1,0,0,0,0,0,0
CoPt_H_rep4,0,0,1,0,1,0,0,0,0,1,1
Falu_H_rep1,0,1,0,0,1,0,0,0,0,0,0
Falu_H_rep4,0,1,0,0,1,0,0,0,1,1,1
Falu_H_rep6,0,1,0,0,1,0,0,0,0,0,0
Ftele_H_rep1,1,0,0,1,0,0,0,0,1,1,1
Ftele_H_rep3,1,0,0,1,0,0,0,0,0,0,0
Ftele_H_rep5,1,0,0,1,0,1,1,1,0,0,0
Ftele_H_rep6,1,0,0,1,0,0,0,0,0,0,1
Can_H_rep2,0,0,1,0,1,0,0,1,0,0,0
Can_H_rep3,0,0,1,0,1,0,0,0,0,0,1
Can_H_rep5,0,0,1,0,1,0,0,1,0,0,0
Can_H_rep6,0,0,1,0,1,0,0,1,0,0,0
Vat_H_rep1,1,0,0,0,1,0,1,1,0,0,0
Vat_H_rep3,1,0,0,0,1,0,0,0,0,0,1
Vat_H_rep4,1,0,0,0,1,0,1,1,0,0,0
Vat_H_rep6,1,0,0,1,0,1,1,1,0,0,0
