"Site","LBSP","pop2016","Colony","Site_Col","CWC3.Thresh_025","ARed.Thresh_025","CWC3.Thresh_040","ARed.Thresh_040","CWC3.Thresh_050","ARed.Thresh_050","CWC3.Thresh_075","ARed.Thresh_075","CWC3.X0","ARed.X0","CWC3.Rank","ARed.Rank","Phenotype.Rank","CWC3.X0.Rank","ARed.X0.Rank","Phenotype.X0.Rank"
"Faga'tele","Low",0,1,"Faga'tele_1",30.4154471205981,29.5184249839344,31.8003475128623,30.6036813093474,32.6103711712361,31.2384118318652,34.8051909961421,32.9585430135713,33.3542430771165,31.6962602062966,"3","3","5","2","3","4"
"Coconut Point","High",6707,1,"Coconut Point_1",31.151488136696,30.6551089593923,33.0047284286759,32.854121904171,34.0886929891615,34.1404726156513,36,36,34.0417787980615,34.1804717096443,"2","2","3","2","2","3"
"Vatia","Low",640,1,"Vatia_1",31.9253588694706,31.9595690563358,34.2361976573842,34.5658078554784,36,36,36,36,34.9482250309345,36,"1","1","1","1","1","1"
"Cannery","High",9276,1,"Cannery_1",31.3863068999096,31.1254607800481,32.8643466771482,32.9335823255469,33.7290370434136,33.9912928700712,36,36,33.7454176099905,33.6154325066147,"2","2","3","2","2","3"
"Faga'alu","Medium",910,1,"Faga'alu_1",32.139780678101,32.4045093906805,33.5094426603999,34.3481630168889,34.3105344928735,36,36,36,33.9000580141399,34.101900261501,"1","1","1","2","2","3"
"Faga'alu","Medium",910,2,"Faga'alu_2",30.0456032826081,30.568242408609,31.4408375419059,32.8616528772448,32.2570053728269,34.2032301863986,34.4683690580222,36,33.1107665127136,34.1031378310946,"3","2","4","3","2","4"
"Vatia","Low",640,2,"Vatia_2",30.7640768143734,30.4288732116299,32.1160989095096,33.3403016749645,32.9069164947174,36,36,36,32.8615537274755,36,"2","2","3","3","1","3"
"Faga'tele","Low",0,2,"Faga'tele_2",30.055900271417,29.9032486741385,31.1776475403657,30.985231397531,31.8337812407001,31.6182566685353,33.6114334942035,33.333565857874,32.4209697637651,32.4718434241942,"3","3","5","3","3","5"
"Cannery","High",9276,2,"Cannery_2",31.617205018877,29.9865315034523,34.3466231715877,32.6466668621615,36,34.2028046198229,36,36,36,32.9293260381952,"1","2","2","1","3","3"
"Coconut Point","High",6707,3,"Coconut Point_3",30.594169983054,33.4973315969711,31.8906741500984,36,32.6491114123399,36,34.7040308809781,36,33.4565824128939,36,"3","1","3","2","1","2"
"Vatia","Low",640,3,"Vatia_3",30.7993020261362,29.5424604070613,32.2777440260576,31.8471817980578,33.1427040504613,33.1953683157063,36,36,33.0963113511414,33.5286660012848,"2","3","4","3","2","4"
"Faga'alu","Medium",910,3,"Faga'alu_3",29.3093061446666,29.6548149548307,30.4324740112723,31.6105838560562,31.0896180065998,32.7545587353604,32.8701274309166,36,31.1916560507701,32.5674798345707,"3","3","5","3","3","5"
"Faga'tele","Low",0,3,"Faga'tele_3",30.6447095332461,31.4158271598834,31.9540003422043,34.245337066316,32.7199064017938,36,34.7948362643085,36,33.5807544684891,36,"2","1","2","2","1","2"
"Cannery","High",9276,3,"Cannery_3",31.2542157333165,30.5261463810318,32.338852102653,31.6086401817679,32.9733266400643,32.2417564279564,34.6921617968577,33.9574464674601,33.7479001777067,33.195473016993,"2","3","4","2","3","4"
"Vatia","Low",640,4,"Vatia_4",31.0636617429531,36,33.1558777023886,36,34.3797623712485,36,36,36,34.4533501993843,36,"2","1","2","1","1","1"
"Faga'alu","Medium",910,4,"Faga'alu_4",29.7447750914685,29.9040947943964,31.2258377104277,32.3963882154834,32.0921732936249,33.8542859678571,34.4395645120598,36,31.7407147697138,33.7292968036147,"3","2","4","3","2","4"
"Coconut Point","High",6707,4,"Coconut Point_4",30.0850677135611,30.2778894683414,31.3117051436787,31.9851762225114,32.0292286276438,32.9838541936965,33.9734796317471,36,33.0417657431731,33.2468007762597,"3","3","5","3","3","5"
"Faga'tele","Low",0,4,"Faga'tele_4",32.0812965790652,30.3397738887788,33.6092421906976,32.1054513209406,34.5029910991354,33.1382009227636,36,36,34.3037621558032,33.1458705511694,"1","3","3","1","3","3"
"Cannery","High",9276,4,"Cannery_4",30.5944166808189,30.6474820013996,31.699010125257,32.2268245766832,32.345118255503,33.1506551816549,34.0957980101934,36,33.0869163571041,33.331325676628,"3","3","5","3","3","5"
"Coconut Point","High",6707,5,"Coconut Point_5",30.6835931891015,32.4442026330569,32.2433547361984,34.6919461645123,33.1558391665936,36,36,36,33.4684483326991,34.8792025766555,"2","1","2","2","2","3"
"Cannery","High",9276,5,"Cannery_5",31.2635507808782,30.752044634158,33.3195621601309,33.6038470157287,34.5222211467053,36,36,36,34.5017396176948,34.6641825018078,"1","2","2","1","2","2"
"Faga'alu","Medium",910,5,"Faga'alu_5",30.5756099844603,32.1142114627884,31.7032517825929,34.2018970788496,32.3627411900439,36,34.1499762514056,36,33.5848277783098,34.2663737742458,"3","1","3","2","2","3"
