"N","High level GO category","Genes"
34,"cellular process","Q8TB22 P09327 Q96Q42 O94906 Q9UQ90 O95639 Q8IWG1 P12111 P14207 Q14114 Q8NFD2 Q9UBG0 Q15386 A1X283 Q9P2K5 Q96I24 Q8N5U6 Q8NEP9 Q9BYQ2 P60410 Q9NZM3 Q9UHC6 Q86Y13 P12270 O43684 A5PLL7 Q9Y253 Q9BV94 Q13825 Q14247 Q86WA6 P07098 Q9NRA8 P21127"
26,"biological regulation","P09327 Q96Q42 O94906 Q9UQ90 O95639 P12111 P14207 Q14114 Q9UBG0 A1X283 Q9P2K5 Q96I24 Q8N5U6 Q8NEP9 Q9NZM3 Q86Y13 P12270 O43684 Q9Y253 Q9BV94 Q14247 Q9H4G4 Q9NRA8 Q17RH7 Q8N8K9 P21127"
25,"regulation of biological process","P09327 Q96Q42 O94906 O95639 P12111 P14207 Q14114 Q9UBG0 A1X283 Q9P2K5 Q96I24 Q8N5U6 Q8NEP9 Q9NZM3 Q86Y13 P12270 O43684 Q9Y253 Q9BV94 Q14247 Q9H4G4 Q9NRA8 Q17RH7 Q8N8K9 P21127"
25,"regulation of cellular process","P09327 Q96Q42 O94906 O95639 P12111 P14207 Q14114 Q9UBG0 A1X283 Q9P2K5 Q96I24 Q8N5U6 Q8NEP9 Q9NZM3 Q86Y13 P12270 O43684 Q9Y253 Q9BV94 Q14247 Q9H4G4 Q9NRA8 Q17RH7 Q8N8K9 P21127"
24,"metabolic process","Q96Q42 O94906 Q9UQ90 O95639 P14207 Q14114 Q8NFD2 Q9UBG0 Q15386 A1X283 Q9P2K5 Q96I24 Q8N5U6 Q8NEP9 Q86Y13 P12270 O43684 A5PLL7 Q9Y253 Q9BV94 Q13825 Q86WA6 P07098 P21127"
22,"organic substance metabolic process","Q96Q42 O94906 Q9UQ90 O95639 P14207 Q14114 Q8NFD2 Q15386 Q9P2K5 Q96I24 Q8N5U6 Q8NEP9 Q86Y13 P12270 O43684 A5PLL7 Q9Y253 Q9BV94 Q13825 Q86WA6 P07098 P21127"
21,"regulation of metabolic process","P09327 Q96Q42 O94906 O95639 P12111 P14207 Q14114 A1X283 Q9P2K5 Q96I24 Q8N5U6 Q8NEP9 P12270 Q9Y253 Q9BV94 Q14247 Q9H4G4 Q9NRA8 Q17RH7 Q8N8K9 P21127"
21,"cellular metabolic process","Q96Q42 O94906 O95639 P14207 Q14114 Q8NFD2 Q15386 A1X283 Q9P2K5 Q96I24 Q8N5U6 Q8NEP9 Q86Y13 O43684 A5PLL7 Q9Y253 Q9BV94 Q13825 Q86WA6 P07098 P21127"
19,"nitrogen compound metabolic process","O94906 Q9UQ90 O95639 P14207 Q14114 Q8NFD2 Q15386 Q9P2K5 Q96I24 Q8N5U6 Q8NEP9 Q86Y13 O43684 A5PLL7 Q9Y253 Q9BV94 Q13825 Q86WA6 P21127"
19,"primary metabolic process","O94906 Q9UQ90 O95639 Q14114 Q8NFD2 Q15386 Q9P2K5 Q96I24 Q8N5U6 Q8NEP9 Q86Y13 O43684 A5PLL7 Q9Y253 Q9BV94 Q13825 Q86WA6 P07098 P21127"
15,"multicellular organismal process","Q8TB22 P09327 Q96Q42 Q9UQ90 P12111 Q14114 A1X283 Q9P2K5 Q8N5U6 Q9BYQ2 P60410 Q9NZM3 Q9UHC6 Q14247 Q9NRA8"
15,"developmental process","Q8TB22 P09327 Q96Q42 Q9UQ90 P12111 Q14114 A1X283 Q9P2K5 Q8N5U6 Q9BYQ2 P60410 Q9NZM3 Q9UHC6 Q14247 Q9NRA8"
15,"anatomical structure development","Q8TB22 P09327 Q96Q42 Q9UQ90 P12111 Q14114 A1X283 Q9P2K5 Q8N5U6 Q9BYQ2 P60410 Q9NZM3 Q9UHC6 Q14247 Q9NRA8"
