#GO enrichment for all type A BioProject samples analyzed together,,,,,,
#delta.rank = the difference in the mean rank for the GO term and the mean rank for all other genes. Larger negative values indicate tendency toward downregulation under stress. Positive values indicate tendency toward upregulation.,,,,,,
#pval = the raw p-value for the GO terms enrichment,,,,,,
#nseqs = the number of genes in the dataset annotated with the GO term,,,,,,
#term = the GO term accession,,,,,,
#name = the descriptive name of the GO term,,,,,,
#p.adj =  p-value adjusted for multiple testing (Benjamini–Hochberg procedure),,,,,,
#goDivision = the division the GO term is from (BP=Biological Process; MF = Moleular Function; CC = Cellular Compnent),,,,,,
delta.rank,pval,nseqs,term,name,p.adj,goDivision
-971,8.98E-25,496,GO:0006259,DNA metabolic process,2.01E-21,BP
-1400,7.75E-17,149,GO:0006260,DNA replication,6.38E-14,BP
-1075,8.54E-17,256,GO:0006281,DNA repair,6.38E-14,BP
637,2.59E-15,706,GO:0035556,intracellular signal transduction,1.25E-12,BP
692,2.79E-15,585,GO:1902531,regulation of intracellular signal transduction,1.25E-12,BP
2088,9.97E-15,57,GO:0002479,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",3.72E-12,BP
1815,1.27E-14,75,GO:0002474,antigen processing and presentation of peptide antigen via MHC class I,4.08E-12,BP
2027,2.14E-14,59,GO:0042590,antigen processing and presentation of exogenous peptide antigen via MHC class I,5.50E-12,BP
-650,2.36E-14,622,GO:0043436,oxoacid metabolic process,5.50E-12,BP
-1369,2.46E-14,130,GO:0006310,DNA recombination,5.50E-12,BP
-640,4.27E-14,630,GO:0006082,organic acid metabolic process,8.69E-12,BP
1323,7.69E-14,134,GO:0019884,antigen processing and presentation of exogenous antigen,1.37E-11,BP
-667,8.02E-14,560,GO:0019752,carboxylic acid metabolic process,1.37E-11,BP
803,8.54E-14,375,GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,1.37E-11,BP
1326,1.00E-13,132,GO:0002478,antigen processing and presentation of exogenous peptide antigen,1.50E-11,BP
1458,1.22E-13,108,GO:0006986,response to unfolded protein,1.71E-11,BP
633,1.36E-13,617,GO:0032270,positive regulation of cellular protein metabolic process,1.74E-11,BP
1268,1.40E-13,143,GO:0019882,antigen processing and presentation,1.74E-11,BP
-689,1.53E-13,510,GO:0051276,chromosome organization,1.74E-11,BP
1287,1.55E-13,138,GO:0090150,establishment of protein localization to membrane,1.74E-11,BP
1270,1.84E-13,141,GO:0048002,antigen processing and presentation of peptide antigen,1.96E-11,BP
945,2.75E-13,255,GO:0050776,regulation of immune response,2.80E-11,BP
609,3.43E-13,646,GO:0051247,positive regulation of protein metabolic process,3.34E-11,BP
623,4.76E-13,606,GO:0043085,positive regulation of catalytic activity,4.45E-11,BP
1311,5.22E-13,127,GO:0035966,response to topologically incorrect protein,4.61E-11,BP
959,5.35E-13,241,GO:0031347,regulation of defense response,4.61E-11,BP
1356,6.02E-13,118,GO:0002764,immune response-regulating signaling pathway,5.00E-11,BP
1302,7.56E-13,127,GO:0034976,response to endoplasmic reticulum stress,6.05E-11,BP
1415,8.14E-13,107,GO:0006612,protein targeting to membrane,6.29E-11,BP
1332,2.28E-12,116,GO:0002757,immune response-activating signal transduction,1.70E-10,BP
-1450,5.80E-12,94,GO:0006261,DNA-dependent DNA replication,4.19E-10,BP
1059,7.08E-12,177,GO:0072657,protein localization to membrane,4.81E-10,BP
1213,7.09E-12,134,GO:0002253,activation of immune response,4.81E-10,BP
1130,8.03E-12,154,GO:0045088,regulation of innate immune response,5.16E-10,BP
545,8.06E-12,723,GO:0044093,positive regulation of molecular function,5.16E-10,BP
1965,8.67E-12,50,GO:0006521,regulation of cellular amino acid metabolic process,5.39E-10,BP
646,1.30E-11,486,GO:0031401,positive regulation of protein modification process,7.86E-10,BP
1954,1.82E-11,49,GO:0006977;GO:0072431;GO:1902400,signal transduction involved in mitotic G1 DNA damage checkpoint,1.08E-09,BP
741,2.24E-11,353,GO:0051347,positive regulation of transferase activity,1.28E-09,BP
635,3.20E-11,483,GO:0080134,regulation of response to stress,1.75E-09,BP
766,3.20E-11,324,GO:0062012,regulation of small molecule metabolic process,1.75E-09,BP
