Sample,low_pollution,med_pollution,high_pollution,symbiont_CD,symbiont_Donly,most_thermotol_cc_change,least_thermotol_cc_change,most_thermotol_red_change,least_thermotol_red_change
CoPt_E_rep1,0,0,1,0,1,0,0,0,0
CoPt_E_rep2,0,0,1,0,1,0,1,0,0
CoPt_E_rep3,0,0,1,0,1,0,0,0,0
CoPt_E_rep4,0,0,1,0,1,0,1,0,0
Falu_E_rep1,0,1,0,0,1,0,0,1,0
Falu_E_rep3,0,1,0,0,1,0,1,0,0
Falu_E_rep4,0,1,0,0,1,0,1,0,0
Falu_E_rep6,0,1,0,0,1,0,0,1,0
Ftele_E_rep3,1,0,0,1,0,0,0,0,0
Ftele_E_rep5,1,0,0,1,0,1,0,1,0
Ftele_E_rep6,1,0,0,1,0,0,0,0,1
Can_E_rep2,0,0,1,0,1,1,0,0,0
Can_E_rep3,0,0,1,0,1,0,0,0,1
Can_E_rep4,0,0,1,0,1,0,0,0,0
Can_E_rep6,0,0,1,0,1,0,0,1,0
Vat_E_rep1,1,0,0,0,1,1,0,0,1
Vat_E_rep3,1,0,0,0,1,0,0,1,0
Vat_E_rep4,1,0,0,0,1,0,0,1,0
Vat_E_rep6,1,0,0,1,0,1,0,1,0
