name	term	lev	seq	value
"tight junction"	GO:0005923;GO:0070160	2	contig22126	0
"tight junction"	GO:0005923;GO:0070160	2	contig56902	0
"tight junction"	GO:0005923;GO:0070160	2	contig66289	0
"tight junction"	GO:0005923;GO:0070160	2	contig71311	0
"tight junction"	GO:0005923;GO:0070160	2	contig91758	0
"tight junction"	GO:0005923;GO:0070160	2	contig92431	0
"tight junction"	GO:0005923;GO:0070160	2	contig106160	0
"tight junction"	GO:0005923;GO:0070160	2	contig108258	0.656740642133266
"tight junction"	GO:0005923;GO:0070160	2	contig108866	0
"tight junction"	GO:0005923;GO:0070160	2	contig110861	0
"tight junction"	GO:0005923;GO:0070160	2	contig111570	0
"tight junction"	GO:0005923;GO:0070160	2	contig116775	0
"tight junction"	GO:0005923;GO:0070160	2	contig138069	0
"tight junction"	GO:0005923;GO:0070160	2	contig145223	0
"tight junction"	GO:0005923;GO:0070160	2	contig146313	0
"tight junction"	GO:0005923;GO:0070160	2	contig146482	0
"tight junction"	GO:0005923;GO:0070160	2	contig146658	0
"tight junction"	GO:0005923;GO:0070160	2	contig146719	0
"tight junction"	GO:0005923;GO:0070160	2	contig152835	0
"tight junction"	GO:0005923;GO:0070160	2	contig153068	0
"tight junction"	GO:0005923;GO:0070160	2	contig159909	0
"tight junction"	GO:0005923;GO:0070160	2	contig171698	0
"tight junction"	GO:0005923;GO:0070160	2	contig186963	0
"tight junction"	GO:0005923;GO:0070160	2	contig191545	0
"tight junction"	GO:0005923;GO:0070160	2	contig204686	0
"tight junction"	GO:0005923;GO:0070160	2	contig208003	0
"tight junction"	GO:0005923;GO:0070160	2	contig208355	0
"tight junction"	GO:0005923;GO:0070160	2	contig211076	0
"tight junction"	GO:0005923;GO:0070160	2	contig600140	0
"tight junction"	GO:0005923;GO:0070160	2	contig168623_71155_76345	0
"tight junction"	GO:0005923;GO:0070160	2	contig147153_185124	0
"tight junction"	GO:0005923;GO:0070160	2	contig73872_22180	0
"tight junction"	GO:0005923;GO:0070160	2	contig72718_171050	0
"tight junction"	GO:0005923;GO:0070160	2	contig104155_53047	0
"tight junction"	GO:0005923;GO:0070160	2	contig216261_112676	0
"tight junction"	GO:0005923;GO:0070160	2	contig170113_77517	0
"tight junction"	GO:0005923;GO:0070160	2	contig148344_151555	0
"tight junction"	GO:0005923;GO:0070160	2	contig145528_211923	0
"tight junction"	GO:0005923;GO:0070160	2	contig111726_150318	0
"tight junction"	GO:0005923;GO:0070160	2	contig169797_208072	0
"tight junction"	GO:0005923;GO:0070160	2	contig55943_144951	0
"tight junction"	GO:0005923;GO:0070160	2	contig6203_77650	0
"tight junction"	GO:0005923;GO:0070160	2	contig177812	0
"tight junction"	GO:0005923;GO:0070160	2	contig600168_177501	0
"secretory vesicle"	GO:0099503	5	contig58630	0
"secretory vesicle"	GO:0099503	5	contig68248	0
"secretory vesicle"	GO:0099503	5	contig68590	0
"secretory vesicle"	GO:0099503	5	contig71400	0
"secretory vesicle"	GO:0099503	5	contig74885	0
"secretory vesicle"	GO:0099503	5	contig75969	0
"secretory vesicle"	GO:0099503	5	contig76408	0
"secretory vesicle"	GO:0099503	5	contig77320	0
"secretory vesicle"	GO:0099503	5	contig80646	0
"secretory vesicle"	GO:0099503	5	contig81528	0
"secretory vesicle"	GO:0099503	5	contig97660	0
"secretory vesicle"	GO:0099503	5	contig97825	0
"secretory vesicle"	GO:0099503	5	contig107357	0
"secretory vesicle"	GO:0099503	5	contig107580	0
"secretory vesicle"	GO:0099503	5	contig109627	0
"secretory vesicle"	GO:0099503	5	contig110298	0
"secretory vesicle"	GO:0099503	5	contig112568	0
"secretory vesicle"	GO:0099503	5	contig125049	0
"secretory vesicle"	GO:0099503	5	contig129993	0
