delta.rank,pval,level,nseqs,term,name,p.adj
0,1.89E-06,2,9,GO:0042177,negative regulation of protein catabolic process,0
0,2.07E-06,4,6,GO:0032435;GO:1901799;GO:2000059;GO:1903051;GO:1903363;GO:0007130;GO:0070193,negative regulation of proteasomal protein catabolic process,0
0,2.49E-06,6,34,GO:0032434;GO:2000058,regulation of ubiquitin-dependent protein catabolic process,0
0,5.47E-06,2,63,GO:0042176,regulation of protein catabolic process,0
0,5.63E-06,2,8,GO:0042771;GO:0072332,intrinsic apoptotic signaling pathway by p53 class mediator,0
0,5.63E-06,4,8,GO:0071816;GO:0045048,tail-anchored membrane protein insertion into ER membrane,0
0,6.35E-06,4,48,GO:0090150,establishment of protein localization to membrane,0
0,7.75E-06,5,36,GO:0045665,negative regulation of neuron differentiation,0
0,8.33E-06,3,9,GO:0070059,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,0
0,8.52E-06,2,42,GO:0061136;GO:1903050;GO:1903362,regulation of cellular protein catabolic process,0
0,1.09E-05,3,18,GO:0000381,regulation of alternative mRNA splicing,0
0,1.17E-05,2,10,GO:0070192,chromosome organization involved in meiotic cell cycle,0.004166667
0,1.39E-05,3,14,GO:0031330;GO:0009895,negative regulation of catabolic process,0.003846154
0,1.59E-05,3,11,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage,0.006666667
0,1.59E-05,4,11,GO:0045861,negative regulation of proteolysis,0.006666667
0,1.99E-05,2,38,GO:1903046,meiotic cell cycle process,0.009375
0,2.02E-05,2,104,GO:0031329;GO:0009894,regulation of catabolic process,0.008823529
0,2.09E-05,2,12,GO:0051205,protein insertion into membrane,0.008333333
0,4.14E-05,4,15,GO:0030324,lung development,0.0075
0,4.14E-05,5,15,GO:0097193;GO:0097190,intrinsic apoptotic signaling pathway,0.0075
0,5.45E-05,2,18,GO:0010771;GO:0010977;GO:0031345,negative regulation of neuron projection development,0.007142857
0,7.04E-05,2,73,GO:0072657,protein localization to membrane,0.009090909
0,0.000181087,2,25,GO:0072331,signal transduction by p53 class mediator,0.026086957
0,0.000188201,5,9,GO:0061002;GO:0050774;GO:0061000;GO:2000171,negative regulation of dendritic spine morphogenesis,0.027083333
0,0.000228868,6,8,GO:0000245,spliceosomal complex assembly,0.03
0,0.000229545,3,95,GO:0032269;GO:0051248,negative regulation of protein metabolic process,0.032692308
0,0.000258054,2,39,GO:0007420,brain development,0.035185185
0,0.000271514,4,34,GO:0016573;GO:0018393;GO:0018394,internal peptidyl-lysine acetylation,0.035714286
0,0.000279213,3,69,GO:0050768;GO:0010721;GO:0051961,negative regulation of nervous system development,0.034482759
0,0.000332854,4,7,GO:0006620,posttranslational protein targeting to endoplasmic reticulum membrane,0.036666667
0,0.000370122,2,11,GO:0010508,positive regulation of autophagy,0.037096774
0,0.00037271,2,24,GO:0007033,vacuole organization,0.0359375
0,0.000382133,2,273,GO:0022402,cell cycle process,0.036363636
0,0.00049071,3,91,GO:0030162,regulation of proteolysis,0.052941176
0,0.000494162,4,24,GO:0009069,serine family amino acid metabolic process,0.051428571
0,0.000555924,2,88,GO:0051276,chromosome organization,0.058333333
0,0.000556456,2,43,GO:0043648,dicarboxylic acid metabolic process,0.056756757
0,0.00060469,5,13,GO:0061001;GO:0060998;GO:0099175,regulation of dendritic spine development,0.059210526
0,0.000607628,1,324,GO:0022414,reproductive process,0.058974359
0,0.000749068,2,112,GO:0045596,negative regulation of cell differentiation,0.07875
0,0.000781134,2,58,GO:0010769,regulation of cell morphogenesis involved in differentiation,0.081707317
0,0.000785905,7,8,GO:0006544,glycine metabolic process,0.080952381
0,0.000792218,4,95,GO:0007283;GO:0048232,male gamete generation,0.079069767
0,0.000827963,5,11,GO:0051893;GO:0090109;GO:1903391;GO:1901888,regulation of adherens junction organization,0.077272727
0,0.000914514,5,44,GO:0048024;GO:0043484;GO:0050684,regulation of mRNA processing,0.087777778
0,0.0009346,6,15,GO:1905809,negative regulation of synapse organization,0.088043478
0,0.00093796,2,44,GO:0034976,response to endoplasmic reticulum stress,0.086170213
0,0.000946029,5,5,GO:0030422;GO:0070918;GO:0031050,production of small RNA involved in gene silencing by RNA,0.084375
0,0.000988391,3,49,GO:0006475;GO:0006473;GO:0043543,protein acylation,0.089795918
0,0.00114447,3,13,GO:0045047;GO:0072599;GO:0070972,protein targeting to ER,0.104
0,0.001168566,2,16,GO:0010506,regulation of autophagy,0.103921569
0,0.001191688,4,44,GO:0050821;GO:0031647,regulation of protein stability,0.104807692
0,0.001318244,2,14,GO:0042060,wound healing,0.111320755
0,0.001454782,6,4,GO:0045745,positive regulation of G protein-coupled receptor signaling pathway,0.119444444
0,0.001475761,2,128,GO:0010975;GO:0045664;GO:0120035;GO:0031344,regulation of neuron differentiation,0.118181818
0,0.001653329,2,101,GO:0022604,regulation of cell morphogenesis,0.130357143
0,0.001730955,6,60,GO:0031331;GO:0009896,positive regulation of catabolic process,0.135087719
0,0.001794375,2,5,GO:0006020,inositol metabolic process,0.137931034
0,0.001800227,7,26,GO:0006555;GO:0009086;GO:0000097;GO:0009067,aspartate family amino acid biosynthetic process,0.13559322
0,0.001841164,3,126,GO:1901605,alpha-amino acid metabolic process,0.135833333
0,0.001896192,2,17,GO:0001952,regulation of cell-matrix adhesion,0.139344262
0,0.00222072,2,5,GO:0008584,male gonad development,0.160483871
0,0.002274336,2,54,GO:1903311,regulation of mRNA metabolic process,0.16031746
0,0.002370791,3,8,GO:0000278,mitotic cell cycle,0.1640625
0,0.002393367,2,5,GO:0007406;GO:2000647,negative regulation of neuroblast proliferation,0.158208955
0,0.002393367,2,5,GO:0048311,mitochondrion distribution,0.158208955
0,0.002393367,5,5,GO:2000172;GO:0022029;GO:0021885,telencephalon cell migration,0.158208955
0,0.002460736,4,50,GO:0001822,kidney development,0.1625
0,0.002464164,2,133,GO:0048609;GO:0007276,multicellular organismal reproductive process,0.160144928
0,0.002554352,2,60,GO:0022618;GO:0071826,ribonucleoprotein complex subunit organization,0.160714286
0,0.002760623,3,10,GO:0030718,germ-line stem cell population maintenance,0.16971831
0,0.002783206,2,21,GO:0006612,protein targeting to membrane,0.168055556
0,0.002819732,2,93,GO:0051707,response to other organism,0.167123288
0,0.002883561,2,8,GO:0006105,succinate metabolic process,0.168918919
0,0.003023963,4,6,GO:0009258;GO:0009256;GO:0009397;GO:0043649;GO:0042219;GO:0042560,dicarboxylic acid catabolic process,0.171333333
0,0.003269596,4,23,GO:0010810,regulation of cell-substrate adhesion,0.181578947
0,0.003302447,3,54,GO:1901607;GO:0008652,cellular amino acid biosynthetic process,0.181818182
0,0.003362989,2,39,GO:0031396;GO:1903320,regulation of protein modification by small protein conjugation or removal,0.183333333
0,0.003368319,2,33,GO:0009798,axis specification,0.18164557
0,0.003656283,2,40,GO:0050807,regulation of synapse organization,0.195625
0,0.003672158,2,11,GO:0000724;GO:0000725,double-strand break repair via homologous recombination,0.193209877
0,0.003680416,2,40,GO:0045732,positive regulation of protein catabolic process,0.191463415
0,0.00374588,2,4,GO:0031573,intra-S DNA damage checkpoint,0.190963855
0,0.00378077,2,25,GO:0001707,mesoderm formation,0.189880952
0,0.003899017,3,386,GO:0010629;GO:0010605;GO:0009892,negative regulation of metabolic process,0.192352941
0,0.003980547,2,441,GO:0032268;GO:0051246,regulation of protein metabolic process,0.194767442
0,0.004001046,2,76,GO:0018205,peptidyl-lysine modification,0.193678161
0,0.004238676,3,30,GO:0000096,sulfur amino acid metabolic process,0.207954545
0,0.004371037,2,964,GO:0048523;GO:0048519,negative regulation of biological process,0.214606742
0,0.004516377,3,10,GO:0046532;GO:0046533,regulation of photoreceptor cell differentiation,0.219444444
0,0.004544318,3,245,GO:0017144,drug metabolic process,0.218131868
0,0.004560232,2,26,GO:0050773;GO:0048814,regulation of dendrite development,0.216304348
0,0.004588284,6,28,GO:0006893;GO:0098876;GO:0043001;GO:0061951;GO:0072659;GO:1990778,Golgi to plasma membrane transport,0.214516129
0,0.004604425,2,164,GO:0051093,negative regulation of developmental process,0.213297872
0,0.00463715,5,5,GO:0045910,negative regulation of DNA recombination,0.213157895
0,0.004661925,3,562,GO:1901575;GO:0009056;GO:0044248,catabolic process,0.213541667
0,0.004712781,2,23,GO:0031398;GO:1903322,positive regulation of protein modification by small protein conjugation or removal,0.215463918
0,0.004865029,2,25,GO:0008340,determination of adult lifespan,0.218877551
0,0.004897572,2,7,GO:0035640,exploration behavior,0.2155
0,0.004897572,2,7,GO:2000178,negative regulation of neural precursor cell proliferation,0.2155
0,0.004992249,3,165,GO:0050767;GO:0060284;GO:0051960,regulation of nervous system development,0.217326733
0,0.004992666,2,21,GO:0042133,neurotransmitter metabolic process,0.215196078
0,0.005180235,4,37,GO:0006446,regulation of translational initiation,0.219902913
0,0.00522307,4,6,GO:0060047;GO:0003015,heart contraction,0.222115385
0,0.00551104,3,6,GO:0006268,DNA unwinding involved in DNA replication,0.233962264
0,0.00551104,5,6,GO:0007131;GO:0035825,reciprocal meiotic recombination,0.233962264
0,0.005704797,2,12,GO:0031054,pre-miRNA processing,0.239719626
0,0.005838616,4,65,GO:0043065;GO:0043068;GO:0010942,positive regulation of cell death,0.243518519
