"Enrichment FDR","Genes in list","Total genes","Functional Category","Genes"
0.000397048247439107,16,1396,"Purine nucleotide binding ","Q60649 Q91YJ5 P70266 Q9ES70 Q60629 Q9R0K7 O70589 P51954 Q8BGQ7 Q01887 Q91X83 Q8BYR2 Q5PR73 P61222 A2AAJ9 Q8CFB4"
0.000397048247439107,16,1399,"Ribonucleotide binding ","Q60649 Q91YJ5 P70266 Q9ES70 Q60629 Q9R0K7 O70589 P51954 Q8BGQ7 Q01887 Q91X83 Q8BYR2 Q5PR73 P61222 A2AAJ9 Q8CFB4"
0.000397048247439107,16,1387,"Purine ribonucleotide binding ","Q60649 Q91YJ5 P70266 Q9ES70 Q60629 Q9R0K7 O70589 P51954 Q8BGQ7 Q01887 Q91X83 Q8BYR2 Q5PR73 P61222 A2AAJ9 Q8CFB4"
0.000397048247439107,16,1369,"Purine ribonucleoside triphosphate binding ","Q60649 Q91YJ5 P70266 Q9ES70 Q60629 Q9R0K7 O70589 P51954 Q8BGQ7 Q01887 Q91X83 Q8BYR2 Q5PR73 P61222 A2AAJ9 Q8CFB4"
0.000478949288292927,16,1446,"Carbohydrate derivative binding ","Q60649 Q91YJ5 P70266 Q9ES70 Q60629 Q9R0K7 O70589 P51954 Q8BGQ7 Q01887 Q91X83 Q8BYR2 Q5PR73 P61222 A2AAJ9 Q8CFB4"
0.000524141796595,16,1528,"Nucleotide binding ","Q60649 Q91YJ5 P70266 Q9ES70 Q60629 Q9R0K7 O70589 P51954 Q8BGQ7 Q01887 Q91X83 Q8BYR2 Q5PR73 P61222 A2AAJ9 Q8CFB4"
0.000524141796595,17,1704,"Small molecule binding ","Q60649 Q8BG58 Q91YJ5 P70266 Q9ES70 Q60629 Q9R0K7 O70589 P51954 Q8BGQ7 Q01887 Q91X83 Q8BYR2 Q5PR73 P61222 A2AAJ9 Q8CFB4"
0.000524141796595,17,1681,"Anion binding ","Q60649 Q8BG58 Q91YJ5 P70266 Q9ES70 Q60629 Q9R0K7 O70589 P51954 Q8BGQ7 Q01887 Q91X83 Q8BYR2 Q5PR73 P61222 A2AAJ9 Q8CFB4"
0.000524141796595,16,1528,"Nucleoside phosphate binding ","Q60649 Q91YJ5 P70266 Q9ES70 Q60629 Q9R0K7 O70589 P51954 Q8BGQ7 Q01887 Q91X83 Q8BYR2 Q5PR73 P61222 A2AAJ9 Q8CFB4"
0.000582678116349448,13,1060,"ATP binding ","Q60649 P70266 Q9ES70 Q60629 Q9R0K7 O70589 P51954 Q8BGQ7 Q01887 Q91X83 Q8BYR2 P61222 A2AAJ9"
0.000582678116349448,13,1078,"Adenyl nucleotide binding ","Q60649 P70266 Q9ES70 Q60629 Q9R0K7 O70589 P51954 Q8BGQ7 Q01887 Q91X83 Q8BYR2 P61222 A2AAJ9"
0.000582678116349448,13,1075,"Adenyl ribonucleotide binding ","Q60649 P70266 Q9ES70 Q60629 Q9R0K7 O70589 P51954 Q8BGQ7 Q01887 Q91X83 Q8BYR2 P61222 A2AAJ9"
0.000587537892377012,29,4286,"Catalytic activity ","Q60649 Q8BG58 P00860 Q91YJ5 Q9CXR1 Q9WVM6 P70266 Q8VEE0 Q9ES70 Q8R1Q9 Q60629 Q6PDD0 O70589 P51954 Q8BGQ7 Q01887 Q91X83 Q8R151 Q8BYR2 Q5PR73 Q8CDF7 P11928 Q8CI75 O35459 P61222 A2AAJ9 Q62452 P04186 Q8CFB4"
0.00116481521040839,23,3100,"Ion binding ","Q60649 Q60902 Q8BG58 O54916 Q91YJ5 Q61555 Q9WVM6 P70266 Q9ES70 Q60629 Q9R0K7 O70589 P51954 Q8BGQ7 Q01887 Q91X83 Q8R151 Q8BYR2 Q6VNB8 Q5PR73 P61222 A2AAJ9 Q8CFB4"
0.00141427842326602,9,594,"Phosphotransferase activity, alcohol group as acceptor ","P70266 Q9ES70 Q8R1Q9 Q60629 O70589 P51954 Q01887 Q8BYR2 A2AAJ9"
0.00146798613339393,10,743,"Transferase activity, transferring phosphorus-containing groups ","P70266 Q9ES70 Q8R1Q9 Q60629 O70589 P51954 Q01887 Q8BYR2 P11928 A2AAJ9"
0.00229887227681025,9,645,"Kinase activity ","P70266 Q9ES70 Q8R1Q9 Q60629 O70589 P51954 Q01887 Q8BYR2 A2AAJ9"
0.00274357486929872,23,3349,"Organic cyclic compound binding ","Q60649 Q91YJ5 P42232 Q9CZX5 P70266 Q9ES70 P25799 Q60629 Q9R0K7 O70589 Q80UV9 P51954 Q8BGQ7 Q01887 Q91X83 Q8BYR2 Q5PR73 Q8CDF7 P11928 Q8CI75 P61222 A2AAJ9 Q8CFB4"
0.00274357486929872,23,3342,"Heterocyclic compound binding ","Q60649 Q91YJ5 P42232 Q9CZX5 P70266 Q9ES70 P25799 Q60629 Q9R0K7 O70589 Q80UV9 P51954 Q8BGQ7 Q01887 Q91X83 Q8BYR2 Q5PR73 Q8CDF7 P11928 Q8CI75 P61222 A2AAJ9 Q8CFB4"
0.00850344708910874,13,1498,"Transferase activity ","P70266 Q9ES70 Q8R1Q9 Q60629 Q6PDD0 O70589 P51954 Q01887 Q91X83 Q8BYR2 P11928 A2AAJ9 Q62452"
0.0107297538723549,7,520,"Protein kinase activity ","Q9ES70 Q60629 O70589 P51954 Q01887 Q8BYR2 A2AAJ9"
0.0107297538723549,25,4205,"Protein binding ","Q60649 Q60902 Q8R3V6 O54916 Q810U4 Q9QYI5 Q8CIE6 P70297 P25799 Q60629 O70589 Q80UV9 P97300 Q80XJ3 Q5SSM3 Q3UMR0 Q56A06 Q9ER63 Q66T02 Q8BYR2 Q80TR8 Q6VNB8 Q8C8T7 A2AAJ9 Q9D2I5"
0.0107614103481895,2,19,"Carbohydrate kinase activity ","P70266 Q8R1Q9"
0.0114342393354444,2,20,"3 -5  exonuclease activity ","Q8CDF7 Q8CI75"
0.0185351887579345,2,26,"Exonuclease activity ","Q8CDF7 Q8CI75"
0.0337730912742267,1,2,"Methionine adenosyltransferase activity ","Q91X83"
0.0337730912742267,1,2,"Hsp70 protein binding ","Q9QYI5"
0.0432778029682495,6,535,"Nucleoside-triphosphatase activity ","Q60649 Q91YJ5 Q8R151 Q5PR73 P61222 Q8CFB4"
0.0478561843789706,6,552,"Pyrophosphatase activity ","Q60649 Q91YJ5 Q8R151 Q5PR73 P61222 Q8CFB4"
0.0478561843789706,6,559,"Hydrolase activity, acting on acid anhydrides ","Q60649 Q91YJ5 Q8R151 Q5PR73 P61222 Q8CFB4"
