CoPt_E_rep1	CoPt_E_rep2	CoPt_E_rep3	CoPt_E_rep4	Falu_E_rep1	Falu_E_rep3	Falu_E_rep4	Falu_E_rep6	Ftele_E_rep3	Ftele_E_rep5	Ftele_E_rep6	Can_E_rep2	Can_E_rep3	Can_E_rep4	Can_E_rep6	Vat_E_rep1	Vat_E_rep3	Vat_E_rep4	Vat_E_rep6
CoPt_E_rep1	1	0.130516004915485	0.0586302600907871	0.141788304822043	-0.101077970346082	0.0545504965340964	-0.100918837431535	-0.068612849624438	-0.0977345117794247	0.0927553711703676	-0.159867573105343	-0.227860775077029	-0.15709561108389	-0.231319961924675	-0.212197157701354	0.0586096701718306	-0.156593124239662	0.0699806989632476	-0.0413017142279118
CoPt_E_rep2	0.130516004915485	1	0.23490083191685	0.285072188437093	0.198945122675189	0.0897752503253483	0.0999724505923319	0.123889169694612	0.11992201436565	-0.090115730467081	-0.17652345025462	-0.325072038677302	-0.276332080260774	-0.311814139954433	-0.274593946587521	-0.169834461840967	-0.20206487998933	-0.288990094115746	-0.044367950064015
CoPt_E_rep3	0.0586302600907871	0.23490083191685	1	0.16757486528285	0.247010653389627	0.164192321330367	0.285788485003146	0.262225674567082	0.0584160110817371	-0.0733339998302206	-0.225197652620115	-0.41511905462896	-0.362088320740045	-0.388390563657565	-0.228522381504891	-0.168834489945832	-0.301690681402425	-0.344832466255636	0.122436465169565
CoPt_E_rep4	0.141788304822043	0.285072188437093	0.16757486528285	1	0.161635439321254	0.062351890341865	0.0784803731782877	0.0435787468235093	0.140959779274029	-0.0493630304370231	-0.0927339455728714	-0.282319807767208	-0.287387765505011	-0.241513741912802	-0.26955575984788	-0.127342439027632	-0.217137685549836	-0.253254465242492	-0.120860008158726
Falu_E_rep1	-0.101077970346082	0.198945122675189	0.247010653389627	0.161635439321254	1	0.289804261913198	0.350905898190228	0.31596820572545	0.217395366326998	-0.061395396408474	-0.100035233414657	-0.460753884914325	-0.414038879665027	-0.325362080012001	-0.340951243250946	-0.239858493661564	-0.242310676332156	-0.399259963321832	0.0237324044916594
Falu_E_rep3	0.0545504965340964	0.0897752503253483	0.164192321330367	0.062351890341865	0.289804261913198	1	0.230289625461497	0.212610106275341	0.0700399466718437	0.0524606214198938	-0.124452480551105	-0.430856109114863	-0.41701833463047	-0.356407791563026	-0.342497124879886	-0.0176423279472799	-0.252163338683864	-0.133418147371622	-0.0327828338597891
Falu_E_rep4	-0.100918837431535	0.0999724505923319	0.285788485003146	0.0784803731782877	0.350905898190228	0.230289625461497	1	0.416667127935545	0.12442503935943	-0.128258266510211	-0.171548078570188	-0.435461170361022	-0.387348566862999	-0.357646406228013	-0.224514684911725	-0.164236140247158	-0.269269232889601	-0.326367180760777	0.0673469258184107
Falu_E_rep6	-0.068612849624438	0.123889169694612	0.262225674567082	0.0435787468235093	0.31596820572545	0.212610106275341	0.416667127935545	1	0.134840154070865	-0.08998669848216	-0.127767038822741	-0.376519800621641	-0.374566146249215	-0.33300991878701	-0.203580488604841	-0.198233712523954	-0.338855862998492	-0.366148329855101	0.0433206536000227
Ftele_E_rep3	-0.0977345117794247	0.11992201436565	0.0584160110817371	0.140959779274029	0.217395366326998	0.0700399466718437	0.12442503935943	0.134840154070865	1	0.0463375304694227	0.132599835799601	-0.266059340799991	-0.299277956452023	-0.193450669977583	-0.303883536218176	-0.225073373855758	-0.18083119686679	-0.286836241194708	-0.131727126981354
Ftele_E_rep5	0.0927553711703676	-0.090115730467081	-0.0733339998302206	-0.0493630304370231	-0.061395396408474	0.0524606214198938	-0.128258266510211	-0.08998669848216	0.0463375304694227	1	0.112515611889561	-0.137757391230435	-0.177717777768395	-0.106530609944361	-0.214773827789809	0.0388786643501337	-0.116747339822494	0.0565667273509821	-0.13068546428483
Ftele_E_rep6	-0.159867573105343	-0.17652345025462	-0.225197652620115	-0.0927339455728714	-0.100035233414657	-0.124452480551105	-0.171548078570188	-0.127767038822741	0.132599835799601	0.112515611889561	1	0.0729310884945253	0.0496414604792325	0.118353021987566	-0.0844909209491487	-0.0875997378822145	0.0800423900439023	-0.00115247321548232	-0.240647898971305
Can_E_rep2	-0.227860775077029	-0.325072038677302	-0.41511905462896	-0.282319807767208	-0.460753884914325	-0.430856109114863	-0.435461170361022	-0.376519800621641	-0.266059340799991	-0.137757391230435	0.0729310884945253	1	0.595517382143837	0.539528111034059	0.517721338651612	-0.0142590437149521	0.306222163681388	0.247538151342953	-0.138636561364637
