CoPt_H_rep1	CoPt_H_rep2	CoPt_H_rep3	CoPt_H_rep4	Falu_H_rep1	Falu_H_rep4	Falu_H_rep6	Ftele_H_rep1	Ftele_H_rep3	Ftele_H_rep5	Ftele_H_rep6	Can_H_rep2	Can_H_rep3	Can_H_rep5	Can_H_rep6	Vat_H_rep1	Vat_H_rep3	Vat_H_rep4	Vat_H_rep6
contig122417	-1.57881191372977	-1.83149792467447	-1.96873248125943	-4.10262475145699	4.60065248028401	-4.10262475145699	-4.10262475145699	-4.10262475145699	-4.10262475145699	3.99437496138547	-4.10262475145699	-0.657030460115807	5.16267617287893	4.57780861927298	-2.09041366750611	5.66151369761691	0.410802827466311	5.50308069088448	2.83132550623844
contig109567	-2.22515216521524	-0.683507088319199	-2.93307399807444	-2.4526827608015	2.62561603117514	-0.395981442463109	-1.49028073661293	2.81558171157077	2.98420138870718	-0.887309580964505	2.23299195751973	3.02507348424717	-1.26984444055602	-0.252804537257555	-1.39927625797978	-0.382533661874251	-0.789869466981392	2.00602805090555	-0.527176487025629
contig81603	0.647266189500057	1.80871799064401	1.77118065637117	0.26171561333234	-0.0785018581220038	-0.0581572803379276	-0.0111020079504112	0.351826520227732	-0.655770449810524	-1.19326453036343	0.139794143617399	-1.53796183902854	-1.74976482687018	-1.9216242087204	-0.87244734664501	1.42989904026541	-0.876228883934335	1.93667115164338	0.607751926181259
contig147146	0.479516515235302	-0.257061205547497	0.156521230530959	0.797482333629787	-0.24483217592253	-1.4153982327146	0.264926124129418	1.29278900330611	1.26560117446111	2.28626171120757	0.391132056544967	-1.4153982327146	-0.218161877795892	-1.4153982327146	-1.4153982327146	-1.4153982327146	0.535070181435525	-0.577051496193367	0.904797588551527
contig103472	-2.28813973362339	7.00793446434704	6.02610814561896	-2.28813973362339	3.64098845666149	-0.384715767734653	-0.724005490165155	-2.28813973362339	7.50863807353912	4.38272892121391	-2.28813973362339	-2.28813973362339	-2.28813973362339	-2.28813973362339	-2.28813973362339	-2.28813973362339	-2.28813973362339	-2.28813973362339	-2.28813973362339
contig170944_169593	-0.695812140032079	-1.01004661733362	-0.871424801769488	-1.49909739778064	0.12923261225004	-1.50520620736328	-0.712206578282748	0.932167710955594	1.9889577026413	1.6511647757912	-0.540320060507149	-0.218391965619787	0.318093461993139	-0.133538911833594	-0.350552786665194	-0.609925527993016	2.34203945423168	-0.224678228467218	1.00954550578486
contig174038	-4.97098986096092	3.60944585220597	2.78792621408174	4.77094558818389	3.42415864745559	3.09319242038588	4.2691216944036	-4.97098986096092	-2.99352674972145	-1.60278026286164	-2.90921366337423	-4.97098986096092	2.87971581593883	-4.97098986096092	5.06820200776341	-4.97098986096092	3.5941845884047	-4.97098986096092	3.83456701289922
contig152435	-1.68504864360425	2.15642135586155	-1.68504864360425	0.342459313222214	3.71770763587916	-1.68504864360425	-1.68504864360425	0.491593274052647	2.45073245486599	-1.68504864360425	2.82179445536557	-0.71125371395164	-1.68504864360425	-1.68504864360425	-1.68504864360425	-1.68504864360425	3.40402572112574	2.17700593962122	-1.68504864360425
contig153647_25470	-0.17016653887776	-0.355191809845592	0.73626258896923	0.957119717799348	-0.529056157275236	0.994365465622687	1.39855611224929	-1.08763447220287	-0.76618180821152	-0.730488313440588	-0.790155358203316	-1.0558997783282	-0.618083169222386	0.627176830419281	0.417938404908716	0.870466707071043	-0.483000340812779	0.194778462675401	0.389193456705248
contig150312_171941_143476	-0.794715004080078	0.258791610510966	0.646934225446086	-0.635532207381742	-0.0679466783968761	0.283064654854	0.377521098911632	0.713316124754138	1.30372650199695	0.545931898293668	1.99932256052043	-0.587065025377801	-0.448228911725117	-1.54313389889271	-0.211517700007485	-1.48447731971574	1.05128118300465	-1.92265350836566	0.515380395650692
contig210943	-6.27117964936048	1.16580666566413	1.20051182065876	0.99111255446991	-6.27117964936048	0.399703164746249	-0.229630004349062	0.761306948513335	-1.63496107048512	-0.815852429055917	-1.31270813312131	0.872285200235268	1.71834541805705	1.91506832738521	1.66282960244415	1.05757604867915	1.85592221961545	1.50819171006313	1.42685125520059
contig181633	-2.29576380595796	3.30643768423941	-0.53532993128785	-0.138396657846473	0.183984128408264	0.413306217326571	-0.454595762409312	0.0110816943563217	-2.29576380595796	-0.470792340501735	-0.831095538954517	6.55233328427405	-2.29576380595796	6.24840856879444	-2.29576380595796	-2.29576380595796	-2.29576380595796	-0.560674935479785	0.0499164248283961
contig187079	1.30527042250015	-2.71514288004404	-1.4917203301091	-0.0144812258912945	0.922467366181249	-2.71514288004404	1.05632017832161	-2.71514288004404	-0.83582920373315	0.806787280865192	-2.71514288004404	-0.353935989805307	1.21956232012852	0.0223275690420217	-2.71514288004404	3.4618579913881	1.52959198803121	3.58492591854132	2.36257011475966
contig104128	-0.445439810696546	-0.389035387092656	0.129218905010129	0.544780744704614	-0.21308457483766	0.308316427288064	-0.171908779415645	-0.268740003353698	-1.30525689302641	-0.894083597089448	-0.195404143284351	0.854158308870138	0.939216883359524	0.711183908204001	1.24703286097321	-0.00502576001569821	-0.6108397401146	-0.0290687808771288	-0.206020568605827
contig180194_98013	-0.873512839364573	4.65738939756729	0.994660872020088	2.99738271369895	-0.569988329187549	1.78005419565024	-0.669483607519687	-1.11040248034529	-0.665852661708245	0.391323518647217	-0.747923794647278	-0.737088393285339	-0.295780738753241	-1.04605758919497	-0.60838605456954	-1.40402755606335	-0.417193695550505	-1.588772945071	-0.0863400123232092
contig82045	-2.13799017072407	-2.13799017072407	-2.13799017072407	-2.13799017072407	1.38029316704604	1.72822546412358	-2.13799017072407	-2.13799017072407	-2.13799017072407	2.44889464212811	-2.13799017072407	0.145931601583544	2.50488465272047	3.20570189845495	-2.13799017072407	4.36050006218453	-2.13799017072407	3.28626011535998	2.31921010363954
contig202510	-0.745663504400008	-0.1893576874277	0.384900616701489	1.19777047290677	1.13432527593388	0.124961160068034	0.369527532475176	0.655411434366046	0.927023542397278	0.641925871018401	0.610387987238276	-1.40551366515846	-2.20116168971067	-1.09615528093847	-0.741293684185323	-1.80895858055194	1.89021428819019	0.442502448008276	-0.190846536931239
contig135095	-1.1359075816825	-0.0259342236992879	0.194454226102351	0.147387725518044	-0.99200418901672	-1.33919992546536	-0.890542987015498	0.495888871058117	-3.69400415572587	0.847330653239393	-0.830429388426056	1.07114220671124	1.04683967042817	1.17646916198926	0.883824718507249	1.39606174447449	0.0460128781486286	0.757635316128882	0.844975278725464
contig146248_201532	0.686126472631933	-1.38695509443391	1.10752572987409	0.200076280983413	0.542327733613304	1.26118726600048	1.7462365869569	-0.345795613054985	-0.874522880194603	1.21794005127194	1.57732394450118	-2.36334029656562	-2.2101835085042	-0.741733114531427	0.0356538179527726	-1.31987226798951	0.018952625448724	0.112721112380944	0.736331153658577
contig55742	0.198639978584549	-1.1533738424921	1.18790852208542	-0.633903275563888	-0.0855531704229424	1.56879902363186	0.774370068466385	0.521974894686157	0.542807622731999	1.37929183217457	1.64258493350664	-2.2154955543999	-1.45421028103828	-0.385645994555212	-0.688425218887242	-1.08786227467403	0.272505216434166	-0.386457865730767	0.00204538546262212
contig187139_148010	-1.23679674472905	0.174236134558677	-1.15783743262137	-0.185195548241836	-1.74184376736858	-1.08580429583734	0.11138311762865	-0.781985155818135	2.86972852250654	1.13660256826435	1.5974554353803	0.256761612042212	-0.928130549250609	-1.58672160734192	-1.207901871101	0.275574560173852	2.03662813120195	-1.19062125994291	2.64446815049622
contig151059	-2.39638267568022	0.258511081793103	6.36550426009783	-2.39638267568022	-2.39638267568022	-2.39638267568022	-2.39638267568022	-2.39638267568022	-2.39638267568022	-2.39638267568022	-2.39638267568022	-2.39638267568022	-2.39638267568022	5.72084482812841	5.14806407083717	6.6027632891704	-0.388828339541946	-2.39638267568022	5.04973291767766
contig220049	0.996848007221382	-0.314720370079269	-4.74814724167248	-0.470013770591242	-4.74814724167248	1.4833235684961	1.22888076069956	-0.72046236473532	0.400095439706698	2.21650552646509	-4.74814724167248	-0.292524114272043	1.14475373780425	-0.718959419126765	-4.74814724167248	3.51247125819733	3.69818343730166	4.10501257761078	2.72319469199171
contig77990	1.07530598498032	-2.09961802065531	-0.763013192175602	-2.24126609306004	-1.64653557560034	-1.26140030339857	-2.48938741517513	0.360826525536776	0.567478142452208	0.572246580800143	1.53949667927041	1.6044554481227	0.209263613648425	1.60574144823399	1.38885173855713	0.766531448928693	0.884141155464366	-0.514590906218588	0.441472740288417
contig147502	2.65370874145382	-1.18233808000955	2.8815277376712	2.17561622970992	0.398639846470822	-0.433628835684837	0.692767051038761	-0.736537124539963	-1.28940673944835	-1.51202084758194	-2.64171428816383	0.171933386560951	-1.22172220547463	0.868754139037651	1.61377322457646	-1.50864240183457	0.574788772534382	-0.984576517440488	-0.520922088875815
contig178010	-0.422397580316148	-0.991033596921884	-0.927398125758926	0.252061525378791	0.683473091392786	0.292907034562352	-0.018760291745811	-1.99973196395373	-2.72996427530935	-0.19854320298548	-0.965248805145173	1.09362187996731	1.5164131805646	0.0458151633972932	0.99267384256011	2.04610940080425	-0.209932708666446	0.960964366047212	0.57897106612824
contig115095	-3.02051254715699	-3.02051254715699	3.34533743506963	2.08583577234816	-3.02051254715699	-3.02051254715699	-3.02051254715699	3.9937534673745	0.698889964776275	1.57361794243614	3.84084735916521	-3.02051254715699	1.71712013921245	0.223156533809877	1.45716478040832	-0.333227855239144	1.81121271674913	0.729879573988355	-3.02051254715699
contig155603	1.97464802544674	-5.2751101690464	-2.89410373195778	-1.25123386397196	0.859336687612573	-2.10518516760409	-0.983285626862704	-1.0255889784802	-0.778775655629287	1.29208539236048	-2.03968944640896	3.9601884792387	2.14269172407276	1.60928017255841	0.65921760926897	4.72374677504683	-1.0983087053522	2.91471438983362	-2.68462791012549
