CoPt_H_rep1	CoPt_H_rep2	CoPt_H_rep3	CoPt_H_rep4	Falu_H_rep1	Falu_H_rep4	Falu_H_rep6	Ftele_H_rep1	Ftele_H_rep3	Ftele_H_rep5	Ftele_H_rep6	Can_H_rep2	Can_H_rep3	Can_H_rep5	Can_H_rep6	Vat_H_rep1	Vat_H_rep3	Vat_H_rep4	Vat_H_rep6
CoPt_H_rep1	1	-0.126081211255743	-0.1134330917892	-0.0408172812297801	-0.350813715238168	-0.207678477075076	0.0354270314323853	-0.27343585369962	0.00851160509277502	0.00704931086327779	-0.1811744460637	0.135391275270571	-0.163323911606234	0.055776720007068	-0.0453272626423305	0.245070306886748	-0.0866519903540145	0.255715149901819	-0.125727236313474
CoPt_H_rep2	-0.126081211255743	1	-9.23771254345088e-05	-0.0235453782771574	0.102966426087933	0.0115776599467034	-0.0650081089047335	-0.1135928845795	-0.0779549315321972	-0.175017483224662	0.0138339649842517	-0.0970193779744676	-0.0721895140637723	-0.0985116939018549	-0.117200402551874	-0.0574645885317608	0.0276832399519561	0.00896696885239933	-0.183364386320961
CoPt_H_rep3	-0.1134330917892	-9.23771254345088e-05	1	0.212784167346656	-0.0271201808394101	0.36796504905237	0.294579724065682	-0.169868417965837	-0.173807217561453	-0.27731915114591	-0.0842334866721585	-0.240941757061707	-0.291013007722668	-0.195428970925795	0.276579341875712	-0.123535327268748	-0.20106671279574	-0.258148193830171	0.217061985608617
CoPt_H_rep4	-0.0408172812297801	-0.0235453782771574	0.212784167346656	1	0.00471956789596781	0.211942435127544	0.193445495332074	0.0435421547567815	-0.196250661363888	-0.208726158706589	-0.0818904594085794	-0.159914096680957	0.049447605909795	-0.0461909534334184	0.219054525954294	-0.322573351157245	-0.274337782332262	-0.340940213904285	-0.0748086465239847
Falu_H_rep1	-0.350813715238168	0.102966426087933	-0.0271201808394101	0.00471956789596781	1	0.194352290557485	0.21634069546463	0.16747535124341	-0.0358523109019245	-0.0162886639515644	0.0965273558752814	-0.260937767449838	-0.0738772655175287	-0.148856121935343	-0.0442617008883499	-0.381931795966624	-0.0911276056024223	-0.296611503600249	-0.0928513477323862
Falu_H_rep4	-0.207678477075076	0.0115776599467034	0.36796504905237	0.211942435127544	0.194352290557485	1	0.429394174536996	0.0240989417404723	-0.112802113474054	-0.256758035510894	-0.00866476660442876	-0.240479784642393	-0.21937516426909	-0.21491907174043	0.1133643647153	-0.354603461711148	-0.328197914329587	-0.336668561251272	0.0525868631132324
Falu_H_rep6	0.0354270314323853	-0.0650081089047335	0.294579724065682	0.193445495332074	0.21634069546463	0.429394174536996	1	-0.0753796640375188	-0.00756047873963387	-0.18083154073791	-0.00305144598004456	-0.232885349236069	-0.35460170745161	-0.317812099291144	0.0241916226398306	-0.31445638991361	-0.274681539053081	-0.264810722326916	0.0330965890107671
Ftele_H_rep1	-0.27343585369962	-0.1135928845795	-0.169868417965837	0.0435421547567815	0.16747535124341	0.0240989417404723	-0.0753796640375188	1	0.232574470792846	0.430375237956789	0.449818184266465	-0.292020205061737	0.0315785195147206	-0.20261697476183	-0.322024012292814	-0.401269284195484	-0.00617620055949195	-0.367465984003042	-0.133496460839148
Ftele_H_rep3	0.00851160509277502	-0.0779549315321972	-0.173807217561453	-0.196250661363888	-0.0358523109019245	-0.112802113474054	-0.00756047873963387	0.232574470792846	1	0.284180023925345	0.500240574232167	-0.140151218003325	-0.270436254829451	-0.301647965854038	-0.322916782424436	-0.18522215059206	0.0451029429315017	-0.0730572839196438	-0.194783267585781
Ftele_H_rep5	0.00704931086327779	-0.175017483224662	-0.27731915114591	-0.208726158706589	-0.0162886639515644	-0.256758035510894	-0.18083154073791	0.430375237956789	0.284180023925345	1	0.138537277207002	-0.223457441126279	-0.0109696670566839	-0.121717926561789	-0.396506801946673	-0.0952600381295269	0.135994653891755	-0.0516363825837406	0.0328077639858953
Ftele_H_rep6	-0.1811744460637	0.0138339649842517	-0.0842334866721585	-0.0818904594085794	0.0965273558752814	-0.00866476660442876	-0.00305144598004456	0.449818184266465	0.500240574232167	0.138537277207002	1	-0.292684334062519	-0.223373090114091	-0.350763921917445	-0.337618132262202	-0.306924358597417	0.0622186981619417	-0.199509021448808	-0.130267934323803
Can_H_rep2	0.135391275270571	-0.0970193779744676	-0.240941757061707	-0.159914096680957	-0.260937767449838	-0.240479784642393	-0.232885349236069	-0.292020205061737	-0.140151218003325	-0.223457441126279	-0.292684334062519	1	0.215096620889045	0.436319905627206	0.217697933723135	0.116246479993222	-0.072492003012182	0.0700868590431243	-0.164323935964419
Can_H_rep3	-0.163323911606234	-0.0721895140637723	-0.291013007722668	0.049447605909795	-0.0738772655175287	-0.21937516426909	-0.35460170745161	0.0315785195147206	-0.270436254829451	-0.0109696670566839	-0.223373090114091	0.215096620889045	1	0.141811710722948	0.131859573292538	0.00382293034402966	0.0981507611491746	-0.0025066017483777	-0.0363197844972287
Can_H_rep5	0.055776720007068	-0.0985116939018549	-0.195428970925795	-0.0461909534334184	-0.148856121935343	-0.21491907174043	-0.317812099291144	-0.20261697476183	-0.301647965854038	-0.121717926561789	-0.350763921917445	0.436319905627206	0.141811710722948	1	0.156702348824918	0.181900715679662	-0.211733610345194	0.110722839402635	-0.154868737851377
Can_H_rep6	-0.0453272626423305	-0.117200402551874	0.276579341875712	0.219054525954294	-0.0442617008883499	0.1133643647153	0.0241916226398306	-0.322024012292814	-0.322916782424436	-0.396506801946673	-0.337618132262202	0.217697933723135	0.131859573292538	0.156702348824918	1	-0.0077498466420203	-0.339337781684717	-0.21391924426546	0.0921549922000932
Vat_H_rep1	0.245070306886748	-0.0574645885317608	-0.123535327268748	-0.322573351157245	-0.381931795966624	-0.354603461711148	-0.31445638991361	-0.401269284195484	-0.18522215059206	-0.0952600381295269	-0.306924358597417	0.116246479993222	0.00382293034402966	0.181900715679662	-0.0077498466420203	1	0.160376367094857	0.618778403656367	0.10695563873958
Vat_H_rep3	-0.0866519903540145	0.0276832399519561	-0.20106671279574	-0.274337782332262	-0.0911276056024223	-0.328197914329587	-0.274681539053081	-0.00617620055949195	0.0451029429315017	0.135994653891755	0.0622186981619417	-0.072492003012182	0.0981507611491746	-0.211733610345194	-0.339337781684717	0.160376367094857	1	0.261131600173052	0.0829195621462775
Vat_H_rep4	0.255715149901819	0.00896696885239933	-0.258148193830171	-0.340940213904285	-0.296611503600249	-0.336668561251272	-0.264810722326916	-0.367465984003042	-0.0730572839196438	-0.0516363825837406	-0.199509021448808	0.0700868590431243	-0.0025066017483777	0.110722839402635	-0.21391924426546	0.618778403656367	0.261131600173052	1	-0.0560389483732349
Vat_H_rep6	-0.125727236313474	-0.183364386320961	0.217061985608617	-0.0748086465239847	-0.0928513477323862	0.0525868631132324	0.0330965890107671	-0.133496460839148	-0.194783267585781	0.0328077639858953	-0.130267934323803	-0.164323935964419	-0.0363197844972287	-0.154868737851377	0.0921549922000932	0.10695563873958	0.0829195621462775	-0.0560389483732349	1
