"ContigName","Uniprotmatch"
"adi_v1.16776","Q7TN02"
"isotig15048","Q8K1S5"
"contig13624","No_Uniprotmatch"
"isotig07137","Q9ES46"
"contig17577","No_Uniprotmatch"
"adi_v1.03814","Q8K4C0"
"contig21592","F0W7Y6"
"contig23696","No_Uniprotmatch"
"contig23800","No_Uniprotmatch"
"adi_v1.07824","Q5PR73"
"contig26748","No_Uniprotmatch"
"adi_v1.14828","D8U4Z9"
"contig54664","Q6V4S5"
"adi_v1.11839","Q9Z173"
"adi_v1.11281","P22793"
"adi_v1.24151","P68907"
"contig58517","Q92058"
"adi_v1.23571","Q9BYB0"
"adi_v1.10764","Q9UM47"
"contig60531","Q5THJ4"
"adi_v1.13631","Q9H324"
"contig70117","No_Uniprotmatch"
"adi_v1.16034","Q6I6G8"
"adi_v1.20273","O00468"
"contig73012","No_Uniprotmatch"
"adi_v1.13670","Q38913"
"GCKDGN103HIUCC","P24044"
"contig74665","Q5TZA2"
"adi_v1.07673","Q8K4L3"
"contig75776","No_Uniprotmatch"
"adi_v1.17019","Q58CU4"
"adi_v1.06151","Q9U943"
"contig77425","Q5R4H4"
"adi_v1.13082","Q8IZP9"
"contig77760","No_Uniprotmatch"
"adi_v1.20177","Q6ZTR5"
"adi_v1.18936","Q5ZII3"
"adi_v1.18225","Q9ER63"
"contig78809","No_Uniprotmatch"
"contig78905","No_Uniprotmatch"
"contig79419","Q6JHU9"
"contig80633","No_Uniprotmatch"
"adi_v1.13631","Q9H324"
"adi_v1.12555","C3YWU0"
"adi_v1.19637","P15800"
"adi_v1.03788","P12226"
"GCKDGN102DY2MX","F1Q806"
"contig82455","Q8K4G1"
"adi_v1.11848","C3XVD7"
"contig82818","C3YKB5"
"adi_v1.07309","B3S3D5"
"contig82990","No_Uniprotmatch"
"adi_v1.12819","B7PZL9"
"contig97726","No_Uniprotmatch"
"adi_v1.19136","Q04336"
"contig99323","A5A6K7"
"contig99861","No_Uniprotmatch"
"contig103397","No_Uniprotmatch"
"adi_v1.05745","B0ZZ78"
"adi_v1.12124","Q7ZXQ3"
"adi_v1.24630","Q9VZZ4"
"contig105100","B4GBH0"
"contig105563","No_Uniprotmatch"
"contig105593","No_Uniprotmatch"
"adi_v1.14744","Q4A0V8"
"isotig07098","Q32LE3"
"contig106320","Q47Z72"
"contig107502","Q96DM1"
"contig107770","P40307"
"contig108636","Q91X83"
"adi_v1.02425","P52827"
"isotig13482","Q8BW96"
"contig109294","No_Uniprotmatch"
"adi_v1.21967","Q66IM5"
"adi_v1.03905","Q3B8K3"
"adi_v1.06900","Q5ZJH7"
"contig111956","O76840"
"contig112458","No_Uniprotmatch"
"isotig07091","Q2TBV5"
"adi_v1.11029","C3Z6A1"
"contig113857","No_Uniprotmatch"
"isotig13025","Q2VYC5"
"contig114078","No_Uniprotmatch"
"isotig04824","B3RY15"
"contig115219","Q91819"
"contig115383","No_Uniprotmatch"
"adi_v1.12190","Q96RW7"
"adi_v1.12803","Q61496"
"isotig06633","C3Y7R8"
"contig116283","Q62452"
"contig117577","No_Uniprotmatch"
"adi_v1.21345","Q8TCT6"
"adi_v1.14210","Q9D4P0"
"contig119731","No_Uniprotmatch"
"adi_v1.18101","Q6TMK8"
"adi_v1.18263","O74549"
"adi_v1.08623","Q9BQS2"
"contig120889","No_Uniprotmatch"
"contig121470","Q03376"
"adi_v1.05937","F6Z2C1"
"contig126205","No_Uniprotmatch"
"adi_v1.17189","P78417"
"contig129162","No_Uniprotmatch"
"adi_v1.09825","Q9Y2C9"
"isotig06953","P07379"
"contig133007","No_Uniprotmatch"
"contig133032","B3RFR8"
"adi_v1.17472","Q9H0H3"
"contig136514","No_Uniprotmatch"
"contig137289","No_Uniprotmatch"
"isotig04822","Q5R7J8"
"adi_v1.10301","P47727"
"isotig13867","Q8N138"
"contig138534","No_Uniprotmatch"
"contig139134","No_Uniprotmatch"
"contig139286","B5FXJ6"
"adi_v1.12374","Q91Y77"
"contig139635","No_Uniprotmatch"
"isotig00481","O95147"
"adi_v1.20735","P25386"
"contig140300","No_Uniprotmatch"
"adi_v1.15451","C3ZN82"
"contig140424","No_Uniprotmatch"
"contig140539","No_Uniprotmatch"
"contig144753","Q47877"
"adi_v1.19182","Q6PDK2"
"adi_v1.10764","Q9UM47"
"contig144883","Q28247"
"adi_v1.13902","P11532"
"adi_v1.23219","Q6P4Z2"
"adi_v1.20157","O00468"
"adi_v1.20157","O00468"
"contig145700","Q6V4S5"
"contig145730","Q54G05"
"adi_v1.15123","P13538"
"contig145804","Q95218"
"contig145997","Q5EAJ7"
"contig146857","No_Uniprotmatch"
"contig147022","O00468"
"contig147036","Q5UNY5"
"contig147430","No_Uniprotmatch"
"adi_v1.00976","Q9P2E3"
"contig147502","Q9I9M5"
"contig147862","No_Uniprotmatch"
"contig148039","C3ZK69"
"contig148048","Q6PDJ1"
"adi_v1.18644","Q14789"
"contig148464","No_Uniprotmatch"
"contig148467","Q08CS6"
"contig148501","Q5VYJ5"
"adi_v1.02085","P40201"
"adi_v1.06804","Q9Z1N3"
"contig149249","P11046"
"contig149312","No_Uniprotmatch"
"contig149477","Q2VLG6"
"contig149605","Q96DM1"
"adi_v1.18867","C3YKB5"
"contig150086","Q9Y2I6"
"adi_v1.10904","P13944"
"contig150466","Q8IED2"
"contig150517","E9Q0I8"
"adi_v1.15123","P13538"
"adi_v1.08622","Q53GG5"
"contig150828","O02695"
"adi_v1.16267","Q5ZIJ9"
"adi_v1.11979","Q6INU7"
"adi_v1.04927","O76368"
"contig151249","No_Uniprotmatch"
"adi_v1.08208","P28304"
"adi_v1.23122","Q03146"
"adi_v1.03641","P35220"
"adi_v1.06208","P46864"
"contig151484","Q9BVV6"
"contig151665","No_Uniprotmatch"
"isotig06730","Q4TA60"
"contig151892","B7T145"
"contig152024","No_Uniprotmatch"
"contig152151","B0ZZ78"
"contig152203","P18298"
"contig152507","Q60847"
"adi_v1.19324","Q9UBS8"
"adi_v1.16340","Q6GYQ0"
"adi_v1.06850","P83553"
"adi_v1.24382","Q29RU2"
"contig154133","Q8CIZ5"
"contig154140","A1KZ92"
"isotig07143","P48509"
"contig154415","No_Uniprotmatch"
"contig155089","No_Uniprotmatch"
"adi_v1.07806","Q9C0D7"
"adi_v1.13878","Q6DIC0"
"isotig01542","Q9QZA6"
"contig158018","No_Uniprotmatch"
"contig158680","No_Uniprotmatch"
"adi_v1.14885","Q54G05"
"adi_v1.13388","Q08CX1"
"adi_v1.09977","Q9R0Q8"
"adi_v1.22620","Q96B70"
"isotig17315","Q8IW50"
"contig161208","No_Uniprotmatch"
"adi_v1.18225","Q9ER63"
"contig165281","No_Uniprotmatch"
"adi_v1.07387","P04280"
"contig166881","No_Uniprotmatch"
"contig169215","Q28092"
"adi_v1.10498","A0JP85"
"contig170438","Q10341"
"contig170442","No_Uniprotmatch"
"adi_v1.10728","D7G5T0"
"adi_v1.19345","Q8C9W3"
"adi_v1.13631","Q9H324"
"adi_v1.15705","Q5RI75"
"adi_v1.07817","B0ZZ78"
"adi_v1.16877","Q17320"
"adi_v1.13631","Q9H324"
"contig171166","No_Uniprotmatch"
"contig171605","No_Uniprotmatch"
"adi_v1.17969","P18519"
"contig173032","No_Uniprotmatch"
"contig173776","No_Uniprotmatch"
"isotig02744","Q6ITB9"
"adi_v1.22794","P41180"
"contig175415","No_Uniprotmatch"
"contig175419","No_Uniprotmatch"
"contig175607","A6NC86"
"adi_v1.05989","P36898"
"adi_v1.15314","Q8CFN2"
"contig176479","No_Uniprotmatch"
"contig176931","P27139"
"adi_v1.00584","Q08201"
"adi_v1.00192","Q6PAV2"
"contig177105","No_Uniprotmatch"
"adi_v1.02509","Q4LDE5"
"contig177384","Q7YRK5"
"contig177852","No_Uniprotmatch"
"adi_v1.22060","Q66T02"
"isotig00844","P54611"
"contig178113","E0VAZ5"
"contig178462","No_Uniprotmatch"
"adi_v1.01178","Q29599"
"adi_v1.01241","D7FRJ7"
"adi_v1.13530","Q15459"
"contig178888","No_Uniprotmatch"
"adi_v1.09603","Q4R4C7"
"adi_v1.19105","P18503"
"contig178948","No_Uniprotmatch"
"contig179091","No_Uniprotmatch"
"contig179182","No_Uniprotmatch"
"contig180374","No_Uniprotmatch"
"contig180493","No_Uniprotmatch"
"adi_v1.08513","P79145"
"contig180778","B3RFR8"
"adi_v1.03342","Q9NZJ4"
"contig181086","No_Uniprotmatch"
"isotig05056","P24495"
