"modGenes","modUniprotIDs"
"contig149910","Q9BY19"
"contig96871","F6QB69"
"contig105949","Q9UBG0"
"contig219993_140410_20908_139044_185469_155885_76490_215268_82936_147041_55858","Q9FS16"
"contig76592","Q8AY73"
"contig14609","Q5PQN7"
"contig150193","Q16990"
"contig176867_94091","C3Z9B0"
"contig105950","A5PLL7"
"contig74096","P51892"
"contig105647","Q8CE96"
"contig105084_26358","Q7TN83"
"contig75111","A1L243"
"contig103867","P70412"
"contig92369","Q5RDU7"
"contig189725","No_Uniprotmatch"
"contig69230","Q6PH57"
"contig188795","Q92051"
"contig178828","Q3KRE0"
"contig205488","Q7SXP8"
"contig74855","Q4QL83"
"contig19217","P82252"
"contig118806_115111","Q9BYQ2"
"contig176213","No_Uniprotmatch"
"contig204327","No_Uniprotmatch"
"contig148184_179747","Q8IWG1"
"contig146820","P09090"
"contig169643","P12270"
"contig66868","Q6VQ14"
"contig78411","Q3B8D5"
"contig187113_211938_187176_190571","Q96I24"
"contig218294","No_Uniprotmatch"
"contig149904","P21127"
"contig177223","No_Uniprotmatch"
"contig52289","P63696"
"contig73226","No_Uniprotmatch"
"contig82168_160346_218108_157452_210903","Q68US5"
"contig73739_209573","Q5RDE7"
"contig115262","No_Uniprotmatch"
"contig168753","No_Uniprotmatch"
"contig151508","Q96Q42"
"contig151328","Q8N5U6"
"contig210425","P70698"
"contig194905","O95639"
"contig152241","A2AHL1"
"contig73390_71729","F2RD36"
"contig97431_93653_147002","No_Uniprotmatch"
"contig9498_69139","Q90XN9"
"contig150098","Q3U9N9"
"contig160643","Q9QUN9"
"contig146419","No_Uniprotmatch"
"contig48756_80881","Q17RH7"
"contig156798","Q9BV94"
"contig14005","Q09326"
"contig147036","Q5UNY5"
"contig169883","Q9CXI3"
"contig154133","Q8CIZ5"
"contig145185","Q03350"
"contig107738","P97300"
"contig148667","P14533"
"contig151973","P60410"
"contig176324","No_Uniprotmatch"
"contig80779","Q8R4Y8"
"contig175984","P57306"
"contig108422_106981","Q86WA6"
"contig203682","Q9H4G4"
"contig80638","No_Uniprotmatch"
"contig208202_193912_216429","P54612"
"contig169282","B7T148"
"contig79613_159385","Q68US5"
"contig208190","Q5F3M0"
"contig144756_159110_160473","A1L3F4"
"contig167053","No_Uniprotmatch"
"contig118498_149201","P16230"
"contig177270","Q10741"
"contig193209","Q8NFD2"
"contig203903","No_Uniprotmatch"
"contig145710","P58197"
"contig196248_204985_213848_77681","P11276"
"contig150468","C0JKE8"
"contig104683","Q4R4J0"
"contig177386","Q2QL78"
"contig146940","Q9NRA8"
"contig146700","No_Uniprotmatch"
"contig71177","Q8BP00"
"contig73845","Q38913"
"contig120150_204045","O35242"
"contig106958","P20171"
"contig152704","P04280"
"contig109724","P12111"
"contig152612","O18806"
"contig170562","Q14247"
"contig210056","A6NHM9"
"contig168077","Q5PPM5"
"contig209206","O94906"
"contig145732","Q9P2K5"
"contig96786","No_Uniprotmatch"
"contig75420_218277","O43684"
"contig106584","P14207"
"contig205944","Q9UHC6"
"contig74063","P46807"
