"modGenes","modUniprotIDs"
"contig207946","Q8IUS5"
"contig74425","P52827"
"contig91243","No_Uniprotmatch"
"contig175867","Q13326"
"contig153645","No_Uniprotmatch"
"contig600052","No_Uniprotmatch"
"contig69490","Q29RU2"
"contig115932_125303","No_Uniprotmatch"
"contig147763","No_Uniprotmatch"
"contig153262","Q9X248"
"contig189472","D4QD85"
"contig34933_117047","Q9QUN7"
"contig140106","Q49GP3"
"contig207852","Q05017"
"contig55928_109216","Q20191"
"contig170295_174494_174549","Q9YH64"
"contig151248","A8WLV3"
"contig170630","No_Uniprotmatch"
"contig211719","No_Uniprotmatch"
"contig159181_13139_99955","B0UYT5"
"contig4045","O35182"
"contig131341","No_Uniprotmatch"
"contig71233","Q0MQB1"
"contig75654","Q9CYH6"
"contig70392","P0CB97"
"contig151440","B1WC40"
"contig178473","Q9CD89"
"contig68697","Q5PPJ9"
"contig79967","Q32P28"
"contig110423_139014_177217_176423","Q8VHT6"
"contig20147","P09601"
"contig80197","Q9D554"
"contig209786_600144","P05300"
"contig107101","O70591"
"contig150868","Q9CPW4"
"contig170644","Q9CQY2"
"contig205535","F2UPL5"
"contig59292","O95149"
"contig75607_169164_74746","Q923M0"
"contig149134","P34528"
"contig169676","O94826"
"contig147141","No_Uniprotmatch"
"contig148924_217550","No_Uniprotmatch"
"contig181017","D4QD85"
"contig153537","Q15818"
"contig150071","A3KPN8"
"contig76563","No_Uniprotmatch"
"contig140838_212762","P85970"
"contig82250","Q0VD23"
"contig150206_119932","No_Uniprotmatch"
"contig60701","Q2M1K5"
"contig16687_106141","Q3UZD5"
"contig72154_137458","A5D7A0"
"contig77038_106937","Q8BGQ7"
"contig203588","P56517"
"contig99913_9827","Q9UBX3"
"contig76156","Q9I8J6"
"contig119209","Q2T9N0"
"contig176563_204017","Q9H1P3"
"contig105957","C3YWU0"
"contig129554","No_Uniprotmatch"
"contig150819","Q5ZKN1"
"contig178657","Q91610"
"contig219005","No_Uniprotmatch"
"contig203928","Q8AVV6"
"contig71620","P58200"
"contig177673","P18503"
"contig146747","P26779"
"contig109676_150094","Q12931"
"contig208243","No_Uniprotmatch"
"contig105320","Q9W6X3"
"contig174875","P91430"
"contig218570","No_Uniprotmatch"
"contig72718_171050","Q792I0"
"contig204455_145235","Q5R469"
"contig207357","Q5REG4"
"contig183484","Q96CG8"
"contig109012","P24539"
"contig175829","P14733"
"contig174581","C3ZQY9"
"contig145623","No_Uniprotmatch"
"contig52948_182462","P79746"
"contig205659_169896","No_Uniprotmatch"
"contig179596","Q9UW96"
"contig148958","Q9Z247"
"contig151364","Q7ZWM4"
"contig170278","P22232"
"contig75860","Q5E9B3"
"contig106530","Q4R4T8"
"contig74824","O88818"
"contig151528","Q685J3"
"contig150888_151489","No_Uniprotmatch"
"contig110172","Q92963"
"contig153631","Q16836"
"contig105465","Q6FRC6"
"contig78574","No_Uniprotmatch"
"contig204613","B3S2P4"
"contig68724","P41156"
"contig176675_203803","Q6NWC9"
"contig115219","Q91819"
"contig204003_190053_213020_110782","O75643"
"contig71403_175738","Q6P825"
"contig106681","Q9UL45"
"contig207821","O02640"
"contig177993","Q0VCK0"
"contig72890_119798","Q5UNS9"
"contig189990","No_Uniprotmatch"
"contig170224_137992","Q9D818"
"contig169208_209432","P00125"
"contig112244_120296","Q08288"
"contig213266_195106","C3ZLL2"
"contig177425","E2LC84"
"contig175910","Q32PD8"
"contig147342","Q86WA9"
"contig54935","P33215"
"contig202045","Q6DGV1"
"contig83158","P42674"
"contig205270","Q8RY89"
"contig203404","No_Uniprotmatch"
"contig146783","Q6DH69"
"contig104848","E7BKJ3"
"contig205537_213163","No_Uniprotmatch"
"contig210208","No_Uniprotmatch"
"contig146952","B3S3S3"
"contig17867_171039","C3Z7X4"
"contig204616","No_Uniprotmatch"
"contig147654","Q6V0K7"
"contig168917_218957","Q96K80"
"contig179091","No_Uniprotmatch"
"contig139114_78996_117036","Q13610"
"contig213962","Q28DV3"
"contig145424","Q7TNG8"
"contig180622_157125_108086","Q5RC06"
"contig205810","Q7ZYG4"
"contig123639_98881_208045","Q4U1U2"
"contig147818","P31729"
"contig152887","Q6DG32"
"contig147400","P13086"
"contig146962","Q8R344"
"contig191608","No_Uniprotmatch"
"contig208152","O54834"
"contig182635","C3YXM6"
"contig70543","P55814"
"contig203581","A5A6N4"
"contig150900_205489","Q499P8"
"contig146993","P11584"
"contig69971","Q9UPY8"
"contig105497_98891_90160","Q8R367"
"contig152963","Q6DK93"
"contig204098_176670","Q6PBL0"
"contig72029_152090","Q6PHH3"
"contig69533","Q28IK8"
"contig203696","O88377"
"contig74661","P25807"
"contig97702_194794","Q5ZIN1"
"contig56978","P35428"
"contig171533","Q15542"
"contig204629","No_Uniprotmatch"
"contig173700","Q9F234"
"contig77913","Q9NRG9"
"contig148690","P13866"
"contig65203","Q9BDY9"
"contig74572_156171_213617_211945","P51570"
"contig94495_120206","Q7Z8U9"
"contig152412_24166_48320","B8JLX8"
"contig116443","Q9ES46"
"contig109068","No_Uniprotmatch"
"contig175552","Q27W01"
"contig75315","No_Uniprotmatch"
"contig147429","P42669"
"contig180784_96984_174542_178467_154481_216050","O95466"
"contig78221_5815_178616","Q811Q2"
"contig151845_120385_68594","P27653"
"contig204286","Q5ZK10"
"contig105321","O94889"
"contig151892","B7T145"
"contig72752_82225","Q2M389"
"contig180548","Q9IBG7"
"contig600058","Q5UQ13"
"contig114610","P86179"
"contig179303_125663","Q96AY4"
"contig185871","P18503"
"contig82991","Q0V9J5"
"contig154453","C3ZC34"
"contig152053","No_Uniprotmatch"
"contig94794","No_Uniprotmatch"
"contig148991","P26885"
"contig215103_199910","F6Z2C1"
"contig147805","Q6GNG8"
"contig97726","No_Uniprotmatch"
"contig204872_205161","Q5E946"
"contig211935_83200","A8MU46"
"contig205412","Q9Y3E5"
"contig148078","P48547"
"contig145471","P49706"
"contig147405_189583_130965","No_Uniprotmatch"
"contig176087","P52209"
"contig11558","Q8IUS5"
"contig111343","No_Uniprotmatch"
"contig70644","P83917"
"contig170354_148803_71185_108273_177016","Q6Q0N0"
"contig16185","No_Uniprotmatch"
"contig145269","P20000"
"contig214599_156365","A5D9H7"
"contig111472","C3YWB2"
"contig70759","Q90XD2"
"contig105733_58792_174316","P00504"
"contig69716","Q90XW6"
"contig147319","O02691"
"contig185296_196413","Q9V6Y3"
"contig60827","Q8CG08"
"contig175034_165361","Q6AYE3"
"contig170866","A5D6U8"
"contig75357","Q9NIV1"
"contig145461","Q9Y2M2"
"contig104641","Q9CPV4"
"contig112737","P35187"
"contig112496","No_Uniprotmatch"
"contig209820","P28648"
"contig98749","No_Uniprotmatch"
"contig159421","No_Uniprotmatch"
"contig167773","Q6CA53"
"contig151860","Q91285"
"contig72805","Q94502"
"contig146751_179026","Q5BJT0"
"contig79474","Q3MHY1"
"contig152089_171145","Q9BWT3"
"contig149584","Q6PFM4"
"contig168211","A2AX52"
"contig177114","Q9P7M5"
"contig70447_79263_103944","Q5ZMP6"
"contig170159","P57747"
"contig18189_188997","Q62440"
"contig156811","A9GP79"
"contig174343","C7PNQ2"
"contig71494_109692","Q9CPT5"
"contig210994","Q8TBG4"
"contig205406","Q7T385"
"contig72815","Q5XGA9"
"contig68513","Q90891"
"contig169108_116554","P62323"
"contig172147","Q9Y485"
"contig97232","O88818"
"contig146669","Q4V7E8"
"contig176056","No_Uniprotmatch"
"contig144897","P58421"
"contig140662","P70404"
"contig215843","Q3UZV7"
"contig68162","Q6ZUX7"
"contig147956","Q8K1K9"
"contig99511_75664","A2VDN5"
"contig191953_179483_160766","P28039"
"contig115676","O14683"
"contig70859_157889","A2VDZ9"
"contig209481","No_Uniprotmatch"
"contig177505_179432","No_Uniprotmatch"
"contig96993","D7FRJ7"
"contig48412","Q8WPA2"
"contig139632","O14464"
"contig138215_9072","P80197"
"contig104894","No_Uniprotmatch"
"contig204720","No_Uniprotmatch"
"contig98996","Q9D9M5"
"contig152837","No_Uniprotmatch"
"contig207992","F6QA84"
"contig148791","No_Uniprotmatch"
"contig151743","P10253"
"contig175637","P02594"
"contig65540_154518_183049","Q6GM44"
"contig108628","Q5RBB3"
"contig70734_148173","Q9XT06"
"contig210807","Q4R4T8"
"contig169708","Q8LGG8"
"contig151084","No_Uniprotmatch"
"contig68781_212614","Q5ZM57"
"contig122388","F6Z2C1"
"contig75640_114316","Q8TBZ3"
"contig137899_99358_189321","P28663"
"contig72285","O18373"
"contig78321","Q9UI43"
"contig1328_204256","Q26619"
"contig177170","Q8NDA2"
"contig179884","Q7SYR1"
"contig169257","Q7T321"
"contig179818_20405","P0CB42"
"contig97906","Q9UBV8"
"contig6879_212070_110594","Q99LI7"
"contig147793","No_Uniprotmatch"
"contig153780_111487","Q90889"
"contig145138","Q16960"
"contig205595_179939","O89110"
"contig73562_4476","Q8UW76"
"contig147253","Q9NQW7"
"contig74852","No_Uniprotmatch"
"contig152946","O55003"
"contig148964","Q05116"
"contig149367_179565_199368","Q5REK3"
"contig15166","No_Uniprotmatch"
"contig3144","Q3SZT7"
"contig147542","P60371"
"contig151452","Q6DJE4"
"contig103363","Q9F234"
"contig76907_81675","No_Uniprotmatch"
"contig74042_176003","Q9R0Q6"
"contig149934","Q9CWX9"
"contig149580","Q6TNS2"
"contig19838_140172_174762","P19491"
"contig149941","P09848"
"contig72840_112781","Q5PQ50"
"contig179994","No_Uniprotmatch"
"contig179027","Q4A3R3"
"contig97773","P33322"
"contig5653","B3RX14"
"contig149028","A7YWC8"
"contig207343","Q9F234"
"contig171682","Q9Y3B8"
"contig70283","Q9DC69"
"contig147799","Q66J69"
"contig104927","Q95VA8"
"contig171627","Q5RD69"
"contig145927_79444","Q5F4A1"
"contig146089","Q29503"
"contig203410_115141","Q5T089"
"contig106504","O35207"
"contig218361","O35231"
"contig77098_129253","Q9QXT1"
"contig97503","Q5R6Z8"
"contig169348","Q5RCF3"
"contig204254","P00435"
"contig115149","Q96CM3"
"contig138938","Q6ZUI0"
"contig600001","C3Y429"
"contig149752_97935","Q869L3"
"contig151055","P23098"
"contig147504","P54276"
"contig175894","No_Uniprotmatch"
"contig77907_200605","No_Uniprotmatch"
