"modGenes","modUniprotIDs"
"contig110290","Q9UHD2"
"contig204314_176978_176551_182134_160536","Q8JGT4"
"contig180642_176080_184415","No_Uniprotmatch"
"contig59527","F6T774"
"contig183807","Q6ZN16"
"contig59779","Q4GZT3"
"contig80992","Q08288"
"contig148069_189459","Q5ZIJ9"
"contig145994","Q7ZUG0"
"contig178263","P49792"
"contig149370","O60930"
"contig117577","No_Uniprotmatch"
"contig170821","Q5TCS8"
"contig185947","Q3TBT3"
"contig168744_218437","O88470"
"contig146126","Q92058"
"contig180327","No_Uniprotmatch"
"contig170356","O00461"
"contig168175_163868","E7NTS7"
"contig203899","P82279"
"contig213755","Q8K3Z0"
"contig193011","Q61496"
"contig25952_176106","Q61555"
"contig105110","B3S4G8"
"contig216628_94385_204700","Q6PGP7"
"contig72656","C9JJ37"
"contig80529_138139","P54802"
"contig104291","Q1ED39"
"contig600063","Q54G70"
"contig150387","Q5ZIJ9"
"contig176916","No_Uniprotmatch"
"contig218272","C3Z268"
"contig149104","No_Uniprotmatch"
"contig75761","No_Uniprotmatch"
"contig119016","B0JZG0"
"contig150128","Q8EYT0"
"contig94328","P42111"
"contig215165","No_Uniprotmatch"
"contig142483_148730_178548","Q4R5E3"
"contig74030","A4IFE9"
"contig177279","No_Uniprotmatch"
"contig105058","Q9VZZ4"
"contig152409_74549","P78504"
"contig153472_93414","P23098"
"contig151844_170513","Q61555"
"contig107893","O54888"
"contig178888","No_Uniprotmatch"
"contig174844","No_Uniprotmatch"
"contig194784","No_Uniprotmatch"
"contig209282","No_Uniprotmatch"
"contig139386","Q6DKC0"
"contig171594","Q5EB25"
"contig133775","C7MSY6"
"contig109307","Q9V3A6"
"contig117937_153595","P11928"
"contig213118","P17124"
"contig114103","Q9Z1T2"
"contig172449","No_Uniprotmatch"
"contig179114","No_Uniprotmatch"
"contig118325_76195","No_Uniprotmatch"
"contig77658","Q5ZIJ9"
"contig187139_148010","P46531"
"contig204743","F4DYR1"
"contig106294","No_Uniprotmatch"
"contig173236","P11928"
"contig216297","No_Uniprotmatch"
"contig152190","A8C9L9"
"contig147379","Q96DN5"
"contig48975_133428_186753","P00521"
"contig81819","Q9WYX8"
"contig195376","P61917"
"contig174871_109095_179917_189616","Q9VS29"
"contig174945","P21580"
"contig106558","No_Uniprotmatch"
"contig122099","No_Uniprotmatch"
"contig99120","A6PW82"
"contig176894","Q96AY4"
"contig89858_22524","C3Z3F4"
"contig151074","Q05609"
"contig169317","Q16665"
"contig209257","Q63HN8"
"contig118974","Q9NPD3"
"contig117191","No_Uniprotmatch"
"contig129544_108031_114095_72694_113244","A0DC49"
"contig181679","C3ZVW4"
"contig150422_107048_177290_119981","Q01063"
"contig189544_188814_172085","Q6AYT3"
"contig91930_164343_127061_182758","Q8CFB4"
"contig114659","Q8R151"
"contig207849_105160_106316_179101_137696","Q54G70"
"contig178953","No_Uniprotmatch"
"contig111859","O43766"
"contig112637","E9CI53"
"contig205768","O43586"
"contig214004_7854","Q78KK3"
"contig147175","Q5ZIJ9"
"contig188357_1694_144020","A5D6U8"
"contig208841","No_Uniprotmatch"
"contig113094","Q803D2"
"contig150960","Q8CFB4"
"contig148421","P20825"
"contig147847","C9JQI7"
"contig77219","No_Uniprotmatch"
"contig110951","Q6ZV73"
"contig182317","No_Uniprotmatch"
"contig181346","Q9NX02"
"contig104824","P42232"
"contig81598","Q63HN8"
"contig110737","No_Uniprotmatch"
"contig210813","No_Uniprotmatch"
"contig182892_138721_131","Q5ZLT0"
"contig78809","No_Uniprotmatch"
"contig180653","O54874"
"contig77552","No_Uniprotmatch"
"contig214796_83675","Q22WK4"
"contig154140","A1KZ92"
"contig114789_20027_74280_163427","Q6DE84"
