"modGenes","modUniprotIDs"
"contig149910","Q9BY19"
"contig77362","Q5BL07"
"contig204314_176978_176551_182134_160536","Q8JGT4"
"contig112964","Q5QD04"
"contig192621","Q91287"
"contig99473","O18806"
"contig182572","Q25677"
"contig93874","Q5RE15"
"contig189472","D4QD85"
"contig187509","O94431"
"contig177514","Q9PU85"
"contig103904","No_Uniprotmatch"
"contig190714","P00920"
"contig103939","No_Uniprotmatch"
"contig213757","Q9D6J3"
"contig106467","Q5R9W6"
"contig2212","Q969X6"
"contig75654","Q9CYH6"
"contig147977","Q6GQT6"
"contig152723","O73792"
"contig159356","A5A6I3"
"contig183365","B7T142"
"contig106241","P35342"
"contig213260","A5PJJ7"
"contig181017","D4QD85"
"contig151461","P46864"
"contig152346","No_Uniprotmatch"
"contig105158_18825","C3Z724"
"contig15290","P83861"
"contig150206_119932","No_Uniprotmatch"
"contig182888","Q28H87"
"contig131867_75109","P22770"
"contig16687_106141","Q3UZD5"
"contig160024","No_Uniprotmatch"
"contig208111_150953","O42406"
"contig176282_153388","Q94464"
"contig73765","No_Uniprotmatch"
"contig210146","No_Uniprotmatch"
"contig177004","No_Uniprotmatch"
"contig211009","No_Uniprotmatch"
"contig180493","No_Uniprotmatch"
"contig216014","No_Uniprotmatch"
"contig113836","Q3T094"
"contig214565","No_Uniprotmatch"
"contig104364","Q20191"
"contig210373","Q9QZB7"
"contig69313","O75529"
"contig124509_114284","Q3U9N9"
"contig105320","Q9W6X3"
"contig72718_171050","Q792I0"
"contig173821","P11275"
"contig113018","Q9NY64"
"contig215726_181529","No_Uniprotmatch"
"contig147755","Q03123"
"contig112074","No_Uniprotmatch"
"contig205140_190201","Q8R3L8"
"contig21977","Q8IUN9"
"contig151250","No_Uniprotmatch"
"contig150295","Q9FF12"
"contig111713","No_Uniprotmatch"
"contig116885","P54315"
"contig106530","Q4R4T8"
"contig105296_171521","Q0IH87"
"contig118901","Q2HJH6"
"contig108456","Q9Y4J8"
"contig94753","E5SYM5"
"contig197203","P35789"
"contig73226","No_Uniprotmatch"
"contig195288","Q3V050"
"contig209599","No_Uniprotmatch"
"contig189990","No_Uniprotmatch"
"contig15678","No_Uniprotmatch"
"contig205649","No_Uniprotmatch"
"contig129459","No_Uniprotmatch"
"contig169907","O00391"
"contig152567","Q3SZK1"
"contig77400","Q7T292"
"contig218802","Q8NBA8"
"contig212591","No_Uniprotmatch"
"contig18753","No_Uniprotmatch"
"contig182491","No_Uniprotmatch"
"contig203404","No_Uniprotmatch"
"contig186939","O73888"
"contig193740","P17635"
"contig172013","Q9D1D6"
"contig204616","No_Uniprotmatch"
"contig147237","Q8K339"
"contig188019","P06734"
"contig160790","Q92538"
"contig181282","Q9QXN5"
"contig160467","No_Uniprotmatch"
"contig153785","Q27084"
"contig93694","Q5RF63"
"contig113881","No_Uniprotmatch"
"contig70460","Q8N328"
"contig109139","Q00004"
"contig72492","P46437"
"contig182635","C3YXM6"
"contig184749_118393","P11275"
"contig152736","Q04336"
"contig169812","Q8WW12"
"contig12818","No_Uniprotmatch"
"contig177926","No_Uniprotmatch"
"contig210944","No_Uniprotmatch"
"contig74742","Q7QJX9"
"contig82973","B3S3D5"
"contig108224","Q14789"
"contig208193","B2J427"
"contig148897","C8XA09"
"contig209331","No_Uniprotmatch"
"contig179090","Q3TBT3"
"contig150014","Q27084"
"contig153320","Q148D5"
"contig105513","Q5R4Q3"
"contig75519","Q9SXD5"
"contig203481_21015_112804_54233_114158","O15169"
"contig95479","No_Uniprotmatch"
"contig76499","B1VEI4"
"contig146939","Q5VV42"
"contig82448","Q0MQA6"
"contig120323","No_Uniprotmatch"
"contig185929","Q96DM1"
"contig150950","P42674"
"contig176367","Q02365"
"contig115005","Q9Z2F6"
"contig177646","A7X4K1"
"contig181015","P28841"
"contig116399","Q2KJ34"
"contig204892_182082_182387","P35371"
"contig177678","A7X4K1"
"contig211076","Q07157"
"contig171615","Q08E31"
"contig169561","E9HDA4"
"contig207221","Q3USJ8"
"contig65793","Q6KAQ7"
"contig131285_219146","Q86PM4"
"contig106792","B3RIK8"
"contig186796_182135","Q5RFU0"
"contig65751","No_Uniprotmatch"
"contig147027","Q8CFW7"
"contig209161","B0ZZ78"
"contig106003_146038","C3YFB4"
"contig169940","Q3T0Z7"
"contig64592","Q96DM1"
"contig161292_183874_214568","No_Uniprotmatch"
"contig180548","Q9IBG7"
"contig145655","E2BBK7"
"contig80249","P57729"
"contig97820","Q9CZU3"
"contig103311","No_Uniprotmatch"
"contig185871","P18503"
"contig150733_48685","Q4KLC4"
"contig168918_137370_107333_104715","Q5RCR4"
"contig176002","E9GCT4"
"contig190258","Q96PM5"
"contig16702","Q7SC45"
"contig110246","No_Uniprotmatch"
"contig181454","No_Uniprotmatch"
"contig210474","P18106"
"contig212498","Q7T384"
"contig211197_153460","Q8R0N9"
"contig147544","B2J427"
"contig199537_131652","Q9HCT0"
"contig178603","Q08CS6"
"contig188897","Q8BWU8"
"contig215127","P20002"
"contig177225","Q86SQ7"
"contig148635","Q8BM54"
"contig211772","P69098"
"contig10151","No_Uniprotmatch"
"contig186092","Q761X5"
"contig74030","A4IFE9"
"contig127034","P78417"
"contig190983","Q8UUZ1"
"contig154108","P11533"
"contig179649","No_Uniprotmatch"
"contig168100","Q3V096"
"contig111978","O15085"
"contig204052","Q4V7C7"
"contig209892","No_Uniprotmatch"
"contig81027","O60290"
"contig216921","Q6PE87"
"contig104641","Q9CPV4"
"contig104578","P51557"
